ck for Arthur               2020
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
05/16/2020 15:11:10     27.633 N     79.129 W
05/16/2020 15:13:09     27.638 N     79.123 W
05/16/2020 15:15:10     27.644 N     79.116 W
05/16/2020 15:17:09     27.650 N     79.110 W
05/16/2020 15:19:10     27.656 N     79.104 W
05/16/2020 15:21:09     27.662 N     79.097 W
05/16/2020 15:23:10     27.667 N     79.091 W
05/16/2020 15:25:09     27.673 N     79.085 W
05/16/2020 15:27:10     27.679 N     79.078 W
05/16/2020 15:29:09     27.685 N     79.072 W
05/16/2020 15:31:10     27.690 N     79.066 W
05/16/2020 15:33:10     27.696 N     79.059 W
05/16/2020 15:35:09     27.702 N     79.053 W
05/16/2020 15:37:10     27.708 N     79.047 W
05/16/2020 15:39:09     27.714 N     79.040 W
05/16/2020 15:41:10     27.719 N     79.034 W
05/16/2020 15:43:09     27.725 N     79.028 W
05/16/2020 15:45:10     27.731 N     79.021 W
05/16/2020 15:47:09     27.737 N     79.015 W
05/16/2020 15:49:10     27.742 N     79.009 W
05/16/2020 15:51:09     27.748 N     79.002 W
05/16/2020 15:53:10     27.754 N     78.996 W
05/16/2020 15:55:09     27.760 N     78.990 W
05/16/2020 15:57:10     27.765 N     78.984 W
05/16/2020 16:00:09     27.771 N     78.977 W
05/16/2020 16:01:09     27.777 N     78.971 W
05/16/2020 16:03:10     27.783 N     78.965 W
05/16/2020 16:05:09     27.788 N     78.958 W
05/16/2020 16:07:09     27.794 N     78.952 W
05/16/2020 16:09:10     27.800 N     78.946 W
05/16/2020 16:11:10     27.806 N     78.939 W
05/16/2020 16:13:09     27.812 N     78.933 W
05/16/2020 16:15:09     27.817 N     78.927 W
05/16/2020 16:17:10     27.823 N     78.921 W
05/16/2020 16:19:10     27.829 N     78.914 W
05/16/2020 16:21:09     27.834 N     78.908 W
05/16/2020 16:23:09     27.840 N     78.902 W
05/16/2020 16:25:10     27.846 N     78.896 W
05/16/2020 16:27:10     27.852 N     78.889 W
05/16/2020 16:29:09     27.857 N     78.883 W
05/16/2020 16:31:09     27.863 N     78.877 W
05/16/2020 16:33:10     27.869 N     78.871 W
05/16/2020 16:35:09     27.875 N     78.864 W
05/16/2020 16:37:09     27.880 N     78.858 W
05/16/2020 16:39:10     27.886 N     78.852 W
05/16/2020 16:41:10     27.892 N     78.846 W
05/16/2020 16:43:09     27.898 N     78.839 W
05/16/2020 16:45:09     27.903 N     78.833 W
05/16/2020 16:47:10     27.909 N     78.827 W
05/16/2020 16:49:10     27.915 N     78.821 W
05/16/2020 16:51:09     27.920 N     78.815 W
05/16/2020 16:53:09     27.926 N     78.808 W
05/16/2020 16:55:10     27.932 N     78.802 W
05/16/2020 16:57:10     27.937 N     78.796 W
05/16/2020 17:00:09     27.943 N     78.790 W
