Track for Bill                 2009
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/18/2009 05:54:00     15.294 N     48.979 W
08/18/2009 05:56:00     15.296 N     48.986 W
08/18/2009 05:58:00     15.298 N     48.993 W
08/18/2009 06:00:00     15.300 N     49.000 W
08/18/2009 06:01:59     15.302 N     49.007 W
08/18/2009 06:03:59     15.304 N     49.014 W
08/18/2009 06:05:59     15.306 N     49.021 W
08/18/2009 06:07:59     15.308 N     49.028 W
08/18/2009 06:09:59     15.310 N     49.035 W
08/18/2009 06:11:59     15.312 N     49.042 W
08/18/2009 06:13:59     15.315 N     49.049 W
08/18/2009 06:16:00     15.317 N     49.056 W
08/18/2009 06:18:00     15.319 N     49.063 W
08/18/2009 06:20:00     15.321 N     49.070 W
08/18/2009 06:22:00     15.323 N     49.077 W
08/18/2009 06:24:00     15.325 N     49.084 W
08/18/2009 06:26:00     15.327 N     49.091 W
08/18/2009 06:28:00     15.329 N     49.098 W
08/18/2009 06:30:00     15.331 N     49.105 W
08/18/2009 06:31:59     15.333 N     49.112 W
08/18/2009 06:33:59     15.335 N     49.119 W
08/18/2009 06:35:59     15.337 N     49.126 W
08/18/2009 06:37:59     15.339 N     49.133 W
08/18/2009 06:39:59     15.342 N     49.140 W
08/18/2009 06:41:59     15.344 N     49.147 W
08/18/2009 06:43:59     15.346 N     49.154 W
08/18/2009 06:46:00     15.348 N     49.161 W
08/18/2009 06:48:00     15.350 N     49.168 W
08/18/2009 06:50:00     15.352 N     49.175 W
08/18/2009 06:52:00     15.354 N     49.182 W
08/18/2009 06:54:00     15.356 N     49.189 W
08/18/2009 06:56:00     15.358 N     49.196 W
08/18/2009 06:58:00     15.360 N     49.203 W
08/18/2009 07:00:00     15.362 N     49.210 W
08/18/2009 07:01:59     15.364 N     49.217 W
08/18/2009 07:03:59     15.367 N     49.224 W
08/18/2009 07:05:59     15.369 N     49.231 W
08/18/2009 07:07:59     15.371 N     49.238 W
08/18/2009 07:09:59     15.373 N     49.245 W
08/18/2009 07:11:59     15.375 N     49.252 W
08/18/2009 07:13:59     15.377 N     49.259 W
