Track for Bonnie               1998
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/20/1998 20:46:51     18.361 N     60.606 W
08/20/1998 20:48:51     18.366 N     60.606 W
08/20/1998 20:50:50     18.372 N     60.607 W
08/20/1998 20:52:50     18.377 N     60.608 W
08/20/1998 20:54:51     18.382 N     60.609 W
08/20/1998 20:56:51     18.388 N     60.610 W
08/20/1998 20:58:50     18.393 N     60.611 W
08/20/1998 21:00:50     18.398 N     60.611 W
08/20/1998 21:02:51     18.404 N     60.612 W
08/20/1998 21:04:51     18.409 N     60.613 W
08/20/1998 21:06:50     18.414 N     60.614 W
08/20/1998 21:08:50     18.419 N     60.615 W
08/20/1998 21:10:51     18.425 N     60.616 W
08/20/1998 21:12:50     18.430 N     60.617 W
08/20/1998 21:14:50     18.435 N     60.619 W
08/20/1998 21:16:51     18.440 N     60.620 W
08/20/1998 21:18:51     18.446 N     60.621 W
08/20/1998 21:20:50     18.451 N     60.623 W
08/20/1998 21:22:50     18.456 N     60.624 W
08/20/1998 21:24:51     18.461 N     60.626 W
08/20/1998 21:26:51     18.466 N     60.627 W
08/20/1998 21:28:50     18.471 N     60.629 W
08/20/1998 21:30:50     18.476 N     60.631 W
08/20/1998 21:32:51     18.481 N     60.633 W
08/20/1998 21:34:51     18.487 N     60.636 W
08/20/1998 21:36:50     18.492 N     60.638 W
08/20/1998 21:38:50     18.496 N     60.640 W
08/20/1998 21:40:51     18.501 N     60.643 W
08/20/1998 21:42:50     18.506 N     60.646 W
08/20/1998 21:44:50     18.511 N     60.649 W
08/20/1998 21:46:51     18.516 N     60.652 W
08/20/1998 21:48:51     18.521 N     60.655 W
08/20/1998 21:50:50     18.526 N     60.659 W
08/20/1998 21:52:50     18.530 N     60.662 W
08/20/1998 21:54:51     18.535 N     60.666 W
08/20/1998 21:56:51     18.540 N     60.670 W
08/20/1998 21:58:50     18.544 N     60.674 W
08/20/1998 22:00:50     18.549 N     60.679 W
08/20/1998 22:02:51     18.553 N     60.683 W
08/20/1998 22:04:51     18.558 N     60.688 W
08/20/1998 22:06:50     18.562 N     60.693 W
08/20/1998 22:08:50     18.567 N     60.699 W
08/20/1998 22:10:51     18.571 N     60.704 W
08/20/1998 22:12:50     18.575 N     60.710 W
08/20/1998 22:14:50     18.579 N     60.717 W
08/20/1998 22:16:51     18.583 N     60.723 W
08/20/1998 22:18:51     18.588 N     60.730 W
08/20/1998 22:20:50     18.592 N     60.737 W
08/20/1998 22:22:50     18.596 N     60.744 W
08/20/1998 22:24:51     18.599 N     60.751 W
08/20/1998 22:26:51     18.603 N     60.759 W
08/20/1998 22:28:50     18.607 N     60.767 W
08/20/1998 22:30:50     18.611 N     60.776 W
08/20/1998 22:32:51     18.614 N     60.784 W
08/20/1998 22:34:51     18.618 N     60.794 W
08/20/1998 22:36:50     18.622 N     60.803 W
08/20/1998 22:38:50     18.625 N     60.813 W
08/20/1998 22:40:51     18.628 N     60.823 W
08/20/1998 22:42:50     18.632 N     60.833 W
08/20/1998 22:44:50     18.635 N     60.844 W
08/20/1998 22:46:51     18.638 N     60.855 W
08/20/1998 22:48:51     18.641 N     60.867 W
08/20/1998 22:50:50     18.644 N     60.879 W
08/20/1998 22:52:50     18.647 N     60.891 W
08/20/1998 22:54:51     18.650 N     60.904 W
08/20/1998 22:56:51     18.653 N     60.917 W
08/20/1998 22:58:50     18.655 N     60.930 W
08/20/1998 23:00:50     18.658 N     60.944 W
08/20/1998 23:02:51     18.660 N     60.958 W
08/20/1998 23:04:51     18.663 N     60.973 W
08/20/1998 23:06:50     18.665 N     60.988 W
08/20/1998 23:08:50     18.667 N     61.004 W
08/20/1998 23:10:51     18.669 N     61.020 W
08/20/1998 23:12:50     18.671 N     61.036 W
08/20/1998 23:14:50     18.673 N     61.053 W
08/20/1998 23:16:51     18.675 N     61.071 W
08/20/1998 23:18:51     18.677 N     61.088 W
08/20/1998 23:20:50     18.679 N     61.107 W
08/20/1998 23:22:50     18.680 N     61.125 W
08/20/1998 23:24:51     18.682 N     61.145 W
08/20/1998 23:26:51     18.683 N     61.165 W
08/20/1998 23:28:50     18.684 N     61.185 W
08/20/1998 23:27:00     18.683 N     61.166 W
08/20/1998 23:29:00     18.686 N     61.175 W
08/20/1998 23:30:59     18.690 N     61.184 W
08/20/1998 23:32:59     18.693 N     61.193 W
08/20/1998 23:35:00     18.697 N     61.202 W
08/20/1998 23:37:00     18.700 N     61.212 W
08/20/1998 23:38:59     18.704 N     61.221 W
08/20/1998 23:40:59     18.707 N     61.230 W
08/20/1998 23:43:00     18.711 N     61.239 W
08/20/1998 23:45:00     18.714 N     61.248 W
08/20/1998 23:46:59     18.718 N     61.257 W
08/20/1998 23:49:00     18.721 N     61.266 W
08/20/1998 23:51:00     18.725 N     61.275 W
08/20/1998 23:52:59     18.728 N     61.284 W
08/20/1998 23:54:59     18.731 N     61.293 W
08/20/1998 23:57:00     18.735 N     61.302 W
08/20/1998 23:59:00     18.738 N     61.312 W
08/21/1998 00:00:59     18.742 N     61.321 W
08/21/1998 00:02:59     18.745 N     61.330 W
08/21/1998 00:05:00     18.748 N     61.339 W
08/21/1998 00:07:00     18.752 N     61.348 W
08/21/1998 00:08:59     18.755 N     61.357 W
08/21/1998 00:10:59     18.759 N     61.366 W
08/21/1998 00:13:00     18.762 N     61.375 W
08/21/1998 00:15:00     18.765 N     61.384 W
08/21/1998 00:16:59     18.769 N     61.393 W
08/21/1998 00:19:00     18.772 N     61.402 W
08/21/1998 00:21:00     18.775 N     61.411 W
08/21/1998 00:22:59     18.779 N     61.421 W
08/21/1998 00:24:59     18.782 N     61.430 W
08/21/1998 00:27:00     18.786 N     61.439 W
08/21/1998 00:29:00     18.789 N     61.448 W
08/21/1998 00:30:59     18.792 N     61.457 W
08/21/1998 00:32:59     18.795 N     61.466 W
08/21/1998 00:35:00     18.799 N     61.475 W
08/21/1998 00:37:00     18.802 N     61.484 W
08/21/1998 00:38:59     18.805 N     61.493 W
08/21/1998 00:40:59     18.809 N     61.502 W
08/21/1998 00:43:00     18.812 N     61.511 W
08/21/1998 00:45:00     18.815 N     61.520 W
08/21/1998 00:46:59     18.818 N     61.529 W
08/21/1998 00:49:00     18.822 N     61.538 W
08/21/1998 00:51:00     18.825 N     61.547 W
08/21/1998 00:52:59     18.828 N     61.557 W
08/21/1998 00:54:59     18.831 N     61.566 W
08/21/1998 00:57:00     18.835 N     61.575 W
08/21/1998 00:59:00     18.838 N     61.584 W
08/21/1998 01:00:59     18.841 N     61.593 W
08/21/1998 01:02:59     18.844 N     61.602 W
08/21/1998 01:05:00     18.848 N     61.611 W
08/21/1998 01:07:00     18.851 N     61.620 W
08/21/1998 01:08:59     18.854 N     61.629 W
08/21/1998 01:10:59     18.857 N     61.638 W
08/21/1998 01:13:00     18.860 N     61.647 W
08/21/1998 01:15:00     18.863 N     61.656 W
08/21/1998 01:16:59     18.867 N     61.665 W
08/21/1998 01:19:00     18.870 N     61.674 W
08/21/1998 01:21:00     18.873 N     61.683 W
08/21/1998 01:22:59     18.876 N     61.692 W
08/21/1998 01:24:59     18.879 N     61.701 W
08/21/1998 01:27:00     18.882 N     61.710 W
08/21/1998 01:29:00     18.885 N     61.719 W
08/21/1998 01:30:59     18.888 N     61.728 W
08/21/1998 01:32:59     18.892 N     61.737 W
08/21/1998 01:35:00     18.895 N     61.746 W
08/21/1998 01:37:00     18.898 N     61.755 W
08/21/1998 01:38:59     18.901 N     61.764 W
08/21/1998 01:40:59     18.904 N     61.773 W
08/21/1998 01:43:00     18.907 N     61.782 W
08/21/1998 01:45:00     18.910 N     61.791 W
08/21/1998 01:46:59     18.913 N     61.800 W
08/21/1998 01:49:00     18.916 N     61.809 W
08/21/1998 01:51:00     18.919 N     61.818 W
08/21/1998 01:52:59     18.922 N     61.827 W
08/21/1998 01:54:59     18.925 N     61.836 W
08/21/1998 01:57:00     18.928 N     61.845 W
08/21/1998 01:59:00     18.931 N     61.854 W
08/21/1998 02:00:59     18.934 N     61.863 W
08/21/1998 02:02:59     18.937 N     61.872 W
08/21/1998 02:05:00     18.940 N     61.881 W
08/21/1998 02:07:00     18.943 N     61.890 W
08/21/1998 02:08:59     18.945 N     61.899 W
08/21/1998 02:10:59     18.948 N     61.908 W
08/21/1998 02:13:00     18.951 N     61.917 W
08/21/1998 02:15:00     18.954 N     61.926 W
08/21/1998 02:16:59     18.957 N     61.935 W
08/21/1998 02:19:00     18.960 N     61.944 W
08/21/1998 02:21:00     18.963 N     61.953 W
08/21/1998 02:22:59     18.966 N     61.962 W
08/21/1998 02:24:59     18.968 N     61.971 W
08/21/1998 02:27:00     18.971 N     61.980 W
08/21/1998 02:29:00     18.974 N     61.989 W
08/21/1998 02:30:59     18.977 N     61.998 W
08/21/1998 02:32:59     18.980 N     62.007 W
08/21/1998 02:35:00     18.982 N     62.016 W
08/21/1998 02:37:00     18.985 N     62.025 W
08/21/1998 02:38:59     18.988 N     62.034 W
08/21/1998 02:40:59     18.991 N     62.043 W
08/21/1998 02:43:00     18.993 N     62.052 W
08/21/1998 02:45:00     18.996 N     62.061 W
