Track for Bret                 1999
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/18/1999 19:45:59     20.111 N     93.570 W
08/18/1999 19:47:59     20.107 N     93.575 W
08/18/1999 19:50:00     20.104 N     93.579 W
08/18/1999 19:52:00     20.100 N     93.583 W
08/18/1999 19:53:59     20.096 N     93.587 W
08/18/1999 19:55:59     20.093 N     93.591 W
08/18/1999 19:58:00     20.089 N     93.596 W
08/18/1999 20:00:00     20.085 N     93.600 W
08/18/1999 20:01:59     20.082 N     93.604 W
08/18/1999 20:04:00     20.078 N     93.608 W
08/18/1999 20:06:00     20.074 N     93.612 W
08/18/1999 20:07:59     20.070 N     93.617 W
08/18/1999 20:09:59     20.066 N     93.621 W
08/18/1999 20:12:00     20.063 N     93.625 W
08/18/1999 20:14:00     20.059 N     93.630 W
08/18/1999 20:15:59     20.055 N     93.634 W
08/18/1999 20:17:59     20.051 N     93.639 W
08/18/1999 20:20:00     20.047 N     93.643 W
08/18/1999 20:22:00     20.043 N     93.647 W
08/18/1999 20:23:59     20.039 N     93.652 W
08/18/1999 20:25:59     20.035 N     93.657 W
08/18/1999 20:28:00     20.031 N     93.661 W
08/18/1999 20:30:00     20.027 N     93.666 W
08/18/1999 20:31:59     20.022 N     93.671 W
08/18/1999 20:34:00     20.018 N     93.676 W
08/18/1999 20:36:00     20.014 N     93.681 W
08/18/1999 20:37:59     20.009 N     93.686 W
08/18/1999 20:39:59     20.005 N     93.691 W
08/18/1999 20:42:00     20.000 N     93.696 W
08/18/1999 20:44:00     19.996 N     93.701 W
08/18/1999 20:45:59     19.991 N     93.706 W
08/18/1999 20:47:59     19.986 N     93.712 W
08/18/1999 20:50:00     19.981 N     93.717 W
08/18/1999 20:52:00     19.976 N     93.723 W
08/18/1999 20:53:59     19.971 N     93.728 W
08/18/1999 20:55:59     19.966 N     93.734 W
08/18/1999 20:58:00     19.961 N     93.740 W
08/18/1999 21:00:00     19.956 N     93.746 W
08/18/1999 21:01:59     19.950 N     93.752 W
08/18/1999 21:04:00     19.945 N     93.758 W
08/18/1999 21:06:00     19.939 N     93.764 W
08/18/1999 21:07:59     19.933 N     93.771 W
08/18/1999 21:09:59     19.928 N     93.777 W
08/18/1999 21:12:00     19.922 N     93.784 W
08/18/1999 21:14:00     19.916 N     93.790 W
08/18/1999 21:15:59     19.909 N     93.797 W
08/18/1999 21:17:59     19.903 N     93.804 W
08/18/1999 21:20:00     19.897 N     93.812 W
08/18/1999 21:22:00     19.890 N     93.819 W
08/18/1999 21:23:59     19.883 N     93.826 W
08/18/1999 21:25:59     19.877 N     93.834 W
08/18/1999 21:28:00     19.870 N     93.842 W
08/18/1999 21:30:00     19.863 N     93.849 W
08/18/1999 21:31:59     19.855 N     93.857 W
08/18/1999 21:34:00     19.848 N     93.866 W
08/18/1999 21:36:00     19.840 N     93.874 W
08/18/1999 21:37:59     19.833 N     93.882 W
08/18/1999 21:39:59     19.825 N     93.891 W
08/18/1999 21:42:00     19.817 N     93.900 W
08/18/1999 21:44:00     19.809 N     93.909 W
08/18/1999 21:45:59     19.801 N     93.918 W
08/18/1999 21:47:59     19.792 N     93.928 W
08/18/1999 21:50:00     19.783 N     93.937 W
08/18/1999 21:52:00     19.775 N     93.947 W
08/18/1999 21:53:59     19.766 N     93.957 W
08/18/1999 21:55:59     19.757 N     93.967 W
08/18/1999 21:58:00     19.747 N     93.977 W
08/18/1999 22:00:00     19.738 N     93.988 W
08/18/1999 22:01:59     19.728 N     93.998 W
08/18/1999 22:04:00     19.718 N     94.009 W
08/18/1999 22:06:00     19.708 N     94.020 W
08/18/1999 22:07:59     19.698 N     94.032 W
08/18/1999 22:09:59     19.687 N     94.043 W
08/18/1999 22:12:00     19.677 N     94.055 W
08/18/1999 22:14:00     19.666 N     94.067 W
