Track for Danny                2009
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/25/2009 23:09:05     21.959 N     67.498 W
08/25/2009 23:11:05     21.966 N     67.506 W
08/25/2009 23:13:06     21.974 N     67.513 W
08/25/2009 23:15:06     21.981 N     67.520 W
08/25/2009 23:17:05     21.988 N     67.527 W
08/25/2009 23:19:05     21.996 N     67.534 W
08/25/2009 23:21:06     22.003 N     67.542 W
08/25/2009 23:23:06     22.010 N     67.549 W
08/25/2009 23:25:05     22.017 N     67.556 W
08/25/2009 23:27:05     22.025 N     67.563 W
08/25/2009 23:29:06     22.032 N     67.570 W
08/25/2009 23:31:06     22.039 N     67.577 W
08/25/2009 23:33:05     22.047 N     67.585 W
08/25/2009 23:35:05     22.054 N     67.592 W
08/25/2009 23:37:06     22.061 N     67.599 W
08/25/2009 23:39:05     22.068 N     67.606 W
08/25/2009 23:41:05     22.076 N     67.613 W
08/25/2009 23:43:06     22.083 N     67.620 W
08/25/2009 23:45:06     22.090 N     67.628 W
08/25/2009 23:47:05     22.098 N     67.635 W
08/25/2009 23:49:05     22.105 N     67.642 W
08/25/2009 23:51:06     22.112 N     67.649 W
08/25/2009 23:53:06     22.119 N     67.656 W
08/25/2009 23:55:05     22.127 N     67.663 W
08/25/2009 23:57:05     22.134 N     67.671 W
08/25/2009 00:00:06     22.141 N     67.678 W
08/26/2009 00:01:06     22.149 N     67.685 W
08/26/2009 00:03:05     22.156 N     67.692 W
08/26/2009 00:05:05     22.163 N     67.699 W
08/26/2009 00:07:06     22.170 N     67.707 W
08/26/2009 00:09:05     22.178 N     67.714 W
08/26/2009 00:11:05     22.185 N     67.721 W
08/26/2009 00:13:06     22.192 N     67.728 W
08/26/2009 00:15:06     22.199 N     67.735 W
08/26/2009 00:17:05     22.207 N     67.742 W
08/26/2009 00:19:05     22.214 N     67.750 W
08/26/2009 00:21:06     22.221 N     67.757 W
