Track for Darby                2016
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
07/22/2016 11:53:59     18.491 N    149.276 W
07/22/2016 11:56:00     18.494 N    149.284 W
07/22/2016 11:57:59     18.497 N    149.292 W
07/22/2016 12:00:00     18.500 N    149.300 W
07/22/2016 12:02:00     18.503 N    149.308 W
07/22/2016 12:03:59     18.506 N    149.316 W
07/22/2016 12:06:00     18.509 N    149.324 W
07/22/2016 12:07:59     18.512 N    149.332 W
07/22/2016 12:10:00     18.515 N    149.340 W
07/22/2016 12:11:59     18.518 N    149.349 W
07/22/2016 12:14:00     18.521 N    149.357 W
07/22/2016 12:15:59     18.524 N    149.365 W
07/22/2016 12:18:00     18.527 N    149.373 W
07/22/2016 12:19:59     18.530 N    149.381 W
07/22/2016 12:22:00     18.533 N    149.389 W
07/22/2016 12:23:59     18.536 N    149.397 W
07/22/2016 12:26:00     18.539 N    149.405 W
07/22/2016 12:27:59     18.542 N    149.413 W
07/22/2016 12:30:00     18.545 N    149.421 W
07/22/2016 12:32:00     18.547 N    149.429 W
07/22/2016 12:33:59     18.550 N    149.437 W
07/22/2016 12:36:00     18.553 N    149.446 W
07/22/2016 12:37:59     18.556 N    149.454 W
07/22/2016 12:40:00     18.559 N    149.462 W
07/22/2016 12:41:59     18.562 N    149.470 W
07/22/2016 12:44:00     18.565 N    149.478 W
07/22/2016 12:45:59     18.568 N    149.486 W
07/22/2016 12:48:00     18.571 N    149.494 W
07/22/2016 12:49:59     18.574 N    149.502 W
07/22/2016 12:52:00     18.577 N    149.510 W
07/22/2016 12:53:59     18.580 N    149.518 W
07/22/2016 12:56:00     18.582 N    149.526 W
07/22/2016 12:57:59     18.585 N    149.534 W
07/22/2016 13:00:00     18.588 N    149.542 W
07/22/2016 13:02:00     18.591 N    149.550 W
07/22/2016 13:03:59     18.594 N    149.558 W
07/22/2016 13:06:00     18.597 N    149.566 W
07/22/2016 13:07:59     18.599 N    149.574 W
07/22/2016 13:10:00     18.602 N    149.582 W
07/22/2016 13:11:59     18.605 N    149.590 W
07/22/2016 13:14:00     18.608 N    149.598 W
07/22/2016 13:15:59     18.611 N    149.606 W
07/22/2016 13:18:00     18.613 N    149.614 W
07/22/2016 13:19:59     18.616 N    149.622 W
07/22/2016 13:22:00     18.619 N    149.630 W
07/22/2016 13:23:59     18.622 N    149.638 W
07/22/2016 13:26:00     18.624 N    149.646 W
07/22/2016 13:27:59     18.627 N    149.654 W
07/22/2016 13:30:00     18.630 N    149.662 W
07/22/2016 13:32:00     18.633 N    149.670 W
07/22/2016 13:33:59     18.635 N    149.678 W
07/22/2016 13:36:00     18.638 N    149.686 W
07/22/2016 13:37:59     18.641 N    149.694 W
07/22/2016 13:40:00     18.643 N    149.702 W
07/22/2016 13:41:59     18.646 N    149.710 W
07/22/2016 13:44:00     18.648 N    149.718 W
07/22/2016 13:45:59     18.651 N    149.725 W
07/22/2016 13:48:00     18.654 N    149.733 W
07/22/2016 13:49:59     18.656 N    149.741 W
07/22/2016 13:52:00     18.659 N    149.749 W
07/22/2016 13:53:59     18.661 N    149.757 W
07/22/2016 13:56:00     18.664 N    149.765 W
07/22/2016 13:57:59     18.666 N    149.773 W
07/22/2016 14:00:00     18.669 N    149.780 W
07/22/2016 14:02:00     18.671 N    149.788 W
07/22/2016 14:03:59     18.674 N    149.796 W
07/22/2016 14:06:00     18.676 N    149.804 W
07/22/2016 14:07:59     18.678 N    149.812 W
07/22/2016 14:10:00     18.681 N    149.820 W
07/22/2016 14:11:59     18.683 N    149.827 W
07/22/2016 14:14:00     18.686 N    149.835 W
07/22/2016 14:15:59     18.688 N    149.843 W
07/22/2016 14:18:00     18.690 N    149.851 W
07/22/2016 14:19:59     18.693 N    149.858 W
07/22/2016 14:22:00     18.695 N    149.866 W
07/22/2016 14:23:59     18.697 N    149.874 W
07/22/2016 14:26:00     18.699 N    149.882 W
07/22/2016 14:27:59     18.702 N    149.889 W
07/22/2016 14:30:00     18.704 N    149.897 W
07/22/2016 14:32:00     18.706 N    149.905 W
07/22/2016 14:33:59     18.708 N    149.912 W
07/22/2016 14:36:00     18.710 N    149.920 W
07/22/2016 14:37:59     18.712 N    149.928 W
07/22/2016 14:40:00     18.715 N    149.935 W
07/22/2016 14:41:59     18.717 N    149.943 W
07/22/2016 14:44:00     18.719 N    149.951 W
07/22/2016 14:45:59     18.721 N    149.958 W
07/22/2016 14:48:00     18.723 N    149.966 W
07/22/2016 14:49:59     18.725 N    149.973 W
07/22/2016 14:52:00     18.727 N    149.981 W
07/22/2016 14:53:59     18.729 N    149.988 W
07/22/2016 14:56:00     18.730 N    149.996 W
07/22/2016 14:57:59     18.732 N    150.003 W
07/22/2016 15:00:00     18.734 N    150.011 W
07/22/2016 15:02:00     18.736 N    150.019 W
07/22/2016 15:03:59     18.738 N    150.026 W
07/22/2016 15:06:00     18.740 N    150.033 W
07/22/2016 15:07:59     18.741 N    150.041 W
07/22/2016 15:10:00     18.743 N    150.048 W
07/22/2016 15:11:59     18.745 N    150.056 W
07/22/2016 15:14:00     18.746 N    150.063 W
07/22/2016 15:15:59     18.748 N    150.071 W
07/22/2016 15:18:00     18.750 N    150.078 W
07/22/2016 15:19:59     18.751 N    150.085 W
07/22/2016 15:22:00     18.753 N    150.093 W
07/22/2016 15:23:59     18.754 N    150.100 W
07/22/2016 15:26:00     18.756 N    150.108 W
07/22/2016 15:27:59     18.757 N    150.115 W
07/22/2016 15:30:00     18.759 N    150.122 W
07/22/2016 15:32:00     18.760 N    150.129 W
07/22/2016 15:33:59     18.762 N    150.137 W
07/22/2016 15:36:00     18.763 N    150.144 W
07/22/2016 15:37:59     18.764 N    150.151 W
07/22/2016 15:40:00     18.766 N    150.158 W
07/22/2016 15:41:59     18.767 N    150.166 W
07/22/2016 15:44:00     18.768 N    150.173 W
07/22/2016 15:45:59     18.769 N    150.180 W
07/22/2016 15:48:00     18.771 N    150.187 W
07/22/2016 15:49:59     18.772 N    150.194 W
07/22/2016 15:52:00     18.773 N    150.202 W
07/22/2016 15:53:59     18.774 N    150.209 W
07/22/2016 15:56:00     18.775 N    150.216 W
07/22/2016 15:57:59     18.776 N    150.223 W
07/22/2016 16:00:00     18.777 N    150.230 W
07/22/2016 16:01:59     18.778 N    150.237 W
07/22/2016 16:04:00     18.779 N    150.244 W
07/22/2016 16:06:00     18.780 N    150.251 W
07/22/2016 16:07:59     18.781 N    150.258 W
07/22/2016 16:09:59     18.781 N    150.265 W
07/22/2016 16:12:00     18.782 N    150.272 W
07/22/2016 16:14:00     18.783 N    150.279 W
07/22/2016 16:15:59     18.784 N    150.286 W
07/22/2016 16:17:59     18.784 N    150.293 W
07/22/2016 16:20:00     18.785 N    150.300 W
07/22/2016 16:22:00     18.785 N    150.307 W
07/22/2016 16:23:59     18.786 N    150.313 W
07/22/2016 16:25:59     18.787 N    150.320 W
07/22/2016 16:28:00     18.787 N    150.327 W
07/22/2016 16:30:00     18.787 N    150.334 W
07/22/2016 16:31:59     18.788 N    150.341 W
07/22/2016 16:34:00     18.788 N    150.347 W
07/22/2016 16:36:00     18.789 N    150.354 W
07/22/2016 16:37:59     18.789 N    150.361 W
07/22/2016 16:39:59     18.789 N    150.368 W
07/22/2016 16:42:00     18.789 N    150.374 W
07/22/2016 16:44:00     18.790 N    150.381 W
07/22/2016 16:45:59     18.790 N    150.387 W
07/22/2016 16:47:59     18.790 N    150.394 W
07/22/2016 16:50:00     18.790 N    150.401 W
07/22/2016 16:52:00     18.790 N    150.407 W
07/22/2016 16:53:59     18.790 N    150.414 W
07/22/2016 16:55:59     18.790 N    150.420 W
07/22/2016 16:58:00     18.790 N    150.427 W
07/22/2016 17:00:00     18.789 N    150.433 W
07/22/2016 17:01:59     18.789 N    150.440 W
07/22/2016 17:04:00     18.789 N    150.446 W
07/22/2016 17:06:00     18.789 N    150.453 W
07/22/2016 17:07:59     18.788 N    150.459 W
07/22/2016 17:09:59     18.788 N    150.465 W
07/22/2016 17:12:00     18.788 N    150.472 W
07/22/2016 17:14:00     18.787 N    150.478 W
07/22/2016 17:15:59     18.787 N    150.485 W
07/22/2016 17:17:59     18.786 N    150.491 W
07/22/2016 17:20:00     18.786 N    150.497 W
07/22/2016 17:22:00     18.785 N    150.503 W
07/22/2016 17:23:59     18.784 N    150.510 W
07/22/2016 17:25:59     18.784 N    150.516 W
07/22/2016 17:28:00     18.783 N    150.522 W
07/22/2016 17:30:00     18.782 N    150.528 W
07/22/2016 17:31:59     18.781 N    150.534 W
07/22/2016 17:34:00     18.780 N    150.540 W
07/22/2016 17:36:00     18.779 N    150.546 W
07/22/2016 17:37:59     18.778 N    150.552 W
07/22/2016 17:39:59     18.777 N    150.558 W
07/22/2016 17:42:00     18.776 N    150.564 W
07/22/2016 17:44:00     18.775 N    150.570 W
07/22/2016 17:45:59     18.774 N    150.576 W
07/22/2016 17:47:59     18.773 N    150.582 W
07/22/2016 17:50:00     18.771 N    150.588 W
07/22/2016 17:52:00     18.770 N    150.594 W
07/22/2016 17:53:59     18.769 N    150.600 W
07/22/2016 17:55:59     18.767 N    150.606 W
07/22/2016 17:58:00     18.766 N    150.612 W
07/22/2016 18:00:00     18.764 N    150.617 W
07/22/2016 18:01:59     18.763 N    150.623 W
07/22/2016 18:04:00     18.761 N    150.629 W
07/22/2016 18:06:00     18.759 N    150.635 W
07/22/2016 18:07:59     18.758 N    150.640 W
07/22/2016 18:09:59     18.756 N    150.646 W
07/22/2016 18:12:00     18.754 N    150.652 W
07/22/2016 18:14:00     18.752 N    150.657 W
07/22/2016 18:15:59     18.750 N    150.663 W
07/22/2016 18:17:59     18.748 N    150.668 W
07/22/2016 18:20:00     18.746 N    150.674 W
07/22/2016 18:22:00     18.744 N    150.679 W
07/22/2016 18:23:59     18.742 N    150.685 W
07/22/2016 18:25:59     18.740 N    150.690 W
07/22/2016 18:28:00     18.737 N    150.696 W
07/22/2016 18:30:00     18.735 N    150.701 W
07/22/2016 18:31:59     18.733 N    150.706 W
07/22/2016 18:34:00     18.730 N    150.712 W
07/22/2016 18:36:00     18.728 N    150.717 W
07/22/2016 18:37:59     18.725 N    150.722 W
07/22/2016 18:39:59     18.723 N    150.728 W
07/22/2016 18:42:00     18.720 N    150.733 W
07/22/2016 18:44:00     18.717 N    150.738 W
07/22/2016 18:45:59     18.714 N    150.743 W
07/22/2016 18:47:59     18.712 N    150.748 W
07/22/2016 18:50:00     18.709 N    150.753 W
07/22/2016 18:52:00     18.706 N    150.758 W
07/22/2016 18:53:59     18.703 N    150.763 W
07/22/2016 18:55:59     18.700 N    150.768 W
07/22/2016 18:58:00     18.697 N    150.773 W
07/22/2016 19:00:00     18.694 N    150.778 W
07/22/2016 19:01:59     18.690 N    150.783 W
07/22/2016 19:04:00     18.687 N    150.788 W
07/22/2016 19:06:00     18.684 N    150.793 W
07/22/2016 19:07:59     18.680 N    150.798 W
07/22/2016 19:09:59     18.677 N    150.803 W
07/22/2016 19:12:00     18.673 N    150.807 W
07/22/2016 19:14:00     18.670 N    150.812 W
07/22/2016 19:15:59     18.666 N    150.817 W
07/22/2016 19:17:59     18.662 N    150.821 W
07/22/2016 19:20:00     18.659 N    150.826 W
07/22/2016 19:22:00     18.655 N    150.831 W
07/22/2016 19:23:59     18.651 N    150.835 W
07/22/2016 19:25:59     18.647 N    150.840 W
07/22/2016 19:28:00     18.643 N    150.844 W
07/22/2016 19:30:00     18.639 N    150.849 W
07/22/2016 19:31:59     18.635 N    150.853 W
07/22/2016 19:34:00     18.631 N    150.858 W
07/22/2016 19:36:00     18.626 N    150.862 W
07/22/2016 19:37:59     18.622 N    150.866 W
07/22/2016 19:39:59     18.618 N    150.871 W
07/22/2016 19:42:00     18.613 N    150.875 W
07/22/2016 19:44:00     18.609 N    150.879 W
07/22/2016 19:45:59     18.604 N    150.883 W
07/22/2016 19:47:59     18.599 N    150.888 W
07/22/2016 19:50:00     18.595 N    150.892 W
07/22/2016 19:52:00     18.590 N    150.896 W
07/22/2016 19:53:59     18.585 N    150.900 W
07/22/2016 19:55:59     18.580 N    150.904 W
07/22/2016 19:58:00     18.575 N    150.908 W
07/22/2016 20:00:00     18.570 N    150.912 W
07/22/2016 20:01:59     18.565 N    150.916 W
07/22/2016 20:04:00     18.560 N    150.920 W
07/22/2016 20:06:00     18.554 N    150.924 W
07/22/2016 20:07:59     18.549 N    150.928 W
07/22/2016 20:09:59     18.544 N    150.931 W
07/22/2016 20:12:00     18.538 N    150.935 W
07/22/2016 20:14:00     18.533 N    150.939 W
07/22/2016 20:15:59     18.527 N    150.943 W
07/22/2016 20:17:59     18.521 N    150.946 W
07/22/2016 20:20:00     18.516 N    150.950 W
07/22/2016 20:22:00     18.510 N    150.954 W
07/22/2016 20:23:59     18.504 N    150.957 W
07/22/2016 20:25:59     18.498 N    150.961 W
07/22/2016 20:28:00     18.492 N    150.964 W
07/22/2016 20:30:00     18.486 N    150.968 W
07/22/2016 20:31:59     18.480 N    150.971 W
07/22/2016 20:32:35     18.478 N    150.972 W
07/22/2016 20:34:35     18.475 N    150.977 W
07/22/2016 20:36:34     18.472 N    150.981 W
07/22/2016 20:38:34     18.468 N    150.986 W
07/22/2016 20:40:35     18.465 N    150.991 W
07/22/2016 20:42:35     18.462 N    150.996 W
07/22/2016 20:44:34     18.459 N    151.001 W
07/22/2016 20:46:34     18.456 N    151.005 W
07/22/2016 20:48:35     18.453 N    151.010 W
07/22/2016 20:50:35     18.450 N    151.015 W
07/22/2016 20:52:34     18.447 N    151.020 W
07/22/2016 20:54:34     18.445 N    151.025 W
07/22/2016 20:56:35     18.442 N    151.029 W
07/22/2016 20:58:35     18.439 N    151.034 W
07/22/2016 21:00:34     18.436 N    151.039 W
07/22/2016 21:02:35     18.434 N    151.044 W
07/22/2016 21:04:35     18.431 N    151.049 W
07/22/2016 21:06:34     18.428 N    151.054 W
07/22/2016 21:08:34     18.426 N    151.059 W
07/22/2016 21:10:35     18.423 N    151.064 W
07/22/2016 21:12:35     18.421 N    151.068 W
07/22/2016 21:14:34     18.418 N    151.073 W
07/22/2016 21:16:34     18.416 N    151.078 W
07/22/2016 21:18:35     18.414 N    151.083 W
07/22/2016 21:20:35     18.412 N    151.088 W
07/22/2016 21:22:34     18.409 N    151.093 W
07/22/2016 21:24:34     18.407 N    151.098 W
07/22/2016 21:26:35     18.405 N    151.103 W
07/22/2016 21:28:35     18.403 N    151.108 W
07/22/2016 21:30:34     18.401 N    151.113 W
07/22/2016 21:32:35     18.399 N    151.119 W
07/22/2016 21:34:35     18.397 N    151.124 W
07/22/2016 21:36:34     18.395 N    151.129 W
07/22/2016 21:38:34     18.393 N    151.134 W
07/22/2016 21:40:35     18.392 N    151.139 W
07/22/2016 21:42:35     18.390 N    151.144 W
07/22/2016 21:44:34     18.388 N    151.149 W
07/22/2016 21:46:34     18.387 N    151.154 W
07/22/2016 21:48:35     18.385 N    151.160 W
07/22/2016 21:50:35     18.384 N    151.165 W
07/22/2016 21:52:34     18.382 N    151.170 W
07/22/2016 21:54:34     18.381 N    151.175 W
07/22/2016 21:56:35     18.380 N    151.181 W
07/22/2016 21:58:35     18.378 N    151.186 W
07/22/2016 22:00:34     18.377 N    151.191 W
07/22/2016 22:02:35     18.376 N    151.196 W
07/22/2016 22:04:35     18.375 N    151.202 W
07/22/2016 22:06:34     18.374 N    151.207 W
07/22/2016 22:08:34     18.373 N    151.212 W
07/22/2016 22:10:35     18.372 N    151.218 W
07/22/2016 22:12:35     18.371 N    151.223 W
07/22/2016 22:14:34     18.371 N    151.228 W
07/22/2016 22:16:34     18.370 N    151.234 W
07/22/2016 22:18:35     18.369 N    151.239 W
07/22/2016 22:20:35     18.369 N    151.245 W
07/22/2016 22:22:34     18.368 N    151.250 W
07/22/2016 22:24:34     18.368 N    151.256 W
07/22/2016 22:26:35     18.368 N    151.261 W
07/22/2016 22:28:35     18.367 N    151.267 W
07/22/2016 22:30:34     18.367 N    151.272 W
07/22/2016 22:32:35     18.367 N    151.278 W
07/22/2016 22:34:35     18.367 N    151.283 W
07/22/2016 22:36:34     18.367 N    151.289 W
07/22/2016 22:38:34     18.367 N    151.295 W
07/22/2016 22:40:35     18.367 N    151.300 W
07/22/2016 22:42:35     18.367 N    151.306 W
07/22/2016 22:44:34     18.367 N    151.312 W
07/22/2016 22:46:34     18.367 N    151.317 W
07/22/2016 22:48:35     18.368 N    151.323 W
07/22/2016 22:50:35     18.368 N    151.329 W
07/22/2016 22:52:34     18.368 N    151.334 W
07/22/2016 22:54:34     18.369 N    151.340 W
07/22/2016 22:56:35     18.369 N    151.346 W
07/22/2016 22:58:35     18.370 N    151.352 W
07/22/2016 23:00:34     18.371 N    151.357 W
07/22/2016 23:02:35     18.371 N    151.363 W
07/22/2016 23:04:35     18.372 N    151.369 W
07/22/2016 23:06:34     18.373 N    151.375 W
07/22/2016 23:08:34     18.374 N    151.381 W
07/22/2016 23:10:35     18.375 N    151.386 W
07/22/2016 23:12:35     18.375 N    151.392 W
07/22/2016 23:14:34     18.376 N    151.398 W
07/22/2016 23:16:34     18.377 N    151.404 W
07/22/2016 23:18:35     18.379 N    151.410 W
07/22/2016 23:20:35     18.380 N    151.416 W
07/22/2016 23:22:34     18.381 N    151.422 W
07/22/2016 23:24:34     18.382 N    151.428 W
07/22/2016 23:26:35     18.383 N    151.433 W
07/22/2016 23:28:35     18.385 N    151.439 W
07/22/2016 23:30:34     18.386 N    151.445 W
07/22/2016 23:32:35     18.387 N    151.451 W
07/22/2016 23:34:35     18.389 N    151.457 W
07/22/2016 23:36:34     18.390 N    151.463 W
07/22/2016 23:38:34     18.392 N    151.469 W
07/22/2016 23:40:35     18.393 N    151.475 W
07/22/2016 23:42:35     18.395 N    151.481 W
07/22/2016 23:44:34     18.396 N    151.487 W
07/22/2016 23:46:34     18.398 N    151.493 W
07/22/2016 23:48:35     18.399 N    151.499 W
07/22/2016 23:50:35     18.401 N    151.505 W
07/22/2016 23:52:34     18.403 N    151.511 W
07/22/2016 23:54:34     18.405 N    151.517 W
07/22/2016 23:56:35     18.406 N    151.524 W
07/22/2016 23:58:35     18.408 N    151.530 W
07/23/2016 00:00:34     18.410 N    151.536 W
07/23/2016 00:02:35     18.412 N    151.542 W
07/23/2016 00:04:35     18.414 N    151.548 W
07/23/2016 00:06:34     18.416 N    151.554 W
07/23/2016 00:08:34     18.418 N    151.560 W
07/23/2016 00:10:35     18.420 N    151.566 W
07/23/2016 00:12:35     18.422 N    151.572 W
07/23/2016 00:14:34     18.424 N    151.578 W
07/23/2016 00:16:34     18.426 N    151.584 W
07/23/2016 00:18:35     18.428 N    151.591 W
