Track for DENNIS               1999
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/24/1999 11:53:59     22.395 N     70.000 W
08/24/1999 11:56:00     22.397 N     70.000 W
08/24/1999 11:57:59     22.398 N     70.000 W
08/24/1999 12:00:00     22.400 N     70.000 W
08/24/1999 12:02:00     22.402 N     70.000 W
08/24/1999 12:03:59     22.403 N     70.000 W
08/24/1999 12:06:00     22.405 N     70.000 W
08/24/1999 12:07:59     22.406 N     70.000 W
08/24/1999 12:10:00     22.408 N     69.999 W
08/24/1999 12:11:59     22.409 N     69.999 W
08/24/1999 12:14:00     22.411 N     69.999 W
08/24/1999 12:15:59     22.413 N     69.999 W
08/24/1999 12:18:00     22.414 N     69.999 W
08/24/1999 12:19:59     22.416 N     69.999 W
08/24/1999 12:22:00     22.417 N     69.999 W
08/24/1999 12:23:59     22.419 N     69.999 W
08/24/1999 12:26:00     22.421 N     70.000 W
08/24/1999 12:27:59     22.422 N     70.000 W
08/24/1999 12:30:00     22.424 N     70.000 W
08/24/1999 12:32:00     22.425 N     70.000 W
08/24/1999 12:33:59     22.427 N     70.000 W
08/24/1999 12:36:00     22.429 N     70.001 W
08/24/1999 12:37:59     22.430 N     70.001 W
08/24/1999 12:40:00     22.432 N     70.001 W
08/24/1999 12:41:59     22.433 N     70.002 W
08/24/1999 12:44:00     22.435 N     70.002 W
08/24/1999 12:45:59     22.437 N     70.003 W
08/24/1999 12:48:00     22.438 N     70.003 W
08/24/1999 12:49:59     22.440 N     70.004 W
08/24/1999 12:52:00     22.442 N     70.005 W
08/24/1999 12:53:59     22.443 N     70.006 W
08/24/1999 12:56:00     22.445 N     70.007 W
08/24/1999 12:57:59     22.447 N     70.008 W
08/24/1999 13:00:00     22.448 N     70.009 W
08/24/1999 13:02:00     22.450 N     70.010 W
08/24/1999 13:03:59     22.452 N     70.011 W
08/24/1999 13:06:00     22.454 N     70.012 W
08/24/1999 13:07:59     22.455 N     70.014 W
08/24/1999 13:10:00     22.457 N     70.015 W
08/24/1999 13:11:59     22.459 N     70.017 W
08/24/1999 13:14:00     22.461 N     70.018 W
08/24/1999 13:15:59     22.462 N     70.020 W
08/24/1999 13:18:00     22.464 N     70.022 W
08/24/1999 13:19:59     22.466 N     70.024 W
08/24/1999 13:22:00     22.468 N     70.026 W
08/24/1999 13:23:59     22.469 N     70.028 W
08/24/1999 13:26:00     22.471 N     70.031 W
08/24/1999 13:27:59     22.473 N     70.033 W
08/24/1999 13:30:00     22.475 N     70.036 W
08/24/1999 13:32:00     22.477 N     70.038 W
08/24/1999 13:33:59     22.479 N     70.041 W
08/24/1999 13:36:00     22.481 N     70.044 W
08/24/1999 13:37:59     22.482 N     70.047 W
08/24/1999 13:40:00     22.484 N     70.050 W
08/24/1999 13:41:59     22.486 N     70.054 W
08/24/1999 13:44:00     22.488 N     70.057 W
08/24/1999 13:45:59     22.490 N     70.061 W
08/24/1999 13:48:00     22.492 N     70.064 W
08/24/1999 13:49:59     22.494 N     70.068 W
08/24/1999 13:52:00     22.496 N     70.072 W
08/24/1999 13:53:59     22.498 N     70.076 W
08/24/1999 13:56:00     22.500 N     70.081 W
08/24/1999 13:57:59     22.502 N     70.085 W
08/24/1999 14:00:00     22.504 N     70.090 W
08/24/1999 14:02:00     22.506 N     70.095 W
08/24/1999 14:03:59     22.508 N     70.100 W
08/24/1999 14:06:00     22.510 N     70.105 W
08/24/1999 14:07:59     22.512 N     70.110 W
08/24/1999 14:10:00     22.515 N     70.116 W
08/24/1999 14:11:59     22.517 N     70.121 W
08/24/1999 14:14:00     22.519 N     70.127 W
08/24/1999 14:15:59     22.521 N     70.133 W
08/24/1999 14:18:00     22.523 N     70.139 W
08/24/1999 14:19:59     22.525 N     70.146 W
08/24/1999 14:22:00     22.528 N     70.152 W
08/24/1999 14:23:59     22.530 N     70.159 W
08/24/1999 14:26:00     22.532 N     70.166 W
08/24/1999 14:27:59     22.535 N     70.173 W
08/24/1999 14:30:00     22.537 N     70.181 W
08/24/1999 14:32:00     22.539 N     70.188 W
08/24/1999 14:33:59     22.542 N     70.196 W
08/24/1999 14:36:00     22.544 N     70.204 W
08/24/1999 14:37:59     22.546 N     70.212 W
08/24/1999 14:40:00     22.549 N     70.220 W
08/24/1999 14:41:59     22.551 N     70.229 W
08/24/1999 14:44:00     22.554 N     70.238 W
08/24/1999 14:45:59     22.556 N     70.247 W
08/24/1999 14:48:00     22.559 N     70.256 W
08/24/1999 14:49:59     22.561 N     70.266 W
08/24/1999 14:52:00     22.564 N     70.275 W
08/24/1999 14:53:59     22.566 N     70.285 W
08/24/1999 14:56:00     22.569 N     70.295 W
08/24/1999 14:57:59     22.571 N     70.306 W
08/24/1999 15:00:00     22.574 N     70.317 W
08/24/1999 15:02:00     22.577 N     70.327 W
08/24/1999 15:03:59     22.579 N     70.339 W
08/24/1999 15:06:00     22.582 N     70.350 W
08/24/1999 15:07:59     22.585 N     70.362 W
08/24/1999 15:10:00     22.588 N     70.373 W
08/24/1999 15:11:59     22.590 N     70.386 W
08/24/1999 15:14:00     22.593 N     70.398 W
08/24/1999 15:15:59     22.596 N     70.411 W
08/24/1999 15:18:00     22.599 N     70.424 W
08/24/1999 15:19:59     22.602 N     70.437 W
08/24/1999 15:22:00     22.605 N     70.450 W
