Track for Dolly                1996
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/17/1996 19:09:40     15.420 N     74.939 W
08/17/1996 19:11:40     15.422 N     74.946 W
08/17/1996 19:13:39     15.425 N     74.952 W
08/17/1996 19:15:39     15.427 N     74.959 W
08/17/1996 19:17:40     15.429 N     74.966 W
08/17/1996 19:19:40     15.432 N     74.972 W
08/17/1996 19:21:39     15.434 N     74.979 W
08/17/1996 19:23:39     15.437 N     74.985 W
08/17/1996 19:25:40     15.439 N     74.992 W
08/17/1996 19:27:39     15.442 N     74.998 W
08/17/1996 19:29:39     15.444 N     75.005 W
08/17/1996 19:31:40     15.447 N     75.011 W
08/17/1996 19:33:40     15.449 N     75.018 W
08/17/1996 19:35:39     15.452 N     75.024 W
08/17/1996 19:37:39     15.454 N     75.031 W
08/17/1996 19:39:40     15.456 N     75.037 W
08/17/1996 19:41:40     15.459 N     75.044 W
08/17/1996 19:43:39     15.461 N     75.050 W
08/17/1996 19:45:39     15.464 N     75.057 W
08/17/1996 19:47:40     15.466 N     75.063 W
08/17/1996 19:49:40     15.469 N     75.070 W
08/17/1996 19:51:39     15.471 N     75.076 W
08/17/1996 19:53:39     15.474 N     75.083 W
08/17/1996 19:55:40     15.476 N     75.089 W
08/17/1996 19:57:39     15.479 N     75.096 W
08/17/1996 19:59:39     15.481 N     75.102 W
08/17/1996 20:01:40     15.483 N     75.109 W
08/17/1996 20:03:40     15.486 N     75.115 W
08/17/1996 20:05:39     15.488 N     75.122 W
08/17/1996 20:07:39     15.491 N     75.128 W
08/17/1996 20:09:40     15.493 N     75.135 W
08/17/1996 20:11:40     15.496 N     75.141 W
08/17/1996 20:13:39     15.498 N     75.148 W
08/17/1996 20:15:39     15.501 N     75.154 W
08/17/1996 20:17:40     15.503 N     75.161 W
08/17/1996 20:19:40     15.506 N     75.167 W
08/17/1996 20:21:39     15.508 N     75.174 W
08/17/1996 20:23:39     15.510 N     75.180 W
08/17/1996 20:25:40     15.513 N     75.187 W
08/17/1996 20:27:39     15.515 N     75.193 W
08/17/1996 20:29:39     15.518 N     75.200 W
08/17/1996 20:31:40     15.520 N     75.206 W
08/17/1996 20:33:40     15.523 N     75.213 W
08/17/1996 20:35:39     15.525 N     75.219 W
08/17/1996 20:37:39     15.528 N     75.226 W
08/17/1996 20:39:40     15.530 N     75.233 W
08/17/1996 20:41:40     15.532 N     75.239 W
08/17/1996 20:43:39     15.535 N     75.246 W
08/17/1996 20:45:39     15.537 N     75.252 W
08/17/1996 20:47:40     15.540 N     75.259 W
08/17/1996 20:49:40     15.542 N     75.265 W
08/17/1996 20:51:39     15.545 N     75.272 W
08/17/1996 20:53:39     15.547 N     75.278 W
08/17/1996 20:55:40     15.550 N     75.285 W
08/17/1996 20:57:39     15.552 N     75.291 W
08/17/1996 20:59:39     15.555 N     75.298 W
08/17/1996 21:01:40     15.557 N     75.304 W
08/17/1996 21:03:40     15.559 N     75.311 W
08/17/1996 21:05:39     15.562 N     75.317 W
08/17/1996 21:07:39     15.564 N     75.324 W
08/17/1996 21:09:40     15.567 N     75.330 W
08/17/1996 21:11:40     15.569 N     75.337 W
08/17/1996 21:13:39     15.572 N     75.343 W
08/17/1996 21:15:39     15.574 N     75.350 W
08/17/1996 21:17:40     15.577 N     75.356 W
08/17/1996 21:19:40     15.579 N     75.363 W
08/17/1996 21:21:39     15.582 N     75.369 W
