Track for Emily                1999
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/25/1999 14:38:53     13.016 N     55.159 W
08/25/1999 14:40:52     13.018 N     55.162 W
08/25/1999 14:42:53     13.020 N     55.166 W
08/25/1999 14:44:52     13.022 N     55.169 W
08/25/1999 14:46:53     13.024 N     55.172 W
08/25/1999 14:48:52     13.026 N     55.176 W
08/25/1999 14:50:53     13.028 N     55.179 W
08/25/1999 14:52:52     13.030 N     55.183 W
08/25/1999 14:54:53     13.031 N     55.186 W
08/25/1999 14:56:52     13.033 N     55.189 W
08/25/1999 14:58:53     13.035 N     55.193 W
08/25/1999 15:00:52     13.037 N     55.196 W
08/25/1999 15:02:53     13.039 N     55.200 W
08/25/1999 15:04:52     13.041 N     55.203 W
08/25/1999 15:06:53     13.043 N     55.206 W
08/25/1999 15:08:53     13.045 N     55.210 W
08/25/1999 15:10:52     13.047 N     55.213 W
08/25/1999 15:12:53     13.048 N     55.216 W
08/25/1999 15:14:52     13.050 N     55.220 W
08/25/1999 15:16:53     13.052 N     55.223 W
08/25/1999 15:18:52     13.054 N     55.227 W
08/25/1999 15:20:53     13.056 N     55.230 W
08/25/1999 15:22:52     13.058 N     55.233 W
08/25/1999 15:24:53     13.060 N     55.237 W
08/25/1999 15:26:52     13.062 N     55.240 W
08/25/1999 15:28:53     13.064 N     55.243 W
08/25/1999 15:30:52     13.065 N     55.247 W
08/25/1999 15:32:53     13.067 N     55.250 W
08/25/1999 15:34:52     13.069 N     55.254 W
08/25/1999 15:36:53     13.071 N     55.257 W
08/25/1999 15:38:53     13.073 N     55.260 W
08/25/1999 15:40:52     13.075 N     55.264 W
08/25/1999 15:42:53     13.077 N     55.267 W
08/25/1999 15:44:52     13.079 N     55.270 W
08/25/1999 15:46:53     13.081 N     55.274 W
08/25/1999 15:48:52     13.083 N     55.277 W
08/25/1999 15:50:53     13.085 N     55.280 W
08/25/1999 15:52:52     13.086 N     55.284 W
08/25/1999 15:54:53     13.088 N     55.287 W
08/25/1999 15:56:52     13.090 N     55.290 W
08/25/1999 15:58:53     13.092 N     55.294 W
08/25/1999 16:00:53     13.094 N     55.297 W
08/25/1999 16:02:53     13.096 N     55.300 W
08/25/1999 16:04:52     13.098 N     55.304 W
08/25/1999 16:06:52     13.100 N     55.307 W
08/25/1999 16:08:53     13.102 N     55.310 W
08/25/1999 16:10:52     13.104 N     55.314 W
08/25/1999 16:12:52     13.106 N     55.317 W
08/25/1999 16:14:53     13.108 N     55.320 W
08/25/1999 16:16:53     13.110 N     55.324 W
08/25/1999 16:18:52     13.112 N     55.327 W
08/25/1999 16:20:52     13.113 N     55.330 W
08/25/1999 16:22:53     13.115 N     55.333 W
08/25/1999 16:24:53     13.117 N     55.337 W
08/25/1999 16:26:52     13.119 N     55.340 W
08/25/1999 16:28:52     13.121 N     55.343 W
08/25/1999 16:30:53     13.123 N     55.346 W
08/25/1999 16:32:53     13.125 N     55.350 W
08/25/1999 16:34:52     13.127 N     55.353 W
08/25/1999 16:36:52     13.129 N     55.356 W
08/25/1999 16:38:53     13.131 N     55.359 W
08/25/1999 16:40:52     13.133 N     55.363 W
08/25/1999 16:42:52     13.135 N     55.366 W
08/25/1999 16:44:53     13.137 N     55.369 W
08/25/1999 16:46:53     13.139 N     55.372 W
08/25/1999 16:48:52     13.141 N     55.375 W
08/25/1999 16:50:52     13.143 N     55.379 W
08/25/1999 16:52:53     13.145 N     55.382 W
08/25/1999 16:54:53     13.147 N     55.385 W
08/25/1999 16:56:52     13.149 N     55.388 W
08/25/1999 16:58:52     13.151 N     55.391 W
08/25/1999 17:00:53     13.153 N     55.395 W
08/25/1999 17:02:53     13.155 N     55.398 W
08/25/1999 17:04:52     13.157 N     55.401 W
08/25/1999 17:06:52     13.159 N     55.404 W
08/25/1999 17:08:53     13.161 N     55.407 W
08/25/1999 17:10:52     13.163 N     55.410 W
08/25/1999 17:12:52     13.165 N     55.413 W
08/25/1999 17:14:53     13.167 N     55.417 W
08/25/1999 17:16:53     13.169 N     55.420 W
08/25/1999 17:18:52     13.171 N     55.423 W
08/25/1999 17:20:52     13.173 N     55.426 W
08/25/1999 17:22:53     13.175 N     55.429 W
08/25/1999 17:24:53     13.177 N     55.432 W
08/25/1999 17:26:52     13.179 N     55.435 W
08/25/1999 17:28:52     13.181 N     55.438 W
08/25/1999 17:30:53     13.183 N     55.441 W
08/25/1999 17:32:53     13.185 N     55.444 W
08/25/1999 17:34:52     13.187 N     55.447 W
08/25/1999 17:36:52     13.190 N     55.450 W
08/25/1999 17:38:53     13.192 N     55.453 W
08/25/1999 17:40:52     13.194 N     55.456 W
08/25/1999 17:42:52     13.196 N     55.459 W
08/25/1999 17:44:53     13.198 N     55.462 W
08/25/1999 17:46:53     13.200 N     55.465 W
08/25/1999 17:48:52     13.202 N     55.468 W
08/25/1999 17:50:52     13.204 N     55.471 W
08/25/1999 17:52:53     13.206 N     55.474 W
08/25/1999 17:54:53     13.208 N     55.477 W
08/25/1999 17:56:52     13.210 N     55.480 W
08/25/1999 17:58:52     13.213 N     55.483 W
08/25/1999 18:00:53     13.215 N     55.486 W
08/25/1999 18:02:53     13.217 N     55.489 W
08/25/1999 18:04:52     13.219 N     55.492 W
08/25/1999 18:06:52     13.221 N     55.495 W
08/25/1999 18:08:53     13.223 N     55.498 W
08/25/1999 18:10:52     13.225 N     55.501 W
08/25/1999 18:12:52     13.228 N     55.503 W
08/25/1999 18:14:53     13.230 N     55.506 W
08/25/1999 18:16:53     13.232 N     55.509 W
