Track for Fay                  2002
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/05/2002 15:59:20     28.057 N     93.851 W
09/05/2002 16:01:20     28.057 N     93.843 W
09/05/2002 16:03:21     28.056 N     93.836 W
09/05/2002 16:05:20     28.055 N     93.829 W
09/05/2002 16:07:20     28.054 N     93.822 W
09/05/2002 16:09:21     28.053 N     93.815 W
09/05/2002 16:11:21     28.053 N     93.808 W
09/05/2002 16:13:20     28.052 N     93.800 W
09/05/2002 16:15:20     28.051 N     93.793 W
09/05/2002 16:17:21     28.050 N     93.786 W
09/05/2002 16:19:21     28.050 N     93.779 W
09/05/2002 16:21:20     28.049 N     93.772 W
09/05/2002 16:23:20     28.048 N     93.765 W
09/05/2002 16:25:21     28.047 N     93.758 W
09/05/2002 16:27:21     28.047 N     93.751 W
09/05/2002 16:29:20     28.046 N     93.744 W
09/05/2002 16:31:20     28.045 N     93.738 W
09/05/2002 16:33:21     28.044 N     93.731 W
09/05/2002 16:35:20     28.043 N     93.724 W
09/05/2002 16:37:20     28.043 N     93.718 W
09/05/2002 16:39:21     28.042 N     93.712 W
09/05/2002 16:41:21     28.041 N     93.705 W
09/05/2002 16:43:20     28.040 N     93.699 W
09/05/2002 16:45:20     28.039 N     93.693 W
09/05/2002 16:47:21     28.039 N     93.687 W
09/05/2002 16:49:21     28.038 N     93.681 W
09/05/2002 16:51:20     28.037 N     93.675 W
09/05/2002 16:53:20     28.036 N     93.670 W
09/05/2002 16:55:21     28.035 N     93.664 W
09/05/2002 16:57:21     28.034 N     93.659 W
09/05/2002 16:59:20     28.033 N     93.654 W
09/05/2002 17:01:20     28.033 N     93.649 W
09/05/2002 17:03:21     28.032 N     93.644 W
09/05/2002 17:05:20     28.031 N     93.639 W
09/05/2002 17:07:20     28.030 N     93.634 W
09/05/2002 17:09:21     28.029 N     93.630 W
09/05/2002 17:11:21     28.028 N     93.626 W
09/05/2002 17:13:20     28.027 N     93.622 W
09/05/2002 17:15:20     28.026 N     93.618 W
09/05/2002 17:17:21     28.025 N     93.614 W
