Track for Fran                 1996
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/29/1996 05:54:00     16.981 N     54.975 W
08/29/1996 05:56:00     16.987 N     54.983 W
08/29/1996 05:58:00     16.994 N     54.992 W
08/29/1996 06:00:00     17.000 N     55.000 W
08/29/1996 06:01:59     17.006 N     55.008 W
08/29/1996 06:03:59     17.013 N     55.017 W
08/29/1996 06:05:59     17.019 N     55.025 W
08/29/1996 06:07:59     17.025 N     55.033 W
08/29/1996 06:09:59     17.032 N     55.042 W
08/29/1996 06:11:59     17.038 N     55.050 W
08/29/1996 06:13:59     17.044 N     55.058 W
08/29/1996 06:16:00     17.050 N     55.067 W
08/29/1996 06:18:00     17.057 N     55.075 W
08/29/1996 06:20:00     17.063 N     55.083 W
08/29/1996 06:22:00     17.069 N     55.092 W
08/29/1996 06:24:00     17.076 N     55.100 W
08/29/1996 06:26:00     17.082 N     55.108 W
08/29/1996 06:28:00     17.088 N     55.117 W
08/29/1996 06:30:00     17.094 N     55.125 W
08/29/1996 06:31:59     17.101 N     55.133 W
08/29/1996 06:33:59     17.107 N     55.142 W
08/29/1996 06:35:59     17.113 N     55.150 W
08/29/1996 06:37:59     17.120 N     55.159 W
08/29/1996 06:39:59     17.126 N     55.167 W
08/29/1996 06:41:59     17.132 N     55.175 W
08/29/1996 06:43:59     17.138 N     55.184 W
08/29/1996 06:46:00     17.145 N     55.192 W
08/29/1996 06:48:00     17.151 N     55.200 W
08/29/1996 06:50:00     17.157 N     55.209 W
08/29/1996 06:52:00     17.164 N     55.217 W
08/29/1996 06:54:00     17.170 N     55.225 W
08/29/1996 06:56:00     17.176 N     55.234 W
08/29/1996 06:58:00     17.182 N     55.242 W
08/29/1996 07:00:00     17.189 N     55.250 W
08/29/1996 07:01:59     17.195 N     55.258 W
08/29/1996 07:03:59     17.201 N     55.267 W
08/29/1996 07:05:59     17.207 N     55.275 W
08/29/1996 07:07:59     17.214 N     55.283 W
08/29/1996 07:09:59     17.220 N     55.292 W
08/29/1996 07:11:59     17.226 N     55.300 W
08/29/1996 07:13:59     17.232 N     55.308 W
08/29/1996 07:16:00     17.239 N     55.317 W
08/29/1996 07:18:00     17.245 N     55.325 W
08/29/1996 07:20:00     17.251 N     55.333 W
08/29/1996 07:22:00     17.257 N     55.342 W
08/29/1996 07:24:00     17.263 N     55.350 W
08/29/1996 07:26:00     17.270 N     55.358 W
08/29/1996 07:28:00     17.276 N     55.367 W
08/29/1996 07:30:00     17.282 N     55.375 W
08/29/1996 07:31:59     17.288 N     55.383 W
08/29/1996 07:33:59     17.294 N     55.391 W
08/29/1996 07:35:59     17.301 N     55.400 W
08/29/1996 07:37:59     17.307 N     55.408 W
08/29/1996 07:39:59     17.313 N     55.416 W
08/29/1996 07:41:59     17.319 N     55.425 W
08/29/1996 07:43:59     17.325 N     55.433 W
08/29/1996 07:46:00     17.331 N     55.441 W
08/29/1996 07:48:00     17.338 N     55.449 W
08/29/1996 07:50:00     17.344 N     55.458 W
08/29/1996 07:52:00     17.350 N     55.466 W
08/29/1996 07:54:00     17.356 N     55.474 W
08/29/1996 07:56:00     17.362 N     55.482 W
08/29/1996 07:58:00     17.368 N     55.491 W
08/29/1996 08:00:00     17.374 N     55.499 W
08/29/1996 08:02:00     17.381 N     55.507 W
08/29/1996 08:03:59     17.387 N     55.516 W
08/29/1996 08:06:00     17.393 N     55.524 W
08/29/1996 08:07:59     17.399 N     55.532 W
08/29/1996 08:10:00     17.405 N     55.540 W
08/29/1996 08:11:59     17.411 N     55.549 W
08/29/1996 08:14:00     17.417 N     55.557 W
08/29/1996 08:15:59     17.423 N     55.565 W
08/29/1996 08:18:00     17.429 N     55.573 W
08/29/1996 08:19:59     17.435 N     55.581 W
08/29/1996 08:22:00     17.441 N     55.590 W
08/29/1996 08:23:59     17.447 N     55.598 W
08/29/1996 08:26:00     17.453 N     55.606 W
08/29/1996 08:27:59     17.459 N     55.614 W
08/29/1996 08:30:00     17.465 N     55.623 W
08/29/1996 08:32:00     17.471 N     55.631 W
08/29/1996 08:33:59     17.477 N     55.639 W
08/29/1996 08:36:00     17.483 N     55.647 W
08/29/1996 08:37:59     17.489 N     55.655 W
08/29/1996 08:40:00     17.495 N     55.664 W
08/29/1996 08:41:59     17.501 N     55.672 W
08/29/1996 08:44:00     17.507 N     55.680 W
08/29/1996 08:45:59     17.513 N     55.688 W
08/29/1996 08:48:00     17.519 N     55.696 W
08/29/1996 08:49:59     17.525 N     55.704 W
08/29/1996 08:52:00     17.531 N     55.713 W
08/29/1996 08:53:59     17.537 N     55.721 W
08/29/1996 08:56:00     17.543 N     55.729 W
08/29/1996 08:57:59     17.549 N     55.737 W
08/29/1996 09:00:00     17.555 N     55.745 W
08/29/1996 09:02:00     17.561 N     55.753 W
08/29/1996 09:03:59     17.567 N     55.762 W
08/29/1996 09:06:00     17.572 N     55.770 W
08/29/1996 09:07:59     17.578 N     55.778 W
08/29/1996 09:10:00     17.584 N     55.786 W
08/29/1996 09:11:59     17.590 N     55.794 W
08/29/1996 09:14:00     17.596 N     55.802 W
08/29/1996 09:15:59     17.602 N     55.810 W
08/29/1996 09:18:00     17.607 N     55.818 W
08/29/1996 09:19:59     17.613 N     55.827 W
08/29/1996 09:22:00     17.619 N     55.835 W
08/29/1996 09:23:59     17.625 N     55.843 W
08/29/1996 09:26:00     17.631 N     55.851 W
08/29/1996 09:27:59     17.636 N     55.859 W
08/29/1996 09:30:00     17.642 N     55.867 W
08/29/1996 09:32:00     17.648 N     55.875 W
08/29/1996 09:33:59     17.654 N     55.883 W
08/29/1996 09:36:00     17.659 N     55.891 W
08/29/1996 09:37:59     17.665 N     55.899 W
08/29/1996 09:40:00     17.671 N     55.907 W
08/29/1996 09:41:59     17.676 N     55.915 W
08/29/1996 09:44:00     17.682 N     55.923 W
08/29/1996 09:45:59     17.688 N     55.931 W
08/29/1996 09:48:00     17.693 N     55.940 W
08/29/1996 09:49:59     17.699 N     55.948 W
08/29/1996 09:52:00     17.705 N     55.956 W
08/29/1996 09:53:59     17.710 N     55.964 W
08/29/1996 09:56:00     17.716 N     55.972 W
08/29/1996 09:57:59     17.721 N     55.980 W
08/29/1996 10:00:00     17.727 N     55.988 W
