Track for Gamma                2005
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
11/15/2005 05:50:39     14.299 N     65.983 W
11/15/2005 05:52:39     14.300 N     65.988 W
11/15/2005 05:54:39     14.300 N     65.994 W
11/15/2005 05:56:40     14.300 N     66.000 W
11/15/2005 05:58:40     14.300 N     66.006 W
11/15/2005 06:00:40     14.300 N     66.012 W
11/15/2005 06:02:40     14.301 N     66.017 W
11/15/2005 06:04:40     14.301 N     66.023 W
11/15/2005 06:06:40     14.301 N     66.029 W
11/15/2005 06:08:40     14.301 N     66.035 W
11/15/2005 06:10:39     14.301 N     66.040 W
11/15/2005 06:12:39     14.302 N     66.046 W
11/15/2005 06:14:39     14.302 N     66.052 W
11/15/2005 06:16:39     14.302 N     66.058 W
11/15/2005 06:18:39     14.302 N     66.063 W
11/15/2005 06:20:39     14.302 N     66.069 W
11/15/2005 06:22:39     14.303 N     66.075 W
11/15/2005 06:24:39     14.303 N     66.081 W
11/15/2005 06:26:40     14.303 N     66.087 W
11/15/2005 06:28:40     14.303 N     66.092 W
11/15/2005 06:30:40     14.303 N     66.098 W
11/15/2005 06:32:40     14.304 N     66.104 W
11/15/2005 06:34:40     14.304 N     66.110 W
11/15/2005 06:36:40     14.304 N     66.115 W
11/15/2005 06:38:40     14.304 N     66.121 W
11/15/2005 06:40:39     14.304 N     66.127 W
11/15/2005 06:42:39     14.305 N     66.133 W
11/15/2005 06:44:39     14.305 N     66.139 W
11/15/2005 06:46:39     14.305 N     66.144 W
11/15/2005 06:48:39     14.305 N     66.150 W
11/15/2005 06:50:39     14.306 N     66.156 W
11/15/2005 06:52:39     14.306 N     66.162 W
11/15/2005 06:54:39     14.306 N     66.167 W
11/15/2005 06:56:40     14.306 N     66.173 W
11/15/2005 06:58:40     14.306 N     66.179 W
11/15/2005 07:00:40     14.307 N     66.185 W
11/15/2005 07:02:40     14.307 N     66.191 W
11/15/2005 07:04:40     14.307 N     66.196 W
11/15/2005 07:06:40     14.307 N     66.202 W
11/15/2005 07:08:40     14.308 N     66.208 W
11/15/2005 07:10:39     14.308 N     66.214 W
11/15/2005 07:12:39     14.308 N     66.220 W
11/15/2005 07:14:39     14.308 N     66.225 W
11/15/2005 07:16:39     14.309 N     66.231 W
11/15/2005 07:18:39     14.309 N     66.237 W
11/15/2005 07:20:39     14.309 N     66.243 W
11/15/2005 07:22:39     14.309 N     66.249 W
11/15/2005 07:24:39     14.310 N     66.255 W
11/15/2005 07:26:40     14.310 N     66.260 W
11/15/2005 07:28:40     14.310 N     66.266 W
11/15/2005 07:30:40     14.310 N     66.272 W
11/15/2005 07:32:40     14.311 N     66.278 W
11/15/2005 07:34:40     14.311 N     66.284 W
11/15/2005 07:36:40     14.311 N     66.289 W
11/15/2005 07:38:40     14.312 N     66.295 W
11/15/2005 07:40:39     14.312 N     66.301 W
11/15/2005 07:42:39     14.312 N     66.307 W
11/15/2005 07:44:39     14.312 N     66.313 W
11/15/2005 07:46:39     14.313 N     66.319 W
11/15/2005 07:48:39     14.313 N     66.325 W
11/15/2005 07:50:39     14.313 N     66.330 W
11/15/2005 07:52:39     14.314 N     66.336 W
11/15/2005 07:54:39     14.314 N     66.342 W
11/15/2005 07:56:40     14.314 N     66.348 W
11/15/2005 07:58:40     14.315 N     66.354 W
11/15/2005 08:00:40     14.315 N     66.360 W
11/15/2005 08:02:39     14.315 N     66.366 W
11/15/2005 08:04:40     14.315 N     66.371 W
11/15/2005 08:06:39     14.316 N     66.377 W
11/15/2005 08:08:40     14.316 N     66.383 W
11/15/2005 08:10:40     14.316 N     66.389 W
11/15/2005 08:12:39     14.317 N     66.395 W
11/15/2005 08:14:40     14.317 N     66.401 W
11/15/2005 08:16:39     14.318 N     66.407 W
11/15/2005 08:18:40     14.318 N     66.413 W
11/15/2005 08:20:39     14.318 N     66.419 W
11/15/2005 08:22:40     14.319 N     66.424 W
11/15/2005 08:24:39     14.319 N     66.430 W
11/15/2005 08:26:40     14.319 N     66.436 W
11/15/2005 08:28:39     14.320 N     66.442 W
11/15/2005 08:30:40     14.320 N     66.448 W
11/15/2005 08:32:39     14.321 N     66.454 W
11/15/2005 08:34:40     14.321 N     66.460 W
11/15/2005 08:36:39     14.321 N     66.466 W
11/15/2005 08:38:40     14.322 N     66.472 W
11/15/2005 08:40:40     14.322 N     66.478 W
11/15/2005 08:42:39     14.323 N     66.484 W
11/15/2005 08:44:40     14.323 N     66.490 W
11/15/2005 08:46:39     14.323 N     66.496 W
11/15/2005 08:48:40     14.324 N     66.502 W
11/15/2005 08:50:39     14.324 N     66.508 W
11/15/2005 08:52:40     14.325 N     66.513 W
11/15/2005 08:54:39     14.325 N     66.519 W
11/15/2005 08:56:40     14.326 N     66.525 W
11/15/2005 08:58:39     14.326 N     66.531 W
11/15/2005 09:00:40     14.327 N     66.537 W
11/15/2005 09:02:39     14.327 N     66.543 W
11/15/2005 09:04:40     14.327 N     66.549 W
11/15/2005 09:06:39     14.328 N     66.555 W
11/15/2005 09:08:40     14.328 N     66.561 W
11/15/2005 09:10:40     14.329 N     66.567 W
11/15/2005 09:12:39     14.329 N     66.573 W
11/15/2005 09:14:40     14.330 N     66.579 W
11/15/2005 09:16:39     14.330 N     66.585 W
11/15/2005 09:18:40     14.331 N     66.591 W
11/15/2005 09:20:39     14.332 N     66.598 W
11/15/2005 09:22:40     14.332 N     66.604 W
11/15/2005 09:24:39     14.333 N     66.610 W
11/15/2005 09:26:40     14.333 N     66.616 W
11/15/2005 09:28:39     14.334 N     66.622 W
11/15/2005 09:30:40     14.334 N     66.628 W
11/15/2005 09:32:39     14.335 N     66.634 W
11/15/2005 09:34:40     14.335 N     66.640 W
11/15/2005 09:36:39     14.336 N     66.646 W
11/15/2005 09:38:40     14.337 N     66.652 W
11/15/2005 09:40:40     14.337 N     66.658 W
11/15/2005 09:42:39     14.338 N     66.664 W
11/15/2005 09:44:40     14.338 N     66.670 W
11/15/2005 09:46:39     14.339 N     66.677 W
11/15/2005 09:48:40     14.340 N     66.683 W
11/15/2005 09:50:39     14.340 N     66.689 W
11/15/2005 09:52:40     14.341 N     66.695 W
11/15/2005 09:54:39     14.342 N     66.701 W
11/15/2005 09:56:40     14.342 N     66.707 W
11/15/2005 09:58:39     14.343 N     66.713 W
11/15/2005 10:00:40     14.344 N     66.719 W
11/15/2005 10:02:39     14.344 N     66.726 W
11/15/2005 10:04:40     14.345 N     66.732 W
11/15/2005 10:06:39     14.346 N     66.738 W
11/15/2005 10:08:40     14.346 N     66.744 W
11/15/2005 10:10:40     14.347 N     66.750 W
11/15/2005 10:12:39     14.348 N     66.757 W
11/15/2005 10:14:40     14.348 N     66.763 W
11/15/2005 10:16:39     14.349 N     66.769 W
11/15/2005 10:18:40     14.350 N     66.775 W
11/15/2005 10:20:39     14.351 N     66.781 W
11/15/2005 10:22:40     14.351 N     66.788 W
11/15/2005 10:24:39     14.352 N     66.794 W
11/15/2005 10:26:40     14.353 N     66.800 W
11/15/2005 10:28:39     14.354 N     66.806 W
11/15/2005 10:30:40     14.355 N     66.813 W
11/15/2005 10:32:39     14.355 N     66.819 W
11/15/2005 10:34:40     14.356 N     66.825 W
11/15/2005 10:36:39     14.357 N     66.831 W
11/15/2005 10:38:40     14.358 N     66.838 W
11/15/2005 10:40:40     14.359 N     66.844 W
11/15/2005 10:42:39     14.360 N     66.850 W
11/15/2005 10:44:40     14.360 N     66.857 W
11/15/2005 10:46:39     14.361 N     66.863 W
11/15/2005 10:48:40     14.362 N     66.869 W
11/15/2005 10:50:39     14.363 N     66.876 W
11/15/2005 10:52:40     14.364 N     66.882 W
11/15/2005 10:54:39     14.365 N     66.888 W
11/15/2005 10:56:40     14.366 N     66.895 W
11/15/2005 10:58:39     14.367 N     66.901 W
11/15/2005 11:00:40     14.368 N     66.907 W
11/15/2005 11:02:39     14.369 N     66.914 W
11/15/2005 11:04:40     14.369 N     66.920 W
11/15/2005 11:06:39     14.370 N     66.926 W
11/15/2005 11:08:40     14.371 N     66.933 W
11/15/2005 11:10:40     14.372 N     66.939 W
11/15/2005 11:12:39     14.373 N     66.946 W
11/15/2005 11:14:40     14.374 N     66.952 W
11/15/2005 11:16:39     14.375 N     66.958 W
11/15/2005 11:18:40     14.376 N     66.965 W
11/15/2005 11:20:39     14.377 N     66.971 W
11/15/2005 11:22:40     14.379 N     66.978 W
11/15/2005 11:24:39     14.380 N     66.984 W
11/15/2005 11:26:40     14.381 N     66.991 W
11/15/2005 11:28:39     14.382 N     66.997 W
11/15/2005 11:30:40     14.383 N     67.004 W
11/15/2005 11:32:39     14.384 N     67.010 W
11/15/2005 11:34:40     14.385 N     67.017 W
11/15/2005 11:36:39     14.386 N     67.023 W
11/15/2005 11:38:40     14.387 N     67.030 W
11/15/2005 11:40:40     14.388 N     67.036 W
11/15/2005 11:42:39     14.390 N     67.043 W
11/15/2005 11:44:40     14.391 N     67.049 W
11/15/2005 11:46:39     14.392 N     67.056 W
11/15/2005 11:48:40     14.393 N     67.063 W
11/15/2005 11:50:39     14.394 N     67.069 W
11/15/2005 11:52:40     14.395 N     67.076 W
11/15/2005 11:54:39     14.397 N     67.082 W
