Track for Gert                 2005
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
07/23/2005 21:00:09     18.906 N     93.456 W
07/23/2005 21:02:10     18.919 N     93.459 W
07/23/2005 21:04:10     18.931 N     93.462 W
07/23/2005 21:06:09     18.943 N     93.465 W
07/23/2005 21:08:09     18.955 N     93.468 W
07/23/2005 21:10:10     18.967 N     93.471 W
07/23/2005 21:12:10     18.980 N     93.474 W
07/23/2005 21:14:09     18.992 N     93.477 W
07/23/2005 21:16:09     19.004 N     93.480 W
07/23/2005 21:18:10     19.016 N     93.484 W
07/23/2005 21:20:09     19.028 N     93.487 W
07/23/2005 21:22:09     19.040 N     93.490 W
07/23/2005 21:24:10     19.053 N     93.493 W
07/23/2005 21:26:10     19.065 N     93.496 W
07/23/2005 21:28:09     19.077 N     93.499 W
07/23/2005 21:30:09     19.089 N     93.502 W
07/23/2005 21:32:10     19.101 N     93.505 W
07/23/2005 21:34:10     19.113 N     93.508 W
07/23/2005 21:36:09     19.126 N     93.512 W
07/23/2005 21:38:09     19.138 N     93.515 W
07/23/2005 21:40:10     19.150 N     93.518 W
07/23/2005 21:42:10     19.162 N     93.521 W
07/23/2005 21:44:09     19.174 N     93.524 W
07/23/2005 21:46:09     19.186 N     93.527 W
07/23/2005 21:48:10     19.198 N     93.530 W
07/23/2005 21:50:09     19.210 N     93.534 W
07/23/2005 21:52:09     19.222 N     93.537 W
07/23/2005 21:54:10     19.234 N     93.540 W
07/23/2005 21:56:10     19.246 N     93.543 W
07/23/2005 21:58:09     19.258 N     93.546 W
07/23/2005 22:00:09     19.270 N     93.549 W
07/23/2005 22:02:10     19.282 N     93.553 W
07/23/2005 22:04:10     19.294 N     93.556 W
07/23/2005 22:06:09     19.306 N     93.559 W
07/23/2005 22:08:09     19.318 N     93.562 W
07/23/2005 22:10:10     19.330 N     93.565 W
07/23/2005 22:12:10     19.342 N     93.569 W
07/23/2005 22:14:09     19.354 N     93.572 W
07/23/2005 22:16:09     19.366 N     93.575 W
07/23/2005 22:18:10     19.378 N     93.578 W
07/23/2005 22:20:09     19.390 N     93.582 W
07/23/2005 22:22:09     19.401 N     93.585 W
07/23/2005 22:24:10     19.413 N     93.588 W
07/23/2005 22:26:10     19.425 N     93.591 W
07/23/2005 22:28:09     19.437 N     93.595 W
07/23/2005 22:30:09     19.448 N     93.598 W
07/23/2005 22:32:10     19.460 N     93.601 W
07/23/2005 22:34:10     19.472 N     93.605 W
07/23/2005 22:36:09     19.484 N     93.608 W
07/23/2005 22:38:09     19.495 N     93.611 W
07/23/2005 22:40:10     19.507 N     93.615 W
07/23/2005 22:42:10     19.518 N     93.618 W
07/23/2005 22:44:09     19.530 N     93.621 W
07/23/2005 22:46:09     19.541 N     93.625 W
07/23/2005 22:48:10     19.553 N     93.628 W
07/23/2005 22:50:09     19.565 N     93.632 W
07/23/2005 22:52:09     19.576 N     93.635 W
07/23/2005 22:54:10     19.587 N     93.638 W
07/23/2005 22:56:10     19.599 N     93.642 W
07/23/2005 22:58:09     19.610 N     93.645 W
07/23/2005 23:00:09     19.622 N     93.649 W
07/23/2005 23:02:10     19.633 N     93.652 W
07/23/2005 23:04:10     19.644 N     93.656 W
07/23/2005 23:06:09     19.655 N     93.659 W
07/23/2005 23:08:09     19.667 N     93.663 W
07/23/2005 23:10:10     19.678 N     93.666 W
07/23/2005 23:12:10     19.689 N     93.670 W
07/23/2005 23:14:09     19.700 N     93.673 W
07/23/2005 23:16:09     19.711 N     93.677 W
07/23/2005 23:18:10     19.722 N     93.681 W
07/23/2005 23:20:09     19.733 N     93.684 W
07/23/2005 23:22:09     19.744 N     93.688 W
07/23/2005 23:24:10     19.755 N     93.691 W
07/23/2005 23:26:10     19.766 N     93.695 W
07/23/2005 23:28:09     19.777 N     93.699 W
07/23/2005 23:30:09     19.788 N     93.703 W
07/23/2005 23:32:10     19.799 N     93.706 W
07/23/2005 23:34:10     19.810 N     93.710 W
07/23/2005 23:36:09     19.820 N     93.714 W
07/23/2005 23:38:09     19.831 N     93.717 W
07/23/2005 23:40:10     19.842 N     93.721 W
07/23/2005 23:42:10     19.852 N     93.725 W
07/23/2005 23:44:09     19.863 N     93.729 W
07/23/2005 23:46:09     19.873 N     93.733 W
07/23/2005 23:48:10     19.884 N     93.737 W
07/23/2005 23:50:09     19.894 N     93.740 W
07/23/2005 23:52:09     19.905 N     93.744 W
07/23/2005 23:54:10     19.915 N     93.748 W
07/23/2005 23:56:10     19.925 N     93.752 W
07/23/2005 23:58:09     19.936 N     93.756 W
07/24/2005 00:00:09     19.946 N     93.760 W
07/24/2005 00:02:10     19.956 N     93.764 W
07/24/2005 00:04:10     19.966 N     93.768 W
07/24/2005 00:06:09     19.976 N     93.772 W
07/24/2005 00:08:09     19.986 N     93.776 W
07/24/2005 00:10:10     19.996 N     93.780 W
07/24/2005 00:12:10     20.006 N     93.784 W
07/24/2005 00:14:09     20.016 N     93.789 W
07/24/2005 00:16:09     20.026 N     93.793 W
07/24/2005 00:18:10     20.036 N     93.797 W
07/24/2005 00:20:09     20.046 N     93.801 W
07/24/2005 00:22:09     20.055 N     93.805 W
07/24/2005 00:24:10     20.065 N     93.809 W
07/24/2005 00:26:10     20.074 N     93.814 W
07/24/2005 00:28:09     20.084 N     93.818 W
07/24/2005 00:30:09     20.093 N     93.822 W
07/24/2005 00:32:10     20.103 N     93.827 W
07/24/2005 00:34:10     20.112 N     93.831 W
07/24/2005 00:36:09     20.122 N     93.835 W
07/24/2005 00:38:09     20.131 N     93.840 W
07/24/2005 00:40:10     20.140 N     93.844 W
07/24/2005 00:42:10     20.149 N     93.849 W
07/24/2005 00:44:09     20.158 N     93.853 W
07/24/2005 00:46:09     20.167 N     93.858 W
07/24/2005 00:48:10     20.176 N     93.862 W
07/24/2005 00:50:09     20.185 N     93.867 W
07/24/2005 00:52:09     20.194 N     93.871 W
07/24/2005 00:54:10     20.203 N     93.876 W
07/24/2005 00:56:10     20.212 N     93.881 W
07/24/2005 00:58:09     20.220 N     93.885 W
07/24/2005 01:00:09     20.229 N     93.890 W
07/24/2005 01:02:10     20.238 N     93.895 W
07/24/2005 01:04:10     20.246 N     93.899 W
07/24/2005 01:06:09     20.255 N     93.904 W
07/24/2005 01:08:09     20.263 N     93.909 W
07/24/2005 01:10:10     20.271 N     93.914 W
07/24/2005 01:12:10     20.280 N     93.919 W
07/24/2005 01:14:09     20.288 N     93.924 W
07/24/2005 01:16:09     20.296 N     93.928 W
07/24/2005 01:18:10     20.304 N     93.933 W
07/24/2005 01:20:09     20.312 N     93.938 W
07/24/2005 01:22:09     20.320 N     93.943 W
07/24/2005 01:24:10     20.328 N     93.948 W
07/24/2005 01:26:10     20.336 N     93.953 W
07/24/2005 01:28:09     20.343 N     93.959 W
07/24/2005 01:30:09     20.351 N     93.964 W
07/24/2005 01:32:10     20.359 N     93.969 W
07/24/2005 01:34:10     20.366 N     93.974 W
07/24/2005 01:36:09     20.373 N     93.979 W
07/24/2005 01:38:09     20.381 N     93.985 W
07/24/2005 01:40:10     20.388 N     93.990 W
07/24/2005 01:42:10     20.395 N     93.995 W
07/24/2005 01:44:09     20.403 N     94.000 W
07/24/2005 01:46:09     20.410 N     94.006 W
07/24/2005 01:48:10     20.417 N     94.011 W
07/24/2005 01:50:09     20.424 N     94.017 W
07/24/2005 01:52:09     20.430 N     94.022 W
07/24/2005 01:54:10     20.437 N     94.028 W
07/24/2005 01:56:10     20.444 N     94.033 W
07/24/2005 01:58:09     20.451 N     94.039 W
07/24/2005 02:00:09     20.457 N     94.044 W
07/24/2005 02:02:10     20.464 N     94.050 W
07/24/2005 02:04:10     20.470 N     94.056 W
07/24/2005 02:06:09     20.476 N     94.061 W
07/24/2005 02:08:09     20.483 N     94.067 W
07/24/2005 02:10:10     20.489 N     94.073 W
07/24/2005 02:12:10     20.495 N     94.079 W
07/24/2005 02:14:09     20.501 N     94.085 W
07/24/2005 02:16:09     20.507 N     94.091 W
07/24/2005 02:18:10     20.513 N     94.097 W
07/24/2005 02:20:09     20.518 N     94.103 W
07/24/2005 02:22:09     20.524 N     94.109 W
07/24/2005 02:24:10     20.530 N     94.115 W
07/24/2005 02:26:10     20.535 N     94.121 W
07/24/2005 02:28:09     20.541 N     94.127 W
07/24/2005 02:30:09     20.546 N     94.133 W
07/24/2005 02:32:10     20.551 N     94.139 W
07/24/2005 02:34:10     20.557 N     94.145 W
07/24/2005 02:36:09     20.562 N     94.152 W
07/24/2005 02:38:09     20.567 N     94.158 W
07/24/2005 02:40:10     20.572 N     94.164 W
07/24/2005 02:42:10     20.576 N     94.171 W
07/24/2005 02:44:09     20.581 N     94.177 W
07/24/2005 02:46:09     20.586 N     94.184 W
07/24/2005 02:48:10     20.590 N     94.190 W
07/24/2005 02:50:09     20.595 N     94.197 W
07/24/2005 02:52:09     20.599 N     94.203 W
