Track for Gonzalo              2020
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
07/24/2020 16:45:00      9.838 N     54.692 W
07/24/2020 16:47:00      9.839 N     54.698 W
07/24/2020 16:49:00      9.839 N     54.704 W
07/24/2020 16:51:00      9.840 N     54.710 W
07/24/2020 16:53:00      9.841 N     54.716 W
07/24/2020 16:55:00      9.841 N     54.722 W
07/24/2020 16:57:00      9.842 N     54.728 W
07/24/2020 17:00:00      9.842 N     54.734 W
07/24/2020 17:01:00      9.843 N     54.740 W
07/24/2020 17:03:00      9.843 N     54.746 W
07/24/2020 17:05:00      9.844 N     54.752 W
07/24/2020 17:07:00      9.844 N     54.758 W
07/24/2020 17:09:00      9.845 N     54.764 W
07/24/2020 17:11:00      9.845 N     54.770 W
07/24/2020 17:13:00      9.846 N     54.776 W
07/24/2020 17:15:00      9.846 N     54.782 W
07/24/2020 17:17:00      9.847 N     54.788 W
07/24/2020 17:19:00      9.847 N     54.794 W
07/24/2020 17:21:00      9.848 N     54.800 W
07/24/2020 17:23:00      9.848 N     54.806 W
07/24/2020 17:25:00      9.848 N     54.812 W
07/24/2020 17:27:00      9.849 N     54.818 W
07/24/2020 17:29:00      9.849 N     54.824 W
07/24/2020 17:31:00      9.849 N     54.830 W
07/24/2020 17:33:00      9.850 N     54.836 W
07/24/2020 17:35:00      9.850 N     54.842 W
07/24/2020 17:37:00      9.850 N     54.848 W
07/24/2020 17:39:00      9.850 N     54.854 W
07/24/2020 17:41:00      9.850 N     54.859 W
07/24/2020 17:43:00      9.850 N     54.865 W
07/24/2020 17:45:00      9.850 N     54.871 W
07/24/2020 17:47:00      9.850 N     54.877 W
07/24/2020 17:49:00      9.850 N     54.883 W
07/24/2020 17:51:00      9.850 N     54.889 W
07/24/2020 17:53:00      9.850 N     54.894 W
07/24/2020 17:55:00      9.850 N     54.900 W
07/24/2020 17:57:00      9.849 N     54.906 W
07/24/2020 18:00:00      9.849 N     54.911 W
07/24/2020 18:01:00      9.849 N     54.917 W
07/24/2020 18:03:00      9.848 N     54.923 W
07/24/2020 18:05:00      9.848 N     54.928 W
07/24/2020 18:07:00      9.847 N     54.934 W
07/24/2020 18:09:00      9.847 N     54.940 W
07/24/2020 18:11:00      9.846 N     54.945 W
07/24/2020 18:13:00      9.845 N     54.951 W
07/24/2020 18:15:00      9.844 N     54.956 W
07/24/2020 18:17:00      9.843 N     54.962 W
07/24/2020 18:19:00      9.842 N     54.967 W
07/24/2020 18:21:00      9.841 N     54.973 W
07/24/2020 18:23:00      9.840 N     54.978 W
07/24/2020 18:23:39      9.840 N     54.980 W
07/24/2020 18:25:40      9.839 N     54.986 W
07/24/2020 18:27:39      9.839 N     54.991 W
07/24/2020 18:29:39      9.838 N     54.997 W
07/24/2020 18:31:40      9.838 N     55.003 W
07/24/2020 18:33:40      9.837 N     55.008 W
07/24/2020 18:35:39      9.837 N     55.014 W
07/24/2020 18:37:39      9.836 N     55.020 W
07/24/2020 18:39:40      9.836 N     55.026 W
07/24/2020 18:41:40      9.835 N     55.031 W
07/24/2020 18:43:39      9.835 N     55.037 W
07/24/2020 18:45:39      9.834 N     55.043 W
07/24/2020 18:47:40      9.834 N     55.049 W
07/24/2020 18:49:40      9.834 N     55.055 W
07/24/2020 18:51:39      9.833 N     55.061 W
07/24/2020 18:53:39      9.833 N     55.066 W
07/24/2020 18:55:40      9.833 N     55.072 W
07/24/2020 18:57:39      9.832 N     55.078 W
07/24/2020 19:00:39      9.832 N     55.084 W
07/24/2020 19:01:40      9.832 N     55.090 W
07/24/2020 19:03:40      9.831 N     55.096 W
07/24/2020 19:05:39      9.831 N     55.102 W
07/24/2020 19:07:39      9.831 N     55.108 W
07/24/2020 19:09:40      9.831 N     55.114 W
07/24/2020 19:11:40      9.830 N     55.121 W
07/24/2020 19:13:39      9.830 N     55.127 W
07/24/2020 19:15:39      9.830 N     55.133 W
07/24/2020 19:17:40      9.830 N     55.139 W
07/24/2020 19:19:40      9.830 N     55.145 W
07/24/2020 19:21:39      9.830 N     55.152 W
