Track for Gordon               2018
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/03/2018 14:39:57     25.466 N     81.325 W
09/03/2018 14:41:58     25.469 N     81.330 W
09/03/2018 14:43:57     25.472 N     81.335 W
09/03/2018 14:45:58     25.475 N     81.340 W
09/03/2018 14:47:57     25.478 N     81.345 W
09/03/2018 14:49:58     25.481 N     81.350 W
09/03/2018 14:51:57     25.484 N     81.355 W
09/03/2018 14:53:58     25.488 N     81.360 W
09/03/2018 14:55:57     25.491 N     81.365 W
09/03/2018 14:57:58     25.494 N     81.370 W
09/03/2018 14:59:57     25.497 N     81.374 W
09/03/2018 15:01:58     25.500 N     81.379 W
09/03/2018 15:03:58     25.503 N     81.384 W
09/03/2018 15:05:57     25.506 N     81.389 W
09/03/2018 15:07:58     25.510 N     81.394 W
09/03/2018 15:09:57     25.513 N     81.399 W
09/03/2018 15:11:58     25.516 N     81.404 W
09/03/2018 15:13:57     25.519 N     81.409 W
09/03/2018 15:15:58     25.522 N     81.414 W
09/03/2018 15:17:57     25.525 N     81.419 W
09/03/2018 15:19:58     25.529 N     81.424 W
09/03/2018 15:21:57     25.532 N     81.429 W
09/03/2018 15:23:58     25.535 N     81.434 W
09/03/2018 15:25:57     25.538 N     81.439 W
09/03/2018 15:27:58     25.541 N     81.444 W
09/03/2018 15:29:57     25.544 N     81.449 W
09/03/2018 15:31:58     25.548 N     81.454 W
09/03/2018 15:33:58     25.551 N     81.459 W
09/03/2018 15:35:57     25.554 N     81.464 W
09/03/2018 15:37:58     25.557 N     81.469 W
09/03/2018 15:39:57     25.560 N     81.474 W
09/03/2018 15:41:58     25.564 N     81.479 W
09/03/2018 15:43:57     25.567 N     81.484 W
09/03/2018 15:45:58     25.570 N     81.489 W
09/03/2018 15:47:57     25.573 N     81.494 W
09/03/2018 15:49:58     25.577 N     81.499 W
09/03/2018 15:51:57     25.580 N     81.504 W
09/03/2018 15:53:58     25.583 N     81.509 W
09/03/2018 15:55:57     25.586 N     81.515 W
09/03/2018 15:57:58     25.590 N     81.520 W
09/03/2018 15:59:57     25.593 N     81.525 W
09/03/2018 16:01:58     25.596 N     81.530 W
09/03/2018 16:03:57     25.599 N     81.535 W
09/03/2018 16:05:58     25.603 N     81.540 W
09/03/2018 16:07:58     25.606 N     81.545 W
09/03/2018 16:09:57     25.609 N     81.551 W
09/03/2018 16:11:57     25.613 N     81.556 W
09/03/2018 16:13:58     25.616 N     81.561 W
09/03/2018 16:15:58     25.619 N     81.566 W
09/03/2018 16:17:57     25.623 N     81.571 W
09/03/2018 16:19:57     25.626 N     81.577 W
09/03/2018 16:21:58     25.629 N     81.582 W
09/03/2018 16:23:58     25.633 N     81.587 W
09/03/2018 16:25:57     25.636 N     81.593 W
09/03/2018 16:27:57     25.639 N     81.598 W
09/03/2018 16:29:58     25.643 N     81.603 W
09/03/2018 16:31:58     25.646 N     81.609 W
09/03/2018 16:33:57     25.649 N     81.614 W
09/03/2018 16:35:58     25.653 N     81.619 W
09/03/2018 16:37:58     25.656 N     81.625 W
09/03/2018 16:39:57     25.660 N     81.630 W
09/03/2018 16:41:57     25.663 N     81.636 W
09/03/2018 16:43:58     25.667 N     81.641 W
