Track for Guillermo            1997
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/02/1997 11:53:59     13.198 N    106.079 W
08/02/1997 11:56:00     13.199 N    106.086 W
08/02/1997 11:57:59     13.199 N    106.093 W
08/02/1997 12:00:00     13.200 N    106.100 W
08/02/1997 12:02:00     13.201 N    106.107 W
08/02/1997 12:03:59     13.201 N    106.114 W
08/02/1997 12:06:00     13.202 N    106.121 W
08/02/1997 12:07:59     13.202 N    106.128 W
08/02/1997 12:10:00     13.203 N    106.134 W
08/02/1997 12:11:59     13.203 N    106.141 W
08/02/1997 12:14:00     13.204 N    106.148 W
08/02/1997 12:15:59     13.205 N    106.155 W
08/02/1997 12:18:00     13.205 N    106.162 W
08/02/1997 12:19:59     13.206 N    106.169 W
08/02/1997 12:22:00     13.206 N    106.176 W
08/02/1997 12:23:59     13.207 N    106.183 W
08/02/1997 12:26:00     13.207 N    106.190 W
08/02/1997 12:27:59     13.208 N    106.196 W
08/02/1997 12:30:00     13.209 N    106.203 W
08/02/1997 12:32:00     13.209 N    106.210 W
08/02/1997 12:33:59     13.210 N    106.217 W
08/02/1997 12:36:00     13.210 N    106.224 W
08/02/1997 12:37:59     13.211 N    106.231 W
08/02/1997 12:40:00     13.211 N    106.238 W
08/02/1997 12:41:59     13.212 N    106.244 W
08/02/1997 12:44:00     13.213 N    106.251 W
08/02/1997 12:45:59     13.213 N    106.258 W
08/02/1997 12:48:00     13.214 N    106.265 W
08/02/1997 12:49:59     13.214 N    106.272 W
08/02/1997 12:52:00     13.215 N    106.279 W
08/02/1997 12:53:59     13.215 N    106.285 W
08/02/1997 12:56:00     13.216 N    106.292 W
08/02/1997 12:57:59     13.217 N    106.299 W
08/02/1997 13:00:00     13.217 N    106.306 W
08/02/1997 13:02:00     13.218 N    106.313 W
08/02/1997 13:03:59     13.218 N    106.319 W
08/02/1997 13:06:00     13.219 N    106.326 W
08/02/1997 13:07:59     13.219 N    106.333 W
08/02/1997 13:10:00     13.220 N    106.340 W
08/02/1997 13:11:59     13.221 N    106.346 W
08/02/1997 13:14:00     13.221 N    106.353 W
08/02/1997 13:15:59     13.222 N    106.360 W
08/02/1997 13:18:00     13.222 N    106.366 W
08/02/1997 13:19:59     13.223 N    106.373 W
08/02/1997 13:22:00     13.223 N    106.380 W
08/02/1997 13:23:59     13.224 N    106.387 W
08/02/1997 13:26:00     13.224 N    106.393 W
08/02/1997 13:27:59     13.225 N    106.400 W
08/02/1997 13:30:00     13.226 N    106.406 W
08/02/1997 13:32:00     13.226 N    106.413 W
08/02/1997 13:33:59     13.227 N    106.420 W
08/02/1997 13:36:00     13.227 N    106.426 W
08/02/1997 13:37:59     13.228 N    106.433 W
08/02/1997 13:40:00     13.228 N    106.439 W
08/02/1997 13:41:59     13.229 N    106.446 W
08/02/1997 13:44:00     13.230 N    106.453 W
08/02/1997 13:45:59     13.230 N    106.459 W
08/02/1997 13:48:00     13.231 N    106.466 W
08/02/1997 13:49:59     13.231 N    106.472 W
08/02/1997 13:52:00     13.232 N    106.479 W
08/02/1997 13:53:59     13.232 N    106.485 W
08/02/1997 13:56:00     13.233 N    106.492 W
08/02/1997 13:57:59     13.233 N    106.498 W
08/02/1997 14:00:00     13.234 N    106.504 W
08/02/1997 14:02:00     13.235 N    106.511 W
08/02/1997 14:03:59     13.235 N    106.517 W
08/02/1997 14:06:00     13.236 N    106.524 W
08/02/1997 14:07:59     13.236 N    106.530 W
08/02/1997 14:10:00     13.237 N    106.536 W
08/02/1997 14:11:59     13.237 N    106.543 W
