Track for Hanna                2008
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/31/2008 05:54:00     23.093 N     68.479 W
08/31/2008 05:56:00     23.095 N     68.486 W
08/31/2008 05:58:00     23.098 N     68.493 W
08/31/2008 06:00:00     23.100 N     68.500 W
08/31/2008 06:01:59     23.102 N     68.507 W
08/31/2008 06:03:59     23.105 N     68.514 W
08/31/2008 06:05:59     23.107 N     68.521 W
08/31/2008 06:07:59     23.110 N     68.528 W
08/31/2008 06:09:59     23.112 N     68.535 W
08/31/2008 06:11:59     23.114 N     68.541 W
08/31/2008 06:13:59     23.117 N     68.548 W
08/31/2008 06:16:00     23.119 N     68.555 W
08/31/2008 06:18:00     23.122 N     68.562 W
08/31/2008 06:20:00     23.124 N     68.569 W
08/31/2008 06:22:00     23.127 N     68.576 W
08/31/2008 06:24:00     23.129 N     68.583 W
08/31/2008 06:26:00     23.131 N     68.590 W
08/31/2008 06:28:00     23.134 N     68.597 W
08/31/2008 06:30:00     23.136 N     68.604 W
08/31/2008 06:31:59     23.139 N     68.611 W
08/31/2008 06:33:59     23.141 N     68.618 W
08/31/2008 06:35:59     23.143 N     68.624 W
08/31/2008 06:37:59     23.146 N     68.631 W
08/31/2008 06:39:59     23.148 N     68.638 W
08/31/2008 06:41:59     23.151 N     68.645 W
08/31/2008 06:43:59     23.153 N     68.652 W
08/31/2008 06:46:00     23.155 N     68.659 W
08/31/2008 06:48:00     23.158 N     68.666 W
08/31/2008 06:50:00     23.160 N     68.673 W
08/31/2008 06:52:00     23.163 N     68.680 W
08/31/2008 06:54:00     23.165 N     68.687 W
08/31/2008 06:56:00     23.168 N     68.694 W
08/31/2008 06:58:00     23.170 N     68.701 W
08/31/2008 07:00:00     23.172 N     68.708 W
08/31/2008 07:01:59     23.175 N     68.715 W
08/31/2008 07:03:59     23.177 N     68.721 W
08/31/2008 07:05:59     23.180 N     68.728 W
08/31/2008 07:07:59     23.182 N     68.735 W
08/31/2008 07:09:59     23.184 N     68.742 W
08/31/2008 07:11:59     23.187 N     68.749 W
08/31/2008 07:13:59     23.189 N     68.756 W
08/31/2008 07:16:00     23.191 N     68.763 W
08/31/2008 07:18:00     23.194 N     68.770 W
08/31/2008 07:20:00     23.196 N     68.777 W
08/31/2008 07:22:00     23.199 N     68.784 W
08/31/2008 07:24:00     23.201 N     68.791 W
08/31/2008 07:26:00     23.203 N     68.798 W
08/31/2008 07:28:00     23.206 N     68.805 W
08/31/2008 07:30:00     23.208 N     68.812 W
08/31/2008 07:31:59     23.211 N     68.819 W
08/31/2008 07:33:59     23.213 N     68.826 W
08/31/2008 07:35:59     23.215 N     68.833 W
08/31/2008 07:37:59     23.218 N     68.840 W
08/31/2008 07:39:59     23.220 N     68.847 W
08/31/2008 07:41:59     23.222 N     68.854 W
08/31/2008 07:43:59     23.225 N     68.861 W
08/31/2008 07:46:00     23.227 N     68.868 W
08/31/2008 07:48:00     23.230 N     68.875 W
08/31/2008 07:50:00     23.232 N     68.882 W
08/31/2008 07:52:00     23.234 N     68.889 W
08/31/2008 07:54:00     23.237 N     68.896 W
08/31/2008 07:56:00     23.239 N     68.903 W
08/31/2008 07:58:00     23.241 N     68.910 W
08/31/2008 08:00:00     23.244 N     68.917 W
08/31/2008 08:02:00     23.246 N     68.924 W
08/31/2008 08:03:59     23.248 N     68.931 W
08/31/2008 08:06:00     23.251 N     68.938 W
08/31/2008 08:07:59     23.253 N     68.945 W
08/31/2008 08:10:00     23.255 N     68.952 W
08/31/2008 08:11:59     23.258 N     68.959 W
08/31/2008 08:14:00     23.260 N     68.966 W
08/31/2008 08:15:59     23.262 N     68.973 W
08/31/2008 08:18:00     23.265 N     68.980 W
08/31/2008 08:19:59     23.267 N     68.987 W
08/31/2008 08:22:00     23.269 N     68.994 W
08/31/2008 08:23:59     23.272 N     69.001 W
08/31/2008 08:26:00     23.274 N     69.008 W
08/31/2008 08:27:59     23.276 N     69.015 W
08/31/2008 08:30:00     23.279 N     69.022 W
08/31/2008 08:32:00     23.281 N     69.029 W
08/31/2008 08:33:59     23.283 N     69.037 W
08/31/2008 08:36:00     23.286 N     69.044 W
08/31/2008 08:37:59     23.288 N     69.051 W
08/31/2008 08:40:00     23.290 N     69.058 W
08/31/2008 08:41:59     23.293 N     69.065 W
08/31/2008 08:44:00     23.295 N     69.072 W
08/31/2008 08:45:59     23.297 N     69.079 W
08/31/2008 08:48:00     23.299 N     69.086 W
08/31/2008 08:49:59     23.302 N     69.093 W
08/31/2008 08:52:00     23.304 N     69.100 W
08/31/2008 08:53:59     23.306 N     69.108 W
08/31/2008 08:56:00     23.309 N     69.115 W
08/31/2008 08:57:59     23.311 N     69.122 W
08/31/2008 09:00:00     23.313 N     69.129 W
08/31/2008 09:02:00     23.315 N     69.136 W
