Track for Hermine              2016
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/28/2016 19:54:54     23.751 N     81.682 W
08/28/2016 19:56:54     23.750 N     81.687 W
08/28/2016 19:58:55     23.748 N     81.691 W
08/28/2016 20:00:55     23.747 N     81.696 W
08/28/2016 20:02:54     23.746 N     81.701 W
08/28/2016 20:04:54     23.744 N     81.705 W
08/28/2016 20:06:55     23.743 N     81.710 W
08/28/2016 20:08:54     23.741 N     81.714 W
08/28/2016 20:10:54     23.740 N     81.719 W
08/28/2016 20:12:55     23.738 N     81.724 W
08/28/2016 20:14:55     23.737 N     81.728 W
08/28/2016 20:16:54     23.735 N     81.733 W
08/28/2016 20:18:54     23.734 N     81.738 W
08/28/2016 20:20:55     23.732 N     81.742 W
08/28/2016 20:22:55     23.731 N     81.747 W
08/28/2016 20:24:54     23.729 N     81.752 W
08/28/2016 20:26:54     23.727 N     81.756 W
08/28/2016 20:28:55     23.725 N     81.761 W
08/28/2016 20:30:55     23.723 N     81.766 W
08/28/2016 20:32:54     23.721 N     81.770 W
08/28/2016 20:34:54     23.719 N     81.775 W
08/28/2016 20:36:55     23.717 N     81.780 W
08/28/2016 20:38:54     23.715 N     81.784 W
08/28/2016 20:40:54     23.712 N     81.789 W
08/28/2016 20:42:55     23.710 N     81.794 W
08/28/2016 20:44:55     23.707 N     81.799 W
08/28/2016 20:46:54     23.705 N     81.803 W
08/28/2016 20:48:54     23.702 N     81.808 W
08/28/2016 20:50:55     23.699 N     81.813 W
08/28/2016 20:52:55     23.696 N     81.818 W
08/28/2016 20:54:54     23.693 N     81.823 W
08/28/2016 20:56:54     23.690 N     81.827 W
08/28/2016 20:58:55     23.686 N     81.832 W
08/28/2016 21:00:55     23.683 N     81.837 W
08/28/2016 21:02:54     23.679 N     81.842 W
08/28/2016 21:04:54     23.675 N     81.847 W
08/28/2016 21:06:55     23.671 N     81.852 W
08/28/2016 21:08:54     23.667 N     81.857 W
08/28/2016 21:10:54     23.662 N     81.862 W
08/28/2016 21:12:55     23.658 N     81.867 W
08/28/2016 21:14:55     23.653 N     81.872 W
08/28/2016 21:16:54     23.648 N     81.877 W
08/28/2016 21:18:54     23.643 N     81.882 W
08/28/2016 21:20:55     23.638 N     81.887 W
08/28/2016 21:22:55     23.633 N     81.892 W
08/28/2016 21:24:54     23.627 N     81.897 W
08/28/2016 21:26:54     23.622 N     81.902 W
08/28/2016 21:28:55     23.616 N     81.907 W
08/28/2016 21:30:55     23.610 N     81.912 W
08/28/2016 21:32:54     23.604 N     81.917 W
08/28/2016 21:34:54     23.598 N     81.922 W
08/28/2016 21:36:55     23.592 N     81.928 W
08/28/2016 21:38:54     23.586 N     81.933 W
08/28/2016 21:40:54     23.580 N     81.938 W
08/28/2016 21:41:43     23.577 N     81.940 W
08/28/2016 21:43:44     23.572 N     81.951 W
08/28/2016 21:45:44     23.567 N     81.962 W
08/28/2016 21:47:43     23.562 N     81.973 W
08/28/2016 21:49:43     23.557 N     81.984 W
08/28/2016 21:51:44     23.551 N     81.995 W
08/28/2016 21:53:43     23.546 N     82.006 W
08/28/2016 21:55:43     23.541 N     82.017 W
08/28/2016 21:57:44     23.536 N     82.027 W
08/28/2016 21:59:44     23.531 N     82.038 W
08/28/2016 22:01:43     23.526 N     82.049 W
08/28/2016 22:03:43     23.521 N     82.060 W
08/28/2016 22:05:44     23.516 N     82.071 W
08/28/2016 22:07:44     23.510 N     82.082 W
08/28/2016 22:09:43     23.505 N     82.093 W
08/28/2016 22:11:43     23.500 N     82.104 W
08/28/2016 22:13:44     23.495 N     82.115 W
08/28/2016 22:15:44     23.490 N     82.126 W
08/28/2016 22:16:29     23.488 N     82.130 W
08/28/2016 22:18:29     23.483 N     82.141 W
08/28/2016 22:20:28     23.478 N     82.152 W
08/28/2016 22:22:28     23.473 N     82.162 W
08/28/2016 22:24:29     23.468 N     82.173 W
08/28/2016 22:26:29     23.463 N     82.184 W
08/28/2016 22:28:28     23.458 N     82.195 W
08/28/2016 22:30:28     23.453 N     82.205 W
08/28/2016 22:32:29     23.448 N     82.216 W
08/28/2016 22:34:29     23.443 N     82.227 W
08/28/2016 22:36:28     23.438 N     82.237 W
08/28/2016 22:38:28     23.433 N     82.248 W
08/28/2016 22:40:29     23.428 N     82.258 W
08/28/2016 22:42:28     23.423 N     82.269 W
08/28/2016 22:44:28     23.419 N     82.279 W
08/28/2016 22:46:29     23.414 N     82.290 W
08/28/2016 22:48:29     23.409 N     82.300 W
08/28/2016 22:50:28     23.404 N     82.311 W
08/28/2016 22:52:28     23.399 N     82.321 W
08/28/2016 22:54:29     23.395 N     82.331 W
08/28/2016 22:56:29     23.390 N     82.342 W
08/28/2016 22:58:28     23.385 N     82.352 W
08/28/2016 23:00:28     23.381 N     82.362 W
08/28/2016 23:02:29     23.376 N     82.372 W
08/28/2016 23:04:29     23.371 N     82.382 W
08/28/2016 23:06:28     23.367 N     82.392 W
08/28/2016 23:08:28     23.362 N     82.402 W
08/28/2016 23:10:29     23.358 N     82.412 W
08/28/2016 23:12:28     23.353 N     82.422 W
08/28/2016 23:14:28     23.349 N     82.432 W
08/28/2016 23:16:29     23.344 N     82.442 W
08/28/2016 23:18:29     23.340 N     82.452 W
08/28/2016 23:20:28     23.335 N     82.461 W
08/28/2016 23:22:28     23.331 N     82.471 W
08/28/2016 23:24:29     23.327 N     82.481 W
08/28/2016 23:26:29     23.322 N     82.490 W
08/28/2016 23:28:28     23.318 N     82.500 W
08/28/2016 23:30:28     23.314 N     82.509 W
08/28/2016 23:32:29     23.310 N     82.519 W
08/28/2016 23:34:29     23.306 N     82.528 W
08/28/2016 23:36:28     23.301 N     82.537 W
08/28/2016 23:38:28     23.297 N     82.547 W
08/28/2016 23:40:29     23.293 N     82.556 W
08/28/2016 23:42:28     23.289 N     82.565 W
08/28/2016 23:44:28     23.285 N     82.574 W
