Track for Ingrid               2013
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/13/2013 05:54:00     19.604 N     94.593 W
09/13/2013 05:56:00     19.603 N     94.595 W
09/13/2013 05:58:00     19.601 N     94.598 W
09/13/2013 06:00:00     19.600 N     94.600 W
09/13/2013 06:01:59     19.599 N     94.602 W
09/13/2013 06:03:59     19.597 N     94.605 W
09/13/2013 06:05:59     19.596 N     94.607 W
09/13/2013 06:07:59     19.594 N     94.609 W
09/13/2013 06:09:59     19.593 N     94.611 W
09/13/2013 06:11:59     19.591 N     94.614 W
09/13/2013 06:13:59     19.590 N     94.616 W
09/13/2013 06:16:00     19.588 N     94.618 W
09/13/2013 06:18:00     19.587 N     94.620 W
09/13/2013 06:20:00     19.585 N     94.623 W
09/13/2013 06:22:00     19.584 N     94.625 W
09/13/2013 06:24:00     19.583 N     94.627 W
09/13/2013 06:26:00     19.581 N     94.629 W
09/13/2013 06:28:00     19.580 N     94.632 W
09/13/2013 06:30:00     19.578 N     94.634 W
09/13/2013 06:31:59     19.577 N     94.636 W
09/13/2013 06:33:59     19.575 N     94.638 W
09/13/2013 06:35:59     19.574 N     94.641 W
09/13/2013 06:37:59     19.572 N     94.643 W
09/13/2013 06:39:59     19.571 N     94.645 W
09/13/2013 06:41:59     19.569 N     94.648 W
09/13/2013 06:43:59     19.568 N     94.650 W
09/13/2013 06:46:00     19.567 N     94.652 W
09/13/2013 06:48:00     19.565 N     94.655 W
09/13/2013 06:50:00     19.564 N     94.657 W
09/13/2013 06:52:00     19.562 N     94.659 W
09/13/2013 06:54:00     19.561 N     94.662 W
09/13/2013 06:56:00     19.559 N     94.664 W
09/13/2013 06:58:00     19.558 N     94.666 W
09/13/2013 07:00:00     19.556 N     94.669 W
09/13/2013 07:01:59     19.555 N     94.671 W
09/13/2013 07:03:59     19.554 N     94.673 W
09/13/2013 07:05:59     19.552 N     94.676 W
09/13/2013 07:07:59     19.551 N     94.678 W
09/13/2013 07:09:59     19.549 N     94.680 W
09/13/2013 07:11:59     19.548 N     94.683 W
09/13/2013 07:13:59     19.546 N     94.685 W
09/13/2013 07:16:00     19.545 N     94.688 W
09/13/2013 07:18:00     19.543 N     94.690 W
09/13/2013 07:20:00     19.542 N     94.693 W
09/13/2013 07:22:00     19.541 N     94.695 W
09/13/2013 07:24:00     19.539 N     94.697 W
09/13/2013 07:26:00     19.538 N     94.700 W
09/13/2013 07:28:00     19.536 N     94.702 W
09/13/2013 07:30:00     19.535 N     94.705 W
09/13/2013 07:31:59     19.533 N     94.707 W
09/13/2013 07:33:59     19.532 N     94.710 W
09/13/2013 07:35:59     19.531 N     94.712 W
09/13/2013 07:37:59     19.529 N     94.715 W
09/13/2013 07:39:59     19.528 N     94.717 W
09/13/2013 07:41:59     19.526 N     94.720 W
09/13/2013 07:43:59     19.525 N     94.723 W
09/13/2013 07:46:00     19.523 N     94.725 W
09/13/2013 07:48:00     19.522 N     94.728 W
09/13/2013 07:50:00     19.521 N     94.730 W
09/13/2013 07:52:00     19.519 N     94.733 W
09/13/2013 07:54:00     19.518 N     94.736 W
09/13/2013 07:56:00     19.516 N     94.738 W
09/13/2013 07:58:00     19.515 N     94.741 W
09/13/2013 08:00:00     19.514 N     94.744 W
09/13/2013 08:02:00     19.512 N     94.746 W
09/13/2013 08:03:59     19.511 N     94.749 W
09/13/2013 08:06:00     19.509 N     94.752 W
09/13/2013 08:07:59     19.508 N     94.754 W
09/13/2013 08:10:00     19.506 N     94.757 W
09/13/2013 08:11:59     19.505 N     94.760 W
09/13/2013 08:14:00     19.504 N     94.763 W
09/13/2013 08:15:59     19.502 N     94.765 W
09/13/2013 08:18:00     19.501 N     94.768 W
09/13/2013 08:19:59     19.499 N     94.771 W
09/13/2013 08:22:00     19.498 N     94.774 W
09/13/2013 08:23:59     19.497 N     94.777 W
09/13/2013 08:26:00     19.495 N     94.780 W
09/13/2013 08:27:59     19.494 N     94.782 W
09/13/2013 08:30:00     19.492 N     94.785 W
09/13/2013 08:32:00     19.491 N     94.788 W
09/13/2013 08:33:59     19.490 N     94.791 W
09/13/2013 08:36:00     19.488 N     94.794 W
09/13/2013 08:37:59     19.487 N     94.797 W
09/13/2013 08:40:00     19.486 N     94.800 W
09/13/2013 08:41:59     19.484 N     94.803 W
09/13/2013 08:44:00     19.483 N     94.806 W
09/13/2013 08:45:59     19.481 N     94.809 W
09/13/2013 08:48:00     19.480 N     94.812 W
09/13/2013 08:49:59     19.479 N     94.815 W
09/13/2013 08:52:00     19.477 N     94.818 W
09/13/2013 08:53:59     19.476 N     94.822 W
09/13/2013 08:56:00     19.475 N     94.825 W
09/13/2013 08:57:59     19.473 N     94.828 W
09/13/2013 09:00:00     19.472 N     94.831 W
09/13/2013 09:02:00     19.470 N     94.834 W
09/13/2013 09:03:59     19.469 N     94.838 W
09/13/2013 09:06:00     19.468 N     94.841 W
09/13/2013 09:07:59     19.466 N     94.844 W
09/13/2013 09:10:00     19.465 N     94.847 W
09/13/2013 09:11:59     19.464 N     94.851 W
09/13/2013 09:14:00     19.462 N     94.854 W
09/13/2013 09:15:59     19.461 N     94.857 W
09/13/2013 09:18:00     19.460 N     94.861 W
09/13/2013 09:19:59     19.458 N     94.864 W
09/13/2013 09:22:00     19.457 N     94.868 W
09/13/2013 09:23:59     19.456 N     94.871 W
09/13/2013 09:26:00     19.454 N     94.875 W
09/13/2013 09:27:59     19.453 N     94.878 W
09/13/2013 09:30:00     19.452 N     94.882 W
09/13/2013 09:32:00     19.450 N     94.885 W
09/13/2013 09:33:59     19.449 N     94.889 W
09/13/2013 09:36:00     19.448 N     94.892 W
09/13/2013 09:37:59     19.446 N     94.896 W
09/13/2013 09:40:00     19.445 N     94.900 W
09/13/2013 09:41:59     19.444 N     94.903 W
09/13/2013 09:44:00     19.442 N     94.907 W
09/13/2013 09:45:59     19.441 N     94.911 W
09/13/2013 09:48:00     19.440 N     94.914 W
09/13/2013 09:49:59     19.439 N     94.918 W
09/13/2013 09:52:00     19.437 N     94.922 W
09/13/2013 09:53:59     19.436 N     94.926 W
09/13/2013 09:56:00     19.435 N     94.930 W
09/13/2013 09:57:59     19.433 N     94.934 W
09/13/2013 10:00:00     19.432 N     94.937 W
09/13/2013 10:02:00     19.431 N     94.941 W
09/13/2013 10:03:59     19.429 N     94.945 W
09/13/2013 10:06:00     19.428 N     94.949 W
09/13/2013 10:07:59     19.427 N     94.953 W
09/13/2013 10:10:00     19.426 N     94.957 W
09/13/2013 10:11:59     19.424 N     94.961 W
09/13/2013 10:14:00     19.423 N     94.965 W
09/13/2013 10:15:59     19.422 N     94.969 W
09/13/2013 10:18:00     19.420 N     94.973 W
09/13/2013 10:19:59     19.419 N     94.977 W
09/13/2013 10:22:00     19.418 N     94.982 W
09/13/2013 10:23:59     19.417 N     94.986 W
09/13/2013 10:26:00     19.415 N     94.990 W
09/13/2013 10:27:59     19.414 N     94.994 W
09/13/2013 10:30:00     19.413 N     94.998 W
09/13/2013 10:32:00     19.412 N     95.002 W
09/13/2013 10:33:59     19.410 N     95.007 W
09/13/2013 10:36:00     19.409 N     95.011 W
09/13/2013 10:37:59     19.408 N     95.015 W
09/13/2013 10:40:00     19.407 N     95.019 W
09/13/2013 10:41:59     19.405 N     95.024 W
09/13/2013 10:44:00     19.404 N     95.028 W
09/13/2013 10:45:59     19.403 N     95.032 W
09/13/2013 10:48:00     19.402 N     95.037 W
09/13/2013 10:49:59     19.400 N     95.041 W
09/13/2013 10:52:00     19.399 N     95.045 W
09/13/2013 10:53:59     19.398 N     95.050 W
09/13/2013 10:56:00     19.397 N     95.054 W
09/13/2013 10:57:59     19.395 N     95.059 W
09/13/2013 11:00:00     19.394 N     95.063 W
09/13/2013 11:02:00     19.393 N     95.068 W
09/13/2013 11:03:59     19.392 N     95.072 W
09/13/2013 11:06:00     19.390 N     95.076 W
09/13/2013 11:07:59     19.389 N     95.081 W
09/13/2013 11:10:00     19.388 N     95.086 W
09/13/2013 11:11:59     19.387 N     95.090 W
09/13/2013 11:14:00     19.386 N     95.095 W
09/13/2013 11:15:59     19.384 N     95.099 W
09/13/2013 11:18:00     19.383 N     95.104 W
09/13/2013 11:19:59     19.382 N     95.108 W
09/13/2013 11:22:00     19.381 N     95.113 W
09/13/2013 11:23:59     19.379 N     95.117 W
09/13/2013 11:26:00     19.378 N     95.122 W
09/13/2013 11:27:59     19.377 N     95.127 W
09/13/2013 11:30:00     19.376 N     95.131 W
09/13/2013 11:32:00     19.375 N     95.136 W
09/13/2013 11:33:59     19.373 N     95.141 W
09/13/2013 11:36:00     19.372 N     95.145 W
09/13/2013 11:37:59     19.371 N     95.150 W
09/13/2013 11:40:00     19.370 N     95.155 W
09/13/2013 11:41:59     19.368 N     95.159 W
09/13/2013 11:44:00     19.367 N     95.164 W
09/13/2013 11:45:59     19.366 N     95.169 W
09/13/2013 11:48:00     19.365 N     95.174 W
09/13/2013 11:49:59     19.364 N     95.178 W
09/13/2013 11:52:00     19.362 N     95.183 W
09/13/2013 11:53:59     19.361 N     95.188 W
09/13/2013 11:56:00     19.360 N     95.193 W
09/13/2013 11:57:59     19.359 N     95.197 W
09/13/2013 12:00:00     19.358 N     95.202 W
09/13/2013 12:02:00     19.356 N     95.207 W
09/13/2013 12:03:59     19.355 N     95.212 W
09/13/2013 12:06:00     19.354 N     95.217 W
09/13/2013 12:07:59     19.353 N     95.221 W
09/13/2013 12:10:00     19.352 N     95.226 W
09/13/2013 12:11:59     19.350 N     95.231 W
09/13/2013 12:14:00     19.349 N     95.236 W
09/13/2013 12:15:59     19.348 N     95.241 W
09/13/2013 12:18:00     19.347 N     95.246 W
09/13/2013 12:19:59     19.346 N     95.250 W
09/13/2013 12:22:00     19.344 N     95.255 W
09/13/2013 12:23:59     19.343 N     95.260 W
09/13/2013 12:26:00     19.342 N     95.265 W
09/13/2013 12:27:59     19.341 N     95.270 W
09/13/2013 12:30:00     19.340 N     95.275 W
09/13/2013 12:32:00     19.338 N     95.280 W
09/13/2013 12:33:59     19.337 N     95.285 W
09/13/2013 12:36:00     19.336 N     95.289 W
09/13/2013 12:37:59     19.335 N     95.294 W
09/13/2013 12:40:00     19.334 N     95.299 W
09/13/2013 12:41:59     19.332 N     95.304 W
09/13/2013 12:42:47     19.332 N     95.306 W
09/13/2013 12:44:46     19.335 N     95.304 W
09/13/2013 12:46:46     19.338 N     95.303 W
09/13/2013 12:48:47     19.341 N     95.301 W
09/13/2013 12:50:46     19.343 N     95.298 W
09/13/2013 12:52:47     19.345 N     95.296 W
09/13/2013 12:54:46     19.347 N     95.293 W
09/13/2013 12:56:47     19.349 N     95.290 W
09/13/2013 12:58:46     19.350 N     95.287 W
09/13/2013 13:00:47     19.350 N     95.284 W
09/13/2013 13:02:46     19.351 N     95.281 W
09/13/2013 13:04:47     19.350 N     95.278 W
09/13/2013 13:06:46     19.350 N     95.275 W
09/13/2013 13:07:04     19.350 N     95.274 W
09/13/2013 13:09:05     19.348 N     95.270 W
09/13/2013 13:11:04     19.346 N     95.266 W
09/13/2013 13:13:05     19.345 N     95.263 W
09/13/2013 13:15:04     19.343 N     95.259 W
09/13/2013 13:17:05     19.341 N     95.255 W
09/13/2013 13:19:04     19.339 N     95.251 W
09/13/2013 13:21:05     19.337 N     95.247 W
09/13/2013 13:23:04     19.335 N     95.244 W
09/13/2013 13:25:04     19.334 N     95.240 W
09/13/2013 13:27:05     19.332 N     95.236 W
09/13/2013 13:29:04     19.330 N     95.232 W
09/13/2013 13:31:05     19.328 N     95.229 W
09/13/2013 13:31:20     19.328 N     95.228 W
09/13/2013 13:33:19     19.326 N     95.224 W
