Track for Isaias               2020
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
07/30/2020 11:35:29     17.367 N     68.409 W
07/30/2020 11:37:30     17.375 N     68.416 W
07/30/2020 11:39:30     17.382 N     68.423 W
07/30/2020 11:41:29     17.390 N     68.430 W
07/30/2020 11:43:30     17.398 N     68.437 W
07/30/2020 11:45:29     17.405 N     68.444 W
07/30/2020 11:47:30     17.413 N     68.451 W
07/30/2020 11:49:29     17.421 N     68.458 W
07/30/2020 11:51:30     17.429 N     68.465 W
07/30/2020 11:53:29     17.436 N     68.471 W
07/30/2020 11:55:30     17.444 N     68.478 W
07/30/2020 11:57:29     17.452 N     68.485 W
07/30/2020 12:00:30     17.460 N     68.492 W
07/30/2020 12:01:29     17.467 N     68.499 W
07/30/2020 12:03:30     17.475 N     68.506 W
07/30/2020 12:05:29     17.483 N     68.513 W
07/30/2020 12:07:30     17.491 N     68.520 W
07/30/2020 12:09:30     17.498 N     68.527 W
07/30/2020 12:11:29     17.506 N     68.534 W
07/30/2020 12:13:30     17.514 N     68.540 W
07/30/2020 12:15:29     17.522 N     68.547 W
07/30/2020 12:17:30     17.529 N     68.554 W
07/30/2020 12:19:29     17.537 N     68.561 W
07/30/2020 12:21:30     17.545 N     68.568 W
07/30/2020 12:23:29     17.553 N     68.575 W
07/30/2020 12:25:30     17.560 N     68.582 W
07/30/2020 12:27:29     17.568 N     68.589 W
07/30/2020 12:29:30     17.576 N     68.596 W
07/30/2020 12:31:29     17.584 N     68.603 W
07/30/2020 12:33:30     17.591 N     68.610 W
07/30/2020 12:35:29     17.599 N     68.616 W
07/30/2020 12:37:30     17.607 N     68.623 W
07/30/2020 12:39:30     17.614 N     68.630 W
07/30/2020 12:41:29     17.622 N     68.637 W
07/30/2020 12:43:30     17.630 N     68.644 W
07/30/2020 12:45:29     17.638 N     68.651 W
07/30/2020 12:47:30     17.645 N     68.658 W
07/30/2020 12:49:29     17.653 N     68.665 W
07/30/2020 12:51:30     17.661 N     68.672 W
07/30/2020 12:53:29     17.669 N     68.679 W
07/30/2020 12:55:30     17.676 N     68.686 W
07/30/2020 12:57:29     17.684 N     68.693 W
07/30/2020 13:00:30     17.692 N     68.699 W
07/30/2020 13:01:29     17.699 N     68.706 W
07/30/2020 13:03:30     17.707 N     68.713 W
07/30/2020 13:05:29     17.715 N     68.720 W
07/30/2020 13:07:30     17.722 N     68.727 W
07/30/2020 13:09:30     17.730 N     68.734 W
07/30/2020 13:11:29     17.738 N     68.741 W
07/30/2020 13:13:30     17.746 N     68.748 W
07/30/2020 13:15:29     17.753 N     68.755 W
07/30/2020 13:17:30     17.761 N     68.762 W
07/30/2020 13:19:29     17.769 N     68.769 W
07/30/2020 13:21:30     17.776 N     68.776 W
07/30/2020 13:23:29     17.784 N     68.783 W
07/30/2020 13:25:30     17.792 N     68.790 W
07/30/2020 13:27:29     17.799 N     68.796 W
07/30/2020 13:29:30     17.807 N     68.803 W
07/30/2020 13:31:29     17.815 N     68.810 W
07/30/2020 13:33:30     17.822 N     68.817 W
07/30/2020 13:35:29     17.830 N     68.824 W
07/30/2020 13:37:30     17.838 N     68.831 W
07/30/2020 13:39:30     17.845 N     68.838 W
07/30/2020 13:41:29     17.853 N     68.845 W
07/30/2020 13:43:30     17.861 N     68.852 W
07/30/2020 13:45:29     17.868 N     68.859 W
07/30/2020 13:47:30     17.876 N     68.866 W
07/30/2020 13:49:29     17.884 N     68.873 W
07/30/2020 13:51:30     17.891 N     68.880 W
07/30/2020 13:53:29     17.899 N     68.887 W
07/30/2020 13:55:30     17.907 N     68.894 W
07/30/2020 13:57:29     17.914 N     68.901 W
07/30/2020 14:00:30     17.922 N     68.908 W
07/30/2020 14:01:29     17.929 N     68.915 W
07/30/2020 14:03:30     17.937 N     68.922 W
07/30/2020 14:05:29     17.945 N     68.929 W
07/30/2020 14:07:30     17.952 N     68.936 W
07/30/2020 14:09:30     17.960 N     68.942 W
07/30/2020 14:11:29     17.967 N     68.949 W
07/30/2020 14:13:30     17.975 N     68.956 W
07/30/2020 14:15:29     17.983 N     68.963 W
