Track for Javier               2016
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/08/2016 11:53:59     21.690 N    108.794 W
08/08/2016 11:56:00     21.693 N    108.796 W
08/08/2016 11:57:59     21.697 N    108.798 W
08/08/2016 12:00:00     21.700 N    108.800 W
08/08/2016 12:02:00     21.703 N    108.802 W
08/08/2016 12:03:59     21.707 N    108.804 W
08/08/2016 12:06:00     21.710 N    108.806 W
08/08/2016 12:07:59     21.714 N    108.808 W
08/08/2016 12:10:00     21.717 N    108.810 W
08/08/2016 12:11:59     21.721 N    108.812 W
08/08/2016 12:14:00     21.724 N    108.815 W
08/08/2016 12:15:59     21.727 N    108.817 W
08/08/2016 12:18:00     21.731 N    108.819 W
08/08/2016 12:19:59     21.734 N    108.821 W
08/08/2016 12:22:00     21.738 N    108.823 W
08/08/2016 12:23:59     21.741 N    108.825 W
08/08/2016 12:26:00     21.745 N    108.827 W
08/08/2016 12:27:59     21.748 N    108.829 W
08/08/2016 12:30:00     21.751 N    108.831 W
08/08/2016 12:32:00     21.755 N    108.833 W
08/08/2016 12:33:59     21.758 N    108.835 W
08/08/2016 12:36:00     21.762 N    108.838 W
08/08/2016 12:37:59     21.765 N    108.840 W
08/08/2016 12:40:00     21.768 N    108.842 W
08/08/2016 12:41:59     21.772 N    108.844 W
08/08/2016 12:44:00     21.775 N    108.846 W
08/08/2016 12:45:59     21.779 N    108.848 W
08/08/2016 12:48:00     21.782 N    108.850 W
08/08/2016 12:49:59     21.785 N    108.852 W
08/08/2016 12:52:00     21.789 N    108.854 W
08/08/2016 12:53:59     21.792 N    108.857 W
08/08/2016 12:56:00     21.795 N    108.859 W
08/08/2016 12:57:59     21.799 N    108.861 W
08/08/2016 13:00:00     21.802 N    108.863 W
08/08/2016 13:02:00     21.806 N    108.865 W
08/08/2016 13:03:59     21.809 N    108.867 W
08/08/2016 13:06:00     21.812 N    108.869 W
08/08/2016 13:07:59     21.816 N    108.872 W
08/08/2016 13:10:00     21.819 N    108.874 W
08/08/2016 13:11:59     21.822 N    108.876 W
08/08/2016 13:14:00     21.826 N    108.878 W
08/08/2016 13:15:59     21.829 N    108.880 W
08/08/2016 13:18:00     21.832 N    108.883 W
08/08/2016 13:19:59     21.836 N    108.885 W
08/08/2016 13:22:00     21.839 N    108.887 W
08/08/2016 13:23:59     21.842 N    108.889 W
08/08/2016 13:26:00     21.845 N    108.891 W
08/08/2016 13:27:59     21.849 N    108.894 W
08/08/2016 13:30:00     21.852 N    108.896 W
08/08/2016 13:32:00     21.855 N    108.898 W
08/08/2016 13:33:59     21.859 N    108.900 W
08/08/2016 13:36:00     21.862 N    108.903 W
08/08/2016 13:37:59     21.865 N    108.905 W
08/08/2016 13:40:00     21.868 N    108.907 W
08/08/2016 13:41:59     21.872 N    108.909 W
08/08/2016 13:44:00     21.875 N    108.912 W
08/08/2016 13:45:59     21.878 N    108.914 W
08/08/2016 13:48:00     21.881 N    108.916 W
08/08/2016 13:49:59     21.884 N    108.919 W
08/08/2016 13:52:00     21.888 N    108.921 W
08/08/2016 13:53:59     21.891 N    108.923 W
08/08/2016 13:56:00     21.894 N    108.926 W
08/08/2016 13:57:59     21.897 N    108.928 W
08/08/2016 14:00:00     21.900 N    108.930 W
08/08/2016 14:02:00     21.904 N    108.933 W
08/08/2016 14:03:59     21.907 N    108.935 W
08/08/2016 14:06:00     21.910 N    108.937 W
08/08/2016 14:07:59     21.913 N    108.940 W
08/08/2016 14:10:00     21.916 N    108.942 W
08/08/2016 14:11:59     21.919 N    108.945 W
08/08/2016 14:14:00     21.922 N    108.947 W
08/08/2016 14:15:59     21.925 N    108.950 W
08/08/2016 14:18:00     21.928 N    108.952 W
08/08/2016 14:19:59     21.932 N    108.954 W
08/08/2016 14:22:00     21.935 N    108.957 W
08/08/2016 14:23:59     21.938 N    108.959 W
08/08/2016 14:26:00     21.941 N    108.962 W
08/08/2016 14:27:59     21.944 N    108.964 W
08/08/2016 14:30:00     21.947 N    108.967 W
08/08/2016 14:32:00     21.950 N    108.969 W
08/08/2016 14:33:59     21.953 N    108.972 W
08/08/2016 14:36:00     21.956 N    108.975 W
08/08/2016 14:37:59     21.959 N    108.977 W
08/08/2016 14:40:00     21.962 N    108.980 W
08/08/2016 14:41:59     21.965 N    108.982 W
08/08/2016 14:44:00     21.968 N    108.985 W
08/08/2016 14:45:59     21.970 N    108.987 W
08/08/2016 14:48:00     21.973 N    108.990 W
08/08/2016 14:49:59     21.976 N    108.993 W
08/08/2016 14:52:00     21.979 N    108.995 W
08/08/2016 14:53:59     21.982 N    108.998 W
08/08/2016 14:56:00     21.985 N    109.001 W
08/08/2016 14:57:59     21.988 N    109.003 W
08/08/2016 15:00:00     21.991 N    109.006 W
08/08/2016 15:02:00     21.993 N    109.009 W
08/08/2016 15:03:59     21.996 N    109.012 W
08/08/2016 15:06:00     21.999 N    109.014 W
08/08/2016 15:07:59     22.002 N    109.017 W
08/08/2016 15:10:00     22.005 N    109.020 W
08/08/2016 15:11:59     22.007 N    109.023 W
08/08/2016 15:14:00     22.010 N    109.026 W
08/08/2016 15:15:59     22.013 N    109.028 W
08/08/2016 15:18:00     22.016 N    109.031 W
08/08/2016 15:19:59     22.018 N    109.034 W
08/08/2016 15:22:00     22.021 N    109.037 W
08/08/2016 15:23:59     22.024 N    109.040 W
08/08/2016 15:26:00     22.026 N    109.043 W
08/08/2016 15:27:59     22.029 N    109.046 W
08/08/2016 15:30:00     22.032 N    109.049 W
08/08/2016 15:32:00     22.034 N    109.052 W
08/08/2016 15:33:59     22.037 N    109.054 W
08/08/2016 15:36:00     22.039 N    109.057 W
08/08/2016 15:37:59     22.042 N    109.061 W
08/08/2016 15:40:00     22.044 N    109.064 W
08/08/2016 15:41:59     22.047 N    109.067 W
08/08/2016 15:44:00     22.049 N    109.070 W
08/08/2016 15:45:59     22.052 N    109.073 W
08/08/2016 15:48:00     22.054 N    109.076 W
08/08/2016 15:49:59     22.057 N    109.079 W
08/08/2016 15:52:00     22.059 N    109.082 W
08/08/2016 15:53:59     22.062 N    109.085 W
08/08/2016 15:56:00     22.064 N    109.088 W
08/08/2016 15:57:59     22.067 N    109.092 W
08/08/2016 16:00:00     22.069 N    109.095 W
08/08/2016 16:01:59     22.071 N    109.098 W
08/08/2016 16:04:00     22.074 N    109.101 W
08/08/2016 16:06:00     22.076 N    109.104 W
08/08/2016 16:07:59     22.078 N    109.108 W
08/08/2016 16:09:59     22.081 N    109.111 W
08/08/2016 16:12:00     22.083 N    109.114 W
08/08/2016 16:14:00     22.085 N    109.118 W
08/08/2016 16:15:59     22.087 N    109.121 W
08/08/2016 16:17:59     22.090 N    109.124 W
08/08/2016 16:20:00     22.092 N    109.128 W
08/08/2016 16:22:00     22.094 N    109.131 W
08/08/2016 16:23:59     22.096 N    109.135 W
08/08/2016 16:25:59     22.098 N    109.138 W
08/08/2016 16:28:00     22.100 N    109.142 W
08/08/2016 16:30:00     22.102 N    109.145 W
08/08/2016 16:31:59     22.105 N    109.149 W
08/08/2016 16:34:00     22.107 N    109.152 W
08/08/2016 16:36:00     22.109 N    109.156 W
08/08/2016 16:37:59     22.111 N    109.159 W
08/08/2016 16:39:59     22.113 N    109.163 W
08/08/2016 16:42:00     22.115 N    109.167 W
08/08/2016 16:44:00     22.117 N    109.170 W
08/08/2016 16:45:59     22.119 N    109.174 W
08/08/2016 16:47:59     22.120 N    109.178 W
08/08/2016 16:50:00     22.122 N    109.181 W
08/08/2016 16:52:00     22.124 N    109.185 W
08/08/2016 16:53:59     22.126 N    109.189 W
08/08/2016 16:55:59     22.128 N    109.193 W
08/08/2016 16:58:00     22.130 N    109.196 W
08/08/2016 17:00:00     22.131 N    109.200 W
08/08/2016 17:01:59     22.133 N    109.204 W
08/08/2016 17:04:00     22.135 N    109.208 W
08/08/2016 17:06:00     22.137 N    109.212 W
08/08/2016 17:07:59     22.138 N    109.216 W
08/08/2016 17:09:59     22.140 N    109.220 W
08/08/2016 17:12:00     22.142 N    109.224 W
08/08/2016 17:14:00     22.143 N    109.228 W
08/08/2016 17:15:59     22.145 N    109.232 W
08/08/2016 17:17:59     22.147 N    109.236 W
08/08/2016 17:20:00     22.148 N    109.240 W
08/08/2016 17:22:00     22.150 N    109.244 W
08/08/2016 17:23:59     22.151 N    109.248 W
08/08/2016 17:25:59     22.153 N    109.252 W
08/08/2016 17:28:00     22.154 N    109.257 W
08/08/2016 17:30:00     22.156 N    109.261 W
08/08/2016 17:31:59     22.157 N    109.265 W
08/08/2016 17:34:00     22.158 N    109.269 W
08/08/2016 17:36:00     22.160 N    109.273 W
08/08/2016 17:37:59     22.161 N    109.278 W
08/08/2016 17:39:59     22.163 N    109.282 W
08/08/2016 17:42:00     22.164 N    109.286 W
08/08/2016 17:44:00     22.165 N    109.291 W
08/08/2016 17:45:59     22.167 N    109.295 W
08/08/2016 17:47:59     22.168 N    109.299 W
08/08/2016 17:50:00     22.169 N    109.304 W
08/08/2016 17:52:00     22.170 N    109.308 W
08/08/2016 17:53:59     22.172 N    109.313 W
08/08/2016 17:55:59     22.173 N    109.317 W
08/08/2016 17:58:00     22.174 N    109.322 W
08/08/2016 18:00:00     22.175 N    109.326 W
08/08/2016 18:01:59     22.176 N    109.331 W
08/08/2016 18:04:00     22.177 N    109.335 W
08/08/2016 18:06:00     22.179 N    109.340 W
08/08/2016 18:07:59     22.180 N    109.344 W
08/08/2016 18:09:59     22.181 N    109.349 W
08/08/2016 18:12:00     22.182 N    109.354 W
08/08/2016 18:14:00     22.183 N    109.358 W
08/08/2016 18:15:59     22.184 N    109.363 W
08/08/2016 18:17:59     22.185 N    109.368 W
08/08/2016 18:20:00     22.186 N    109.372 W
08/08/2016 18:22:00     22.187 N    109.377 W
08/08/2016 18:23:59     22.188 N    109.382 W
08/08/2016 18:25:59     22.189 N    109.387 W
08/08/2016 18:28:00     22.190 N    109.391 W
08/08/2016 18:30:00     22.190 N    109.396 W
08/08/2016 18:31:59     22.191 N    109.401 W
08/08/2016 18:34:00     22.192 N    109.406 W
08/08/2016 18:36:00     22.193 N    109.411 W
08/08/2016 18:37:59     22.194 N    109.415 W
08/08/2016 18:39:59     22.195 N    109.420 W
08/08/2016 18:42:00     22.196 N    109.425 W
08/08/2016 18:43:08     22.196 N    109.428 W
08/08/2016 18:45:09     22.197 N    109.432 W
08/08/2016 18:47:09     22.198 N    109.435 W
08/08/2016 18:49:08     22.198 N    109.438 W
08/08/2016 18:51:09     22.199 N    109.442 W
08/08/2016 18:53:09     22.200 N    109.445 W
08/08/2016 18:55:08     22.200 N    109.448 W
08/08/2016 18:57:08     22.201 N    109.451 W
08/08/2016 18:59:09     22.202 N    109.454 W
08/08/2016 19:01:09     22.202 N    109.457 W
08/08/2016 19:03:08     22.203 N    109.460 W
08/08/2016 19:05:08     22.203 N    109.463 W
08/08/2016 19:07:09     22.204 N    109.465 W
08/08/2016 19:09:09     22.204 N    109.468 W
08/08/2016 19:11:08     22.205 N    109.470 W
08/08/2016 19:13:08     22.205 N    109.472 W
08/08/2016 19:15:09     22.206 N    109.475 W
08/08/2016 19:17:09     22.206 N    109.477 W
08/08/2016 19:19:08     22.206 N    109.479 W
08/08/2016 19:21:09     22.207 N    109.481 W
08/08/2016 19:23:09     22.207 N    109.483 W
08/08/2016 19:25:08     22.207 N    109.484 W
08/08/2016 19:27:08     22.207 N    109.486 W
08/08/2016 19:29:09     22.207 N    109.488 W
08/08/2016 19:31:09     22.208 N    109.489 W
08/08/2016 19:33:08     22.208 N    109.490 W
08/08/2016 19:35:08     22.208 N    109.492 W
08/08/2016 19:37:09     22.208 N    109.493 W
