Track for Jerry                2019
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/19/2019 14:21:39     16.813 N     54.353 W
09/19/2019 14:23:40     16.817 N     54.361 W
09/19/2019 14:25:40     16.821 N     54.369 W
09/19/2019 14:27:39     16.825 N     54.377 W
09/19/2019 14:29:40     16.829 N     54.385 W
09/19/2019 14:31:39     16.833 N     54.393 W
09/19/2019 14:33:40     16.837 N     54.401 W
09/19/2019 14:35:39     16.841 N     54.408 W
09/19/2019 14:37:40     16.845 N     54.416 W
09/19/2019 14:39:39     16.848 N     54.424 W
09/19/2019 14:41:40     16.852 N     54.432 W
09/19/2019 14:43:39     16.856 N     54.440 W
09/19/2019 14:45:40     16.860 N     54.448 W
09/19/2019 14:47:39     16.864 N     54.456 W
09/19/2019 14:49:40     16.868 N     54.463 W
09/19/2019 14:51:39     16.872 N     54.471 W
09/19/2019 14:53:40     16.876 N     54.479 W
09/19/2019 14:55:40     16.880 N     54.487 W
09/19/2019 14:57:39     16.883 N     54.495 W
09/19/2019 14:59:40     16.887 N     54.503 W
09/19/2019 15:01:39     16.891 N     54.511 W
09/19/2019 15:03:40     16.895 N     54.519 W
09/19/2019 15:05:39     16.899 N     54.527 W
09/19/2019 15:07:40     16.903 N     54.535 W
09/19/2019 15:09:39     16.907 N     54.543 W
09/19/2019 15:11:40     16.910 N     54.551 W
09/19/2019 15:13:39     16.914 N     54.559 W
09/19/2019 15:15:40     16.918 N     54.567 W
09/19/2019 15:17:39     16.922 N     54.575 W
09/19/2019 15:19:40     16.926 N     54.583 W
09/19/2019 15:21:39     16.929 N     54.591 W
09/19/2019 15:23:40     16.933 N     54.600 W
09/19/2019 15:25:40     16.937 N     54.608 W
09/19/2019 15:27:39     16.941 N     54.616 W
09/19/2019 15:29:40     16.944 N     54.624 W
09/19/2019 15:31:39     16.948 N     54.632 W
09/19/2019 15:33:40     16.952 N     54.641 W
09/19/2019 15:35:39     16.955 N     54.649 W
09/19/2019 15:37:40     16.959 N     54.657 W
09/19/2019 15:39:39     16.963 N     54.666 W
09/19/2019 15:41:40     16.966 N     54.674 W
09/19/2019 15:43:39     16.970 N     54.682 W
09/19/2019 15:45:40     16.974 N     54.691 W
09/19/2019 15:47:39     16.977 N     54.699 W
09/19/2019 15:49:40     16.981 N     54.708 W
09/19/2019 15:51:39     16.984 N     54.716 W
09/19/2019 15:53:40     16.988 N     54.725 W
09/19/2019 15:55:40     16.991 N     54.734 W
09/19/2019 15:57:39     16.995 N     54.742 W
09/19/2019 15:59:40     16.998 N     54.751 W
09/19/2019 16:01:40     17.002 N     54.760 W
09/19/2019 16:03:40     17.005 N     54.768 W
09/19/2019 16:05:39     17.009 N     54.777 W
