Track for Julio                2014
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/08/2014 23:53:59     18.692 N    143.979 W
08/08/2014 23:55:59     18.695 N    143.986 W
08/08/2014 23:58:00     18.697 N    143.993 W
08/09/2014 00:00:00     18.700 N    144.000 W
08/09/2014 00:01:59     18.703 N    144.007 W
08/09/2014 00:04:00     18.705 N    144.014 W
08/09/2014 00:06:00     18.708 N    144.021 W
08/09/2014 00:07:59     18.711 N    144.028 W
08/09/2014 00:09:59     18.713 N    144.035 W
08/09/2014 00:12:00     18.716 N    144.042 W
08/09/2014 00:14:00     18.719 N    144.049 W
08/09/2014 00:15:59     18.721 N    144.056 W
08/09/2014 00:17:59     18.724 N    144.063 W
08/09/2014 00:20:00     18.727 N    144.070 W
08/09/2014 00:22:00     18.729 N    144.076 W
08/09/2014 00:23:59     18.732 N    144.083 W
08/09/2014 00:25:59     18.735 N    144.090 W
08/09/2014 00:28:00     18.737 N    144.097 W
08/09/2014 00:30:00     18.740 N    144.104 W
08/09/2014 00:31:59     18.743 N    144.111 W
08/09/2014 00:34:00     18.745 N    144.118 W
08/09/2014 00:36:00     18.748 N    144.125 W
08/09/2014 00:37:59     18.751 N    144.132 W
08/09/2014 00:39:59     18.753 N    144.139 W
08/09/2014 00:42:00     18.756 N    144.146 W
08/09/2014 00:44:00     18.758 N    144.153 W
08/09/2014 00:45:59     18.761 N    144.160 W
08/09/2014 00:47:59     18.764 N    144.167 W
08/09/2014 00:50:00     18.766 N    144.174 W
08/09/2014 00:52:00     18.769 N    144.181 W
08/09/2014 00:53:59     18.772 N    144.188 W
08/09/2014 00:55:59     18.774 N    144.195 W
08/09/2014 00:58:00     18.777 N    144.202 W
08/09/2014 01:00:00     18.780 N    144.209 W
08/09/2014 01:01:59     18.783 N    144.216 W
08/09/2014 01:04:00     18.785 N    144.223 W
08/09/2014 01:06:00     18.788 N    144.230 W
08/09/2014 01:07:59     18.791 N    144.237 W
08/09/2014 01:09:59     18.793 N    144.244 W
08/09/2014 01:12:00     18.796 N    144.251 W
08/09/2014 01:14:00     18.799 N    144.258 W
08/09/2014 01:15:59     18.801 N    144.265 W
08/09/2014 01:17:59     18.804 N    144.272 W
08/09/2014 01:20:00     18.807 N    144.279 W
08/09/2014 01:22:00     18.809 N    144.286 W
08/09/2014 01:23:59     18.812 N    144.293 W
08/09/2014 01:25:59     18.815 N    144.300 W
08/09/2014 01:28:00     18.817 N    144.308 W
08/09/2014 01:30:00     18.820 N    144.315 W
08/09/2014 01:31:59     18.823 N    144.322 W
08/09/2014 01:34:00     18.825 N    144.329 W
08/09/2014 01:36:00     18.828 N    144.336 W
08/09/2014 01:37:59     18.831 N    144.343 W
08/09/2014 01:39:59     18.834 N    144.350 W
08/09/2014 01:42:00     18.836 N    144.357 W
08/09/2014 01:44:00     18.839 N    144.364 W
08/09/2014 01:45:59     18.842 N    144.371 W
08/09/2014 01:47:59     18.844 N    144.378 W
08/09/2014 01:50:00     18.847 N    144.386 W
08/09/2014 01:52:00     18.850 N    144.393 W
08/09/2014 01:53:59     18.852 N    144.400 W
08/09/2014 01:55:59     18.855 N    144.407 W
08/09/2014 01:58:00     18.858 N    144.414 W
08/09/2014 02:00:00     18.861 N    144.421 W
08/09/2014 02:01:59     18.863 N    144.428 W
08/09/2014 02:04:00     18.866 N    144.436 W
08/09/2014 02:06:00     18.869 N    144.443 W
08/09/2014 02:07:59     18.872 N    144.450 W
08/09/2014 02:09:59     18.874 N    144.457 W
08/09/2014 02:12:00     18.877 N    144.464 W
08/09/2014 02:14:00     18.880 N    144.472 W
08/09/2014 02:15:59     18.882 N    144.479 W
08/09/2014 02:17:59     18.885 N    144.486 W
08/09/2014 02:20:00     18.888 N    144.493 W
08/09/2014 02:22:00     18.891 N    144.501 W
08/09/2014 02:23:59     18.893 N    144.508 W
08/09/2014 02:25:59     18.896 N    144.515 W
08/09/2014 02:28:00     18.899 N    144.522 W
08/09/2014 02:30:00     18.902 N    144.530 W
08/09/2014 02:31:59     18.904 N    144.537 W
08/09/2014 02:34:00     18.907 N    144.544 W
08/09/2014 02:36:00     18.910 N    144.552 W
08/09/2014 02:37:59     18.913 N    144.559 W
08/09/2014 02:39:59     18.915 N    144.566 W
08/09/2014 02:42:00     18.918 N    144.574 W
08/09/2014 02:44:00     18.921 N    144.581 W
08/09/2014 02:45:59     18.924 N    144.588 W
08/09/2014 02:47:59     18.927 N    144.596 W
08/09/2014 02:50:00     18.929 N    144.603 W
08/09/2014 02:52:00     18.932 N    144.610 W
08/09/2014 02:53:59     18.935 N    144.618 W
08/09/2014 02:55:59     18.938 N    144.625 W
08/09/2014 02:58:00     18.940 N    144.633 W
08/09/2014 03:00:00     18.943 N    144.640 W
08/09/2014 03:01:59     18.946 N    144.647 W
08/09/2014 03:04:00     18.949 N    144.655 W
08/09/2014 03:06:00     18.952 N    144.662 W
08/09/2014 03:07:59     18.954 N    144.670 W
08/09/2014 03:09:59     18.957 N    144.677 W
08/09/2014 03:12:00     18.960 N    144.685 W
08/09/2014 03:14:00     18.963 N    144.692 W
08/09/2014 03:15:59     18.966 N    144.700 W
08/09/2014 03:17:59     18.969 N    144.707 W
08/09/2014 03:20:00     18.971 N    144.715 W
08/09/2014 03:22:00     18.974 N    144.722 W
08/09/2014 03:23:59     18.977 N    144.730 W
08/09/2014 03:25:59     18.980 N    144.737 W
08/09/2014 03:28:00     18.983 N    144.745 W
08/09/2014 03:30:00     18.986 N    144.753 W
08/09/2014 03:31:59     18.988 N    144.760 W
08/09/2014 03:34:00     18.991 N    144.768 W
08/09/2014 03:36:00     18.994 N    144.776 W
08/09/2014 03:37:59     18.997 N    144.783 W
08/09/2014 03:39:59     19.000 N    144.791 W
08/09/2014 03:42:00     19.003 N    144.798 W
08/09/2014 03:44:00     19.006 N    144.806 W
08/09/2014 03:45:59     19.009 N    144.814 W
08/09/2014 03:47:59     19.011 N    144.822 W
08/09/2014 03:50:00     19.014 N    144.829 W
08/09/2014 03:52:00     19.017 N    144.837 W
08/09/2014 03:53:59     19.020 N    144.845 W
08/09/2014 03:55:59     19.023 N    144.853 W
08/09/2014 03:58:00     19.026 N    144.860 W
08/09/2014 04:00:00     19.029 N    144.868 W
08/09/2014 04:01:59     19.032 N    144.876 W
08/09/2014 04:04:00     19.035 N    144.884 W
08/09/2014 04:06:00     19.038 N    144.892 W
