Track for Katia                2011
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/06/2011 05:54:00     26.192 N     64.786 W
09/06/2011 05:56:00     26.195 N     64.791 W
09/06/2011 05:58:00     26.197 N     64.795 W
09/06/2011 06:00:00     26.200 N     64.800 W
09/06/2011 06:01:59     26.203 N     64.805 W
09/06/2011 06:03:59     26.205 N     64.809 W
09/06/2011 06:05:59     26.208 N     64.814 W
09/06/2011 06:07:59     26.211 N     64.818 W
09/06/2011 06:09:59     26.213 N     64.823 W
09/06/2011 06:11:59     26.216 N     64.827 W
09/06/2011 06:13:59     26.219 N     64.832 W
09/06/2011 06:16:00     26.221 N     64.836 W
09/06/2011 06:18:00     26.224 N     64.841 W
09/06/2011 06:20:00     26.227 N     64.845 W
09/06/2011 06:22:00     26.229 N     64.850 W
09/06/2011 06:24:00     26.232 N     64.854 W
09/06/2011 06:26:00     26.235 N     64.859 W
09/06/2011 06:28:00     26.237 N     64.863 W
09/06/2011 06:30:00     26.240 N     64.868 W
09/06/2011 06:31:59     26.243 N     64.872 W
09/06/2011 06:33:59     26.245 N     64.877 W
09/06/2011 06:35:59     26.248 N     64.881 W
09/06/2011 06:37:59     26.251 N     64.886 W
09/06/2011 06:39:59     26.253 N     64.890 W
09/06/2011 06:41:59     26.256 N     64.895 W
09/06/2011 06:43:59     26.259 N     64.899 W
09/06/2011 06:46:00     26.261 N     64.904 W
09/06/2011 06:48:00     26.264 N     64.909 W
09/06/2011 06:50:00     26.267 N     64.913 W
09/06/2011 06:52:00     26.269 N     64.918 W
09/06/2011 06:54:00     26.272 N     64.922 W
09/06/2011 06:56:00     26.275 N     64.927 W
09/06/2011 06:58:00     26.277 N     64.931 W
09/06/2011 07:00:00     26.280 N     64.936 W
09/06/2011 07:01:59     26.283 N     64.940 W
09/06/2011 07:03:59     26.285 N     64.945 W
09/06/2011 07:05:59     26.288 N     64.949 W
09/06/2011 07:07:59     26.291 N     64.954 W
09/06/2011 07:09:59     26.293 N     64.958 W
09/06/2011 07:11:59     26.296 N     64.963 W
09/06/2011 07:13:59     26.299 N     64.967 W
09/06/2011 07:16:00     26.301 N     64.972 W
09/06/2011 07:18:00     26.304 N     64.976 W
09/06/2011 07:20:00     26.307 N     64.981 W
09/06/2011 07:22:00     26.309 N     64.985 W
09/06/2011 07:24:00     26.312 N     64.990 W
09/06/2011 07:26:00     26.315 N     64.994 W
09/06/2011 07:28:00     26.317 N     64.999 W
09/06/2011 07:30:00     26.320 N     65.003 W
09/06/2011 07:31:59     26.323 N     65.008 W
09/06/2011 07:33:59     26.326 N     65.012 W
09/06/2011 07:35:59     26.328 N     65.017 W
