Track for Laura                2020
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/21/2020 11:54:13     16.721 N     59.486 W
08/21/2020 11:56:12     16.714 N     59.494 W
08/21/2020 11:58:13     16.707 N     59.502 W
08/21/2020 12:00:13     16.700 N     59.510 W
08/21/2020 12:02:12     16.693 N     59.518 W
08/21/2020 12:04:13     16.686 N     59.526 W
08/21/2020 12:06:12     16.679 N     59.534 W
08/21/2020 12:08:13     16.673 N     59.542 W
08/21/2020 12:10:12     16.666 N     59.550 W
08/21/2020 12:12:13     16.659 N     59.558 W
08/21/2020 12:14:12     16.652 N     59.566 W
08/21/2020 12:16:13     16.646 N     59.574 W
08/21/2020 12:18:12     16.639 N     59.582 W
08/21/2020 12:20:13     16.632 N     59.590 W
08/21/2020 12:22:12     16.626 N     59.597 W
08/21/2020 12:24:13     16.619 N     59.605 W
08/21/2020 12:26:12     16.613 N     59.613 W
08/21/2020 12:28:13     16.606 N     59.620 W
08/21/2020 12:30:13     16.600 N     59.627 W
08/21/2020 12:32:12     16.594 N     59.635 W
08/21/2020 12:34:13     16.588 N     59.642 W
08/21/2020 12:36:12     16.582 N     59.649 W
08/21/2020 12:38:13     16.576 N     59.656 W
08/21/2020 12:40:12     16.570 N     59.663 W
08/21/2020 12:42:13     16.565 N     59.670 W
08/21/2020 12:44:12     16.559 N     59.677 W
08/21/2020 12:46:13     16.553 N     59.684 W
08/21/2020 12:48:12     16.548 N     59.690 W
08/21/2020 12:50:13     16.543 N     59.696 W
08/21/2020 12:52:12     16.538 N     59.703 W
08/21/2020 12:54:13     16.533 N     59.709 W
08/21/2020 12:56:12     16.528 N     59.714 W
08/21/2020 12:58:13     16.524 N     59.720 W
08/21/2020 13:00:13     16.519 N     59.726 W
08/21/2020 13:02:12     16.515 N     59.731 W
08/21/2020 13:04:13     16.511 N     59.736 W
08/21/2020 13:06:12     16.507 N     59.741 W
08/21/2020 13:08:13     16.503 N     59.746 W
08/21/2020 13:10:12     16.500 N     59.751 W
08/21/2020 13:12:13     16.496 N     59.755 W
08/21/2020 13:14:12     16.493 N     59.760 W
08/21/2020 13:16:13     16.490 N     59.764 W
08/21/2020 13:18:12     16.488 N     59.768 W
08/21/2020 13:20:13     16.485 N     59.771 W
08/21/2020 13:22:12     16.483 N     59.775 W
08/21/2020 13:24:13     16.481 N     59.778 W
08/21/2020 13:26:12     16.479 N     59.781 W
08/21/2020 13:28:13     16.477 N     59.783 W
08/21/2020 13:30:13     16.476 N     59.786 W
08/21/2020 13:32:12     16.475 N     59.788 W
08/21/2020 13:34:13     16.474 N     59.790 W
08/21/2020 13:36:12     16.473 N     59.791 W
08/21/2020 13:38:13     16.473 N     59.793 W
08/21/2020 13:40:12     16.473 N     59.794 W
08/21/2020 13:42:13     16.473 N     59.795 W
08/21/2020 13:44:12     16.474 N     59.795 W
08/21/2020 13:46:13     16.475 N     59.795 W
08/21/2020 13:48:12     16.476 N     59.795 W
08/21/2020 13:50:13     16.477 N     59.795 W
08/21/2020 13:52:12     16.479 N     59.794 W
08/21/2020 13:54:13     16.481 N     59.793 W
08/21/2020 13:56:12     16.483 N     59.792 W
08/21/2020 13:58:13     16.486 N     59.790 W
08/21/2020 14:00:13     16.489 N     59.788 W
08/21/2020 14:02:12     16.492 N     59.786 W
08/21/2020 14:04:13     16.496 N     59.783 W
08/21/2020 14:06:12     16.500 N     59.780 W
08/21/2020 14:06:16     16.500 N     59.780 W
08/21/2020 14:08:17     16.499 N     59.782 W
08/21/2020 14:10:16     16.498 N     59.784 W
08/21/2020 14:12:17     16.497 N     59.787 W
08/21/2020 14:14:16     16.496 N     59.789 W
08/21/2020 14:16:17     16.495 N     59.791 W
08/21/2020 14:18:16     16.494 N     59.793 W
08/21/2020 14:20:17     16.493 N     59.795 W
08/21/2020 14:22:16     16.492 N     59.797 W
08/21/2020 14:24:16     16.490 N     59.800 W
08/21/2020 14:26:17     16.489 N     59.802 W
08/21/2020 14:28:16     16.488 N     59.804 W
08/21/2020 14:30:17     16.487 N     59.806 W
08/21/2020 14:32:16     16.486 N     59.808 W
08/21/2020 14:34:17     16.485 N     59.811 W
08/21/2020 14:36:16     16.484 N     59.813 W
08/21/2020 14:38:17     16.483 N     59.815 W
08/21/2020 14:40:16     16.482 N     59.817 W
08/21/2020 14:42:17     16.481 N     59.819 W
08/21/2020 14:44:16     16.480 N     59.822 W
08/21/2020 14:46:17     16.479 N     59.824 W
08/21/2020 14:48:16     16.478 N     59.826 W
08/21/2020 14:50:17     16.477 N     59.828 W
08/21/2020 14:52:16     16.476 N     59.831 W
08/21/2020 14:54:16     16.475 N     59.833 W
08/21/2020 14:56:17     16.474 N     59.835 W
08/21/2020 14:58:16     16.473 N     59.837 W
08/21/2020 15:00:17     16.471 N     59.840 W
08/21/2020 15:02:16     16.470 N     59.842 W
08/21/2020 15:04:17     16.469 N     59.844 W
08/21/2020 15:06:16     16.468 N     59.846 W
08/21/2020 15:08:17     16.467 N     59.849 W
08/21/2020 15:10:16     16.466 N     59.851 W
08/21/2020 15:12:17     16.465 N     59.853 W
08/21/2020 15:14:16     16.464 N     59.856 W
08/21/2020 15:16:17     16.463 N     59.858 W
08/21/2020 15:18:16     16.462 N     59.860 W
08/21/2020 15:20:17     16.461 N     59.862 W
08/21/2020 15:22:16     16.460 N     59.865 W
08/21/2020 15:24:16     16.459 N     59.867 W
08/21/2020 15:26:17     16.458 N     59.869 W
08/21/2020 15:28:16     16.457 N     59.872 W
08/21/2020 15:30:17     16.456 N     59.874 W
08/21/2020 15:32:16     16.455 N     59.876 W
08/21/2020 15:34:17     16.454 N     59.879 W
08/21/2020 15:36:16     16.453 N     59.881 W
08/21/2020 15:38:17     16.452 N     59.883 W
08/21/2020 15:40:16     16.451 N     59.886 W
08/21/2020 15:42:17     16.450 N     59.888 W
08/21/2020 15:44:16     16.449 N     59.890 W
08/21/2020 15:46:17     16.448 N     59.893 W
08/21/2020 15:48:16     16.447 N     59.895 W
08/21/2020 15:50:17     16.445 N     59.898 W
08/21/2020 15:52:16     16.444 N     59.900 W
08/21/2020 15:54:16     16.443 N     59.902 W
08/21/2020 15:56:17     16.442 N     59.905 W
08/21/2020 15:58:16     16.441 N     59.907 W
08/21/2020 16:00:17     16.440 N     59.910 W
08/21/2020 16:02:16     16.439 N     59.912 W
08/21/2020 16:04:16     16.438 N     59.914 W
08/21/2020 16:06:17     16.437 N     59.917 W
08/21/2020 16:08:17     16.436 N     59.919 W
08/21/2020 16:10:16     16.435 N     59.922 W
08/21/2020 16:12:16     16.434 N     59.924 W
08/21/2020 16:14:17     16.433 N     59.927 W
08/21/2020 16:16:17     16.432 N     59.929 W
08/21/2020 16:18:16     16.431 N     59.931 W
08/21/2020 16:20:16     16.430 N     59.934 W
08/21/2020 16:22:17     16.429 N     59.936 W
08/21/2020 16:24:16     16.428 N     59.939 W
08/21/2020 16:26:16     16.427 N     59.941 W
08/21/2020 16:28:17     16.426 N     59.944 W
08/21/2020 16:30:17     16.425 N     59.946 W
08/21/2020 16:32:16     16.424 N     59.949 W
08/21/2020 16:34:16     16.423 N     59.951 W
08/21/2020 16:36:17     16.422 N     59.954 W
08/21/2020 16:38:17     16.421 N     59.957 W
08/21/2020 16:40:16     16.420 N     59.959 W
08/21/2020 16:42:16     16.419 N     59.962 W
08/21/2020 16:44:17     16.418 N     59.964 W
08/21/2020 16:46:17     16.417 N     59.967 W
08/21/2020 16:48:16     16.416 N     59.969 W
08/21/2020 16:50:16     16.415 N     59.972 W
08/21/2020 16:52:17     16.414 N     59.974 W
08/21/2020 16:54:16     16.413 N     59.977 W
08/21/2020 16:56:16     16.412 N     59.980 W
08/21/2020 16:58:17     16.411 N     59.982 W
08/21/2020 17:00:17     16.410 N     59.985 W
08/21/2020 17:02:16     16.409 N     59.988 W
08/21/2020 17:04:16     16.408 N     59.990 W
08/21/2020 17:06:17     16.407 N     59.993 W
08/21/2020 17:08:17     16.406 N     59.996 W
08/21/2020 17:10:16     16.405 N     59.998 W
08/21/2020 17:12:16     16.404 N     60.001 W
08/21/2020 17:14:17     16.403 N     60.004 W
