Track for Leslie               2012
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/06/2012 23:53:59     26.498 N     62.200 W
09/06/2012 23:55:59     26.499 N     62.200 W
09/06/2012 23:58:00     26.499 N     62.200 W
09/07/2012 00:00:00     26.500 N     62.200 W
09/07/2012 00:02:00     26.501 N     62.200 W
09/07/2012 00:04:00     26.501 N     62.200 W
09/07/2012 00:06:00     26.502 N     62.200 W
09/07/2012 00:08:00     26.502 N     62.200 W
09/07/2012 00:10:00     26.503 N     62.200 W
09/07/2012 00:12:00     26.503 N     62.200 W
09/07/2012 00:14:00     26.504 N     62.200 W
09/07/2012 00:16:00     26.504 N     62.200 W
09/07/2012 00:18:00     26.505 N     62.200 W
09/07/2012 00:20:00     26.506 N     62.200 W
09/07/2012 00:22:00     26.506 N     62.200 W
09/07/2012 00:24:00     26.507 N     62.200 W
09/07/2012 00:26:00     26.507 N     62.200 W
09/07/2012 00:28:00     26.508 N     62.200 W
09/07/2012 00:30:00     26.508 N     62.200 W
09/07/2012 00:32:00     26.509 N     62.200 W
09/07/2012 00:34:00     26.510 N     62.201 W
09/07/2012 00:36:00     26.510 N     62.201 W
09/07/2012 00:38:00     26.511 N     62.201 W
09/07/2012 00:40:00     26.511 N     62.201 W
09/07/2012 00:42:00     26.512 N     62.201 W
09/07/2012 00:44:00     26.512 N     62.201 W
09/07/2012 00:46:00     26.513 N     62.201 W
09/07/2012 00:48:00     26.513 N     62.201 W
09/07/2012 00:50:00     26.514 N     62.201 W
09/07/2012 00:52:00     26.515 N     62.201 W
09/07/2012 00:54:00     26.515 N     62.201 W
09/07/2012 00:56:00     26.516 N     62.201 W
09/07/2012 00:58:00     26.516 N     62.201 W
09/07/2012 01:00:00     26.517 N     62.201 W
09/07/2012 01:01:59     26.517 N     62.201 W
09/07/2012 01:04:00     26.518 N     62.201 W
09/07/2012 01:06:00     26.519 N     62.201 W
09/07/2012 01:07:59     26.519 N     62.201 W
09/07/2012 01:09:59     26.520 N     62.201 W
09/07/2012 01:12:00     26.520 N     62.201 W
09/07/2012 01:14:00     26.521 N     62.201 W
09/07/2012 01:15:59     26.521 N     62.201 W
09/07/2012 01:17:59     26.522 N     62.201 W
09/07/2012 01:20:00     26.522 N     62.201 W
09/07/2012 01:22:00     26.523 N     62.201 W
09/07/2012 01:23:59     26.524 N     62.201 W
09/07/2012 01:25:59     26.524 N     62.201 W
09/07/2012 01:28:00     26.525 N     62.201 W
09/07/2012 01:30:00     26.525 N     62.201 W
09/07/2012 01:31:59     26.526 N     62.201 W
09/07/2012 01:34:00     26.526 N     62.201 W
09/07/2012 01:36:00     26.527 N     62.201 W
09/07/2012 01:38:00     26.527 N     62.201 W
09/07/2012 01:39:59     26.528 N     62.201 W
09/07/2012 01:42:00     26.529 N     62.201 W
09/07/2012 01:44:00     26.529 N     62.201 W
09/07/2012 01:46:00     26.530 N     62.201 W
09/07/2012 01:47:59     26.530 N     62.201 W
09/07/2012 01:50:00     26.531 N     62.201 W
09/07/2012 01:52:00     26.531 N     62.201 W
09/07/2012 01:54:00     26.532 N     62.201 W
09/07/2012 01:55:59     26.533 N     62.202 W
09/07/2012 01:58:00     26.533 N     62.202 W
09/07/2012 02:00:00     26.534 N     62.202 W
09/07/2012 02:01:59     26.534 N     62.202 W
09/07/2012 02:03:59     26.535 N     62.202 W
09/07/2012 02:05:59     26.535 N     62.202 W
09/07/2012 02:08:00     26.536 N     62.202 W
09/07/2012 02:10:00     26.536 N     62.202 W
09/07/2012 02:12:00     26.537 N     62.202 W
09/07/2012 02:14:00     26.538 N     62.202 W
09/07/2012 02:15:59     26.538 N     62.202 W
09/07/2012 02:17:59     26.539 N     62.202 W
09/07/2012 02:19:59     26.539 N     62.202 W
09/07/2012 02:21:59     26.540 N     62.202 W
09/07/2012 02:24:00     26.540 N     62.202 W
09/07/2012 02:26:00     26.541 N     62.202 W
09/07/2012 02:28:00     26.541 N     62.202 W
09/07/2012 02:30:00     26.542 N     62.202 W
09/07/2012 02:31:59     26.543 N     62.202 W
09/07/2012 02:33:59     26.543 N     62.202 W
09/07/2012 02:35:59     26.544 N     62.202 W
09/07/2012 02:38:00     26.544 N     62.202 W
09/07/2012 02:40:00     26.545 N     62.202 W
09/07/2012 02:42:00     26.545 N     62.202 W
09/07/2012 02:44:00     26.546 N     62.202 W
09/07/2012 02:46:00     26.546 N     62.202 W
09/07/2012 02:47:59     26.547 N     62.202 W
09/07/2012 02:49:59     26.548 N     62.202 W
09/07/2012 02:51:59     26.548 N     62.202 W
09/07/2012 02:54:00     26.549 N     62.202 W
09/07/2012 02:56:00     26.549 N     62.202 W
09/07/2012 02:58:00     26.550 N     62.202 W
09/07/2012 03:00:00     26.550 N     62.202 W
09/07/2012 03:01:59     26.551 N     62.202 W
09/07/2012 03:03:59     26.551 N     62.202 W
09/07/2012 03:05:59     26.552 N     62.202 W
09/07/2012 03:08:00     26.553 N     62.202 W
09/07/2012 03:10:00     26.553 N     62.202 W
09/07/2012 03:12:00     26.554 N     62.202 W
09/07/2012 03:14:00     26.554 N     62.202 W
09/07/2012 03:15:59     26.555 N     62.202 W
09/07/2012 03:17:59     26.555 N     62.202 W
09/07/2012 03:19:59     26.556 N     62.202 W
09/07/2012 03:21:59     26.556 N     62.202 W
09/07/2012 03:24:00     26.557 N     62.202 W
09/07/2012 03:26:00     26.558 N     62.202 W
09/07/2012 03:28:00     26.558 N     62.202 W
09/07/2012 03:30:00     26.559 N     62.202 W
09/07/2012 03:31:59     26.559 N     62.202 W
09/07/2012 03:33:59     26.560 N     62.202 W
09/07/2012 03:35:59     26.560 N     62.202 W
09/07/2012 03:38:00     26.561 N     62.202 W
09/07/2012 03:40:00     26.561 N     62.202 W
09/07/2012 03:42:00     26.562 N     62.202 W
09/07/2012 03:44:00     26.563 N     62.202 W
09/07/2012 03:46:00     26.563 N     62.202 W
09/07/2012 03:47:59     26.564 N     62.202 W
09/07/2012 03:49:59     26.564 N     62.202 W
09/07/2012 03:51:59     26.565 N     62.202 W
09/07/2012 03:54:00     26.565 N     62.202 W
09/07/2012 03:56:00     26.566 N     62.202 W
09/07/2012 03:58:00     26.566 N     62.202 W
09/07/2012 04:00:00     26.567 N     62.202 W
09/07/2012 04:01:59     26.568 N     62.202 W
09/07/2012 04:03:59     26.568 N     62.202 W
09/07/2012 04:05:59     26.569 N     62.202 W
09/07/2012 04:07:59     26.569 N     62.202 W
09/07/2012 04:09:59     26.570 N     62.202 W
09/07/2012 04:11:59     26.570 N     62.202 W
09/07/2012 04:13:59     26.571 N     62.202 W
09/07/2012 04:16:00     26.571 N     62.202 W
09/07/2012 04:18:00     26.572 N     62.202 W
09/07/2012 04:20:00     26.573 N     62.202 W
09/07/2012 04:22:00     26.573 N     62.202 W
09/07/2012 04:24:00     26.574 N     62.202 W
