Track for Nate                 2017
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
10/04/2017 17:18:18     12.282 N     82.308 W
10/04/2017 17:20:19     12.282 N     82.311 W
10/04/2017 17:22:18     12.282 N     82.313 W
10/04/2017 17:24:18     12.282 N     82.316 W
10/04/2017 17:26:19     12.282 N     82.319 W
10/04/2017 17:28:19     12.282 N     82.321 W
10/04/2017 17:30:18     12.282 N     82.324 W
10/04/2017 17:32:18     12.282 N     82.326 W
10/04/2017 17:34:19     12.282 N     82.329 W
10/04/2017 17:36:19     12.282 N     82.331 W
10/04/2017 17:38:18     12.282 N     82.334 W
10/04/2017 17:40:18     12.282 N     82.336 W
10/04/2017 17:42:19     12.281 N     82.339 W
10/04/2017 17:44:19     12.281 N     82.342 W
10/04/2017 17:46:18     12.281 N     82.344 W
10/04/2017 17:48:18     12.281 N     82.347 W
10/04/2017 17:50:19     12.281 N     82.349 W
10/04/2017 17:52:18     12.281 N     82.352 W
10/04/2017 17:54:18     12.281 N     82.354 W
10/04/2017 17:56:19     12.281 N     82.357 W
10/04/2017 17:58:19     12.281 N     82.359 W
10/04/2017 18:00:18     12.281 N     82.362 W
10/04/2017 18:02:18     12.281 N     82.365 W
10/04/2017 18:04:19     12.281 N     82.367 W
10/04/2017 18:06:19     12.281 N     82.370 W
10/04/2017 18:08:18     12.281 N     82.372 W
10/04/2017 18:10:18     12.281 N     82.375 W
10/04/2017 18:12:19     12.281 N     82.377 W
10/04/2017 18:14:19     12.281 N     82.380 W
10/04/2017 18:16:18     12.280 N     82.382 W
10/04/2017 18:18:18     12.280 N     82.385 W
10/04/2017 18:20:19     12.280 N     82.387 W
10/04/2017 18:22:18     12.280 N     82.390 W
10/04/2017 18:24:18     12.280 N     82.393 W
10/04/2017 18:26:19     12.280 N     82.395 W
10/04/2017 18:28:19     12.280 N     82.398 W
10/04/2017 18:30:18     12.280 N     82.400 W
10/04/2017 18:32:18     12.280 N     82.403 W
10/04/2017 18:34:19     12.280 N     82.405 W
10/04/2017 18:36:19     12.280 N     82.408 W
10/04/2017 18:38:18     12.280 N     82.410 W
10/04/2017 18:40:18     12.280 N     82.413 W
10/04/2017 18:42:19     12.280 N     82.416 W
10/04/2017 18:44:19     12.280 N     82.418 W
10/04/2017 18:46:18     12.280 N     82.421 W
10/04/2017 18:48:18     12.280 N     82.423 W
10/04/2017 18:50:19     12.280 N     82.426 W
10/04/2017 18:52:18     12.280 N     82.428 W
10/04/2017 18:54:18     12.280 N     82.431 W
10/04/2017 18:56:19     12.280 N     82.433 W
10/04/2017 18:58:19     12.280 N     82.436 W
10/04/2017 19:00:18     12.279 N     82.438 W
10/04/2017 19:02:18     12.279 N     82.441 W
10/04/2017 19:04:19     12.279 N     82.444 W
10/04/2017 19:06:19     12.279 N     82.446 W
10/04/2017 19:08:18     12.279 N     82.449 W
10/04/2017 19:10:18     12.279 N     82.451 W
10/04/2017 19:12:19     12.279 N     82.454 W
10/04/2017 19:14:19     12.279 N     82.456 W
10/04/2017 19:16:18     12.279 N     82.459 W
10/04/2017 19:18:18     12.279 N     82.461 W
10/04/2017 19:20:19     12.279 N     82.464 W
10/04/2017 19:22:18     12.279 N     82.467 W
10/04/2017 19:24:18     12.279 N     82.469 W
10/04/2017 19:26:19     12.279 N     82.472 W
10/04/2017 19:28:19     12.279 N     82.474 W
10/04/2017 19:30:18     12.279 N     82.477 W
10/04/2017 19:32:18     12.279 N     82.479 W
10/04/2017 19:34:19     12.279 N     82.482 W
10/04/2017 19:36:19     12.279 N     82.484 W
10/04/2017 19:38:18     12.279 N     82.487 W
10/04/2017 19:40:18     12.279 N     82.489 W
10/04/2017 19:42:19     12.279 N     82.492 W
10/04/2017 19:44:19     12.279 N     82.495 W
10/04/2017 19:46:18     12.279 N     82.497 W
10/04/2017 19:48:18     12.279 N     82.500 W
10/04/2017 19:50:19     12.279 N     82.502 W
10/04/2017 19:52:18     12.279 N     82.505 W
10/04/2017 19:54:18     12.279 N     82.507 W
10/04/2017 19:56:19     12.279 N     82.510 W
10/04/2017 19:58:19     12.279 N     82.512 W
10/04/2017 20:00:18     12.279 N     82.515 W
10/04/2017 20:02:18     12.279 N     82.517 W
10/04/2017 20:04:19     12.279 N     82.520 W
10/04/2017 20:06:19     12.279 N     82.523 W
10/04/2017 20:08:18     12.279 N     82.525 W
10/04/2017 20:10:18     12.279 N     82.528 W
10/04/2017 20:12:19     12.279 N     82.530 W
10/04/2017 20:14:19     12.279 N     82.533 W
10/04/2017 20:16:18     12.279 N     82.535 W
10/04/2017 20:18:18     12.279 N     82.538 W
10/04/2017 20:20:19     12.279 N     82.540 W
10/04/2017 20:22:18     12.279 N     82.543 W
10/04/2017 20:24:18     12.279 N     82.545 W
10/04/2017 20:26:19     12.279 N     82.548 W
10/04/2017 20:28:19     12.280 N     82.550 W
10/04/2017 20:30:18     12.280 N     82.553 W
10/04/2017 20:32:18     12.280 N     82.556 W
10/04/2017 20:34:19     12.280 N     82.558 W
10/04/2017 20:36:19     12.280 N     82.561 W
10/04/2017 20:38:18     12.280 N     82.563 W
10/04/2017 20:40:18     12.280 N     82.566 W
10/04/2017 20:42:19     12.280 N     82.568 W
10/04/2017 20:44:19     12.280 N     82.571 W
10/04/2017 20:46:18     12.280 N     82.573 W
10/04/2017 20:48:18     12.280 N     82.576 W
10/04/2017 20:50:19     12.280 N     82.578 W
