Track for Nicole               2016
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
10/11/2016 11:53:59     27.097 N     65.793 W
10/11/2016 11:56:00     27.098 N     65.795 W
10/11/2016 11:57:59     27.099 N     65.798 W
10/11/2016 12:00:00     27.100 N     65.800 W
10/11/2016 12:02:00     27.101 N     65.803 W
10/11/2016 12:03:59     27.102 N     65.805 W
10/11/2016 12:06:00     27.103 N     65.807 W
10/11/2016 12:07:59     27.104 N     65.810 W
10/11/2016 12:10:00     27.105 N     65.812 W
10/11/2016 12:11:59     27.106 N     65.815 W
10/11/2016 12:14:00     27.107 N     65.817 W
10/11/2016 12:15:59     27.108 N     65.820 W
10/11/2016 12:18:00     27.109 N     65.822 W
10/11/2016 12:19:59     27.110 N     65.825 W
10/11/2016 12:22:00     27.111 N     65.827 W
10/11/2016 12:23:59     27.112 N     65.830 W
10/11/2016 12:26:00     27.113 N     65.832 W
10/11/2016 12:27:59     27.113 N     65.835 W
10/11/2016 12:30:00     27.114 N     65.837 W
10/11/2016 12:32:00     27.115 N     65.840 W
10/11/2016 12:33:59     27.116 N     65.842 W
10/11/2016 12:36:00     27.117 N     65.845 W
10/11/2016 12:37:59     27.118 N     65.847 W
10/11/2016 12:40:00     27.119 N     65.850 W
10/11/2016 12:41:59     27.120 N     65.852 W
10/11/2016 12:44:00     27.121 N     65.855 W
10/11/2016 12:45:59     27.122 N     65.857 W
10/11/2016 12:48:00     27.123 N     65.860 W
10/11/2016 12:49:59     27.124 N     65.862 W
10/11/2016 12:52:00     27.125 N     65.865 W
10/11/2016 12:53:59     27.126 N     65.867 W
10/11/2016 12:56:00     27.127 N     65.870 W
10/11/2016 12:57:59     27.128 N     65.872 W
10/11/2016 13:00:00     27.129 N     65.875 W
10/11/2016 13:02:00     27.130 N     65.877 W
10/11/2016 13:03:59     27.131 N     65.880 W
10/11/2016 13:06:00     27.131 N     65.882 W
10/11/2016 13:07:59     27.132 N     65.885 W
10/11/2016 13:10:00     27.133 N     65.887 W
10/11/2016 13:11:59     27.134 N     65.890 W
10/11/2016 13:14:00     27.135 N     65.892 W
10/11/2016 13:15:59     27.136 N     65.895 W
10/11/2016 13:18:00     27.137 N     65.897 W
10/11/2016 13:19:59     27.138 N     65.900 W
10/11/2016 13:22:00     27.139 N     65.902 W
10/11/2016 13:23:59     27.140 N     65.905 W
10/11/2016 13:26:00     27.141 N     65.907 W
10/11/2016 13:27:59     27.141 N     65.910 W
10/11/2016 13:30:00     27.142 N     65.912 W
