Track for Norma                2017
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/16/2017 17:53:59     19.491 N    110.177 W
09/16/2017 17:55:59     19.494 N    110.178 W
09/16/2017 17:58:00     19.497 N    110.179 W
09/16/2017 18:00:00     19.500 N    110.180 W
09/16/2017 18:01:59     19.503 N    110.181 W
09/16/2017 18:04:00     19.506 N    110.182 W
09/16/2017 18:06:00     19.509 N    110.183 W
09/16/2017 18:07:59     19.513 N    110.183 W
09/16/2017 18:09:59     19.516 N    110.184 W
09/16/2017 18:12:00     19.519 N    110.185 W
09/16/2017 18:14:00     19.522 N    110.186 W
09/16/2017 18:15:59     19.525 N    110.187 W
09/16/2017 18:17:59     19.528 N    110.188 W
09/16/2017 18:20:00     19.531 N    110.188 W
09/16/2017 18:22:00     19.535 N    110.189 W
09/16/2017 18:23:59     19.538 N    110.190 W
09/16/2017 18:25:59     19.541 N    110.191 W
09/16/2017 18:28:00     19.544 N    110.191 W
09/16/2017 18:30:00     19.547 N    110.192 W
09/16/2017 18:31:59     19.550 N    110.193 W
09/16/2017 18:34:00     19.553 N    110.193 W
09/16/2017 18:36:00     19.556 N    110.194 W
09/16/2017 18:37:59     19.560 N    110.194 W
09/16/2017 18:39:59     19.563 N    110.195 W
09/16/2017 18:42:00     19.566 N    110.195 W
09/16/2017 18:44:00     19.569 N    110.195 W
09/16/2017 18:45:59     19.572 N    110.196 W
09/16/2017 18:47:59     19.575 N    110.196 W
09/16/2017 18:50:00     19.578 N    110.196 W
09/16/2017 18:52:00     19.581 N    110.196 W
09/16/2017 18:53:59     19.584 N    110.197 W
09/16/2017 18:55:59     19.587 N    110.197 W
09/16/2017 18:58:00     19.591 N    110.197 W
09/16/2017 19:00:00     19.594 N    110.197 W
09/16/2017 19:01:59     19.597 N    110.196 W
09/16/2017 19:04:00     19.600 N    110.196 W
09/16/2017 19:06:00     19.603 N    110.196 W
09/16/2017 19:07:59     19.606 N    110.196 W
09/16/2017 19:09:59     19.609 N    110.195 W
09/16/2017 19:12:00     19.612 N    110.195 W
09/16/2017 19:14:00     19.615 N    110.194 W
09/16/2017 19:15:59     19.618 N    110.193 W
09/16/2017 19:17:59     19.621 N    110.193 W
09/16/2017 19:20:00     19.624 N    110.192 W
09/16/2017 19:22:00     19.627 N    110.191 W
09/16/2017 19:23:59     19.630 N    110.190 W
09/16/2017 19:25:59     19.633 N    110.189 W
09/16/2017 19:28:00     19.636 N    110.188 W
09/16/2017 19:30:00     19.639 N    110.187 W
09/16/2017 19:31:59     19.642 N    110.185 W
09/16/2017 19:34:00     19.645 N    110.184 W
09/16/2017 19:36:00     19.647 N    110.182 W
09/16/2017 19:37:59     19.650 N    110.180 W
09/16/2017 19:39:59     19.653 N    110.179 W
09/16/2017 19:42:00     19.656 N    110.177 W
09/16/2017 19:44:00     19.659 N    110.175 W
09/16/2017 19:45:59     19.662 N    110.173 W
09/16/2017 19:47:59     19.665 N    110.170 W
09/16/2017 19:50:00     19.668 N    110.168 W
09/16/2017 19:52:00     19.670 N    110.166 W
09/16/2017 19:53:59     19.673 N    110.163 W
09/16/2017 19:55:59     19.676 N    110.160 W
09/16/2017 19:58:00     19.679 N    110.157 W
09/16/2017 20:00:00     19.682 N    110.154 W
09/16/2017 20:01:59     19.684 N    110.151 W
09/16/2017 20:04:00     19.687 N    110.148 W
09/16/2017 20:06:00     19.690 N    110.145 W
09/16/2017 20:07:59     19.693 N    110.141 W
09/16/2017 20:09:59     19.695 N    110.138 W
09/16/2017 20:12:00     19.698 N    110.134 W
09/16/2017 20:14:00     19.701 N    110.130 W
09/16/2017 20:15:59     19.704 N    110.126 W
09/16/2017 20:17:59     19.706 N    110.122 W
09/16/2017 20:20:00     19.709 N    110.117 W
09/16/2017 20:22:00     19.712 N    110.113 W
09/16/2017 20:23:59     19.714 N    110.108 W
09/16/2017 20:25:59     19.717 N    110.103 W
09/16/2017 20:28:00     19.719 N    110.098 W
09/16/2017 20:30:00     19.722 N    110.093 W
09/16/2017 20:31:59     19.725 N    110.088 W
09/16/2017 20:32:18     19.725 N    110.087 W
09/16/2017 20:34:19     19.726 N    110.086 W
09/16/2017 20:36:19     19.726 N    110.085 W
09/16/2017 20:38:18     19.727 N    110.084 W
09/16/2017 20:40:18     19.728 N    110.083 W
09/16/2017 20:42:19     19.729 N    110.082 W
09/16/2017 20:44:19     19.729 N    110.082 W
09/16/2017 20:46:18     19.730 N    110.081 W
09/16/2017 20:48:18     19.731 N    110.080 W
09/16/2017 20:50:19     19.732 N    110.079 W
09/16/2017 20:52:18     19.732 N    110.078 W
09/16/2017 20:54:18     19.733 N    110.077 W
09/16/2017 20:56:19     19.734 N    110.076 W
