Track for Oho                  2015
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
10/04/2015 23:53:59     13.591 N    154.812 W
10/04/2015 23:55:59     13.594 N    154.808 W
10/04/2015 23:58:00     13.597 N    154.804 W
10/05/2015 00:00:00     13.600 N    154.800 W
10/05/2015 00:02:00     13.603 N    154.796 W
10/05/2015 00:04:00     13.606 N    154.792 W
10/05/2015 00:06:00     13.609 N    154.788 W
10/05/2015 00:08:00     13.612 N    154.784 W
10/05/2015 00:10:00     13.614 N    154.780 W
10/05/2015 00:12:00     13.617 N    154.776 W
10/05/2015 00:14:00     13.620 N    154.772 W
10/05/2015 00:16:00     13.623 N    154.768 W
10/05/2015 00:18:00     13.626 N    154.764 W
10/05/2015 00:20:00     13.629 N    154.760 W
10/05/2015 00:22:00     13.632 N    154.756 W
10/05/2015 00:24:00     13.634 N    154.752 W
10/05/2015 00:26:00     13.637 N    154.748 W
10/05/2015 00:28:00     13.640 N    154.745 W
10/05/2015 00:30:00     13.643 N    154.741 W
10/05/2015 00:32:00     13.646 N    154.737 W
10/05/2015 00:34:00     13.649 N    154.733 W
10/05/2015 00:36:00     13.651 N    154.729 W
10/05/2015 00:38:00     13.654 N    154.725 W
10/05/2015 00:40:00     13.657 N    154.722 W
10/05/2015 00:42:00     13.660 N    154.718 W
10/05/2015 00:44:00     13.662 N    154.714 W
10/05/2015 00:46:00     13.665 N    154.710 W
10/05/2015 00:48:00     13.668 N    154.707 W
10/05/2015 00:50:00     13.671 N    154.703 W
10/05/2015 00:52:00     13.673 N    154.699 W
10/05/2015 00:54:00     13.676 N    154.696 W
10/05/2015 00:56:00     13.679 N    154.692 W
10/05/2015 00:58:00     13.681 N    154.689 W
10/05/2015 01:00:00     13.684 N    154.685 W
10/05/2015 01:01:59     13.686 N    154.682 W
10/05/2015 01:04:00     13.689 N    154.678 W
10/05/2015 01:06:00     13.691 N    154.675 W
10/05/2015 01:07:59     13.694 N    154.671 W
10/05/2015 01:09:59     13.697 N    154.668 W
10/05/2015 01:12:00     13.699 N    154.665 W
10/05/2015 01:14:00     13.701 N    154.661 W
10/05/2015 01:15:59     13.704 N    154.658 W
10/05/2015 01:17:59     13.706 N    154.655 W
10/05/2015 01:20:00     13.709 N    154.652 W
10/05/2015 01:22:00     13.711 N    154.649 W
10/05/2015 01:23:59     13.713 N    154.646 W
10/05/2015 01:25:59     13.716 N    154.643 W
10/05/2015 01:28:00     13.718 N    154.640 W
10/05/2015 01:30:00     13.720 N    154.637 W
10/05/2015 01:31:59     13.722 N    154.634 W
10/05/2015 01:34:00     13.725 N    154.631 W
10/05/2015 01:36:00     13.727 N    154.629 W
10/05/2015 01:38:00     13.729 N    154.626 W
10/05/2015 01:39:59     13.731 N    154.623 W
10/05/2015 01:42:00     13.733 N    154.621 W
10/05/2015 01:44:00     13.735 N    154.618 W
10/05/2015 01:46:00     13.737 N    154.616 W
10/05/2015 01:47:59     13.739 N    154.613 W
10/05/2015 01:50:00     13.741 N    154.611 W
10/05/2015 01:52:00     13.743 N    154.609 W
10/05/2015 01:54:00     13.745 N    154.606 W
10/05/2015 01:55:59     13.746 N    154.604 W
10/05/2015 01:58:00     13.748 N    154.602 W
10/05/2015 02:00:00     13.750 N    154.600 W
10/05/2015 02:01:59     13.752 N    154.598 W
10/05/2015 02:03:59     13.753 N    154.596 W
10/05/2015 02:05:59     13.755 N    154.594 W
10/05/2015 02:08:00     13.757 N    154.593 W
10/05/2015 02:10:00     13.758 N    154.591 W
10/05/2015 02:12:00     13.760 N    154.589 W
10/05/2015 02:14:00     13.761 N    154.588 W
10/05/2015 02:15:59     13.762 N    154.586 W
10/05/2015 02:17:59     13.764 N    154.585 W
10/05/2015 02:19:59     13.765 N    154.583 W
10/05/2015 02:21:59     13.766 N    154.582 W
10/05/2015 02:24:00     13.768 N    154.581 W
10/05/2015 02:26:00     13.769 N    154.580 W
10/05/2015 02:28:00     13.770 N    154.579 W
10/05/2015 02:30:00     13.771 N    154.578 W
10/05/2015 02:31:59     13.772 N    154.577 W
10/05/2015 02:33:59     13.773 N    154.576 W
10/05/2015 02:35:59     13.774 N    154.576 W
10/05/2015 02:38:00     13.775 N    154.575 W
10/05/2015 02:40:00     13.776 N    154.575 W
10/05/2015 02:42:00     13.777 N    154.574 W
10/05/2015 02:44:00     13.777 N    154.574 W
10/05/2015 02:46:00     13.778 N    154.574 W
10/05/2015 02:47:59     13.779 N    154.574 W
10/05/2015 02:49:59     13.779 N    154.574 W
10/05/2015 02:51:59     13.780 N    154.574 W
10/05/2015 02:54:00     13.780 N    154.574 W
10/05/2015 02:56:00     13.780 N    154.574 W
10/05/2015 02:58:00     13.781 N    154.574 W
10/05/2015 03:00:00     13.781 N    154.575 W
10/05/2015 03:01:59     13.781 N    154.575 W
10/05/2015 03:03:59     13.782 N    154.576 W
10/05/2015 03:05:59     13.782 N    154.577 W
10/05/2015 03:08:00     13.782 N    154.578 W
10/05/2015 03:10:00     13.782 N    154.579 W
10/05/2015 03:12:00     13.782 N    154.580 W
10/05/2015 03:14:00     13.781 N    154.581 W
10/05/2015 03:15:59     13.781 N    154.582 W
10/05/2015 03:17:59     13.781 N    154.583 W
10/05/2015 03:19:59     13.781 N    154.585 W
10/05/2015 03:21:59     13.780 N    154.586 W
10/05/2015 03:24:00     13.780 N    154.588 W
10/05/2015 03:26:00     13.779 N    154.590 W
10/05/2015 03:28:00     13.779 N    154.592 W
10/05/2015 03:30:00     13.778 N    154.594 W
10/05/2015 03:31:59     13.778 N    154.596 W
10/05/2015 03:33:59     13.777 N    154.598 W
10/05/2015 03:35:59     13.776 N    154.600 W
10/05/2015 03:38:00     13.775 N    154.602 W
10/05/2015 03:40:00     13.774 N    154.605 W
10/05/2015 03:42:00     13.774 N    154.607 W
10/05/2015 03:44:00     13.773 N    154.610 W
10/05/2015 03:46:00     13.772 N    154.612 W
10/05/2015 03:47:59     13.770 N    154.615 W
10/05/2015 03:49:59     13.769 N    154.618 W
10/05/2015 03:51:59     13.768 N    154.621 W
10/05/2015 03:54:00     13.767 N    154.624 W
10/05/2015 03:56:00     13.766 N    154.627 W
10/05/2015 03:58:00     13.764 N    154.630 W
10/05/2015 04:00:00     13.763 N    154.633 W
10/05/2015 04:01:59     13.762 N    154.637 W
10/05/2015 04:03:59     13.760 N    154.640 W
10/05/2015 04:05:59     13.759 N    154.644 W
10/05/2015 04:07:59     13.757 N    154.647 W
10/05/2015 04:09:59     13.756 N    154.651 W
10/05/2015 04:11:59     13.754 N    154.654 W
10/05/2015 04:13:59     13.752 N    154.658 W
10/05/2015 04:16:00     13.751 N    154.662 W
10/05/2015 04:18:00     13.749 N    154.666 W
10/05/2015 04:20:00     13.747 N    154.670 W
10/05/2015 04:22:00     13.745 N    154.674 W
10/05/2015 04:24:00     13.743 N    154.678 W
10/05/2015 04:26:00     13.742 N    154.682 W
10/05/2015 04:28:00     13.740 N    154.686 W
10/05/2015 04:30:00     13.738 N    154.691 W
10/05/2015 04:31:59     13.736 N    154.695 W
10/05/2015 04:33:59     13.734 N    154.699 W
10/05/2015 04:35:59     13.732 N    154.704 W
10/05/2015 04:37:59     13.730 N    154.708 W
10/05/2015 04:39:59     13.727 N    154.713 W
