Track for Patricia             2015
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
10/21/2015 11:53:59     12.902 N     97.383 W
10/21/2015 11:56:00     12.901 N     97.388 W
10/21/2015 11:57:59     12.901 N     97.394 W
10/21/2015 12:00:00     12.900 N     97.400 W
10/21/2015 12:02:00     12.899 N     97.406 W
10/21/2015 12:03:59     12.899 N     97.412 W
10/21/2015 12:06:00     12.898 N     97.417 W
10/21/2015 12:07:59     12.898 N     97.423 W
10/21/2015 12:10:00     12.897 N     97.429 W
10/21/2015 12:11:59     12.897 N     97.435 W
10/21/2015 12:14:00     12.896 N     97.440 W
10/21/2015 12:15:59     12.896 N     97.446 W
10/21/2015 12:18:00     12.895 N     97.452 W
10/21/2015 12:19:59     12.894 N     97.458 W
10/21/2015 12:22:00     12.894 N     97.463 W
10/21/2015 12:23:59     12.893 N     97.469 W
10/21/2015 12:26:00     12.893 N     97.475 W
10/21/2015 12:27:59     12.892 N     97.481 W
10/21/2015 12:30:00     12.892 N     97.487 W
10/21/2015 12:32:00     12.891 N     97.492 W
10/21/2015 12:33:59     12.891 N     97.498 W
10/21/2015 12:36:00     12.890 N     97.504 W
10/21/2015 12:37:59     12.890 N     97.510 W
10/21/2015 12:40:00     12.889 N     97.516 W
10/21/2015 12:41:59     12.888 N     97.521 W
10/21/2015 12:44:00     12.888 N     97.527 W
10/21/2015 12:45:59     12.887 N     97.533 W
10/21/2015 12:48:00     12.887 N     97.539 W
10/21/2015 12:49:59     12.886 N     97.545 W
10/21/2015 12:52:00     12.886 N     97.551 W
10/21/2015 12:53:59     12.885 N     97.556 W
10/21/2015 12:56:00     12.885 N     97.562 W
10/21/2015 12:57:59     12.884 N     97.568 W
10/21/2015 13:00:00     12.884 N     97.574 W
10/21/2015 13:02:00     12.883 N     97.580 W
10/21/2015 13:03:59     12.883 N     97.586 W
10/21/2015 13:06:00     12.882 N     97.591 W
10/21/2015 13:07:59     12.882 N     97.597 W
