Track for Paulette             2020
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/12/2020 22:28:39     28.580 N     58.834 W
09/12/2020 22:30:39     28.580 N     58.839 W
09/12/2020 22:32:40     28.580 N     58.845 W
09/12/2020 22:34:40     28.580 N     58.850 W
09/12/2020 22:36:39     28.580 N     58.855 W
09/12/2020 22:38:39     28.580 N     58.861 W
09/12/2020 22:40:40     28.580 N     58.866 W
09/12/2020 22:42:39     28.580 N     58.872 W
09/12/2020 22:44:39     28.580 N     58.877 W
09/12/2020 22:46:40     28.580 N     58.883 W
09/12/2020 22:48:40     28.580 N     58.888 W
09/12/2020 22:50:39     28.580 N     58.893 W
09/12/2020 22:52:39     28.579 N     58.899 W
09/12/2020 22:54:40     28.579 N     58.904 W
09/12/2020 22:56:40     28.579 N     58.910 W
09/12/2020 22:58:39     28.579 N     58.915 W
09/12/2020 23:00:39     28.579 N     58.921 W
09/12/2020 23:02:40     28.579 N     58.926 W
09/12/2020 23:04:40     28.579 N     58.931 W
09/12/2020 23:06:39     28.579 N     58.937 W
09/12/2020 23:08:39     28.579 N     58.942 W
09/12/2020 23:10:40     28.579 N     58.948 W
09/12/2020 23:12:39     28.579 N     58.953 W
09/12/2020 23:14:39     28.579 N     58.959 W
09/12/2020 23:16:40     28.579 N     58.964 W
09/12/2020 23:18:40     28.579 N     58.969 W
09/12/2020 23:20:39     28.579 N     58.975 W
09/12/2020 23:22:39     28.579 N     58.980 W
09/12/2020 23:24:40     28.579 N     58.986 W
09/12/2020 23:26:40     28.579 N     58.991 W
09/12/2020 23:28:39     28.579 N     58.997 W
09/12/2020 23:30:39     28.579 N     59.002 W
09/12/2020 23:32:40     28.579 N     59.008 W
09/12/2020 23:34:40     28.579 N     59.013 W
09/12/2020 23:36:39     28.579 N     59.018 W
09/12/2020 23:38:39     28.579 N     59.024 W
09/12/2020 23:40:40     28.579 N     59.029 W
09/12/2020 23:42:39     28.579 N     59.035 W
09/12/2020 23:44:39     28.579 N     59.040 W
09/12/2020 23:46:40     28.579 N     59.046 W
09/12/2020 23:48:40     28.579 N     59.051 W
09/12/2020 23:50:39     28.579 N     59.057 W
09/12/2020 23:52:39     28.579 N     59.062 W
09/12/2020 23:54:40     28.579 N     59.068 W
09/12/2020 23:56:40     28.579 N     59.073 W
09/12/2020 23:58:39     28.579 N     59.078 W
09/13/2020 00:00:39     28.579 N     59.084 W
09/13/2020 00:02:40     28.579 N     59.089 W
09/13/2020 00:04:40     28.580 N     59.095 W
09/13/2020 00:06:39     28.580 N     59.100 W
09/13/2020 00:08:39     28.580 N     59.106 W
09/13/2020 00:10:40     28.580 N     59.111 W
09/13/2020 00:12:39     28.580 N     59.117 W
09/13/2020 00:14:39     28.580 N     59.122 W
09/13/2020 00:16:40     28.580 N     59.128 W
09/13/2020 00:18:40     28.580 N     59.133 W
09/13/2020 00:20:39     28.580 N     59.139 W
09/13/2020 00:22:39     28.581 N     59.144 W
09/13/2020 00:24:40     28.581 N     59.150 W
09/13/2020 00:26:40     28.581 N     59.155 W
09/13/2020 00:28:39     28.581 N     59.161 W
09/13/2020 00:30:39     28.581 N     59.166 W
09/13/2020 00:32:40     28.581 N     59.172 W
09/13/2020 00:34:40     28.582 N     59.177 W
09/13/2020 00:36:39     28.582 N     59.183 W
09/13/2020 00:38:39     28.582 N     59.188 W
09/13/2020 00:40:40     28.582 N     59.194 W
09/13/2020 00:42:39     28.583 N     59.199 W
09/13/2020 00:44:39     28.583 N     59.205 W
09/13/2020 00:46:40     28.583 N     59.210 W
09/13/2020 00:48:40     28.583 N     59.216 W
09/13/2020 00:50:39     28.584 N     59.221 W
09/13/2020 00:52:39     28.584 N     59.227 W
09/13/2020 00:54:40     28.584 N     59.232 W
09/13/2020 00:56:40     28.584 N     59.238 W
09/13/2020 00:58:39     28.585 N     59.244 W
09/13/2020 01:00:39     28.585 N     59.249 W
09/13/2020 01:02:40     28.585 N     59.255 W
09/13/2020 01:04:40     28.586 N     59.260 W
09/13/2020 01:06:39     28.586 N     59.266 W
09/13/2020 01:08:39     28.586 N     59.271 W
09/13/2020 01:10:40     28.587 N     59.277 W
09/13/2020 01:12:39     28.587 N     59.282 W
09/13/2020 01:14:39     28.588 N     59.288 W
09/13/2020 01:16:40     28.588 N     59.294 W
09/13/2020 01:18:40     28.588 N     59.299 W
09/13/2020 01:20:39     28.589 N     59.305 W
09/13/2020 01:22:39     28.589 N     59.310 W
09/13/2020 01:24:40     28.590 N     59.316 W
09/13/2020 01:26:40     28.590 N     59.322 W
09/13/2020 01:28:39     28.591 N     59.327 W
09/13/2020 01:30:39     28.591 N     59.333 W
09/13/2020 01:32:40     28.592 N     59.338 W
09/13/2020 01:34:40     28.592 N     59.344 W
09/13/2020 01:36:39     28.593 N     59.350 W
09/13/2020 01:38:39     28.593 N     59.355 W
