Track for Simon                2014
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
10/04/2014 11:53:59     19.794 N    113.379 W
10/04/2014 11:56:00     19.796 N    113.386 W
10/04/2014 11:57:59     19.798 N    113.393 W
10/04/2014 12:00:00     19.800 N    113.400 W
10/04/2014 12:02:00     19.802 N    113.407 W
10/04/2014 12:03:59     19.804 N    113.414 W
10/04/2014 12:06:00     19.806 N    113.421 W
10/04/2014 12:07:59     19.809 N    113.428 W
10/04/2014 12:10:00     19.811 N    113.436 W
10/04/2014 12:11:59     19.813 N    113.443 W
10/04/2014 12:14:00     19.815 N    113.450 W
10/04/2014 12:15:59     19.817 N    113.457 W
10/04/2014 12:18:00     19.819 N    113.464 W
10/04/2014 12:19:59     19.821 N    113.471 W
10/04/2014 12:22:00     19.823 N    113.478 W
10/04/2014 12:23:59     19.826 N    113.485 W
10/04/2014 12:26:00     19.828 N    113.492 W
10/04/2014 12:27:59     19.830 N    113.499 W
10/04/2014 12:30:00     19.832 N    113.506 W
10/04/2014 12:32:00     19.834 N    113.514 W
10/04/2014 12:33:59     19.836 N    113.521 W
10/04/2014 12:36:00     19.838 N    113.528 W
10/04/2014 12:37:59     19.841 N    113.535 W
10/04/2014 12:40:00     19.843 N    113.542 W
10/04/2014 12:41:59     19.845 N    113.549 W
10/04/2014 12:44:00     19.847 N    113.556 W
10/04/2014 12:45:59     19.849 N    113.563 W
10/04/2014 12:48:00     19.851 N    113.570 W
10/04/2014 12:49:59     19.854 N    113.577 W
10/04/2014 12:52:00     19.856 N    113.584 W
10/04/2014 12:53:59     19.858 N    113.591 W
10/04/2014 12:56:00     19.860 N    113.598 W
10/04/2014 12:57:59     19.862 N    113.605 W
10/04/2014 13:00:00     19.864 N    113.613 W
10/04/2014 13:02:00     19.867 N    113.620 W
10/04/2014 13:03:59     19.869 N    113.627 W
10/04/2014 13:06:00     19.871 N    113.634 W
10/04/2014 13:07:59     19.873 N    113.641 W
10/04/2014 13:10:00     19.875 N    113.648 W
10/04/2014 13:11:59     19.877 N    113.655 W
10/04/2014 13:14:00     19.880 N    113.662 W
10/04/2014 13:15:59     19.882 N    113.669 W
10/04/2014 13:18:00     19.884 N    113.676 W
10/04/2014 13:19:59     19.886 N    113.683 W
10/04/2014 13:22:00     19.889 N    113.690 W
10/04/2014 13:23:59     19.891 N    113.697 W
10/04/2014 13:26:00     19.893 N    113.704 W
10/04/2014 13:27:59     19.895 N    113.711 W
10/04/2014 13:30:00     19.897 N    113.718 W
10/04/2014 13:32:00     19.900 N    113.725 W
10/04/2014 13:33:59     19.902 N    113.732 W
10/04/2014 13:36:00     19.904 N    113.739 W
10/04/2014 13:37:59     19.906 N    113.746 W
10/04/2014 13:40:00     19.909 N    113.753 W
10/04/2014 13:41:59     19.911 N    113.760 W
10/04/2014 13:44:00     19.913 N    113.767 W
10/04/2014 13:45:59     19.915 N    113.773 W
10/04/2014 13:48:00     19.918 N    113.780 W
10/04/2014 13:49:59     19.920 N    113.787 W
10/04/2014 13:52:00     19.922 N    113.794 W
10/04/2014 13:53:59     19.925 N    113.801 W
10/04/2014 13:56:00     19.927 N    113.808 W
10/04/2014 13:57:59     19.929 N    113.815 W
10/04/2014 14:00:00     19.931 N    113.822 W
10/04/2014 14:02:00     19.934 N    113.829 W
10/04/2014 14:03:59     19.936 N    113.836 W
10/04/2014 14:06:00     19.938 N    113.842 W
10/04/2014 14:07:59     19.941 N    113.849 W
10/04/2014 14:10:00     19.943 N    113.856 W
10/04/2014 14:11:59     19.945 N    113.863 W
10/04/2014 14:14:00     19.948 N    113.870 W
10/04/2014 14:15:59     19.950 N    113.877 W
10/04/2014 14:18:00     19.953 N    113.883 W
10/04/2014 14:19:59     19.955 N    113.890 W
10/04/2014 14:22:00     19.957 N    113.897 W
10/04/2014 14:23:59     19.960 N    113.904 W
10/04/2014 14:26:00     19.962 N    113.911 W
10/04/2014 14:27:59     19.965 N    113.918 W
10/04/2014 14:30:00     19.967 N    113.924 W
10/04/2014 14:32:00     19.969 N    113.931 W
10/04/2014 14:33:59     19.972 N    113.938 W
10/04/2014 14:36:00     19.974 N    113.945 W
10/04/2014 14:37:59     19.977 N    113.951 W
10/04/2014 14:40:00     19.979 N    113.958 W
10/04/2014 14:41:59     19.982 N    113.965 W
10/04/2014 14:44:00     19.984 N    113.971 W
10/04/2014 14:45:59     19.987 N    113.978 W
10/04/2014 14:48:00     19.989 N    113.985 W
10/04/2014 14:49:59     19.992 N    113.991 W
10/04/2014 14:52:00     19.994 N    113.998 W
10/04/2014 14:53:59     19.997 N    114.005 W
10/04/2014 14:56:00     19.999 N    114.011 W
10/04/2014 14:57:59     20.002 N    114.018 W
10/04/2014 15:00:00     20.004 N    114.025 W
10/04/2014 15:02:00     20.007 N    114.031 W
10/04/2014 15:03:59     20.009 N    114.038 W
10/04/2014 15:06:00     20.012 N    114.045 W
10/04/2014 15:07:59     20.014 N    114.051 W
10/04/2014 15:10:00     20.017 N    114.058 W
10/04/2014 15:11:59     20.020 N    114.064 W
10/04/2014 15:14:00     20.022 N    114.071 W
10/04/2014 15:15:59     20.025 N    114.077 W
10/04/2014 15:18:00     20.027 N    114.084 W
10/04/2014 15:19:59     20.030 N    114.090 W
10/04/2014 15:22:00     20.033 N    114.097 W
10/04/2014 15:23:59     20.035 N    114.103 W
10/04/2014 15:26:00     20.038 N    114.110 W
10/04/2014 15:27:59     20.041 N    114.116 W
10/04/2014 15:30:00     20.043 N    114.123 W
10/04/2014 15:32:00     20.046 N    114.129 W
10/04/2014 15:33:59     20.049 N    114.136 W
10/04/2014 15:36:00     20.052 N    114.142 W
10/04/2014 15:37:59     20.054 N    114.148 W
10/04/2014 15:40:00     20.057 N    114.155 W
10/04/2014 15:41:59     20.060 N    114.161 W
10/04/2014 15:44:00     20.063 N    114.168 W
10/04/2014 15:45:59     20.065 N    114.174 W
10/04/2014 15:48:00     20.068 N    114.180 W
10/04/2014 15:49:59     20.071 N    114.187 W
10/04/2014 15:52:00     20.074 N    114.193 W
10/04/2014 15:53:59     20.077 N    114.199 W
10/04/2014 15:56:00     20.079 N    114.205 W
10/04/2014 15:57:59     20.082 N    114.212 W
10/04/2014 16:00:00     20.085 N    114.218 W
10/04/2014 16:01:59     20.088 N    114.224 W
10/04/2014 16:04:00     20.091 N    114.230 W
10/04/2014 16:06:00     20.094 N    114.237 W
10/04/2014 16:07:59     20.097 N    114.243 W
10/04/2014 16:09:59     20.100 N    114.249 W
10/04/2014 16:12:00     20.103 N    114.255 W
10/04/2014 16:14:00     20.105 N    114.261 W
10/04/2014 16:15:59     20.108 N    114.267 W
10/04/2014 16:17:59     20.111 N    114.274 W
10/04/2014 16:20:00     20.114 N    114.280 W
10/04/2014 16:22:00     20.117 N    114.286 W
10/04/2014 16:23:59     20.120 N    114.292 W
10/04/2014 16:25:59     20.123 N    114.298 W
10/04/2014 16:28:00     20.127 N    114.304 W
10/04/2014 16:30:00     20.130 N    114.310 W
10/04/2014 16:31:59     20.133 N    114.316 W
10/04/2014 16:34:00     20.136 N    114.322 W
10/04/2014 16:36:00     20.139 N    114.328 W
10/04/2014 16:37:59     20.142 N    114.334 W
10/04/2014 16:39:59     20.145 N    114.340 W
10/04/2014 16:42:00     20.148 N    114.346 W
10/04/2014 16:44:00     20.151 N    114.352 W
10/04/2014 16:45:59     20.155 N    114.357 W
10/04/2014 16:47:59     20.158 N    114.363 W
10/04/2014 16:50:00     20.161 N    114.369 W
10/04/2014 16:52:00     20.164 N    114.375 W
10/04/2014 16:53:59     20.167 N    114.381 W
10/04/2014 16:55:59     20.171 N    114.387 W
10/04/2014 16:58:00     20.174 N    114.392 W
10/04/2014 17:00:00     20.177 N    114.398 W
10/04/2014 17:01:59     20.180 N    114.404 W
10/04/2014 17:04:00     20.184 N    114.410 W
10/04/2014 17:06:00     20.187 N    114.415 W
10/04/2014 17:07:59     20.190 N    114.421 W
10/04/2014 17:09:59     20.194 N    114.427 W
10/04/2014 17:12:00     20.197 N    114.433 W
10/04/2014 17:14:00     20.200 N    114.438 W
10/04/2014 17:15:59     20.204 N    114.444 W
10/04/2014 17:17:59     20.207 N    114.449 W
10/04/2014 17:20:00     20.211 N    114.455 W
10/04/2014 17:22:00     20.214 N    114.461 W
10/04/2014 17:23:59     20.218 N    114.466 W
10/04/2014 17:25:59     20.221 N    114.472 W
10/04/2014 17:28:00     20.225 N    114.477 W
10/04/2014 17:30:00     20.228 N    114.483 W
10/04/2014 17:31:59     20.232 N    114.488 W
10/04/2014 17:34:00     20.235 N    114.494 W
10/04/2014 17:36:00     20.239 N    114.499 W
10/04/2014 17:37:59     20.242 N    114.504 W
10/04/2014 17:39:59     20.246 N    114.510 W
10/04/2014 17:42:00     20.250 N    114.515 W
10/04/2014 17:44:00     20.253 N    114.520 W
10/04/2014 17:45:59     20.257 N    114.526 W
10/04/2014 17:47:59     20.261 N    114.531 W
10/04/2014 17:50:00     20.264 N    114.536 W
10/04/2014 17:52:00     20.268 N    114.542 W
10/04/2014 17:53:59     20.272 N    114.547 W
10/04/2014 17:55:59     20.275 N    114.552 W
10/04/2014 17:58:00     20.279 N    114.557 W
10/04/2014 18:00:00     20.283 N    114.563 W
10/04/2014 18:01:59     20.287 N    114.568 W
10/04/2014 18:04:00     20.291 N    114.573 W
10/04/2014 18:06:00     20.294 N    114.578 W
10/04/2014 18:07:59     20.298 N    114.583 W
10/04/2014 18:09:59     20.302 N    114.588 W
10/04/2014 18:12:00     20.306 N    114.593 W
10/04/2014 18:14:00     20.310 N    114.598 W
10/04/2014 18:15:59     20.314 N    114.603 W
10/04/2014 18:17:59     20.318 N    114.608 W
10/04/2014 18:20:00     20.322 N    114.613 W
10/04/2014 18:22:00     20.326 N    114.618 W
10/04/2014 18:23:59     20.330 N    114.623 W
10/04/2014 18:25:59     20.334 N    114.628 W
10/04/2014 18:28:00     20.338 N    114.633 W
10/04/2014 18:30:00     20.342 N    114.638 W
10/04/2014 18:31:59     20.346 N    114.642 W
10/04/2014 18:34:00     20.350 N    114.647 W
10/04/2014 18:36:00     20.354 N    114.652 W
10/04/2014 18:37:59     20.358 N    114.657 W
10/04/2014 18:39:59     20.363 N    114.661 W
10/04/2014 18:42:00     20.367 N    114.666 W
10/04/2014 18:44:00     20.371 N    114.671 W
10/04/2014 18:44:28     20.372 N    114.672 W
10/04/2014 18:46:29     20.376 N    114.677 W
10/04/2014 18:48:29     20.380 N    114.682 W
10/04/2014 18:50:28     20.383 N    114.687 W
10/04/2014 18:52:28     20.387 N    114.692 W
10/04/2014 18:54:29     20.391 N    114.698 W
10/04/2014 18:56:29     20.395 N    114.703 W
10/04/2014 18:58:28     20.399 N    114.708 W
10/04/2014 19:00:28     20.403 N    114.713 W
10/04/2014 19:02:29     20.406 N    114.718 W
10/04/2014 19:04:29     20.410 N    114.723 W
10/04/2014 19:06:28     20.414 N    114.728 W
10/04/2014 19:08:28     20.418 N    114.734 W
10/04/2014 19:10:29     20.422 N    114.739 W
10/04/2014 19:12:28     20.426 N    114.744 W
10/04/2014 19:14:28     20.429 N    114.749 W
10/04/2014 19:16:29     20.433 N    114.754 W
10/04/2014 19:18:29     20.437 N    114.759 W
10/04/2014 19:20:28     20.441 N    114.764 W
10/04/2014 19:22:28     20.445 N    114.769 W
10/04/2014 19:24:29     20.449 N    114.775 W
10/04/2014 19:26:29     20.452 N    114.780 W
10/04/2014 19:28:28     20.456 N    114.785 W
10/04/2014 19:30:28     20.460 N    114.790 W
10/04/2014 19:32:29     20.464 N    114.795 W
10/04/2014 19:34:29     20.468 N    114.800 W
10/04/2014 19:36:28     20.472 N    114.805 W
10/04/2014 19:38:28     20.475 N    114.810 W
10/04/2014 19:40:29     20.479 N    114.816 W
10/04/2014 19:42:28     20.483 N    114.821 W
10/04/2014 19:44:28     20.487 N    114.826 W
10/04/2014 19:46:29     20.491 N    114.831 W
10/04/2014 19:48:29     20.495 N    114.836 W
10/04/2014 19:50:28     20.498 N    114.841 W
10/04/2014 19:52:28     20.502 N    114.846 W
10/04/2014 19:54:29     20.506 N    114.851 W
10/04/2014 19:56:29     20.510 N    114.857 W
10/04/2014 19:58:28     20.514 N    114.862 W
10/04/2014 20:00:28     20.518 N    114.867 W
10/04/2014 20:02:29     20.521 N    114.872 W
10/04/2014 20:04:29     20.525 N    114.877 W
10/04/2014 20:06:28     20.529 N    114.882 W
10/04/2014 20:08:28     20.533 N    114.887 W
10/04/2014 20:10:29     20.537 N    114.892 W
10/04/2014 20:12:28     20.541 N    114.897 W
10/04/2014 20:14:28     20.545 N    114.903 W
10/04/2014 20:16:29     20.548 N    114.908 W
10/04/2014 20:18:29     20.552 N    114.913 W
10/04/2014 20:20:28     20.556 N    114.918 W
10/04/2014 20:22:28     20.560 N    114.923 W
10/04/2014 20:24:29     20.564 N    114.928 W
10/04/2014 20:26:29     20.568 N    114.933 W
10/04/2014 20:28:28     20.571 N    114.938 W
10/04/2014 20:30:28     20.575 N    114.944 W
10/04/2014 20:32:29     20.579 N    114.949 W
10/04/2014 20:34:29     20.583 N    114.954 W
10/04/2014 20:36:28     20.587 N    114.959 W
10/04/2014 20:38:28     20.591 N    114.964 W
10/04/2014 20:40:29     20.595 N    114.969 W
10/04/2014 20:42:28     20.598 N    114.974 W
10/04/2014 20:44:28     20.602 N    114.979 W
10/04/2014 20:46:29     20.606 N    114.984 W
10/04/2014 20:48:29     20.610 N    114.990 W
10/04/2014 20:50:28     20.614 N    114.995 W
10/04/2014 20:52:28     20.618 N    115.000 W
10/04/2014 20:54:29     20.622 N    115.005 W
10/04/2014 20:56:29     20.625 N    115.010 W
10/04/2014 20:58:28     20.629 N    115.015 W
10/04/2014 21:00:28     20.633 N    115.020 W
10/04/2014 21:02:29     20.637 N    115.025 W
10/04/2014 21:04:29     20.641 N    115.030 W
10/04/2014 21:06:28     20.645 N    115.035 W
10/04/2014 21:08:28     20.649 N    115.041 W
10/04/2014 21:10:29     20.652 N    115.046 W
10/04/2014 21:12:28     20.656 N    115.051 W
10/04/2014 21:14:28     20.660 N    115.056 W
10/04/2014 21:16:29     20.664 N    115.061 W
10/04/2014 21:18:29     20.668 N    115.066 W
10/04/2014 21:20:28     20.672 N    115.071 W
