Track for TD05                 1997
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
07/17/1997 11:53:59     12.489 N     52.673 W
07/17/1997 11:56:00     12.493 N     52.682 W
07/17/1997 11:57:59     12.496 N     52.691 W
07/17/1997 12:00:00     12.500 N     52.700 W
07/17/1997 12:02:00     12.504 N     52.709 W
07/17/1997 12:03:59     12.507 N     52.718 W
07/17/1997 12:06:00     12.511 N     52.727 W
07/17/1997 12:07:59     12.514 N     52.736 W
07/17/1997 12:10:00     12.518 N     52.745 W
07/17/1997 12:11:59     12.522 N     52.754 W
07/17/1997 12:14:00     12.525 N     52.763 W
07/17/1997 12:15:59     12.529 N     52.772 W
07/17/1997 12:18:00     12.533 N     52.781 W
07/17/1997 12:19:59     12.536 N     52.790 W
07/17/1997 12:22:00     12.540 N     52.799 W
07/17/1997 12:23:59     12.543 N     52.808 W
07/17/1997 12:26:00     12.547 N     52.817 W
07/17/1997 12:27:59     12.551 N     52.826 W
07/17/1997 12:30:00     12.554 N     52.835 W
07/17/1997 12:32:00     12.558 N     52.844 W
07/17/1997 12:33:59     12.562 N     52.853 W
07/17/1997 12:36:00     12.565 N     52.862 W
07/17/1997 12:37:59     12.569 N     52.871 W
07/17/1997 12:40:00     12.572 N     52.880 W
07/17/1997 12:41:59     12.576 N     52.889 W
07/17/1997 12:44:00     12.580 N     52.897 W
07/17/1997 12:45:59     12.583 N     52.906 W
07/17/1997 12:48:00     12.587 N     52.915 W
07/17/1997 12:49:59     12.590 N     52.924 W
07/17/1997 12:52:00     12.594 N     52.933 W
07/17/1997 12:53:59     12.598 N     52.942 W
07/17/1997 12:56:00     12.601 N     52.951 W
07/17/1997 12:57:59     12.605 N     52.960 W
07/17/1997 13:00:00     12.608 N     52.969 W
07/17/1997 13:02:00     12.612 N     52.978 W
07/17/1997 13:03:59     12.616 N     52.987 W
07/17/1997 13:06:00     12.619 N     52.996 W
07/17/1997 13:07:59     12.623 N     53.005 W
07/17/1997 13:10:00     12.626 N     53.014 W
07/17/1997 13:11:59     12.630 N     53.022 W
07/17/1997 13:14:00     12.634 N     53.031 W
07/17/1997 13:15:59     12.637 N     53.040 W
07/17/1997 13:18:00     12.641 N     53.049 W
07/17/1997 13:19:59     12.644 N     53.058 W
07/17/1997 13:22:00     12.648 N     53.067 W
07/17/1997 13:23:59     12.651 N     53.076 W
07/17/1997 13:26:00     12.655 N     53.085 W
07/17/1997 13:27:59     12.659 N     53.093 W
07/17/1997 13:30:00     12.662 N     53.102 W
07/17/1997 13:32:00     12.666 N     53.111 W
07/17/1997 13:33:59     12.669 N     53.120 W
07/17/1997 13:36:00     12.673 N     53.129 W
07/17/1997 13:37:59     12.676 N     53.138 W
07/17/1997 13:40:00     12.680 N     53.146 W
07/17/1997 13:41:59     12.683 N     53.155 W
07/17/1997 13:44:00     12.687 N     53.164 W
07/17/1997 13:45:59     12.691 N     53.173 W
07/17/1997 13:48:00     12.694 N     53.181 W
07/17/1997 13:49:59     12.698 N     53.190 W
07/17/1997 13:52:00     12.701 N     53.199 W
07/17/1997 13:53:59     12.705 N     53.208 W
07/17/1997 13:56:00     12.708 N     53.216 W
07/17/1997 13:57:59     12.712 N     53.225 W
07/17/1997 14:00:00     12.715 N     53.234 W
07/17/1997 14:02:00     12.719 N     53.243 W
