Track for Teddy                2020
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/17/2020 15:19:10     19.366 N     53.409 W
09/17/2020 15:21:09     19.371 N     53.412 W
09/17/2020 15:23:10     19.375 N     53.416 W
09/17/2020 15:25:09     19.380 N     53.420 W
09/17/2020 15:27:10     19.385 N     53.424 W
09/17/2020 15:29:09     19.389 N     53.428 W
09/17/2020 15:31:10     19.394 N     53.431 W
09/17/2020 15:33:10     19.399 N     53.435 W
09/17/2020 15:35:09     19.404 N     53.439 W
09/17/2020 15:37:10     19.408 N     53.443 W
09/17/2020 15:39:09     19.413 N     53.447 W
09/17/2020 15:41:10     19.418 N     53.451 W
09/17/2020 15:43:09     19.422 N     53.454 W
09/17/2020 15:45:10     19.427 N     53.458 W
09/17/2020 15:47:09     19.432 N     53.462 W
09/17/2020 15:49:10     19.436 N     53.466 W
09/17/2020 15:51:09     19.441 N     53.470 W
09/17/2020 15:53:10     19.446 N     53.473 W
09/17/2020 15:55:09     19.451 N     53.477 W
09/17/2020 15:57:10     19.455 N     53.481 W
09/17/2020 16:00:09     19.460 N     53.485 W
09/17/2020 16:01:09     19.465 N     53.489 W
09/17/2020 16:03:10     19.469 N     53.493 W
09/17/2020 16:05:09     19.474 N     53.496 W
09/17/2020 16:07:09     19.479 N     53.500 W
09/17/2020 16:09:10     19.483 N     53.504 W
09/17/2020 16:11:10     19.488 N     53.508 W
09/17/2020 16:13:09     19.493 N     53.511 W
09/17/2020 16:15:09     19.497 N     53.515 W
09/17/2020 16:17:10     19.502 N     53.519 W
09/17/2020 16:19:10     19.507 N     53.523 W
09/17/2020 16:21:09     19.511 N     53.527 W
09/17/2020 16:23:09     19.516 N     53.530 W
09/17/2020 16:25:10     19.521 N     53.534 W
09/17/2020 16:27:10     19.525 N     53.538 W
09/17/2020 16:29:09     19.530 N     53.542 W
09/17/2020 16:31:09     19.535 N     53.545 W
09/17/2020 16:33:10     19.539 N     53.549 W
09/17/2020 16:35:09     19.544 N     53.553 W
09/17/2020 16:37:09     19.548 N     53.557 W
09/17/2020 16:39:10     19.553 N     53.560 W
09/17/2020 16:41:10     19.558 N     53.564 W
09/17/2020 16:43:09     19.562 N     53.568 W
09/17/2020 16:45:09     19.567 N     53.571 W
09/17/2020 16:47:10     19.572 N     53.575 W
09/17/2020 16:49:10     19.576 N     53.579 W
09/17/2020 16:51:09     19.581 N     53.583 W
09/17/2020 16:53:09     19.585 N     53.586 W
09/17/2020 16:55:10     19.590 N     53.590 W
09/17/2020 16:57:10     19.595 N     53.594 W
09/17/2020 17:00:09     19.599 N     53.597 W
09/17/2020 17:01:09     19.604 N     53.601 W
09/17/2020 17:03:10     19.608 N     53.605 W
09/17/2020 17:05:09     19.613 N     53.608 W
09/17/2020 17:07:09     19.617 N     53.612 W
09/17/2020 17:09:10     19.622 N     53.616 W
09/17/2020 17:11:10     19.626 N     53.619 W
09/17/2020 17:13:09     19.631 N     53.623 W
09/17/2020 17:15:09     19.635 N     53.626 W
09/17/2020 17:17:10     19.640 N     53.630 W
09/17/2020 17:19:10     19.645 N     53.634 W
09/17/2020 17:21:09     19.649 N     53.637 W
09/17/2020 17:23:09     19.654 N     53.641 W
09/17/2020 17:25:10     19.658 N     53.644 W
09/17/2020 17:27:10     19.662 N     53.648 W
09/17/2020 17:29:09     19.667 N     53.651 W
09/17/2020 17:31:09     19.671 N     53.655 W
09/17/2020 17:33:10     19.676 N     53.659 W
09/17/2020 17:35:09     19.680 N     53.662 W
09/17/2020 17:37:09     19.685 N     53.666 W
09/17/2020 17:39:10     19.689 N     53.669 W
09/17/2020 17:41:10     19.694 N     53.673 W
09/17/2020 17:43:09     19.698 N     53.676 W
09/17/2020 17:45:09     19.702 N     53.680 W
09/17/2020 17:47:10     19.707 N     53.683 W
09/17/2020 17:49:10     19.711 N     53.686 W
09/17/2020 17:51:09     19.716 N     53.690 W
09/17/2020 17:53:09     19.720 N     53.693 W
09/17/2020 17:55:10     19.724 N     53.697 W
09/17/2020 17:57:10     19.729 N     53.700 W
09/17/2020 18:00:09     19.733 N     53.704 W
09/17/2020 18:01:09     19.737 N     53.707 W
09/17/2020 18:03:10     19.742 N     53.710 W
09/17/2020 18:05:09     19.746 N     53.714 W
09/17/2020 18:07:09     19.750 N     53.717 W
09/17/2020 18:09:10     19.755 N     53.720 W
09/17/2020 18:11:10     19.759 N     53.724 W
09/17/2020 18:13:09     19.763 N     53.727 W
09/17/2020 18:15:09     19.768 N     53.730 W
09/17/2020 18:17:10     19.772 N     53.734 W
09/17/2020 18:19:10     19.776 N     53.737 W
09/17/2020 18:21:09     19.780 N     53.740 W
09/17/2020 18:23:09     19.785 N     53.744 W
09/17/2020 18:25:10     19.789 N     53.747 W
09/17/2020 18:27:10     19.793 N     53.750 W
09/17/2020 18:29:09     19.797 N     53.753 W
09/17/2020 18:31:09     19.801 N     53.756 W
09/17/2020 18:33:10     19.806 N     53.760 W
09/17/2020 18:35:09     19.810 N     53.763 W
09/17/2020 18:37:09     19.814 N     53.766 W
09/17/2020 18:39:10     19.818 N     53.769 W
09/17/2020 18:41:10     19.822 N     53.772 W
09/17/2020 18:43:09     19.826 N     53.775 W
09/17/2020 18:45:09     19.830 N     53.779 W
09/17/2020 18:47:10     19.834 N     53.782 W
09/17/2020 18:49:10     19.839 N     53.785 W
09/17/2020 18:51:09     19.843 N     53.788 W
09/17/2020 18:53:09     19.847 N     53.791 W
09/17/2020 18:55:10     19.851 N     53.794 W
09/17/2020 18:57:10     19.855 N     53.797 W
09/17/2020 19:00:09     19.859 N     53.800 W
09/17/2020 19:01:09     19.863 N     53.803 W
09/17/2020 19:03:10     19.867 N     53.806 W
09/17/2020 19:05:09     19.871 N     53.809 W
09/17/2020 19:07:09     19.875 N     53.812 W
09/17/2020 19:09:10     19.879 N     53.815 W
09/17/2020 19:11:10     19.883 N     53.818 W
09/17/2020 19:13:09     19.887 N     53.821 W
09/17/2020 19:15:09     19.890 N     53.823 W
09/17/2020 19:17:10     19.894 N     53.826 W
09/17/2020 19:19:10     19.898 N     53.829 W
09/17/2020 19:21:09     19.902 N     53.832 W
09/17/2020 19:23:09     19.906 N     53.835 W
