Track for Ana                  2014
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
10/17/2014 05:54:00     14.890 N    152.480 W
10/17/2014 05:56:00     14.893 N    152.487 W
10/17/2014 05:58:00     14.897 N    152.493 W
10/17/2014 06:00:00     14.900 N    152.500 W
10/17/2014 06:01:59     14.903 N    152.507 W
10/17/2014 06:03:59     14.907 N    152.513 W
10/17/2014 06:05:59     14.910 N    152.520 W
10/17/2014 06:07:59     14.913 N    152.527 W
10/17/2014 06:09:59     14.917 N    152.534 W
10/17/2014 06:11:59     14.920 N    152.540 W
10/17/2014 06:13:59     14.923 N    152.547 W
10/17/2014 06:16:00     14.926 N    152.554 W
10/17/2014 06:18:00     14.930 N    152.561 W
10/17/2014 06:20:00     14.933 N    152.567 W
10/17/2014 06:22:00     14.936 N    152.574 W
10/17/2014 06:24:00     14.940 N    152.581 W
10/17/2014 06:26:00     14.943 N    152.587 W
10/17/2014 06:28:00     14.946 N    152.594 W
10/17/2014 06:30:00     14.950 N    152.601 W
10/17/2014 06:31:59     14.953 N    152.608 W
10/17/2014 06:33:59     14.956 N    152.614 W
10/17/2014 06:35:59     14.960 N    152.621 W
10/17/2014 06:37:59     14.963 N    152.628 W
10/17/2014 06:39:59     14.966 N    152.634 W
10/17/2014 06:41:59     14.969 N    152.641 W
10/17/2014 06:43:59     14.973 N    152.648 W
10/17/2014 06:46:00     14.976 N    152.655 W
10/17/2014 06:48:00     14.979 N    152.661 W
10/17/2014 06:50:00     14.983 N    152.668 W
10/17/2014 06:52:00     14.986 N    152.675 W
10/17/2014 06:54:00     14.989 N    152.682 W
10/17/2014 06:56:00     14.993 N    152.688 W
10/17/2014 06:58:00     14.996 N    152.695 W
10/17/2014 07:00:00     14.999 N    152.702 W
10/17/2014 07:01:59     15.003 N    152.708 W
10/17/2014 07:03:59     15.006 N    152.715 W
10/17/2014 07:05:59     15.009 N    152.722 W
10/17/2014 07:07:59     15.012 N    152.729 W
10/17/2014 07:09:59     15.016 N    152.735 W
10/17/2014 07:11:59     15.019 N    152.742 W
10/17/2014 07:13:59     15.022 N    152.749 W
10/17/2014 07:16:00     15.026 N    152.756 W
10/17/2014 07:18:00     15.029 N    152.762 W
10/17/2014 07:20:00     15.032 N    152.769 W
10/17/2014 07:22:00     15.036 N    152.776 W
10/17/2014 07:24:00     15.039 N    152.782 W
10/17/2014 07:26:00     15.042 N    152.789 W
10/17/2014 07:28:00     15.046 N    152.796 W
10/17/2014 07:30:00     15.049 N    152.803 W
10/17/2014 07:31:59     15.052 N    152.809 W
10/17/2014 07:33:59     15.055 N    152.816 W
10/17/2014 07:35:59     15.059 N    152.823 W
10/17/2014 07:37:59     15.062 N    152.830 W
10/17/2014 07:39:59     15.065 N    152.836 W
10/17/2014 07:41:59     15.069 N    152.843 W
10/17/2014 07:43:59     15.072 N    152.850 W
10/17/2014 07:46:00     15.075 N    152.856 W
10/17/2014 07:48:00     15.079 N    152.863 W
10/17/2014 07:50:00     15.082 N    152.870 W
10/17/2014 07:52:00     15.085 N    152.877 W
10/17/2014 07:54:00     15.089 N    152.883 W
10/17/2014 07:56:00     15.092 N    152.890 W
10/17/2014 07:58:00     15.095 N    152.897 W
10/17/2014 08:00:00     15.098 N    152.904 W
10/17/2014 08:02:00     15.102 N    152.910 W
10/17/2014 08:03:59     15.105 N    152.917 W
10/17/2014 08:06:00     15.108 N    152.924 W
10/17/2014 08:07:59     15.112 N    152.931 W
10/17/2014 08:10:00     15.115 N    152.937 W
10/17/2014 08:11:59     15.118 N    152.944 W
10/17/2014 08:14:00     15.122 N    152.951 W
10/17/2014 08:15:59     15.125 N    152.957 W
10/17/2014 08:18:00     15.128 N    152.964 W
10/17/2014 08:19:59     15.132 N    152.971 W
10/17/2014 08:22:00     15.135 N    152.978 W
10/17/2014 08:23:59     15.138 N    152.984 W
10/17/2014 08:26:00     15.141 N    152.991 W
10/17/2014 08:27:59     15.145 N    152.998 W
10/17/2014 08:30:00     15.148 N    153.005 W
10/17/2014 08:32:00     15.151 N    153.011 W
10/17/2014 08:33:59     15.155 N    153.018 W
10/17/2014 08:36:00     15.158 N    153.025 W
10/17/2014 08:37:59     15.161 N    153.032 W
10/17/2014 08:40:00     15.165 N    153.038 W
10/17/2014 08:41:59     15.168 N    153.045 W
10/17/2014 08:44:00     15.171 N    153.052 W
10/17/2014 08:45:59     15.175 N    153.059 W
10/17/2014 08:48:00     15.178 N    153.065 W
10/17/2014 08:49:59     15.181 N    153.072 W
10/17/2014 08:52:00     15.185 N    153.079 W
10/17/2014 08:53:59     15.188 N    153.086 W
10/17/2014 08:56:00     15.191 N    153.092 W
10/17/2014 08:57:59     15.194 N    153.099 W
10/17/2014 09:00:00     15.198 N    153.106 W
10/17/2014 09:02:00     15.201 N    153.113 W
10/17/2014 09:03:59     15.204 N    153.119 W
10/17/2014 09:06:00     15.208 N    153.126 W
10/17/2014 09:07:59     15.211 N    153.133 W
10/17/2014 09:10:00     15.214 N    153.140 W
10/17/2014 09:11:59     15.218 N    153.146 W
10/17/2014 09:14:00     15.221 N    153.153 W
10/17/2014 09:15:59     15.224 N    153.160 W
10/17/2014 09:18:00     15.228 N    153.167 W
10/17/2014 09:19:59     15.231 N    153.173 W
10/17/2014 09:22:00     15.234 N    153.180 W
10/17/2014 09:23:59     15.237 N    153.187 W
10/17/2014 09:26:00     15.241 N    153.194 W
10/17/2014 09:27:59     15.244 N    153.200 W
10/17/2014 09:30:00     15.247 N    153.207 W
10/17/2014 09:32:00     15.251 N    153.214 W
10/17/2014 09:33:59     15.254 N    153.221 W
10/17/2014 09:36:00     15.257 N    153.227 W
10/17/2014 09:37:59     15.261 N    153.234 W
10/17/2014 09:40:00     15.264 N    153.241 W
10/17/2014 09:41:59     15.267 N    153.248 W
10/17/2014 09:44:00     15.271 N    153.254 W
10/17/2014 09:45:59     15.274 N    153.261 W
10/17/2014 09:48:00     15.277 N    153.268 W
10/17/2014 09:49:59     15.280 N    153.275 W
10/17/2014 09:52:00     15.284 N    153.281 W
10/17/2014 09:53:59     15.287 N    153.288 W
10/17/2014 09:56:00     15.290 N    153.295 W
10/17/2014 09:57:59     15.294 N    153.302 W
10/17/2014 10:00:00     15.297 N    153.308 W
10/17/2014 10:02:00     15.300 N    153.315 W
10/17/2014 10:03:59     15.304 N    153.322 W
10/17/2014 10:06:00     15.307 N    153.329 W
10/17/2014 10:07:59     15.310 N    153.336 W
10/17/2014 10:10:00     15.313 N    153.342 W
10/17/2014 10:11:59     15.317 N    153.349 W
10/17/2014 10:14:00     15.320 N    153.356 W
10/17/2014 10:15:59     15.323 N    153.363 W
10/17/2014 10:18:00     15.327 N    153.369 W
10/17/2014 10:19:59     15.330 N    153.376 W
10/17/2014 10:22:00     15.333 N    153.383 W
10/17/2014 10:23:59     15.337 N    153.390 W
10/17/2014 10:26:00     15.340 N    153.397 W
10/17/2014 10:27:59     15.343 N    153.403 W
10/17/2014 10:30:00     15.347 N    153.410 W
10/17/2014 10:32:00     15.350 N    153.417 W
10/17/2014 10:33:59     15.353 N    153.424 W
10/17/2014 10:36:00     15.356 N    153.430 W
10/17/2014 10:37:59     15.360 N    153.437 W
10/17/2014 10:40:00     15.363 N    153.444 W
10/17/2014 10:41:59     15.366 N    153.451 W
10/17/2014 10:44:00     15.370 N    153.458 W
10/17/2014 10:45:59     15.373 N    153.464 W
10/17/2014 10:48:00     15.376 N    153.471 W
10/17/2014 10:49:59     15.380 N    153.478 W
10/17/2014 10:52:00     15.383 N    153.485 W
10/17/2014 10:53:59     15.386 N    153.492 W
10/17/2014 10:56:00     15.390 N    153.498 W
10/17/2014 10:57:59     15.393 N    153.505 W
10/17/2014 11:00:00     15.396 N    153.512 W
10/17/2014 11:02:00     15.399 N    153.519 W
10/17/2014 11:03:59     15.403 N    153.525 W
10/17/2014 11:06:00     15.406 N    153.532 W
10/17/2014 11:07:59     15.409 N    153.539 W
10/17/2014 11:10:00     15.413 N    153.546 W
10/17/2014 11:11:59     15.416 N    153.553 W
10/17/2014 11:14:00     15.419 N    153.559 W
10/17/2014 11:15:59     15.423 N    153.566 W
10/17/2014 11:18:00     15.426 N    153.573 W
10/17/2014 11:19:59     15.429 N    153.580 W
10/17/2014 11:22:00     15.433 N    153.587 W
10/17/2014 11:23:59     15.436 N    153.593 W
10/17/2014 11:26:00     15.439 N    153.600 W
10/17/2014 11:27:59     15.442 N    153.607 W
10/17/2014 11:30:00     15.446 N    153.614 W
10/17/2014 11:32:00     15.449 N    153.621 W
10/17/2014 11:33:59     15.452 N    153.628 W
10/17/2014 11:36:00     15.456 N    153.634 W
10/17/2014 11:37:59     15.459 N    153.641 W
10/17/2014 11:40:00     15.462 N    153.648 W
10/17/2014 11:41:59     15.466 N    153.655 W
10/17/2014 11:44:00     15.469 N    153.662 W
10/17/2014 11:45:59     15.472 N    153.668 W
10/17/2014 11:48:00     15.476 N    153.675 W
10/17/2014 11:49:59     15.479 N    153.682 W
10/17/2014 11:52:00     15.482 N    153.689 W
10/17/2014 11:53:59     15.485 N    153.696 W
10/17/2014 11:56:00     15.489 N    153.702 W
10/17/2014 11:57:59     15.492 N    153.709 W
10/17/2014 12:00:00     15.495 N    153.716 W
10/17/2014 12:02:00     15.499 N    153.723 W
10/17/2014 12:03:59     15.502 N    153.730 W
10/17/2014 12:06:00     15.505 N    153.737 W
10/17/2014 12:07:59     15.509 N    153.743 W
10/17/2014 12:10:00     15.512 N    153.750 W
10/17/2014 12:11:59     15.515 N    153.757 W
10/17/2014 12:14:00     15.519 N    153.764 W
10/17/2014 12:15:59     15.522 N    153.771 W
10/17/2014 12:18:00     15.525 N    153.778 W
10/17/2014 12:19:59     15.528 N    153.784 W
10/17/2014 12:22:00     15.532 N    153.791 W
10/17/2014 12:23:59     15.535 N    153.798 W
10/17/2014 12:26:00     15.538 N    153.805 W
10/17/2014 12:27:59     15.542 N    153.812 W
10/17/2014 12:30:00     15.545 N    153.819 W
10/17/2014 12:32:00     15.548 N    153.825 W
10/17/2014 12:33:59     15.552 N    153.832 W
10/17/2014 12:36:00     15.555 N    153.839 W
10/17/2014 12:37:59     15.558 N    153.846 W
10/17/2014 12:40:00     15.562 N    153.853 W
10/17/2014 12:41:59     15.565 N    153.860 W
10/17/2014 12:44:00     15.568 N    153.867 W
10/17/2014 12:45:59     15.571 N    153.873 W
10/17/2014 12:48:00     15.575 N    153.880 W
10/17/2014 12:49:59     15.578 N    153.887 W
10/17/2014 12:52:00     15.581 N    153.894 W
10/17/2014 12:53:59     15.585 N    153.901 W
10/17/2014 12:56:00     15.588 N    153.908 W
10/17/2014 12:57:59     15.591 N    153.915 W
10/17/2014 13:00:00     15.595 N    153.921 W
10/17/2014 13:02:00     15.598 N    153.928 W
10/17/2014 13:03:59     15.601 N    153.935 W
10/17/2014 13:06:00     15.604 N    153.942 W
10/17/2014 13:07:59     15.608 N    153.949 W
10/17/2014 13:10:00     15.611 N    153.956 W
10/17/2014 13:11:59     15.614 N    153.963 W
10/17/2014 13:14:00     15.618 N    153.969 W
10/17/2014 13:15:59     15.621 N    153.976 W
10/17/2014 13:18:00     15.624 N    153.983 W
10/17/2014 13:19:59     15.628 N    153.990 W
10/17/2014 13:22:00     15.631 N    153.997 W
10/17/2014 13:23:59     15.634 N    154.004 W
10/17/2014 13:26:00     15.638 N    154.011 W
10/17/2014 13:27:59     15.641 N    154.018 W
10/17/2014 13:30:00     15.644 N    154.024 W
10/17/2014 13:32:00     15.647 N    154.031 W
10/17/2014 13:33:59     15.651 N    154.038 W
10/17/2014 13:36:00     15.654 N    154.045 W
10/17/2014 13:37:59     15.657 N    154.052 W
10/17/2014 13:40:00     15.661 N    154.059 W
10/17/2014 13:41:59     15.664 N    154.066 W
10/17/2014 13:44:00     15.667 N    154.073 W
10/17/2014 13:45:59     15.671 N    154.080 W
10/17/2014 13:48:00     15.674 N    154.086 W
10/17/2014 13:49:59     15.677 N    154.093 W
10/17/2014 13:52:00     15.681 N    154.100 W
10/17/2014 13:53:59     15.684 N    154.107 W
10/17/2014 13:56:00     15.687 N    154.114 W
10/17/2014 13:57:59     15.690 N    154.121 W
10/17/2014 14:00:00     15.694 N    154.128 W
10/17/2014 14:02:00     15.697 N    154.135 W
10/17/2014 14:03:59     15.700 N    154.142 W
10/17/2014 14:06:00     15.704 N    154.149 W
10/17/2014 14:07:59     15.707 N    154.155 W
10/17/2014 14:10:00     15.710 N    154.162 W
10/17/2014 14:11:59     15.714 N    154.169 W
10/17/2014 14:14:00     15.717 N    154.176 W
10/17/2014 14:15:59     15.720 N    154.183 W
10/17/2014 14:18:00     15.723 N    154.190 W
10/17/2014 14:19:59     15.727 N    154.197 W
10/17/2014 14:22:00     15.730 N    154.204 W
10/17/2014 14:23:59     15.733 N    154.211 W
10/17/2014 14:26:00     15.737 N    154.218 W
10/17/2014 14:27:59     15.740 N    154.225 W
10/17/2014 14:30:00     15.743 N    154.232 W
10/17/2014 14:32:00     15.747 N    154.238 W
10/17/2014 14:33:59     15.750 N    154.245 W
10/17/2014 14:36:00     15.753 N    154.252 W
10/17/2014 14:37:59     15.757 N    154.259 W
10/17/2014 14:40:00     15.760 N    154.266 W
10/17/2014 14:41:59     15.763 N    154.273 W
10/17/2014 14:44:00     15.766 N    154.280 W
10/17/2014 14:45:59     15.770 N    154.287 W
10/17/2014 14:48:00     15.773 N    154.294 W
10/17/2014 14:49:59     15.776 N    154.301 W
10/17/2014 14:52:00     15.780 N    154.308 W
10/17/2014 14:53:59     15.783 N    154.315 W
10/17/2014 14:56:00     15.786 N    154.322 W
10/17/2014 14:57:59     15.790 N    154.329 W
10/17/2014 15:00:00     15.793 N    154.336 W
10/17/2014 15:02:00     15.796 N    154.343 W
10/17/2014 15:03:59     15.799 N    154.350 W
10/17/2014 15:06:00     15.803 N    154.356 W
10/17/2014 15:07:59     15.806 N    154.363 W
10/17/2014 15:10:00     15.809 N    154.370 W
10/17/2014 15:11:59     15.813 N    154.377 W
10/17/2014 15:14:00     15.816 N    154.384 W
10/17/2014 15:15:59     15.819 N    154.391 W
10/17/2014 15:18:00     15.823 N    154.398 W
10/17/2014 15:19:59     15.826 N    154.405 W
10/17/2014 15:22:00     15.829 N    154.412 W
10/17/2014 15:23:59     15.833 N    154.419 W
10/17/2014 15:26:00     15.836 N    154.426 W
10/17/2014 15:27:59     15.839 N    154.433 W
10/17/2014 15:30:00     15.842 N    154.440 W
10/17/2014 15:32:00     15.846 N    154.447 W
10/17/2014 15:33:59     15.849 N    154.454 W
10/17/2014 15:36:00     15.852 N    154.461 W
10/17/2014 15:37:59     15.856 N    154.468 W
10/17/2014 15:40:00     15.859 N    154.475 W
10/17/2014 15:41:59     15.862 N    154.482 W
10/17/2014 15:44:00     15.866 N    154.489 W
10/17/2014 15:45:59     15.869 N    154.496 W
10/17/2014 15:48:00     15.872 N    154.503 W
10/17/2014 15:49:59     15.875 N    154.510 W
10/17/2014 15:52:00     15.879 N    154.517 W
10/17/2014 15:53:59     15.882 N    154.524 W
10/17/2014 15:56:00     15.885 N    154.531 W
10/17/2014 15:57:59     15.889 N    154.538 W
10/17/2014 16:00:00     15.892 N    154.545 W
10/17/2014 16:01:59     15.895 N    154.552 W
10/17/2014 16:04:00     15.899 N    154.559 W
10/17/2014 16:06:00     15.902 N    154.566 W
10/17/2014 16:07:59     15.905 N    154.573 W
10/17/2014 16:09:59     15.909 N    154.580 W
10/17/2014 16:12:00     15.912 N    154.587 W
10/17/2014 16:14:00     15.915 N    154.594 W
10/17/2014 16:15:59     15.918 N    154.601 W
10/17/2014 16:17:59     15.922 N    154.608 W
10/17/2014 16:20:00     15.925 N    154.615 W
10/17/2014 16:22:00     15.928 N    154.622 W
10/17/2014 16:23:59     15.932 N    154.629 W
10/17/2014 16:25:59     15.935 N    154.636 W
10/17/2014 16:28:00     15.938 N    154.643 W
10/17/2014 16:30:00     15.942 N    154.650 W
10/17/2014 16:31:59     15.945 N    154.657 W
10/17/2014 16:34:00     15.948 N    154.664 W
10/17/2014 16:36:00     15.951 N    154.671 W
10/17/2014 16:37:59     15.955 N    154.678 W
