Track for Arthur               2014
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
06/30/2014 17:58:08     28.073 N     78.710 W
06/30/2014 18:00:09     28.068 N     78.713 W
06/30/2014 18:02:09     28.062 N     78.716 W
06/30/2014 18:04:08     28.057 N     78.719 W
06/30/2014 18:06:09     28.052 N     78.722 W
06/30/2014 18:08:09     28.046 N     78.725 W
06/30/2014 18:10:08     28.041 N     78.728 W
06/30/2014 18:12:08     28.035 N     78.731 W
06/30/2014 18:14:09     28.030 N     78.735 W
06/30/2014 18:16:09     28.024 N     78.738 W
06/30/2014 18:18:08     28.019 N     78.741 W
06/30/2014 18:20:08     28.013 N     78.744 W
06/30/2014 18:22:09     28.008 N     78.747 W
06/30/2014 18:24:09     28.002 N     78.750 W
06/30/2014 18:26:08     27.997 N     78.753 W
06/30/2014 18:28:08     27.992 N     78.756 W
06/30/2014 18:30:09     27.986 N     78.759 W
06/30/2014 18:32:09     27.981 N     78.762 W
06/30/2014 18:34:08     27.975 N     78.765 W
06/30/2014 18:36:09     27.970 N     78.768 W
06/30/2014 18:38:09     27.965 N     78.772 W
06/30/2014 18:40:08     27.959 N     78.775 W
06/30/2014 18:42:08     27.954 N     78.778 W
06/30/2014 18:44:09     27.949 N     78.781 W
06/30/2014 18:46:09     27.943 N     78.784 W
06/30/2014 18:48:08     27.938 N     78.787 W
06/30/2014 18:50:08     27.933 N     78.790 W
06/30/2014 18:52:09     27.927 N     78.793 W
06/30/2014 18:54:09     27.922 N     78.796 W
06/30/2014 18:56:08     27.917 N     78.799 W
06/30/2014 18:58:08     27.912 N     78.802 W
06/30/2014 19:00:09     27.907 N     78.805 W
06/30/2014 19:02:09     27.902 N     78.808 W
06/30/2014 19:04:08     27.896 N     78.811 W
06/30/2014 19:06:09     27.891 N     78.813 W
06/30/2014 19:08:09     27.886 N     78.816 W
06/30/2014 19:10:08     27.881 N     78.819 W
06/30/2014 19:12:08     27.876 N     78.822 W
06/30/2014 19:14:09     27.871 N     78.825 W
06/30/2014 19:16:09     27.866 N     78.828 W
06/30/2014 19:18:08     27.861 N     78.831 W
06/30/2014 19:20:08     27.856 N     78.834 W
06/30/2014 19:22:09     27.851 N     78.836 W
06/30/2014 19:24:09     27.847 N     78.839 W
06/30/2014 19:26:08     27.842 N     78.842 W
06/30/2014 19:28:08     27.837 N     78.845 W
06/30/2014 19:30:09     27.832 N     78.848 W
06/30/2014 19:32:09     27.828 N     78.850 W
06/30/2014 19:34:08     27.823 N     78.853 W
06/30/2014 19:36:09     27.818 N     78.856 W
06/30/2014 19:38:09     27.814 N     78.858 W
06/30/2014 19:40:08     27.809 N     78.861 W
06/30/2014 19:42:08     27.804 N     78.864 W
06/30/2014 19:44:09     27.800 N     78.866 W
06/30/2014 19:46:09     27.796 N     78.869 W
06/30/2014 19:48:08     27.791 N     78.872 W
06/30/2014 19:50:08     27.787 N     78.874 W
06/30/2014 19:52:09     27.782 N     78.877 W
06/30/2014 19:54:09     27.778 N     78.879 W
06/30/2014 19:56:08     27.774 N     78.882 W
06/30/2014 19:58:08     27.770 N     78.884 W
06/30/2014 20:00:09     27.765 N     78.887 W
06/30/2014 20:02:09     27.761 N     78.889 W
06/30/2014 20:04:08     27.757 N     78.892 W
06/30/2014 20:06:09     27.753 N     78.894 W
06/30/2014 20:08:09     27.749 N     78.896 W
06/30/2014 20:10:08     27.745 N     78.899 W
06/30/2014 20:12:08     27.742 N     78.901 W
06/30/2014 20:14:09     27.738 N     78.903 W
06/30/2014 20:16:09     27.734 N     78.906 W
06/30/2014 20:18:08     27.730 N     78.908 W
06/30/2014 20:20:08     27.727 N     78.910 W
06/30/2014 20:22:09     27.723 N     78.912 W
06/30/2014 20:24:09     27.719 N     78.914 W
06/30/2014 20:26:08     27.716 N     78.916 W
06/30/2014 20:28:08     27.713 N     78.919 W
06/30/2014 20:30:09     27.709 N     78.921 W
06/30/2014 20:32:09     27.706 N     78.923 W
06/30/2014 20:34:08     27.703 N     78.925 W
06/30/2014 20:36:09     27.699 N     78.927 W
06/30/2014 20:36:22     27.699 N     78.927 W
06/30/2014 20:38:23     27.695 N     78.929 W
06/30/2014 20:40:23     27.692 N     78.931 W
06/30/2014 20:42:22     27.688 N     78.934 W
06/30/2014 20:44:22     27.684 N     78.936 W
06/30/2014 20:46:23     27.681 N     78.938 W
06/30/2014 20:48:22     27.677 N     78.940 W
06/30/2014 20:50:22     27.673 N     78.943 W
06/30/2014 20:52:23     27.670 N     78.945 W
06/30/2014 20:54:23     27.666 N     78.947 W
06/30/2014 20:56:22     27.662 N     78.949 W
06/30/2014 20:58:22     27.659 N     78.952 W
06/30/2014 21:00:23     27.655 N     78.954 W
06/30/2014 21:02:23     27.652 N     78.956 W
06/30/2014 21:04:22     27.648 N     78.958 W
06/30/2014 21:06:22     27.644 N     78.960 W
06/30/2014 21:08:23     27.641 N     78.963 W
06/30/2014 21:10:23     27.637 N     78.965 W
06/30/2014 21:12:22     27.633 N     78.967 W
06/30/2014 21:14:22     27.630 N     78.969 W
