Track for Danielle             1998
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/26/1998 11:53:59     19.092 N     51.065 W
08/26/1998 11:56:00     19.095 N     51.076 W
08/26/1998 11:57:59     19.097 N     51.088 W
08/26/1998 12:00:00     19.100 N     51.100 W
08/26/1998 12:02:00     19.103 N     51.112 W
08/26/1998 12:03:59     19.105 N     51.124 W
08/26/1998 12:06:00     19.108 N     51.135 W
08/26/1998 12:07:59     19.110 N     51.147 W
08/26/1998 12:10:00     19.113 N     51.159 W
08/26/1998 12:11:59     19.116 N     51.171 W
08/26/1998 12:14:00     19.118 N     51.183 W
08/26/1998 12:15:59     19.121 N     51.195 W
08/26/1998 12:18:00     19.123 N     51.206 W
08/26/1998 12:19:59     19.126 N     51.218 W
08/26/1998 12:22:00     19.128 N     51.230 W
08/26/1998 12:23:59     19.131 N     51.242 W
08/26/1998 12:26:00     19.134 N     51.254 W
08/26/1998 12:27:59     19.136 N     51.265 W
08/26/1998 12:30:00     19.139 N     51.277 W
08/26/1998 12:32:00     19.141 N     51.289 W
08/26/1998 12:33:59     19.144 N     51.301 W
08/26/1998 12:36:00     19.147 N     51.313 W
08/26/1998 12:37:59     19.149 N     51.324 W
08/26/1998 12:40:00     19.152 N     51.336 W
08/26/1998 12:41:59     19.154 N     51.348 W
08/26/1998 12:44:00     19.157 N     51.360 W
08/26/1998 12:45:59     19.160 N     51.372 W
08/26/1998 12:48:00     19.162 N     51.383 W
08/26/1998 12:49:59     19.165 N     51.395 W
08/26/1998 12:52:00     19.167 N     51.407 W
08/26/1998 12:53:59     19.170 N     51.419 W
08/26/1998 12:56:00     19.173 N     51.431 W
08/26/1998 12:57:59     19.175 N     51.442 W
08/26/1998 13:00:00     19.178 N     51.454 W
08/26/1998 13:02:00     19.180 N     51.466 W
08/26/1998 13:03:59     19.183 N     51.478 W
08/26/1998 13:06:00     19.185 N     51.490 W
08/26/1998 13:07:59     19.188 N     51.501 W
08/26/1998 13:10:00     19.191 N     51.513 W
08/26/1998 13:11:59     19.193 N     51.525 W
08/26/1998 13:14:00     19.196 N     51.537 W
08/26/1998 13:15:59     19.198 N     51.549 W
08/26/1998 13:18:00     19.201 N     51.560 W
08/26/1998 13:19:59     19.204 N     51.572 W
08/26/1998 13:22:00     19.206 N     51.584 W
08/26/1998 13:23:59     19.209 N     51.596 W
08/26/1998 13:26:00     19.211 N     51.607 W
08/26/1998 13:27:59     19.214 N     51.619 W
08/26/1998 13:30:00     19.217 N     51.631 W
08/26/1998 13:32:00     19.219 N     51.643 W
08/26/1998 13:33:59     19.222 N     51.655 W
08/26/1998 13:36:00     19.224 N     51.666 W
08/26/1998 13:37:59     19.227 N     51.678 W
08/26/1998 13:40:00     19.230 N     51.690 W
08/26/1998 13:41:59     19.232 N     51.702 W
08/26/1998 13:44:00     19.235 N     51.713 W
08/26/1998 13:45:59     19.237 N     51.725 W
08/26/1998 13:48:00     19.240 N     51.737 W
08/26/1998 13:49:59     19.243 N     51.749 W
08/26/1998 13:52:00     19.245 N     51.760 W
08/26/1998 13:53:59     19.248 N     51.772 W
08/26/1998 13:56:00     19.250 N     51.784 W
08/26/1998 13:57:59     19.253 N     51.796 W
08/26/1998 14:00:00     19.256 N     51.807 W
08/26/1998 14:02:00     19.258 N     51.819 W
08/26/1998 14:03:59     19.261 N     51.831 W
08/26/1998 14:06:00     19.263 N     51.842 W
08/26/1998 14:07:59     19.266 N     51.854 W
08/26/1998 14:10:00     19.269 N     51.866 W
08/26/1998 14:11:59     19.271 N     51.878 W
08/26/1998 14:14:00     19.274 N     51.889 W
08/26/1998 14:15:59     19.276 N     51.901 W
08/26/1998 14:18:00     19.279 N     51.913 W
08/26/1998 14:19:59     19.282 N     51.924 W
08/26/1998 14:22:00     19.284 N     51.936 W
08/26/1998 14:23:59     19.287 N     51.948 W
08/26/1998 14:26:00     19.289 N     51.959 W
08/26/1998 14:27:59     19.292 N     51.971 W
08/26/1998 14:30:00     19.295 N     51.983 W
08/26/1998 14:32:00     19.297 N     51.995 W
08/26/1998 14:33:59     19.300 N     52.006 W
08/26/1998 14:36:00     19.303 N     52.018 W
08/26/1998 14:37:59     19.305 N     52.030 W
08/26/1998 14:40:00     19.308 N     52.041 W
08/26/1998 14:41:59     19.310 N     52.053 W
08/26/1998 14:44:00     19.313 N     52.065 W
08/26/1998 14:45:59     19.316 N     52.076 W
08/26/1998 14:48:00     19.318 N     52.088 W
08/26/1998 14:49:59     19.321 N     52.100 W
08/26/1998 14:52:00     19.323 N     52.111 W
08/26/1998 14:53:59     19.326 N     52.123 W
08/26/1998 14:56:00     19.329 N     52.134 W
08/26/1998 14:57:59     19.331 N     52.146 W
08/26/1998 15:00:00     19.334 N     52.158 W
08/26/1998 15:02:00     19.337 N     52.169 W
08/26/1998 15:03:59     19.339 N     52.181 W
08/26/1998 15:06:00     19.342 N     52.193 W
08/26/1998 15:07:59     19.344 N     52.204 W
08/26/1998 15:10:00     19.347 N     52.216 W
08/26/1998 15:11:59     19.350 N     52.227 W
08/26/1998 15:14:00     19.352 N     52.239 W
08/26/1998 15:15:59     19.355 N     52.251 W
08/26/1998 15:18:00     19.358 N     52.262 W
08/26/1998 15:19:59     19.360 N     52.274 W
08/26/1998 15:22:00     19.363 N     52.285 W
08/26/1998 15:23:59     19.365 N     52.297 W
08/26/1998 15:26:00     19.368 N     52.308 W
08/26/1998 15:27:59     19.371 N     52.320 W
08/26/1998 15:30:00     19.373 N     52.332 W
08/26/1998 15:32:00     19.376 N     52.343 W
08/26/1998 15:33:59     19.379 N     52.355 W
08/26/1998 15:36:00     19.381 N     52.366 W
08/26/1998 15:37:59     19.384 N     52.378 W
08/26/1998 15:40:00     19.386 N     52.389 W
08/26/1998 15:41:59     19.389 N     52.401 W
08/26/1998 15:44:00     19.392 N     52.412 W
08/26/1998 15:45:59     19.394 N     52.424 W
08/26/1998 15:48:00     19.397 N     52.435 W
08/26/1998 15:49:59     19.400 N     52.447 W
08/26/1998 15:52:00     19.402 N     52.458 W
08/26/1998 15:53:59     19.405 N     52.470 W
08/26/1998 15:56:00     19.408 N     52.481 W
08/26/1998 15:57:59     19.410 N     52.493 W
08/26/1998 16:00:00     19.413 N     52.504 W
08/26/1998 16:01:59     19.416 N     52.516 W
08/26/1998 16:04:00     19.418 N     52.527 W
08/26/1998 16:06:00     19.421 N     52.539 W
08/26/1998 16:07:59     19.423 N     52.550 W
08/26/1998 16:09:59     19.426 N     52.562 W
08/26/1998 16:12:00     19.429 N     52.573 W
08/26/1998 16:14:00     19.431 N     52.585 W
08/26/1998 16:15:59     19.434 N     52.596 W
08/26/1998 16:17:59     19.437 N     52.607 W
08/26/1998 16:20:00     19.439 N     52.619 W
08/26/1998 16:22:00     19.442 N     52.630 W
08/26/1998 16:23:59     19.445 N     52.642 W
08/26/1998 16:25:59     19.447 N     52.653 W
08/26/1998 16:28:00     19.450 N     52.664 W
08/26/1998 16:30:00     19.453 N     52.676 W
08/26/1998 16:31:59     19.455 N     52.687 W
08/26/1998 16:34:00     19.458 N     52.699 W
08/26/1998 16:36:00     19.461 N     52.710 W
08/26/1998 16:37:59     19.463 N     52.721 W
08/26/1998 16:39:59     19.466 N     52.733 W
08/26/1998 16:42:00     19.469 N     52.744 W
08/26/1998 16:44:00     19.471 N     52.755 W
08/26/1998 16:45:59     19.474 N     52.767 W
08/26/1998 16:47:59     19.477 N     52.778 W
08/26/1998 16:50:00     19.479 N     52.789 W
08/26/1998 16:52:00     19.482 N     52.801 W
08/26/1998 16:53:59     19.485 N     52.812 W
08/26/1998 16:55:59     19.487 N     52.823 W
08/26/1998 16:58:00     19.490 N     52.835 W
08/26/1998 17:00:00     19.493 N     52.846 W
08/26/1998 17:01:59     19.495 N     52.857 W
08/26/1998 17:04:00     19.498 N     52.868 W
08/26/1998 17:06:00     19.501 N     52.880 W
08/26/1998 17:07:59     19.503 N     52.891 W
08/26/1998 17:09:59     19.506 N     52.902 W
08/26/1998 17:12:00     19.509 N     52.914 W
08/26/1998 17:14:00     19.511 N     52.925 W
08/26/1998 17:15:59     19.514 N     52.936 W
08/26/1998 17:17:59     19.517 N     52.947 W
08/26/1998 17:20:00     19.519 N     52.958 W
08/26/1998 17:22:00     19.522 N     52.970 W
08/26/1998 17:23:59     19.525 N     52.981 W
08/26/1998 17:25:59     19.528 N     52.992 W
08/26/1998 17:28:00     19.530 N     53.003 W
08/26/1998 17:30:00     19.533 N     53.014 W
08/26/1998 17:31:59     19.536 N     53.026 W
08/26/1998 17:34:00     19.538 N     53.037 W
08/26/1998 17:36:00     19.541 N     53.048 W
08/26/1998 17:37:59     19.544 N     53.059 W
08/26/1998 17:39:59     19.546 N     53.070 W
08/26/1998 17:42:00     19.549 N     53.081 W
08/26/1998 17:44:00     19.552 N     53.092 W
08/26/1998 17:45:59     19.554 N     53.104 W
08/26/1998 17:47:59     19.557 N     53.115 W
08/26/1998 17:50:00     19.560 N     53.126 W
