Track for Danny                1997
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
07/16/1997 18:46:48     27.311 N     92.465 W
07/16/1997 18:48:49     27.312 N     92.467 W
07/16/1997 18:50:49     27.314 N     92.468 W
07/16/1997 18:52:48     27.315 N     92.470 W
07/16/1997 18:54:48     27.316 N     92.472 W
07/16/1997 18:56:49     27.318 N     92.473 W
07/16/1997 18:58:49     27.319 N     92.475 W
07/16/1997 19:00:48     27.321 N     92.476 W
07/16/1997 19:02:48     27.322 N     92.478 W
07/16/1997 19:04:49     27.324 N     92.479 W
07/16/1997 19:06:49     27.325 N     92.481 W
07/16/1997 19:08:48     27.326 N     92.482 W
07/16/1997 19:10:48     27.328 N     92.484 W
07/16/1997 19:12:49     27.329 N     92.485 W
07/16/1997 19:14:48     27.331 N     92.486 W
07/16/1997 19:16:48     27.332 N     92.488 W
07/16/1997 19:18:49     27.333 N     92.489 W
07/16/1997 19:20:49     27.335 N     92.491 W
07/16/1997 19:22:48     27.336 N     92.492 W
07/16/1997 19:24:48     27.338 N     92.493 W
07/16/1997 19:26:49     27.339 N     92.494 W
07/16/1997 19:28:49     27.340 N     92.496 W
07/16/1997 19:30:48     27.342 N     92.497 W
07/16/1997 19:32:48     27.343 N     92.498 W
07/16/1997 19:34:49     27.345 N     92.499 W
07/16/1997 19:36:49     27.346 N     92.500 W
07/16/1997 19:38:48     27.347 N     92.501 W
07/16/1997 19:40:48     27.349 N     92.502 W
07/16/1997 19:42:49     27.350 N     92.502 W
07/16/1997 19:44:48     27.351 N     92.503 W
07/16/1997 19:46:48     27.353 N     92.504 W
07/16/1997 19:48:49     27.354 N     92.505 W
07/16/1997 19:50:49     27.355 N     92.505 W
07/16/1997 19:52:48     27.357 N     92.506 W
07/16/1997 19:54:48     27.358 N     92.506 W
07/16/1997 19:56:49     27.359 N     92.506 W
07/16/1997 19:58:49     27.360 N     92.507 W
07/16/1997 20:00:48     27.362 N     92.507 W
07/16/1997 20:02:48     27.363 N     92.507 W
07/16/1997 20:04:49     27.364 N     92.507 W
07/16/1997 20:06:49     27.366 N     92.507 W
07/16/1997 20:08:48     27.367 N     92.507 W
07/16/1997 20:10:48     27.368 N     92.507 W
07/16/1997 20:12:49     27.369 N     92.506 W
07/16/1997 20:14:48     27.370 N     92.506 W
07/16/1997 20:16:48     27.372 N     92.505 W
07/16/1997 20:18:49     27.373 N     92.505 W
07/16/1997 20:20:49     27.374 N     92.504 W
07/16/1997 20:22:48     27.375 N     92.503 W
07/16/1997 20:24:48     27.376 N     92.502 W
07/16/1997 20:26:49     27.377 N     92.501 W
07/16/1997 20:28:49     27.379 N     92.500 W
07/16/1997 20:30:48     27.380 N     92.499 W
07/16/1997 20:32:48     27.381 N     92.497 W
07/16/1997 20:34:49     27.382 N     92.496 W
07/16/1997 20:36:49     27.383 N     92.494 W
07/16/1997 20:38:48     27.384 N     92.492 W
07/16/1997 20:40:48     27.385 N     92.490 W
07/16/1997 20:42:49     27.386 N     92.488 W
07/16/1997 20:44:48     27.387 N     92.486 W
07/16/1997 20:46:48     27.388 N     92.484 W
07/16/1997 20:48:49     27.389 N     92.482 W
07/16/1997 20:50:49     27.390 N     92.479 W
07/16/1997 20:52:48     27.391 N     92.477 W
07/16/1997 20:54:48     27.392 N     92.474 W
07/16/1997 20:56:49     27.393 N     92.471 W
07/16/1997 20:58:49     27.394 N     92.468 W
07/16/1997 21:00:48     27.395 N     92.465 W
07/16/1997 21:02:48     27.396 N     92.462 W
07/16/1997 21:04:49     27.397 N     92.459 W
07/16/1997 21:06:49     27.398 N     92.456 W
07/16/1997 21:08:48     27.398 N     92.452 W
07/16/1997 21:10:48     27.399 N     92.449 W
07/16/1997 21:12:49     27.400 N     92.445 W
07/16/1997 21:14:48     27.401 N     92.442 W
07/16/1997 21:16:48     27.402 N     92.438 W
07/16/1997 21:18:49     27.403 N     92.434 W
07/16/1997 21:20:49     27.404 N     92.430 W
07/16/1997 21:22:48     27.404 N     92.426 W
07/16/1997 21:22:00     27.404 N     92.428 W
07/16/1997 21:23:59     27.407 N     92.430 W
07/16/1997 21:25:59     27.411 N     92.431 W
07/16/1997 21:28:00     27.415 N     92.433 W
07/16/1997 21:30:00     27.418 N     92.435 W
07/16/1997 21:31:59     27.422 N     92.437 W
07/16/1997 21:34:00     27.426 N     92.439 W
07/16/1997 21:36:00     27.430 N     92.442 W
07/16/1997 21:37:59     27.434 N     92.444 W
07/16/1997 21:39:59     27.438 N     92.446 W
07/16/1997 21:42:00     27.443 N     92.449 W
07/16/1997 21:44:00     27.447 N     92.451 W
07/16/1997 21:45:59     27.451 N     92.454 W
07/16/1997 21:47:59     27.456 N     92.456 W
07/16/1997 21:50:00     27.460 N     92.459 W
07/16/1997 21:52:00     27.465 N     92.461 W
07/16/1997 21:53:59     27.469 N     92.464 W
07/16/1997 21:55:59     27.474 N     92.466 W
07/16/1997 21:58:00     27.479 N     92.469 W
07/16/1997 22:00:00     27.483 N     92.471 W
07/16/1997 22:01:59     27.488 N     92.473 W
07/16/1997 22:04:00     27.493 N     92.476 W
