Track for Dora                 1999
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/15/1999 05:27:10     15.412 N    148.751 W
08/15/1999 05:29:10     15.412 N    148.762 W
08/15/1999 05:31:10     15.412 N    148.772 W
08/15/1999 05:33:11     15.412 N    148.782 W
08/15/1999 05:35:11     15.412 N    148.792 W
08/15/1999 05:37:11     15.412 N    148.802 W
08/15/1999 05:39:11     15.412 N    148.813 W
08/15/1999 05:41:11     15.411 N    148.823 W
08/15/1999 05:43:11     15.411 N    148.833 W
08/15/1999 05:45:11     15.411 N    148.843 W
08/15/1999 05:47:11     15.411 N    148.854 W
08/15/1999 05:49:10     15.411 N    148.864 W
08/15/1999 05:51:10     15.411 N    148.874 W
08/15/1999 05:53:10     15.411 N    148.884 W
08/15/1999 05:55:10     15.410 N    148.894 W
08/15/1999 05:57:10     15.410 N    148.905 W
08/15/1999 05:59:10     15.410 N    148.915 W
08/15/1999 06:01:10     15.410 N    148.925 W
08/15/1999 06:03:11     15.410 N    148.935 W
08/15/1999 06:05:11     15.410 N    148.946 W
08/15/1999 06:07:11     15.410 N    148.956 W
08/15/1999 06:09:11     15.410 N    148.966 W
08/15/1999 06:11:11     15.409 N    148.976 W
08/15/1999 06:13:11     15.409 N    148.986 W
08/15/1999 06:15:11     15.409 N    148.997 W
08/15/1999 06:17:10     15.409 N    149.007 W
08/15/1999 06:19:10     15.409 N    149.017 W
08/15/1999 06:21:10     15.409 N    149.027 W
08/15/1999 06:23:10     15.409 N    149.038 W
08/15/1999 06:25:10     15.409 N    149.048 W
08/15/1999 06:27:10     15.409 N    149.058 W
08/15/1999 06:29:10     15.409 N    149.068 W
08/15/1999 06:31:10     15.409 N    149.078 W
08/15/1999 06:33:11     15.409 N    149.089 W
08/15/1999 06:35:11     15.409 N    149.099 W
08/15/1999 06:37:11     15.409 N    149.109 W
08/15/1999 06:39:11     15.409 N    149.119 W
08/15/1999 06:41:11     15.409 N    149.130 W
08/15/1999 06:43:11     15.409 N    149.140 W
08/15/1999 06:45:11     15.409 N    149.150 W
08/15/1999 06:47:11     15.409 N    149.160 W
08/15/1999 06:49:10     15.409 N    149.171 W
08/15/1999 06:51:10     15.409 N    149.181 W
08/15/1999 06:53:10     15.409 N    149.191 W
08/15/1999 06:55:10     15.409 N    149.201 W
08/15/1999 06:57:10     15.409 N    149.211 W
08/15/1999 06:59:10     15.409 N    149.222 W
08/15/1999 07:01:10     15.410 N    149.232 W
08/15/1999 07:03:11     15.410 N    149.242 W
08/15/1999 07:05:11     15.410 N    149.252 W
08/15/1999 07:07:11     15.410 N    149.263 W
08/15/1999 07:09:11     15.410 N    149.273 W
08/15/1999 07:11:11     15.410 N    149.283 W
08/15/1999 07:13:11     15.411 N    149.293 W
08/15/1999 07:15:11     15.411 N    149.304 W
08/15/1999 07:17:10     15.411 N    149.314 W
08/15/1999 07:19:10     15.411 N    149.324 W
08/15/1999 07:21:10     15.412 N    149.334 W
08/15/1999 07:23:10     15.412 N    149.344 W
08/15/1999 07:25:10     15.412 N    149.355 W
08/15/1999 07:27:10     15.413 N    149.365 W
08/15/1999 07:29:10     15.413 N    149.375 W
08/15/1999 07:31:10     15.413 N    149.385 W
08/15/1999 07:33:11     15.414 N    149.396 W
08/15/1999 07:35:11     15.414 N    149.406 W
08/15/1999 07:37:11     15.414 N    149.416 W
08/15/1999 07:39:11     15.415 N    149.426 W
08/15/1999 07:41:11     15.415 N    149.437 W
08/15/1999 07:43:11     15.416 N    149.447 W
08/15/1999 07:45:11     15.416 N    149.457 W
08/15/1999 07:47:11     15.417 N    149.467 W
08/15/1999 07:49:10     15.417 N    149.478 W
08/15/1999 07:51:10     15.418 N    149.488 W
08/15/1999 07:53:10     15.418 N    149.498 W
08/15/1999 07:55:10     15.419 N    149.508 W
08/15/1999 07:57:10     15.420 N    149.519 W
08/15/1999 07:59:10     15.420 N    149.529 W
08/15/1999 08:01:10     15.421 N    149.539 W
08/15/1999 08:03:11     15.422 N    149.549 W
08/15/1999 08:05:10     15.422 N    149.559 W
08/15/1999 08:07:11     15.423 N    149.570 W
08/15/1999 08:09:10     15.424 N    149.580 W
08/15/1999 08:11:11     15.425 N    149.590 W
08/15/1999 08:13:10     15.425 N    149.600 W
08/15/1999 08:15:11     15.426 N    149.611 W
08/15/1999 08:17:11     15.427 N    149.621 W
08/15/1999 08:19:10     15.428 N    149.631 W
08/15/1999 08:21:11     15.429 N    149.641 W
08/15/1999 08:23:10     15.430 N    149.652 W
08/15/1999 08:25:11     15.431 N    149.662 W
08/15/1999 08:27:10     15.432 N    149.672 W
08/15/1999 08:29:11     15.433 N    149.682 W
08/15/1999 08:31:10     15.434 N    149.693 W
08/15/1999 08:33:11     15.435 N    149.703 W
08/15/1999 08:35:10     15.436 N    149.713 W
08/15/1999 08:37:11     15.437 N    149.724 W
08/15/1999 08:39:10     15.438 N    149.734 W
08/15/1999 08:41:11     15.439 N    149.744 W
08/15/1999 08:43:10     15.440 N    149.754 W
08/15/1999 08:45:11     15.441 N    149.765 W
08/15/1999 08:47:11     15.443 N    149.775 W
08/15/1999 08:49:10     15.444 N    149.785 W
08/15/1999 08:51:11     15.445 N    149.795 W
08/15/1999 08:53:10     15.446 N    149.806 W
08/15/1999 08:55:11     15.448 N    149.816 W
08/15/1999 08:57:10     15.449 N    149.826 W
08/15/1999 08:59:11     15.450 N    149.836 W
08/15/1999 09:01:10     15.451 N    149.847 W
08/15/1999 09:03:11     15.453 N    149.857 W
08/15/1999 09:05:10     15.454 N    149.867 W
08/15/1999 09:04:58     15.454 N    149.866 W
08/15/1999 09:06:57     15.455 N    149.876 W
08/15/1999 09:08:58     15.455 N    149.886 W
08/15/1999 09:10:57     15.456 N    149.897 W
08/15/1999 09:12:58     15.456 N    149.907 W
08/15/1999 09:14:57     15.457 N    149.917 W
08/15/1999 09:16:58     15.457 N    149.927 W
08/15/1999 09:18:58     15.458 N    149.937 W
08/15/1999 09:20:57     15.458 N    149.948 W
08/15/1999 09:22:58     15.459 N    149.958 W
08/15/1999 09:24:57     15.459 N    149.968 W
08/15/1999 09:26:58     15.459 N    149.978 W
08/15/1999 09:28:57     15.460 N    149.988 W
08/15/1999 09:30:58     15.460 N    149.998 W
08/15/1999 09:32:57     15.461 N    150.009 W
08/15/1999 09:34:58     15.461 N    150.019 W
08/15/1999 09:36:57     15.461 N    150.029 W
08/15/1999 09:38:58     15.462 N    150.039 W
08/15/1999 09:40:57     15.462 N    150.049 W
08/15/1999 09:42:58     15.462 N    150.059 W
08/15/1999 09:44:57     15.462 N    150.070 W
08/15/1999 09:46:58     15.463 N    150.080 W
08/15/1999 09:48:58     15.463 N    150.090 W
08/15/1999 09:50:57     15.463 N    150.100 W
08/15/1999 09:52:58     15.463 N    150.110 W
08/15/1999 09:54:57     15.464 N    150.120 W
08/15/1999 09:56:58     15.464 N    150.130 W
08/15/1999 09:58:57     15.464 N    150.141 W
08/15/1999 10:00:58     15.464 N    150.151 W
08/15/1999 10:02:57     15.464 N    150.161 W
08/15/1999 10:04:58     15.464 N    150.171 W
08/15/1999 10:06:57     15.464 N    150.181 W
08/15/1999 10:08:58     15.464 N    150.191 W
08/15/1999 10:10:57     15.464 N    150.201 W
08/15/1999 10:12:58     15.464 N    150.211 W
08/15/1999 10:14:57     15.464 N    150.222 W
08/15/1999 10:16:58     15.464 N    150.232 W
08/15/1999 10:18:58     15.464 N    150.242 W
08/15/1999 10:20:57     15.464 N    150.252 W
08/15/1999 10:22:58     15.464 N    150.262 W
08/15/1999 10:24:57     15.464 N    150.272 W
08/15/1999 10:26:58     15.464 N    150.282 W
08/15/1999 10:28:57     15.464 N    150.292 W
08/15/1999 10:30:58     15.464 N    150.302 W
08/15/1999 10:32:57     15.463 N    150.312 W
08/15/1999 10:34:58     15.463 N    150.322 W
08/15/1999 10:36:57     15.463 N    150.332 W
08/15/1999 10:38:58     15.463 N    150.343 W
08/15/1999 10:40:57     15.462 N    150.353 W
08/15/1999 10:42:58     15.462 N    150.363 W
08/15/1999 10:44:57     15.462 N    150.373 W
08/15/1999 10:46:58     15.461 N    150.383 W
08/15/1999 10:48:58     15.461 N    150.393 W
08/15/1999 10:50:57     15.460 N    150.403 W
08/15/1999 10:52:58     15.460 N    150.413 W
08/15/1999 10:54:57     15.460 N    150.423 W
08/15/1999 10:56:58     15.459 N    150.433 W
08/15/1999 10:58:57     15.459 N    150.443 W
08/15/1999 11:00:58     15.458 N    150.453 W
08/15/1999 11:02:57     15.457 N    150.463 W
08/15/1999 11:00:59     15.458 N    150.453 W
08/15/1999 11:02:59     15.458 N    150.463 W
08/15/1999 11:04:58     15.458 N    150.473 W
08/15/1999 11:06:59     15.459 N    150.483 W
08/15/1999 11:08:58     15.459 N    150.493 W
08/15/1999 11:10:59     15.459 N    150.503 W
08/15/1999 11:12:58     15.459 N    150.513 W
08/15/1999 11:14:59     15.459 N    150.523 W
08/15/1999 11:16:58     15.460 N    150.533 W
08/15/1999 11:18:59     15.460 N    150.543 W
08/15/1999 11:20:58     15.460 N    150.553 W
08/15/1999 11:22:59     15.460 N    150.563 W
08/15/1999 11:24:58     15.461 N    150.573 W
08/15/1999 11:26:59     15.461 N    150.583 W
08/15/1999 11:28:58     15.461 N    150.593 W
08/15/1999 11:30:59     15.461 N    150.603 W
08/15/1999 11:32:59     15.462 N    150.613 W
08/15/1999 11:34:58     15.462 N    150.623 W
08/15/1999 11:36:59     15.462 N    150.633 W
08/15/1999 11:38:58     15.462 N    150.643 W
08/15/1999 11:40:59     15.463 N    150.653 W
08/15/1999 11:42:58     15.463 N    150.663 W
08/15/1999 11:44:59     15.463 N    150.673 W
08/15/1999 11:46:58     15.464 N    150.683 W
08/15/1999 11:48:59     15.464 N    150.692 W
08/15/1999 11:50:58     15.464 N    150.702 W
08/15/1999 11:52:59     15.465 N    150.712 W
08/15/1999 11:54:58     15.465 N    150.722 W
08/15/1999 11:56:59     15.465 N    150.732 W
08/15/1999 11:58:58     15.466 N    150.742 W
08/15/1999 12:00:59     15.466 N    150.752 W
08/15/1999 12:02:59     15.467 N    150.762 W
08/15/1999 12:04:58     15.467 N    150.772 W
08/15/1999 12:06:59     15.467 N    150.781 W
08/15/1999 12:08:58     15.468 N    150.791 W
08/15/1999 12:10:59     15.468 N    150.801 W
08/15/1999 12:12:58     15.469 N    150.811 W
08/15/1999 12:14:59     15.469 N    150.821 W
08/15/1999 12:16:58     15.470 N    150.831 W
08/15/1999 12:18:59     15.470 N    150.840 W
08/15/1999 12:20:58     15.471 N    150.850 W
08/15/1999 12:22:59     15.471 N    150.860 W
