Track for Dorian               2019
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/26/2019 23:34:57     13.007 N     59.081 W
08/26/2019 23:36:58     13.008 N     59.087 W
08/26/2019 23:38:58     13.008 N     59.092 W
08/26/2019 23:40:57     13.009 N     59.098 W
08/26/2019 23:42:57     13.010 N     59.104 W
08/26/2019 23:44:58     13.010 N     59.109 W
08/26/2019 23:46:58     13.011 N     59.115 W
08/26/2019 23:48:57     13.011 N     59.121 W
08/26/2019 23:50:58     13.012 N     59.127 W
08/26/2019 23:52:58     13.012 N     59.132 W
08/26/2019 23:54:57     13.013 N     59.138 W
08/26/2019 23:56:57     13.013 N     59.144 W
08/26/2019 23:58:58     13.014 N     59.150 W
08/27/2019 00:00:58     13.014 N     59.156 W
08/27/2019 00:02:57     13.015 N     59.161 W
08/27/2019 00:04:57     13.015 N     59.167 W
08/27/2019 00:06:58     13.016 N     59.173 W
08/27/2019 00:08:58     13.016 N     59.179 W
08/27/2019 00:10:57     13.016 N     59.185 W
08/27/2019 00:12:57     13.017 N     59.191 W
08/27/2019 00:14:58     13.017 N     59.197 W
08/27/2019 00:16:58     13.017 N     59.202 W
08/27/2019 00:18:57     13.018 N     59.208 W
08/27/2019 00:20:58     13.018 N     59.214 W
08/27/2019 00:22:58     13.018 N     59.220 W
08/27/2019 00:24:57     13.018 N     59.226 W
08/27/2019 00:26:57     13.018 N     59.233 W
08/27/2019 00:28:58     13.018 N     59.239 W
08/27/2019 00:30:58     13.019 N     59.245 W
08/27/2019 00:32:57     13.019 N     59.251 W
08/27/2019 00:34:57     13.019 N     59.257 W
08/27/2019 00:36:58     13.018 N     59.263 W
08/27/2019 00:38:58     13.018 N     59.270 W
08/27/2019 00:40:57     13.018 N     59.276 W
08/27/2019 00:42:57     13.018 N     59.282 W
08/27/2019 00:44:58     13.018 N     59.289 W
08/27/2019 00:46:58     13.017 N     59.295 W
08/27/2019 00:48:57     13.017 N     59.302 W
08/27/2019 00:50:58     13.017 N     59.308 W
08/27/2019 00:52:58     13.016 N     59.315 W
08/27/2019 00:54:57     13.016 N     59.321 W
08/27/2019 00:56:57     13.015 N     59.328 W
08/27/2019 00:58:58     13.015 N     59.335 W
08/27/2019 01:00:58     13.014 N     59.341 W
08/27/2019 01:02:57     13.013 N     59.348 W
08/27/2019 01:04:57     13.012 N     59.355 W
08/27/2019 01:06:58     13.011 N     59.362 W
08/27/2019 01:08:58     13.010 N     59.369 W
08/27/2019 01:10:57     13.009 N     59.376 W
08/27/2019 01:12:57     13.008 N     59.383 W
08/27/2019 01:14:58     13.007 N     59.390 W
08/27/2019 01:16:58     13.006 N     59.398 W
08/27/2019 01:18:57     13.005 N     59.405 W
08/27/2019 01:20:58     13.003 N     59.412 W
08/27/2019 01:22:58     13.002 N     59.420 W
08/27/2019 01:24:57     13.000 N     59.427 W
08/27/2019 01:26:57     12.998 N     59.435 W
08/27/2019 01:28:58     12.997 N     59.443 W
08/27/2019 01:30:58     12.995 N     59.450 W
08/27/2019 01:32:57     12.993 N     59.458 W
08/27/2019 01:34:57     12.991 N     59.466 W
08/27/2019 01:36:58     12.989 N     59.474 W
08/27/2019 01:38:58     12.987 N     59.482 W
08/27/2019 01:40:57     12.985 N     59.490 W
08/27/2019 01:42:49     12.983 N     59.497 W
08/27/2019 01:44:50     12.982 N     59.504 W
08/27/2019 01:46:50     12.981 N     59.512 W
08/27/2019 01:48:49     12.981 N     59.520 W
08/27/2019 01:50:49     12.980 N     59.527 W
08/27/2019 01:52:50     12.979 N     59.535 W
08/27/2019 01:54:50     12.978 N     59.542 W
08/27/2019 01:56:49     12.978 N     59.550 W
08/27/2019 01:58:50     12.977 N     59.558 W
08/27/2019 02:00:50     12.977 N     59.566 W
08/27/2019 02:02:49     12.976 N     59.573 W
08/27/2019 02:04:49     12.976 N     59.581 W
08/27/2019 02:06:50     12.975 N     59.589 W
08/27/2019 02:08:50     12.975 N     59.597 W
08/27/2019 02:10:49     12.975 N     59.605 W
08/27/2019 02:12:49     12.974 N     59.613 W
08/27/2019 02:14:50     12.974 N     59.621 W
08/27/2019 02:16:50     12.974 N     59.629 W
08/27/2019 02:18:49     12.974 N     59.637 W
08/27/2019 02:20:49     12.974 N     59.645 W
08/27/2019 02:22:50     12.974 N     59.653 W
08/27/2019 02:24:50     12.974 N     59.661 W
08/27/2019 02:26:49     12.974 N     59.669 W
08/27/2019 02:28:50     12.974 N     59.677 W
08/27/2019 02:30:50     12.974 N     59.685 W
08/27/2019 02:32:49     12.975 N     59.693 W
08/27/2019 02:34:49     12.975 N     59.701 W
08/27/2019 02:36:50     12.976 N     59.709 W
08/27/2019 02:38:50     12.976 N     59.717 W
08/27/2019 02:40:49     12.977 N     59.725 W
08/27/2019 02:42:49     12.977 N     59.733 W
08/27/2019 02:44:50     12.978 N     59.740 W
08/27/2019 02:46:50     12.979 N     59.748 W
08/27/2019 02:48:49     12.980 N     59.756 W
08/27/2019 02:50:49     12.981 N     59.764 W
08/27/2019 02:52:50     12.982 N     59.772 W
08/27/2019 02:54:50     12.983 N     59.779 W
08/27/2019 02:56:49     12.984 N     59.787 W
08/27/2019 02:58:50     12.985 N     59.795 W
08/27/2019 03:00:50     12.987 N     59.802 W
08/27/2019 03:01:20     12.987 N     59.804 W
08/27/2019 03:03:19     12.988 N     59.811 W
08/27/2019 03:05:19     12.989 N     59.819 W
08/27/2019 03:07:20     12.990 N     59.826 W
08/27/2019 03:09:20     12.991 N     59.833 W
08/27/2019 03:11:19     12.993 N     59.840 W
08/27/2019 03:13:19     12.994 N     59.847 W
08/27/2019 03:15:20     12.996 N     59.854 W
08/27/2019 03:17:20     12.997 N     59.861 W
08/27/2019 03:19:19     12.999 N     59.868 W
08/27/2019 03:21:20     13.000 N     59.875 W
08/27/2019 03:23:20     13.002 N     59.882 W
08/27/2019 03:25:19     13.004 N     59.889 W
08/27/2019 03:27:19     13.006 N     59.896 W
08/27/2019 03:29:20     13.008 N     59.902 W
08/27/2019 03:31:20     13.010 N     59.909 W
08/27/2019 03:33:19     13.012 N     59.916 W
08/27/2019 03:35:19     13.015 N     59.922 W
08/27/2019 03:37:20     13.017 N     59.929 W
08/27/2019 03:39:20     13.020 N     59.935 W
08/27/2019 03:41:19     13.022 N     59.942 W
08/27/2019 03:43:19     13.025 N     59.948 W
08/27/2019 03:45:20     13.028 N     59.954 W
08/27/2019 03:47:20     13.031 N     59.961 W
08/27/2019 03:49:19     13.034 N     59.967 W
08/27/2019 03:51:20     13.037 N     59.973 W
08/27/2019 03:53:20     13.040 N     59.979 W
08/27/2019 03:55:19     13.044 N     59.985 W
08/27/2019 03:57:19     13.047 N     59.991 W
08/27/2019 03:59:20     13.051 N     59.997 W
08/27/2019 04:01:20     13.054 N     60.003 W
08/27/2019 04:03:19     13.058 N     60.008 W
