Track for Ela                  2015
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
07/08/2015 16:45:14     17.030 N    143.319 W
07/08/2015 16:47:13     17.033 N    143.323 W
07/08/2015 16:49:13     17.035 N    143.328 W
07/08/2015 16:51:14     17.038 N    143.332 W
07/08/2015 16:53:14     17.041 N    143.336 W
07/08/2015 16:55:13     17.043 N    143.341 W
07/08/2015 16:57:13     17.046 N    143.345 W
07/08/2015 16:59:14     17.049 N    143.350 W
07/08/2015 17:01:13     17.051 N    143.354 W
07/08/2015 17:03:13     17.054 N    143.358 W
07/08/2015 17:05:14     17.057 N    143.363 W
07/08/2015 17:07:14     17.060 N    143.367 W
07/08/2015 17:09:13     17.062 N    143.372 W
07/08/2015 17:11:13     17.065 N    143.376 W
07/08/2015 17:13:14     17.068 N    143.380 W
07/08/2015 17:15:14     17.070 N    143.385 W
07/08/2015 17:17:13     17.073 N    143.389 W
07/08/2015 17:19:13     17.076 N    143.394 W
07/08/2015 17:21:14     17.079 N    143.398 W
07/08/2015 17:23:14     17.081 N    143.402 W
07/08/2015 17:25:13     17.084 N    143.407 W
07/08/2015 17:27:13     17.087 N    143.411 W
07/08/2015 17:29:14     17.089 N    143.416 W
07/08/2015 17:31:13     17.092 N    143.420 W
07/08/2015 17:33:13     17.095 N    143.424 W
07/08/2015 17:35:14     17.098 N    143.429 W
07/08/2015 17:37:14     17.100 N    143.433 W
07/08/2015 17:39:13     17.103 N    143.437 W
07/08/2015 17:41:13     17.106 N    143.442 W
07/08/2015 17:43:14     17.109 N    143.446 W
07/08/2015 17:45:14     17.112 N    143.451 W
07/08/2015 17:47:13     17.114 N    143.455 W
07/08/2015 17:49:13     17.117 N    143.459 W
07/08/2015 17:51:14     17.120 N    143.464 W
07/08/2015 17:53:14     17.123 N    143.468 W
07/08/2015 17:55:13     17.126 N    143.472 W
07/08/2015 17:57:13     17.128 N    143.476 W
07/08/2015 17:59:14     17.131 N    143.481 W
07/08/2015 18:01:13     17.134 N    143.485 W
07/08/2015 18:03:13     17.137 N    143.489 W
07/08/2015 18:05:14     17.140 N    143.494 W
07/08/2015 18:07:14     17.143 N    143.498 W
07/08/2015 18:09:13     17.146 N    143.502 W
07/08/2015 18:11:13     17.148 N    143.506 W
07/08/2015 18:13:14     17.151 N    143.511 W
07/08/2015 18:15:14     17.154 N    143.515 W
07/08/2015 18:17:13     17.157 N    143.519 W
07/08/2015 18:19:13     17.160 N    143.523 W
07/08/2015 18:21:14     17.163 N    143.528 W
07/08/2015 18:23:14     17.166 N    143.532 W
07/08/2015 18:25:13     17.169 N    143.536 W
07/08/2015 18:27:13     17.172 N    143.540 W
07/08/2015 18:29:14     17.175 N    143.544 W
07/08/2015 18:31:13     17.178 N    143.549 W
07/08/2015 18:33:13     17.181 N    143.553 W
07/08/2015 18:35:14     17.184 N    143.557 W
07/08/2015 18:37:14     17.187 N    143.561 W
07/08/2015 18:39:13     17.190 N    143.565 W
07/08/2015 18:41:13     17.193 N    143.569 W
07/08/2015 18:43:14     17.196 N    143.573 W
07/08/2015 18:45:14     17.199 N    143.578 W
07/08/2015 18:47:13     17.203 N    143.582 W
07/08/2015 18:49:13     17.206 N    143.586 W
07/08/2015 18:51:14     17.209 N    143.590 W
07/08/2015 18:53:14     17.212 N    143.594 W
07/08/2015 18:55:13     17.215 N    143.598 W
07/08/2015 18:57:13     17.218 N    143.602 W
07/08/2015 18:59:14     17.222 N    143.606 W
07/08/2015 19:01:13     17.225 N    143.610 W
07/08/2015 19:03:13     17.228 N    143.614 W
07/08/2015 19:05:14     17.231 N    143.618 W
07/08/2015 19:07:14     17.235 N    143.622 W
07/08/2015 19:09:13     17.238 N    143.626 W
07/08/2015 19:11:13     17.241 N    143.630 W
07/08/2015 19:13:14     17.245 N    143.634 W
07/08/2015 19:15:14     17.248 N    143.638 W
07/08/2015 19:17:13     17.251 N    143.642 W
07/08/2015 19:19:13     17.255 N    143.646 W
