Track for Erika                2003
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/14/2003 19:06:34     26.206 N     83.796 W
08/14/2003 19:08:34     26.217 N     83.800 W
08/14/2003 19:10:35     26.227 N     83.805 W
08/14/2003 19:12:35     26.238 N     83.809 W
08/14/2003 19:14:34     26.249 N     83.814 W
08/14/2003 19:16:34     26.259 N     83.818 W
08/14/2003 19:18:35     26.268 N     83.824 W
08/14/2003 19:20:35     26.276 N     83.830 W
08/14/2003 19:22:34     26.283 N     83.838 W
08/14/2003 19:24:34     26.287 N     83.847 W
08/14/2003 19:26:35     26.289 N     83.858 W
08/14/2003 19:28:35     26.288 N     83.871 W
08/14/2003 19:30:34     26.283 N     83.887 W
08/14/2003 19:32:15     26.277 N     83.902 W
08/14/2003 19:34:14     26.276 N     83.915 W
08/14/2003 19:36:14     26.275 N     83.928 W
08/14/2003 19:38:15     26.275 N     83.941 W
08/14/2003 19:40:15     26.274 N     83.954 W
08/14/2003 19:42:14     26.274 N     83.966 W
08/14/2003 19:44:14     26.274 N     83.979 W
08/14/2003 19:46:15     26.274 N     83.991 W
08/14/2003 19:48:15     26.274 N     84.004 W
08/14/2003 19:50:14     26.275 N     84.016 W
08/14/2003 19:52:14     26.275 N     84.028 W
08/14/2003 19:54:15     26.276 N     84.039 W
08/14/2003 19:56:15     26.277 N     84.051 W
08/14/2003 19:58:14     26.279 N     84.062 W
08/14/2003 20:00:15     26.281 N     84.073 W
08/14/2003 20:02:15     26.283 N     84.084 W
08/14/2003 20:04:14     26.285 N     84.095 W
08/14/2003 20:06:14     26.288 N     84.105 W
08/14/2003 20:08:15     26.291 N     84.115 W
08/14/2003 20:10:15     26.295 N     84.125 W
08/14/2003 20:12:14     26.299 N     84.135 W
08/14/2003 20:14:14     26.303 N     84.144 W
08/14/2003 20:16:15     26.308 N     84.153 W
08/14/2003 20:18:15     26.313 N     84.162 W
08/14/2003 20:20:14     26.319 N     84.170 W
08/14/2003 20:22:14     26.325 N     84.178 W
08/14/2003 20:24:15     26.332 N     84.185 W
08/14/2003 20:26:15     26.339 N     84.192 W
08/14/2003 20:28:14     26.347 N     84.199 W
08/14/2003 20:30:15     26.355 N     84.205 W
08/14/2003 20:32:15     26.364 N     84.211 W
08/14/2003 20:34:14     26.374 N     84.217 W
08/14/2003 20:36:14     26.384 N     84.222 W
08/14/2003 20:38:15     26.394 N     84.227 W
08/14/2003 20:40:15     26.405 N     84.231 W
08/14/2003 20:41:41     26.413 N     84.234 W
08/14/2003 20:43:41     26.417 N     84.244 W
08/14/2003 20:45:40     26.420 N     84.254 W
08/14/2003 20:47:40     26.424 N     84.263 W
08/14/2003 20:49:41     26.427 N     84.273 W
08/14/2003 20:51:41     26.431 N     84.283 W
08/14/2003 20:53:40     26.435 N     84.293 W
08/14/2003 20:55:40     26.438 N     84.303 W
08/14/2003 20:57:41     26.442 N     84.313 W
08/14/2003 20:59:41     26.445 N     84.322 W
08/14/2003 21:01:40     26.448 N     84.332 W
08/14/2003 21:03:40     26.452 N     84.342 W
08/14/2003 21:05:41     26.455 N     84.352 W
08/14/2003 21:07:41     26.459 N     84.362 W
08/14/2003 21:09:40     26.462 N     84.372 W
08/14/2003 21:11:41     26.465 N     84.383 W
08/14/2003 21:13:41     26.468 N     84.393 W
08/14/2003 21:15:40     26.472 N     84.403 W
08/14/2003 21:17:40     26.475 N     84.413 W
08/14/2003 21:19:41     26.478 N     84.424 W
08/14/2003 21:21:41     26.481 N     84.434 W
08/14/2003 21:23:40     26.484 N     84.445 W
08/14/2003 21:25:40     26.487 N     84.455 W
08/14/2003 21:27:41     26.490 N     84.466 W
08/14/2003 21:29:41     26.493 N     84.476 W
08/14/2003 21:31:40     26.496 N     84.487 W
08/14/2003 21:33:40     26.498 N     84.498 W
08/14/2003 21:35:41     26.501 N     84.509 W
08/14/2003 21:37:41     26.504 N     84.520 W
08/14/2003 21:39:40     26.506 N     84.531 W
08/14/2003 21:41:41     26.509 N     84.542 W
08/14/2003 21:43:41     26.512 N     84.554 W
08/14/2003 21:45:40     26.514 N     84.565 W
08/14/2003 21:47:40     26.516 N     84.577 W
08/14/2003 21:49:41     26.519 N     84.588 W
08/14/2003 21:51:41     26.521 N     84.600 W
08/14/2003 21:53:40     26.523 N     84.612 W
08/14/2003 21:55:40     26.525 N     84.624 W
08/14/2003 21:57:41     26.528 N     84.636 W
08/14/2003 21:59:41     26.530 N     84.648 W
08/14/2003 22:01:40     26.532 N     84.661 W
08/14/2003 22:03:40     26.533 N     84.673 W
08/14/2003 22:05:41     26.535 N     84.686 W
08/14/2003 22:07:41     26.537 N     84.699 W
08/14/2003 22:09:40     26.539 N     84.712 W
08/14/2003 22:11:41     26.540 N     84.725 W
08/14/2003 22:13:41     26.542 N     84.738 W
08/14/2003 22:15:40     26.543 N     84.752 W
08/14/2003 22:17:40     26.545 N     84.765 W
08/14/2003 22:19:41     26.546 N     84.779 W
08/14/2003 22:21:41     26.547 N     84.793 W
08/14/2003 22:23:40     26.548 N     84.807 W
08/14/2003 22:25:40     26.549 N     84.821 W
08/14/2003 22:27:41     26.550 N     84.835 W
08/14/2003 22:29:41     26.551 N     84.850 W
08/14/2003 22:31:40     26.552 N     84.864 W
08/14/2003 22:33:40     26.553 N     84.879 W
08/14/2003 22:35:41     26.554 N     84.894 W
08/14/2003 22:37:41     26.554 N     84.909 W
08/14/2003 22:39:40     26.555 N     84.924 W
08/14/2003 22:41:41     26.556 N     84.939 W
08/14/2003 22:43:41     26.556 N     84.955 W
08/14/2003 22:45:40     26.557 N     84.970 W
08/14/2003 22:47:35     26.557 N     84.985 W
08/14/2003 22:49:35     26.558 N     85.000 W
08/14/2003 22:51:34     26.559 N     85.014 W
08/14/2003 22:53:34     26.559 N     85.029 W
08/14/2003 22:55:35     26.560 N     85.045 W
08/14/2003 22:57:35     26.561 N     85.060 W
08/14/2003 22:59:34     26.561 N     85.075 W
08/14/2003 23:01:34     26.562 N     85.091 W
08/14/2003 23:03:35     26.562 N     85.106 W
08/14/2003 23:05:35     26.563 N     85.122 W
08/14/2003 23:07:34     26.563 N     85.138 W
08/14/2003 23:09:34     26.563 N     85.154 W
08/14/2003 23:11:35     26.563 N     85.170 W
08/14/2003 23:13:35     26.563 N     85.187 W
08/14/2003 23:15:34     26.563 N     85.203 W
08/14/2003 23:17:35     26.563 N     85.220 W
08/14/2003 23:19:35     26.563 N     85.237 W
08/14/2003 23:21:34     26.562 N     85.254 W
08/14/2003 23:23:34     26.562 N     85.271 W
08/14/2003 23:25:35     26.562 N     85.288 W
08/14/2003 23:27:35     26.561 N     85.306 W
08/14/2003 23:29:34     26.560 N     85.323 W
08/14/2003 23:31:34     26.560 N     85.341 W
08/14/2003 23:33:35     26.559 N     85.359 W
08/14/2003 23:35:35     26.558 N     85.377 W
08/14/2003 23:37:34     26.557 N     85.396 W
08/14/2003 23:39:15     26.556 N     85.411 W
08/14/2003 23:41:15     26.556 N     85.427 W
08/14/2003 23:43:14     26.556 N     85.444 W
08/14/2003 23:45:15     26.556 N     85.460 W
08/14/2003 23:47:15     26.556 N     85.477 W
08/14/2003 23:49:14     26.555 N     85.493 W
08/14/2003 23:51:14     26.555 N     85.510 W
08/14/2003 23:53:15     26.555 N     85.526 W
08/14/2003 23:55:15     26.555 N     85.543 W
08/14/2003 23:57:14     26.555 N     85.559 W
08/14/2003 23:59:14     26.555 N     85.575 W
08/15/2003 00:01:15     26.555 N     85.592 W
08/15/2003 00:03:15     26.555 N     85.608 W
08/15/2003 00:05:14     26.554 N     85.625 W
08/15/2003 00:07:14     26.554 N     85.641 W
08/15/2003 00:09:15     26.554 N     85.658 W
08/15/2003 00:11:15     26.554 N     85.674 W
08/15/2003 00:13:14     26.554 N     85.690 W
08/15/2003 00:15:15     26.553 N     85.707 W
08/15/2003 00:17:15     26.553 N     85.723 W
