Track for Fay           2008
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/14/2008 15:44:00     18.001 N     63.798 W
08/14/2008 15:45:59     18.001 N     63.798 W
08/14/2008 15:48:00     18.000 N     63.799 W
08/14/2008 15:49:59     18.000 N     63.800 W
08/14/2008 15:52:00     18.000 N     63.801 W
08/14/2008 15:53:59     17.999 N     63.802 W
08/14/2008 15:56:00     17.999 N     63.802 W
08/14/2008 15:57:59     17.998 N     63.803 W
08/14/2008 16:00:00     17.998 N     63.804 W
08/14/2008 16:01:59     17.997 N     63.805 W
08/14/2008 16:04:00     17.997 N     63.805 W
08/14/2008 16:06:00     17.996 N     63.806 W
08/14/2008 16:07:59     17.996 N     63.807 W
08/14/2008 16:09:59     17.995 N     63.808 W
08/14/2008 16:12:00     17.995 N     63.809 W
08/14/2008 16:14:00     17.994 N     63.809 W
08/14/2008 16:15:59     17.994 N     63.810 W
08/14/2008 16:17:59     17.993 N     63.811 W
08/14/2008 16:20:00     17.993 N     63.812 W
08/14/2008 16:22:00     17.992 N     63.813 W
08/14/2008 16:23:59     17.992 N     63.813 W
08/14/2008 16:25:59     17.991 N     63.814 W
08/14/2008 16:28:00     17.991 N     63.815 W
08/14/2008 16:30:00     17.990 N     63.816 W
08/14/2008 16:31:59     17.990 N     63.817 W
08/14/2008 16:34:00     17.989 N     63.817 W
08/14/2008 16:36:00     17.989 N     63.818 W
08/14/2008 16:37:59     17.988 N     63.819 W
08/14/2008 16:39:59     17.988 N     63.820 W
08/14/2008 16:42:00     17.987 N     63.821 W
08/14/2008 16:44:00     17.987 N     63.822 W
08/14/2008 16:45:59     17.986 N     63.822 W
08/14/2008 16:47:59     17.986 N     63.823 W
08/14/2008 16:50:00     17.985 N     63.824 W
08/14/2008 16:52:00     17.984 N     63.825 W
08/14/2008 16:53:59     17.984 N     63.826 W
08/14/2008 16:55:59     17.983 N     63.827 W
08/14/2008 16:58:00     17.983 N     63.828 W
