Track for Floyd                1999
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/09/1999 05:14:04     17.276 N     53.794 W
09/09/1999 05:16:04     17.272 N     53.799 W
09/09/1999 05:18:04     17.269 N     53.805 W
09/09/1999 05:20:04     17.265 N     53.811 W
09/09/1999 05:22:04     17.261 N     53.817 W
09/09/1999 05:24:04     17.258 N     53.823 W
09/09/1999 05:26:03     17.254 N     53.828 W
09/09/1999 05:28:03     17.251 N     53.834 W
09/09/1999 05:30:03     17.247 N     53.840 W
09/09/1999 05:32:03     17.244 N     53.846 W
09/09/1999 05:34:03     17.240 N     53.852 W
09/09/1999 05:36:03     17.236 N     53.857 W
09/09/1999 05:38:03     17.233 N     53.863 W
09/09/1999 05:40:04     17.229 N     53.869 W
09/09/1999 05:42:04     17.226 N     53.875 W
09/09/1999 05:44:04     17.222 N     53.880 W
09/09/1999 05:46:04     17.219 N     53.886 W
09/09/1999 05:48:04     17.215 N     53.892 W
09/09/1999 05:50:04     17.212 N     53.898 W
09/09/1999 05:52:04     17.208 N     53.904 W
09/09/1999 05:54:03     17.205 N     53.909 W
09/09/1999 05:56:03     17.201 N     53.915 W
09/09/1999 05:58:03     17.198 N     53.921 W
09/09/1999 06:00:03     17.194 N     53.927 W
09/09/1999 06:02:03     17.191 N     53.933 W
09/09/1999 06:04:03     17.187 N     53.938 W
09/09/1999 06:06:03     17.184 N     53.944 W
09/09/1999 06:08:03     17.180 N     53.950 W
09/09/1999 06:10:04     17.177 N     53.956 W
09/09/1999 06:12:04     17.174 N     53.962 W
09/09/1999 06:14:04     17.170 N     53.968 W
09/09/1999 06:16:04     17.167 N     53.973 W
09/09/1999 06:18:04     17.164 N     53.979 W
09/09/1999 06:20:04     17.160 N     53.985 W
09/09/1999 06:22:04     17.157 N     53.991 W
09/09/1999 06:24:04     17.154 N     53.997 W
09/09/1999 06:26:03     17.151 N     54.003 W
09/09/1999 06:28:03     17.147 N     54.008 W
09/09/1999 06:30:03     17.144 N     54.014 W
09/09/1999 06:32:03     17.141 N     54.020 W
09/09/1999 06:34:03     17.138 N     54.026 W
09/09/1999 06:36:03     17.135 N     54.032 W
09/09/1999 06:38:03     17.132 N     54.038 W
09/09/1999 06:40:04     17.129 N     54.043 W
09/09/1999 06:42:04     17.126 N     54.049 W
09/09/1999 06:44:04     17.123 N     54.055 W
09/09/1999 06:46:04     17.120 N     54.061 W
09/09/1999 06:48:04     17.117 N     54.067 W
09/09/1999 06:50:04     17.114 N     54.073 W
09/09/1999 06:52:04     17.111 N     54.079 W
09/09/1999 06:54:03     17.108 N     54.085 W
09/09/1999 06:56:03     17.105 N     54.091 W
09/09/1999 06:58:03     17.102 N     54.096 W
09/09/1999 07:00:03     17.099 N     54.102 W
09/09/1999 07:02:03     17.097 N     54.108 W
09/09/1999 07:04:03     17.094 N     54.114 W
09/09/1999 07:06:03     17.091 N     54.120 W
09/09/1999 07:08:03     17.089 N     54.126 W
09/09/1999 07:10:04     17.086 N     54.132 W
09/09/1999 07:12:04     17.084 N     54.138 W
09/09/1999 07:14:04     17.081 N     54.144 W
09/09/1999 07:16:04     17.078 N     54.150 W
09/09/1999 07:18:04     17.076 N     54.156 W
09/09/1999 07:20:04     17.074 N     54.162 W
09/09/1999 07:22:04     17.071 N     54.168 W
09/09/1999 07:24:04     17.069 N     54.174 W
09/09/1999 07:26:03     17.067 N     54.180 W
09/09/1999 07:28:03     17.064 N     54.186 W
09/09/1999 07:30:03     17.062 N     54.192 W
09/09/1999 07:32:03     17.060 N     54.198 W
09/09/1999 07:34:03     17.058 N     54.204 W
09/09/1999 07:36:03     17.056 N     54.210 W
09/09/1999 07:38:03     17.054 N     54.216 W
09/09/1999 07:40:04     17.052 N     54.222 W
09/09/1999 07:42:04     17.050 N     54.228 W
09/09/1999 07:44:04     17.048 N     54.234 W
09/09/1999 07:46:04     17.046 N     54.240 W
09/09/1999 07:48:04     17.044 N     54.246 W
09/09/1999 07:50:04     17.042 N     54.252 W
09/09/1999 07:52:04     17.041 N     54.258 W
09/09/1999 07:54:03     17.039 N     54.264 W
09/09/1999 07:56:03     17.037 N     54.270 W
09/09/1999 07:58:03     17.036 N     54.276 W
09/09/1999 08:00:03     17.034 N     54.282 W
09/09/1999 08:02:04     17.033 N     54.288 W
09/09/1999 08:04:03     17.031 N     54.294 W
09/09/1999 08:06:04     17.030 N     54.301 W
09/09/1999 08:08:03     17.029 N     54.307 W
09/09/1999 08:10:04     17.028 N     54.313 W
09/09/1999 08:12:03     17.026 N     54.319 W
09/09/1999 08:14:04     17.025 N     54.325 W
09/09/1999 08:16:03     17.024 N     54.331 W
09/09/1999 08:18:04     17.023 N     54.337 W
09/09/1999 08:20:03     17.022 N     54.344 W
09/09/1999 08:22:04     17.021 N     54.350 W
09/09/1999 08:24:03     17.020 N     54.356 W
09/09/1999 08:26:03     17.020 N     54.362 W
09/09/1999 08:28:04     17.019 N     54.368 W
09/09/1999 08:30:03     17.018 N     54.375 W
09/09/1999 08:32:04     17.018 N     54.381 W
09/09/1999 08:34:03     17.017 N     54.387 W
09/09/1999 08:36:04     17.017 N     54.393 W
09/09/1999 08:38:03     17.016 N     54.400 W
09/09/1999 08:40:04     17.016 N     54.406 W
09/09/1999 08:42:03     17.016 N     54.412 W
09/09/1999 08:44:04     17.016 N     54.418 W
09/09/1999 08:46:03     17.015 N     54.425 W
09/09/1999 08:48:04     17.015 N     54.431 W
09/09/1999 08:50:03     17.015 N     54.437 W
09/09/1999 08:52:04     17.015 N     54.444 W
09/09/1999 08:54:03     17.016 N     54.450 W
09/09/1999 08:56:03     17.016 N     54.456 W
09/09/1999 08:58:04     17.016 N     54.463 W
09/09/1999 09:00:03     17.016 N     54.469 W
09/09/1999 09:02:04     17.017 N     54.475 W
09/09/1999 09:04:03     17.017 N     54.482 W
09/09/1999 09:06:04     17.018 N     54.488 W
09/09/1999 09:08:03     17.019 N     54.495 W
09/09/1999 09:10:04     17.019 N     54.501 W
09/09/1999 09:12:03     17.020 N     54.507 W
09/09/1999 09:14:04     17.021 N     54.514 W
09/09/1999 09:16:03     17.022 N     54.520 W
09/09/1999 09:18:04     17.023 N     54.527 W
09/09/1999 09:20:03     17.024 N     54.533 W
09/09/1999 09:22:04     17.025 N     54.540 W
09/09/1999 09:24:03     17.026 N     54.546 W
09/09/1999 09:26:03     17.028 N     54.553 W
09/09/1999 09:28:04     17.029 N     54.559 W
09/09/1999 09:30:03     17.031 N     54.566 W
09/09/1999 09:32:04     17.032 N     54.572 W
09/09/1999 09:34:03     17.034 N     54.579 W
09/09/1999 09:36:04     17.036 N     54.586 W
09/09/1999 09:38:03     17.038 N     54.592 W
09/09/1999 09:40:04     17.039 N     54.599 W
09/09/1999 09:42:03     17.041 N     54.605 W
09/09/1999 09:44:04     17.044 N     54.612 W
09/09/1999 09:46:03     17.046 N     54.619 W
09/09/1999 09:48:04     17.048 N     54.625 W
09/09/1999 09:50:03     17.050 N     54.632 W
09/09/1999 09:52:04     17.053 N     54.639 W
09/09/1999 09:54:03     17.055 N     54.645 W
09/09/1999 09:56:03     17.058 N     54.652 W
09/09/1999 09:58:04     17.061 N     54.659 W
09/09/1999 10:00:03     17.063 N     54.665 W
09/09/1999 10:02:04     17.066 N     54.672 W
09/09/1999 10:04:03     17.069 N     54.679 W
09/09/1999 10:06:04     17.072 N     54.686 W
09/09/1999 10:08:03     17.076 N     54.692 W
09/09/1999 10:10:04     17.079 N     54.699 W
09/09/1999 10:12:03     17.082 N     54.706 W
09/09/1999 10:14:04     17.086 N     54.713 W
09/09/1999 10:16:03     17.089 N     54.720 W
09/09/1999 10:18:04     17.093 N     54.727 W
09/09/1999 10:20:03     17.097 N     54.733 W
09/09/1999 10:22:04     17.101 N     54.740 W
09/09/1999 10:24:03     17.104 N     54.747 W
09/09/1999 10:26:03     17.109 N     54.754 W
09/09/1999 10:28:04     17.113 N     54.761 W
09/09/1999 10:30:03     17.117 N     54.768 W
09/09/1999 10:32:04     17.121 N     54.775 W
09/09/1999 10:34:03     17.126 N     54.782 W
09/09/1999 10:36:04     17.130 N     54.789 W
09/09/1999 10:38:03     17.135 N     54.796 W
09/09/1999 10:40:04     17.140 N     54.803 W
09/09/1999 10:42:03     17.145 N     54.810 W
09/09/1999 10:44:04     17.150 N     54.817 W
09/09/1999 10:46:03     17.155 N     54.824 W
09/09/1999 10:48:04     17.160 N     54.831 W
09/09/1999 10:50:03     17.165 N     54.838 W
09/09/1999 10:52:04     17.171 N     54.845 W
09/09/1999 10:54:03     17.176 N     54.853 W
09/09/1999 10:56:03     17.182 N     54.860 W
09/09/1999 10:58:04     17.187 N     54.867 W
09/09/1999 11:00:03     17.193 N     54.874 W
09/09/1999 11:02:04     17.199 N     54.881 W
09/09/1999 11:04:03     17.205 N     54.888 W
09/09/1999 11:06:04     17.211 N     54.896 W
09/09/1999 11:08:03     17.218 N     54.903 W
09/09/1999 11:10:04     17.224 N     54.910 W
09/09/1999 11:12:03     17.231 N     54.917 W
09/09/1999 11:14:04     17.237 N     54.925 W
09/09/1999 11:16:03     17.244 N     54.932 W
09/09/1999 11:18:04     17.251 N     54.939 W
09/09/1999 11:20:03     17.258 N     54.947 W
09/09/1999 11:22:04     17.265 N     54.954 W
09/09/1999 11:24:03     17.272 N     54.961 W
09/09/1999 11:26:03     17.280 N     54.969 W
09/09/1999 11:28:04     17.287 N     54.976 W
09/09/1999 11:30:03     17.295 N     54.984 W
09/09/1999 11:32:04     17.302 N     54.991 W
09/09/1999 11:34:03     17.310 N     54.999 W
09/09/1999 11:36:04     17.318 N     55.006 W
09/09/1999 11:38:03     17.326 N     55.014 W
09/09/1999 11:40:04     17.335 N     55.021 W
09/09/1999 11:42:03     17.343 N     55.029 W
09/09/1999 11:44:04     17.351 N     55.036 W
09/09/1999 11:46:03     17.360 N     55.044 W
09/09/1999 11:48:04     17.369 N     55.051 W
09/09/1999 11:50:03     17.377 N     55.059 W
09/09/1999 11:52:04     17.386 N     55.067 W
09/09/1999 11:54:03     17.395 N     55.074 W
09/09/1999 11:56:03     17.405 N     55.082 W
09/09/1999 11:58:04     17.414 N     55.090 W
09/09/1999 12:00:03     17.423 N     55.097 W
09/09/1999 12:02:04     17.433 N     55.105 W
09/09/1999 12:04:03     17.443 N     55.113 W
09/09/1999 12:06:04     17.452 N     55.121 W
09/09/1999 12:08:03     17.462 N     55.128 W
09/09/1999 12:10:04     17.472 N     55.136 W
09/09/1999 12:12:03     17.482 N     55.144 W
09/09/1999 12:14:04     17.493 N     55.152 W
09/09/1999 12:16:03     17.503 N     55.160 W
09/09/1999 12:18:04     17.513 N     55.167 W
09/09/1999 12:20:03     17.524 N     55.175 W
09/09/1999 12:22:04     17.535 N     55.183 W
09/09/1999 12:24:03     17.546 N     55.191 W
09/09/1999 12:26:03     17.557 N     55.199 W
09/09/1999 12:28:04     17.568 N     55.207 W
09/09/1999 12:30:03     17.579 N     55.215 W
09/09/1999 12:32:04     17.590 N     55.223 W
09/09/1999 12:34:03     17.601 N     55.231 W
09/09/1999 12:33:49     17.600 N     55.230 W
09/09/1999 12:35:50     17.604 N     55.238 W
09/09/1999 12:37:49     17.607 N     55.245 W
09/09/1999 12:39:50     17.611 N     55.253 W
09/09/1999 12:41:49     17.614 N     55.260 W
09/09/1999 12:43:49     17.618 N     55.268 W
09/09/1999 12:45:50     17.621 N     55.275 W
09/09/1999 12:47:49     17.625 N     55.283 W
09/09/1999 12:49:50     17.629 N     55.290 W
09/09/1999 12:51:49     17.632 N     55.298 W
09/09/1999 12:53:50     17.636 N     55.305 W
09/09/1999 12:55:49     17.639 N     55.313 W
09/09/1999 12:57:50     17.643 N     55.320 W
09/09/1999 12:59:49     17.646 N     55.328 W
09/09/1999 13:01:50     17.650 N     55.335 W
09/09/1999 13:03:49     17.654 N     55.343 W
09/09/1999 13:05:50     17.657 N     55.351 W
09/09/1999 13:07:49     17.661 N     55.358 W
09/09/1999 13:09:50     17.664 N     55.366 W
09/09/1999 13:11:49     17.668 N     55.373 W
09/09/1999 13:13:49     17.671 N     55.381 W
09/09/1999 13:15:50     17.675 N     55.388 W
09/09/1999 13:17:49     17.678 N     55.396 W
09/09/1999 13:19:50     17.682 N     55.403 W
09/09/1999 13:21:49     17.686 N     55.411 W
09/09/1999 13:23:50     17.689 N     55.418 W
09/09/1999 13:25:49     17.693 N     55.426 W
09/09/1999 13:27:50     17.696 N     55.434 W
09/09/1999 13:29:49     17.700 N     55.441 W
09/09/1999 13:31:50     17.703 N     55.449 W
09/09/1999 13:33:49     17.707 N     55.456 W
09/09/1999 13:35:50     17.710 N     55.464 W
09/09/1999 13:37:49     17.714 N     55.471 W
09/09/1999 13:39:50     17.717 N     55.479 W
09/09/1999 13:41:49     17.720 N     55.486 W
09/09/1999 13:43:49     17.724 N     55.494 W
09/09/1999 13:45:50     17.727 N     55.501 W
09/09/1999 13:47:49     17.731 N     55.509 W
09/09/1999 13:49:50     17.734 N     55.516 W
09/09/1999 13:51:49     17.738 N     55.524 W
09/09/1999 13:53:50     17.741 N     55.531 W
09/09/1999 13:55:49     17.745 N     55.539 W
09/09/1999 13:57:50     17.748 N     55.546 W
09/09/1999 13:59:49     17.751 N     55.553 W
09/09/1999 14:01:50     17.755 N     55.561 W
09/09/1999 14:03:49     17.758 N     55.568 W
09/09/1999 14:05:50     17.761 N     55.576 W
09/09/1999 14:07:49     17.765 N     55.583 W
09/09/1999 14:09:50     17.768 N     55.591 W
09/09/1999 14:11:49     17.771 N     55.598 W
09/09/1999 14:13:49     17.775 N     55.605 W
09/09/1999 14:15:50     17.778 N     55.613 W
09/09/1999 14:17:49     17.781 N     55.620 W
09/09/1999 14:19:50     17.785 N     55.628 W
09/09/1999 14:21:49     17.788 N     55.635 W
09/09/1999 14:23:50     17.791 N     55.642 W
09/09/1999 14:25:49     17.794 N     55.650 W
09/09/1999 14:27:50     17.797 N     55.657 W
09/09/1999 14:29:49     17.801 N     55.664 W
09/09/1999 14:31:50     17.804 N     55.672 W
09/09/1999 14:33:49     17.807 N     55.679 W
09/09/1999 14:35:50     17.810 N     55.686 W
