Track for Franklin             2005
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
07/21/2005 20:22:56     25.284 N     75.386 W
07/21/2005 20:24:56     25.289 N     75.389 W
07/21/2005 20:26:57     25.294 N     75.391 W
07/21/2005 20:28:57     25.299 N     75.394 W
07/21/2005 20:30:56     25.304 N     75.397 W
07/21/2005 20:32:56     25.309 N     75.399 W
07/21/2005 20:34:57     25.314 N     75.402 W
07/21/2005 20:36:56     25.318 N     75.405 W
07/21/2005 20:38:56     25.323 N     75.407 W
07/21/2005 20:40:57     25.328 N     75.410 W
07/21/2005 20:42:57     25.333 N     75.413 W
07/21/2005 20:44:56     25.338 N     75.416 W
07/21/2005 20:46:56     25.343 N     75.419 W
07/21/2005 20:48:57     25.348 N     75.422 W
07/21/2005 20:50:57     25.353 N     75.426 W
07/21/2005 20:52:56     25.357 N     75.429 W
07/21/2005 20:54:56     25.362 N     75.433 W
07/21/2005 20:56:57     25.367 N     75.437 W
07/21/2005 20:58:57     25.372 N     75.441 W
07/21/2005 21:00:56     25.377 N     75.445 W
07/21/2005 21:02:56     25.382 N     75.450 W
07/21/2005 21:04:57     25.387 N     75.454 W
07/21/2005 21:06:56     25.392 N     75.459 W
07/21/2005 21:08:56     25.397 N     75.465 W
07/21/2005 21:10:57     25.402 N     75.470 W
07/21/2005 21:12:57     25.407 N     75.476 W
07/21/2005 21:14:56     25.412 N     75.482 W
07/21/2005 21:16:56     25.416 N     75.489 W
07/21/2005 21:18:57     25.421 N     75.495 W
07/21/2005 21:20:57     25.426 N     75.503 W
07/21/2005 21:22:56     25.431 N     75.510 W
07/21/2005 21:24:56     25.436 N     75.518 W
07/21/2005 21:26:57     25.441 N     75.526 W
07/21/2005 21:28:57     25.446 N     75.535 W
07/21/2005 21:30:56     25.451 N     75.544 W
07/21/2005 21:32:56     25.456 N     75.554 W
07/21/2005 21:34:57     25.462 N     75.563 W
07/21/2005 21:36:56     25.467 N     75.574 W
07/21/2005 21:38:42     25.471 N     75.583 W
07/21/2005 21:40:41     25.476 N     75.591 W
07/21/2005 21:42:41     25.480 N     75.599 W
07/21/2005 21:44:42     25.484 N     75.606 W
07/21/2005 21:46:42     25.489 N     75.614 W
07/21/2005 21:48:41     25.493 N     75.621 W
07/21/2005 21:50:41     25.497 N     75.628 W
07/21/2005 21:52:42     25.500 N     75.635 W
07/21/2005 21:54:42     25.504 N     75.642 W
07/21/2005 21:56:41     25.507 N     75.648 W
07/21/2005 21:58:41     25.511 N     75.654 W
07/21/2005 22:00:42     25.514 N     75.660 W
07/21/2005 22:02:42     25.517 N     75.666 W
07/21/2005 22:04:41     25.520 N     75.671 W
07/21/2005 22:06:41     25.523 N     75.677 W
07/21/2005 22:08:42     25.525 N     75.682 W
07/21/2005 22:10:41     25.528 N     75.687 W
