Track for Georges              1998
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/19/1998 11:53:59     14.889 N     51.975 W
09/19/1998 11:56:00     14.893 N     51.983 W
09/19/1998 11:57:59     14.896 N     51.992 W
09/19/1998 12:00:00     14.900 N     52.000 W
09/19/1998 12:02:00     14.904 N     52.008 W
09/19/1998 12:03:59     14.907 N     52.017 W
09/19/1998 12:06:00     14.911 N     52.025 W
09/19/1998 12:07:59     14.914 N     52.033 W
09/19/1998 12:10:00     14.918 N     52.042 W
09/19/1998 12:11:59     14.921 N     52.050 W
09/19/1998 12:14:00     14.925 N     52.058 W
09/19/1998 12:15:59     14.929 N     52.067 W
09/19/1998 12:18:00     14.932 N     52.075 W
09/19/1998 12:19:59     14.936 N     52.083 W
09/19/1998 12:22:00     14.939 N     52.092 W
09/19/1998 12:23:59     14.943 N     52.100 W
09/19/1998 12:26:00     14.946 N     52.108 W
09/19/1998 12:27:59     14.950 N     52.116 W
09/19/1998 12:30:00     14.954 N     52.125 W
09/19/1998 12:32:00     14.957 N     52.133 W
09/19/1998 12:33:59     14.961 N     52.141 W
09/19/1998 12:36:00     14.964 N     52.150 W
09/19/1998 12:37:59     14.968 N     52.158 W
09/19/1998 12:40:00     14.971 N     52.166 W
09/19/1998 12:41:59     14.975 N     52.175 W
09/19/1998 12:44:00     14.978 N     52.183 W
09/19/1998 12:45:59     14.982 N     52.191 W
09/19/1998 12:48:00     14.986 N     52.200 W
09/19/1998 12:49:59     14.989 N     52.208 W
09/19/1998 12:52:00     14.993 N     52.216 W
09/19/1998 12:53:59     14.996 N     52.225 W
09/19/1998 12:56:00     15.000 N     52.233 W
09/19/1998 12:57:59     15.003 N     52.241 W
09/19/1998 13:00:00     15.007 N     52.250 W
09/19/1998 13:02:00     15.010 N     52.258 W
09/19/1998 13:03:59     15.014 N     52.266 W
09/19/1998 13:06:00     15.017 N     52.275 W
09/19/1998 13:07:59     15.021 N     52.283 W
09/19/1998 13:10:00     15.024 N     52.291 W
09/19/1998 13:11:59     15.028 N     52.300 W
09/19/1998 13:14:00     15.031 N     52.308 W
09/19/1998 13:15:59     15.035 N     52.316 W
09/19/1998 13:18:00     15.038 N     52.325 W
09/19/1998 13:19:59     15.042 N     52.333 W
09/19/1998 13:22:00     15.045 N     52.341 W
09/19/1998 13:23:59     15.048 N     52.350 W
09/19/1998 13:26:00     15.052 N     52.358 W
09/19/1998 13:27:59     15.055 N     52.366 W
09/19/1998 13:30:00     15.059 N     52.375 W
09/19/1998 13:32:00     15.062 N     52.383 W
09/19/1998 13:33:59     15.066 N     52.391 W
09/19/1998 13:36:00     15.069 N     52.400 W
09/19/1998 13:37:59     15.073 N     52.408 W
09/19/1998 13:40:00     15.076 N     52.416 W
09/19/1998 13:41:59     15.079 N     52.425 W
09/19/1998 13:44:00     15.083 N     52.433 W
09/19/1998 13:45:59     15.086 N     52.441 W
09/19/1998 13:48:00     15.090 N     52.450 W
09/19/1998 13:49:59     15.093 N     52.458 W
09/19/1998 13:52:00     15.096 N     52.466 W
09/19/1998 13:53:59     15.100 N     52.475 W
09/19/1998 13:56:00     15.103 N     52.483 W
09/19/1998 13:57:59     15.106 N     52.491 W
09/19/1998 14:00:00     15.110 N     52.500 W
09/19/1998 14:02:00     15.113 N     52.508 W
09/19/1998 14:03:59     15.116 N     52.516 W
09/19/1998 14:06:00     15.120 N     52.525 W
09/19/1998 14:07:59     15.123 N     52.533 W
09/19/1998 14:10:00     15.126 N     52.542 W
09/19/1998 14:11:59     15.129 N     52.550 W
09/19/1998 14:14:00     15.133 N     52.558 W
09/19/1998 14:15:59     15.136 N     52.567 W
09/19/1998 14:18:00     15.139 N     52.575 W
09/19/1998 14:19:59     15.142 N     52.583 W
09/19/1998 14:22:00     15.146 N     52.592 W
09/19/1998 14:23:59     15.149 N     52.600 W
09/19/1998 14:26:00     15.152 N     52.608 W
09/19/1998 14:27:59     15.155 N     52.617 W
09/19/1998 14:30:00     15.159 N     52.625 W
09/19/1998 14:32:00     15.162 N     52.634 W
