Track for Guillermo            2015
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/02/2015 11:53:59     14.496 N    142.787 W
08/02/2015 11:56:00     14.497 N    142.791 W
08/02/2015 11:57:59     14.498 N    142.796 W
08/02/2015 12:00:00     14.499 N    142.800 W
08/02/2015 12:02:00     14.500 N    142.804 W
08/02/2015 12:03:59     14.501 N    142.809 W
08/02/2015 12:06:00     14.502 N    142.813 W
08/02/2015 12:07:59     14.503 N    142.817 W
08/02/2015 12:10:00     14.504 N    142.822 W
08/02/2015 12:11:59     14.505 N    142.826 W
08/02/2015 12:14:00     14.506 N    142.830 W
08/02/2015 12:15:59     14.507 N    142.835 W
08/02/2015 12:18:00     14.508 N    142.839 W
08/02/2015 12:19:59     14.509 N    142.843 W
08/02/2015 12:22:00     14.510 N    142.848 W
08/02/2015 12:23:59     14.511 N    142.852 W
08/02/2015 12:26:00     14.512 N    142.856 W
08/02/2015 12:27:59     14.513 N    142.861 W
08/02/2015 12:30:00     14.514 N    142.865 W
08/02/2015 12:32:00     14.515 N    142.869 W
08/02/2015 12:33:59     14.516 N    142.874 W
08/02/2015 12:36:00     14.517 N    142.878 W
08/02/2015 12:37:59     14.518 N    142.882 W
08/02/2015 12:40:00     14.519 N    142.887 W
08/02/2015 12:41:59     14.520 N    142.891 W
08/02/2015 12:44:00     14.521 N    142.895 W
08/02/2015 12:45:59     14.522 N    142.900 W
08/02/2015 12:48:00     14.523 N    142.904 W
08/02/2015 12:49:59     14.524 N    142.908 W
08/02/2015 12:52:00     14.525 N    142.913 W
08/02/2015 12:53:59     14.526 N    142.917 W
08/02/2015 12:56:00     14.527 N    142.922 W
08/02/2015 12:57:59     14.528 N    142.926 W
08/02/2015 13:00:00     14.529 N    142.930 W
08/02/2015 13:02:00     14.530 N    142.935 W
08/02/2015 13:03:59     14.531 N    142.939 W
08/02/2015 13:06:00     14.532 N    142.943 W
08/02/2015 13:07:59     14.533 N    142.948 W
08/02/2015 13:10:00     14.535 N    142.952 W
08/02/2015 13:11:59     14.536 N    142.956 W
08/02/2015 13:14:00     14.537 N    142.961 W
08/02/2015 13:15:59     14.538 N    142.965 W
08/02/2015 13:18:00     14.539 N    142.970 W
08/02/2015 13:19:59     14.540 N    142.974 W
08/02/2015 13:22:00     14.541 N    142.978 W
08/02/2015 13:23:59     14.542 N    142.983 W
08/02/2015 13:26:00     14.544 N    142.987 W
08/02/2015 13:27:59     14.545 N    142.992 W
08/02/2015 13:30:00     14.546 N    142.996 W
08/02/2015 13:32:00     14.547 N    143.000 W
08/02/2015 13:33:59     14.548 N    143.005 W
08/02/2015 13:36:00     14.549 N    143.009 W
08/02/2015 13:37:59     14.551 N    143.014 W
08/02/2015 13:40:00     14.552 N    143.018 W
08/02/2015 13:41:59     14.553 N    143.023 W
08/02/2015 13:44:00     14.554 N    143.027 W
08/02/2015 13:45:59     14.556 N    143.031 W
08/02/2015 13:48:00     14.557 N    143.036 W
08/02/2015 13:49:59     14.558 N    143.040 W
08/02/2015 13:52:00     14.559 N    143.045 W
08/02/2015 13:53:59     14.561 N    143.049 W
08/02/2015 13:56:00     14.562 N    143.054 W
08/02/2015 13:57:59     14.563 N    143.058 W
08/02/2015 14:00:00     14.565 N    143.063 W
08/02/2015 14:02:00     14.566 N    143.067 W
08/02/2015 14:03:59     14.567 N    143.072 W
08/02/2015 14:06:00     14.569 N    143.076 W
08/02/2015 14:07:59     14.570 N    143.080 W
08/02/2015 14:10:00     14.572 N    143.085 W
08/02/2015 14:11:59     14.573 N    143.089 W
08/02/2015 14:14:00     14.574 N    143.094 W
08/02/2015 14:15:59     14.576 N    143.098 W
08/02/2015 14:18:00     14.577 N    143.103 W
08/02/2015 14:19:59     14.579 N    143.107 W
08/02/2015 14:22:00     14.580 N    143.112 W
08/02/2015 14:23:59     14.582 N    143.117 W
08/02/2015 14:26:00     14.583 N    143.121 W
08/02/2015 14:27:59     14.585 N    143.126 W
08/02/2015 14:30:00     14.586 N    143.130 W
08/02/2015 14:32:00     14.588 N    143.135 W
08/02/2015 14:33:59     14.589 N    143.139 W
08/02/2015 14:36:00     14.591 N    143.144 W
08/02/2015 14:37:59     14.593 N    143.148 W
08/02/2015 14:40:00     14.594 N    143.153 W
08/02/2015 14:41:59     14.596 N    143.158 W
08/02/2015 14:44:00     14.598 N    143.162 W
08/02/2015 14:45:59     14.599 N    143.167 W
08/02/2015 14:48:00     14.601 N    143.171 W
08/02/2015 14:49:59     14.603 N    143.176 W
08/02/2015 14:52:00     14.604 N    143.181 W
08/02/2015 14:53:59     14.606 N    143.185 W
08/02/2015 14:56:00     14.608 N    143.190 W
08/02/2015 14:57:59     14.610 N    143.194 W
08/02/2015 15:00:00     14.611 N    143.199 W
08/02/2015 15:02:00     14.613 N    143.204 W
08/02/2015 15:03:59     14.615 N    143.208 W
08/02/2015 15:06:00     14.617 N    143.213 W
08/02/2015 15:07:59     14.619 N    143.218 W
08/02/2015 15:10:00     14.621 N    143.222 W
08/02/2015 15:11:59     14.622 N    143.227 W
08/02/2015 15:14:00     14.624 N    143.232 W
08/02/2015 15:15:59     14.626 N    143.236 W
08/02/2015 15:18:00     14.628 N    143.241 W
08/02/2015 15:19:59     14.630 N    143.246 W
08/02/2015 15:22:00     14.632 N    143.251 W
08/02/2015 15:23:59     14.634 N    143.255 W
08/02/2015 15:26:00     14.636 N    143.260 W
08/02/2015 15:27:59     14.638 N    143.265 W
08/02/2015 15:30:00     14.640 N    143.269 W
08/02/2015 15:32:00     14.643 N    143.274 W
08/02/2015 15:33:59     14.645 N    143.279 W
08/02/2015 15:36:00     14.647 N    143.284 W
08/02/2015 15:37:59     14.649 N    143.289 W
08/02/2015 15:40:00     14.651 N    143.293 W
08/02/2015 15:41:59     14.653 N    143.298 W
08/02/2015 15:44:00     14.656 N    143.303 W
08/02/2015 15:45:59     14.658 N    143.308 W
08/02/2015 15:48:00     14.660 N    143.313 W
08/02/2015 15:49:59     14.663 N    143.317 W
08/02/2015 15:52:00     14.665 N    143.322 W
08/02/2015 15:53:59     14.667 N    143.327 W
08/02/2015 15:56:00     14.670 N    143.332 W
08/02/2015 15:57:59     14.672 N    143.337 W
08/02/2015 16:00:00     14.674 N    143.342 W
08/02/2015 16:01:59     14.677 N    143.347 W
08/02/2015 16:04:00     14.679 N    143.352 W
08/02/2015 16:06:00     14.682 N    143.356 W
08/02/2015 16:07:59     14.684 N    143.361 W
08/02/2015 16:09:59     14.687 N    143.366 W
08/02/2015 16:12:00     14.689 N    143.371 W
08/02/2015 16:14:00     14.692 N    143.376 W
08/02/2015 16:15:59     14.695 N    143.381 W
08/02/2015 16:17:59     14.697 N    143.386 W
08/02/2015 16:20:00     14.700 N    143.391 W
08/02/2015 16:22:00     14.703 N    143.396 W
08/02/2015 16:23:59     14.705 N    143.401 W
08/02/2015 16:25:59     14.708 N    143.406 W
08/02/2015 16:28:00     14.711 N    143.411 W
08/02/2015 16:30:00     14.714 N    143.416 W
08/02/2015 16:31:59     14.717 N    143.421 W
08/02/2015 16:34:00     14.720 N    143.426 W
08/02/2015 16:36:00     14.722 N    143.431 W
08/02/2015 16:37:59     14.725 N    143.436 W
08/02/2015 16:39:59     14.728 N    143.441 W
08/02/2015 16:42:00     14.731 N    143.446 W
08/02/2015 16:44:00     14.734 N    143.452 W
08/02/2015 16:45:59     14.737 N    143.457 W
08/02/2015 16:47:59     14.740 N    143.462 W
08/02/2015 16:50:00     14.743 N    143.467 W
08/02/2015 16:52:00     14.747 N    143.472 W
08/02/2015 16:53:59     14.750 N    143.477 W
08/02/2015 16:55:59     14.753 N    143.482 W
08/02/2015 16:58:00     14.756 N    143.488 W
08/02/2015 17:00:00     14.759 N    143.493 W
08/02/2015 17:01:59     14.763 N    143.498 W
08/02/2015 17:04:00     14.766 N    143.503 W
08/02/2015 17:06:00     14.769 N    143.508 W
08/02/2015 17:07:59     14.773 N    143.514 W
08/02/2015 17:09:59     14.776 N    143.519 W
08/02/2015 17:12:00     14.780 N    143.524 W
08/02/2015 17:14:00     14.783 N    143.529 W
08/02/2015 17:15:59     14.786 N    143.535 W
08/02/2015 17:17:59     14.790 N    143.540 W
08/02/2015 17:20:00     14.794 N    143.545 W
08/02/2015 17:22:00     14.797 N    143.551 W
08/02/2015 17:23:59     14.801 N    143.556 W
08/02/2015 17:25:59     14.804 N    143.561 W
08/02/2015 17:28:00     14.808 N    143.567 W
08/02/2015 17:30:00     14.812 N    143.572 W
08/02/2015 17:31:59     14.816 N    143.577 W
08/02/2015 17:34:00     14.819 N    143.583 W
08/02/2015 17:36:00     14.823 N    143.588 W
08/02/2015 17:37:59     14.827 N    143.594 W
08/02/2015 17:39:59     14.831 N    143.599 W
08/02/2015 17:42:00     14.835 N    143.605 W
08/02/2015 17:44:00     14.839 N    143.610 W
08/02/2015 17:45:59     14.843 N    143.616 W
08/02/2015 17:47:59     14.847 N    143.621 W
08/02/2015 17:50:00     14.851 N    143.627 W
08/02/2015 17:52:00     14.855 N    143.632 W
08/02/2015 17:53:59     14.859 N    143.638 W
