Track for Hilda                2015
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/09/2015 23:53:59     15.088 N    147.885 W
08/09/2015 23:55:59     15.092 N    147.890 W
08/09/2015 23:58:00     15.096 N    147.895 W
08/10/2015 00:00:00     15.100 N    147.900 W
08/10/2015 00:02:00     15.104 N    147.905 W
08/10/2015 00:04:00     15.108 N    147.910 W
08/10/2015 00:06:00     15.112 N    147.915 W
08/10/2015 00:08:00     15.116 N    147.920 W
08/10/2015 00:10:00     15.120 N    147.925 W
08/10/2015 00:12:00     15.124 N    147.930 W
08/10/2015 00:14:00     15.128 N    147.935 W
08/10/2015 00:16:00     15.132 N    147.940 W
08/10/2015 00:18:00     15.136 N    147.945 W
08/10/2015 00:20:00     15.140 N    147.950 W
08/10/2015 00:22:00     15.144 N    147.955 W
08/10/2015 00:24:00     15.148 N    147.960 W
08/10/2015 00:26:00     15.152 N    147.965 W
08/10/2015 00:28:00     15.155 N    147.970 W
08/10/2015 00:30:00     15.159 N    147.975 W
08/10/2015 00:32:00     15.163 N    147.980 W
08/10/2015 00:34:00     15.167 N    147.985 W
08/10/2015 00:36:00     15.171 N    147.990 W
08/10/2015 00:38:00     15.175 N    147.995 W
08/10/2015 00:40:00     15.179 N    148.000 W
08/10/2015 00:42:00     15.183 N    148.005 W
08/10/2015 00:44:00     15.187 N    148.010 W
08/10/2015 00:46:00     15.191 N    148.015 W
08/10/2015 00:48:00     15.194 N    148.020 W
08/10/2015 00:50:00     15.198 N    148.025 W
08/10/2015 00:52:00     15.202 N    148.030 W
08/10/2015 00:54:00     15.206 N    148.035 W
08/10/2015 00:56:00     15.210 N    148.040 W
08/10/2015 00:58:00     15.213 N    148.045 W
08/10/2015 01:00:00     15.217 N    148.050 W
08/10/2015 01:01:59     15.221 N    148.055 W
08/10/2015 01:04:00     15.225 N    148.060 W
08/10/2015 01:06:00     15.228 N    148.065 W
08/10/2015 01:07:59     15.232 N    148.070 W
08/10/2015 01:09:59     15.236 N    148.075 W
08/10/2015 01:12:00     15.240 N    148.080 W
08/10/2015 01:14:00     15.243 N    148.085 W
08/10/2015 01:15:59     15.247 N    148.090 W
08/10/2015 01:17:59     15.251 N    148.095 W
08/10/2015 01:20:00     15.254 N    148.100 W
08/10/2015 01:22:00     15.258 N    148.105 W
08/10/2015 01:23:59     15.261 N    148.110 W
08/10/2015 01:25:59     15.265 N    148.114 W
08/10/2015 01:28:00     15.268 N    148.119 W
08/10/2015 01:30:00     15.272 N    148.124 W
08/10/2015 01:31:59     15.275 N    148.129 W
08/10/2015 01:34:00     15.279 N    148.134 W
08/10/2015 01:36:00     15.282 N    148.139 W
08/10/2015 01:38:00     15.286 N    148.144 W
08/10/2015 01:39:59     15.289 N    148.149 W
08/10/2015 01:42:00     15.293 N    148.154 W
08/10/2015 01:44:00     15.296 N    148.159 W
08/10/2015 01:46:00     15.299 N    148.163 W
08/10/2015 01:47:59     15.303 N    148.168 W
08/10/2015 01:50:00     15.306 N    148.173 W
08/10/2015 01:52:00     15.309 N    148.178 W
08/10/2015 01:54:00     15.312 N    148.183 W
08/10/2015 01:55:59     15.315 N    148.188 W
08/10/2015 01:58:00     15.319 N    148.193 W
08/10/2015 02:00:00     15.322 N    148.197 W
08/10/2015 02:01:59     15.325 N    148.202 W
08/10/2015 02:03:59     15.328 N    148.207 W
08/10/2015 02:05:59     15.331 N    148.212 W
08/10/2015 02:08:00     15.334 N    148.217 W
08/10/2015 02:10:00     15.337 N    148.222 W
08/10/2015 02:12:00     15.340 N    148.226 W
08/10/2015 02:14:00     15.343 N    148.231 W
08/10/2015 02:15:59     15.346 N    148.236 W
08/10/2015 02:17:59     15.349 N    148.241 W
08/10/2015 02:19:59     15.352 N    148.246 W
08/10/2015 02:21:59     15.354 N    148.250 W
08/10/2015 02:24:00     15.357 N    148.255 W
08/10/2015 02:26:00     15.360 N    148.260 W
08/10/2015 02:28:00     15.363 N    148.265 W
08/10/2015 02:30:00     15.365 N    148.269 W
08/10/2015 02:31:59     15.368 N    148.274 W
08/10/2015 02:33:59     15.371 N    148.279 W
08/10/2015 02:35:59     15.373 N    148.284 W
08/10/2015 02:38:00     15.376 N    148.288 W
08/10/2015 02:40:00     15.378 N    148.293 W
08/10/2015 02:42:00     15.381 N    148.298 W
08/10/2015 02:44:00     15.383 N    148.302 W
08/10/2015 02:46:00     15.385 N    148.307 W
08/10/2015 02:47:59     15.388 N    148.312 W
08/10/2015 02:49:59     15.390 N    148.316 W
08/10/2015 02:51:59     15.392 N    148.321 W
08/10/2015 02:54:00     15.395 N    148.326 W
08/10/2015 02:56:00     15.397 N    148.330 W
08/10/2015 02:58:00     15.399 N    148.335 W
08/10/2015 03:00:00     15.401 N    148.340 W
08/10/2015 03:01:59     15.403 N    148.344 W
08/10/2015 03:03:59     15.405 N    148.349 W
08/10/2015 03:05:59     15.407 N    148.353 W
08/10/2015 03:08:00     15.409 N    148.358 W
08/10/2015 03:10:00     15.411 N    148.362 W
08/10/2015 03:12:00     15.413 N    148.367 W
08/10/2015 03:14:00     15.414 N    148.372 W
08/10/2015 03:15:59     15.416 N    148.376 W
08/10/2015 03:17:59     15.418 N    148.381 W
08/10/2015 03:19:59     15.420 N    148.385 W
08/10/2015 03:21:59     15.421 N    148.390 W
08/10/2015 03:24:00     15.423 N    148.394 W
08/10/2015 03:26:00     15.424 N    148.399 W
08/10/2015 03:28:00     15.426 N    148.403 W
08/10/2015 03:30:00     15.427 N    148.408 W
08/10/2015 03:31:59     15.429 N    148.412 W
08/10/2015 03:33:59     15.430 N    148.417 W
08/10/2015 03:35:59     15.432 N    148.421 W
08/10/2015 03:38:00     15.433 N    148.426 W
08/10/2015 03:40:00     15.434 N    148.430 W
08/10/2015 03:42:00     15.436 N    148.435 W
08/10/2015 03:44:00     15.437 N    148.439 W
08/10/2015 03:46:00     15.438 N    148.443 W
08/10/2015 03:47:59     15.439 N    148.448 W
08/10/2015 03:49:59     15.440 N    148.452 W
08/10/2015 03:51:59     15.442 N    148.457 W
08/10/2015 03:54:00     15.443 N    148.461 W
08/10/2015 03:56:00     15.444 N    148.465 W
08/10/2015 03:58:00     15.445 N    148.470 W
08/10/2015 04:00:00     15.446 N    148.474 W
08/10/2015 04:01:59     15.447 N    148.479 W
08/10/2015 04:03:59     15.448 N    148.483 W
08/10/2015 04:05:59     15.448 N    148.487 W
08/10/2015 04:07:59     15.449 N    148.492 W
08/10/2015 04:09:59     15.450 N    148.496 W
08/10/2015 04:11:59     15.451 N    148.500 W
08/10/2015 04:13:59     15.452 N    148.505 W
08/10/2015 04:16:00     15.452 N    148.509 W
08/10/2015 04:18:00     15.453 N    148.513 W
08/10/2015 04:20:00     15.454 N    148.518 W
08/10/2015 04:22:00     15.455 N    148.522 W
08/10/2015 04:24:00     15.455 N    148.526 W
08/10/2015 04:26:00     15.456 N    148.531 W
08/10/2015 04:28:00     15.456 N    148.535 W
08/10/2015 04:30:00     15.457 N    148.539 W
08/10/2015 04:31:59     15.458 N    148.544 W
08/10/2015 04:33:59     15.458 N    148.548 W
08/10/2015 04:35:59     15.459 N    148.552 W
08/10/2015 04:37:59     15.459 N    148.556 W
08/10/2015 04:39:59     15.460 N    148.561 W
08/10/2015 04:41:59     15.460 N    148.565 W
08/10/2015 04:43:59     15.461 N    148.569 W
08/10/2015 04:46:00     15.461 N    148.574 W
08/10/2015 04:48:00     15.461 N    148.578 W
08/10/2015 04:50:00     15.462 N    148.582 W
08/10/2015 04:52:00     15.462 N    148.586 W
08/10/2015 04:54:00     15.462 N    148.591 W
08/10/2015 04:56:00     15.463 N    148.595 W
08/10/2015 04:58:00     15.463 N    148.599 W
08/10/2015 05:00:00     15.463 N    148.603 W
08/10/2015 05:01:59     15.464 N    148.607 W
08/10/2015 05:03:59     15.464 N    148.612 W
08/10/2015 05:05:04     15.464 N    148.614 W
08/10/2015 05:07:04     15.465 N    148.618 W
08/10/2015 05:09:05     15.466 N    148.623 W
08/10/2015 05:11:05     15.468 N    148.627 W
08/10/2015 05:13:05     15.469 N    148.631 W
08/10/2015 05:15:05     15.470 N    148.635 W
08/10/2015 05:17:05     15.472 N    148.640 W
08/10/2015 05:19:05     15.473 N    148.644 W
08/10/2015 05:21:05     15.474 N    148.648 W
08/10/2015 05:23:05     15.476 N    148.653 W
08/10/2015 05:25:04     15.477 N    148.657 W
08/10/2015 05:27:04     15.479 N    148.661 W
08/10/2015 05:29:04     15.481 N    148.665 W
08/10/2015 05:31:04     15.482 N    148.670 W
08/10/2015 05:33:04     15.484 N    148.674 W
08/10/2015 05:35:04     15.486 N    148.678 W
08/10/2015 05:37:04     15.487 N    148.682 W
08/10/2015 05:39:05     15.489 N    148.687 W
08/10/2015 05:41:05     15.491 N    148.691 W
08/10/2015 05:43:05     15.493 N    148.695 W
08/10/2015 05:45:05     15.495 N    148.699 W
08/10/2015 05:47:05     15.497 N    148.704 W
08/10/2015 05:49:05     15.499 N    148.708 W
08/10/2015 05:51:05     15.502 N    148.712 W
08/10/2015 05:53:05     15.504 N    148.716 W
08/10/2015 05:55:04     15.506 N    148.721 W
08/10/2015 05:57:04     15.509 N    148.725 W
08/10/2015 05:59:04     15.511 N    148.729 W
08/10/2015 06:01:04     15.513 N    148.733 W
08/10/2015 06:03:04     15.516 N    148.737 W
08/10/2015 06:05:04     15.519 N    148.742 W
08/10/2015 06:07:04     15.521 N    148.746 W
08/10/2015 06:07:35     15.522 N    148.747 W
08/10/2015 06:09:35     15.524 N    148.751 W
08/10/2015 06:11:35     15.526 N    148.755 W
08/10/2015 06:13:35     15.527 N    148.760 W
08/10/2015 06:15:36     15.529 N    148.764 W
08/10/2015 06:17:36     15.531 N    148.768 W
08/10/2015 06:19:36     15.533 N    148.772 W
08/10/2015 06:21:36     15.535 N    148.777 W
08/10/2015 06:23:36     15.537 N    148.781 W
08/10/2015 06:25:36     15.538 N    148.785 W
08/10/2015 06:27:36     15.540 N    148.789 W
08/10/2015 06:29:36     15.542 N    148.793 W
08/10/2015 06:31:35     15.544 N    148.798 W
08/10/2015 06:33:35     15.546 N    148.802 W
08/10/2015 06:35:35     15.547 N    148.806 W
08/10/2015 06:37:35     15.549 N    148.810 W
08/10/2015 06:39:35     15.551 N    148.814 W
08/10/2015 06:41:35     15.553 N    148.819 W
08/10/2015 06:43:35     15.555 N    148.823 W
08/10/2015 06:45:36     15.556 N    148.827 W
08/10/2015 06:47:36     15.558 N    148.831 W
08/10/2015 06:49:36     15.560 N    148.835 W
08/10/2015 06:51:36     15.562 N    148.840 W
08/10/2015 06:53:36     15.563 N    148.844 W
08/10/2015 06:55:36     15.565 N    148.848 W
08/10/2015 06:57:36     15.567 N    148.852 W
08/10/2015 06:59:35     15.569 N    148.856 W
08/10/2015 07:01:35     15.570 N    148.860 W
08/10/2015 07:03:35     15.572 N    148.864 W
08/10/2015 07:05:35     15.574 N    148.869 W
08/10/2015 07:07:35     15.576 N    148.873 W
08/10/2015 07:09:35     15.577 N    148.877 W
08/10/2015 07:11:35     15.579 N    148.881 W
08/10/2015 07:13:35     15.581 N    148.885 W
08/10/2015 07:15:36     15.582 N    148.889 W
08/10/2015 07:17:36     15.584 N    148.893 W
08/10/2015 07:19:36     15.586 N    148.898 W
08/10/2015 07:21:36     15.588 N    148.902 W
08/10/2015 07:23:36     15.589 N    148.906 W
08/10/2015 07:25:36     15.591 N    148.910 W
08/10/2015 07:27:36     15.593 N    148.914 W
08/10/2015 07:29:36     15.594 N    148.918 W
08/10/2015 07:31:35     15.596 N    148.922 W
08/10/2015 07:33:35     15.598 N    148.926 W
08/10/2015 07:35:35     15.599 N    148.930 W
08/10/2015 07:37:35     15.601 N    148.934 W
08/10/2015 07:39:35     15.603 N    148.938 W
08/10/2015 07:41:35     15.604 N    148.942 W
08/10/2015 07:43:35     15.606 N    148.947 W
08/10/2015 07:45:36     15.608 N    148.951 W
08/10/2015 07:47:36     15.609 N    148.955 W
08/10/2015 07:49:36     15.611 N    148.959 W
08/10/2015 07:51:36     15.612 N    148.963 W
08/10/2015 07:53:36     15.614 N    148.967 W
08/10/2015 07:55:36     15.616 N    148.971 W
08/10/2015 07:57:36     15.617 N    148.975 W
08/10/2015 07:59:35     15.619 N    148.979 W
08/10/2015 08:01:35     15.620 N    148.983 W
08/10/2015 08:03:36     15.622 N    148.987 W
08/10/2015 08:05:35     15.624 N    148.991 W
08/10/2015 08:07:36     15.625 N    148.995 W
08/10/2015 08:09:35     15.627 N    148.999 W
08/10/2015 08:11:36     15.628 N    149.003 W
