Track for Humberto             2019
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/13/2019 14:36:57     25.111 N     74.012 W
09/13/2019 14:38:58     25.110 N     74.018 W
09/13/2019 14:40:57     25.108 N     74.024 W
09/13/2019 14:42:58     25.107 N     74.030 W
09/13/2019 14:44:57     25.106 N     74.036 W
09/13/2019 14:46:58     25.104 N     74.042 W
09/13/2019 14:48:58     25.103 N     74.048 W
09/13/2019 14:50:57     25.101 N     74.054 W
09/13/2019 14:52:58     25.100 N     74.060 W
09/13/2019 14:54:57     25.099 N     74.066 W
09/13/2019 14:56:58     25.098 N     74.072 W
09/13/2019 14:58:57     25.096 N     74.078 W
09/13/2019 15:00:58     25.095 N     74.083 W
09/13/2019 15:02:57     25.094 N     74.089 W
09/13/2019 15:04:58     25.093 N     74.095 W
09/13/2019 15:06:57     25.092 N     74.101 W
09/13/2019 15:08:58     25.091 N     74.106 W
09/13/2019 15:10:57     25.091 N     74.112 W
09/13/2019 15:12:58     25.090 N     74.117 W
09/13/2019 15:14:57     25.089 N     74.123 W
09/13/2019 15:16:58     25.089 N     74.128 W
09/13/2019 15:18:58     25.088 N     74.133 W
09/13/2019 15:20:57     25.088 N     74.138 W
09/13/2019 15:22:58     25.088 N     74.143 W
09/13/2019 15:24:57     25.088 N     74.148 W
09/13/2019 15:26:58     25.088 N     74.153 W
09/13/2019 15:28:57     25.089 N     74.158 W
09/13/2019 15:30:58     25.089 N     74.162 W
09/13/2019 15:32:57     25.090 N     74.167 W
09/13/2019 15:34:58     25.090 N     74.171 W
09/13/2019 15:36:57     25.091 N     74.175 W
09/13/2019 15:38:58     25.093 N     74.180 W
09/13/2019 15:40:57     25.094 N     74.183 W
09/13/2019 15:42:58     25.096 N     74.187 W
09/13/2019 15:44:57     25.097 N     74.191 W
09/13/2019 15:46:58     25.099 N     74.194 W
09/13/2019 15:48:58     25.101 N     74.198 W
09/13/2019 15:50:57     25.104 N     74.201 W
09/13/2019 15:52:58     25.106 N     74.204 W
09/13/2019 15:54:57     25.109 N     74.206 W
09/13/2019 15:56:58     25.112 N     74.209 W
09/13/2019 15:58:57     25.116 N     74.211 W
09/13/2019 16:00:58     25.119 N     74.214 W
09/13/2019 16:02:57     25.123 N     74.216 W
09/13/2019 16:04:57     25.127 N     74.217 W
09/13/2019 16:06:58     25.132 N     74.219 W
09/13/2019 16:08:58     25.137 N     74.220 W
09/13/2019 16:10:57     25.142 N     74.221 W
09/13/2019 16:12:57     25.147 N     74.222 W
09/13/2019 16:14:58     25.153 N     74.223 W
09/13/2019 16:16:58     25.158 N     74.223 W
09/13/2019 16:18:57     25.165 N     74.224 W
09/13/2019 16:20:58     25.171 N     74.224 W
09/13/2019 16:22:58     25.178 N     74.223 W
09/13/2019 16:24:57     25.185 N     74.223 W
09/13/2019 16:26:57     25.193 N     74.222 W
09/13/2019 16:28:58     25.201 N     74.221 W
09/13/2019 16:30:58     25.209 N     74.219 W
09/13/2019 16:32:57     25.218 N     74.218 W
09/13/2019 16:34:57     25.227 N     74.216 W
09/13/2019 16:36:58     25.236 N     74.214 W
09/13/2019 16:38:58     25.246 N     74.211 W
09/13/2019 16:40:57     25.256 N     74.208 W
09/13/2019 16:42:57     25.267 N     74.205 W
09/13/2019 16:44:58     25.278 N     74.202 W
