Track for Irene                1999
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
10/12/1999 18:34:13     16.126 N     83.374 W
10/12/1999 18:36:12     16.123 N     83.378 W
10/12/1999 18:38:12     16.119 N     83.381 W
10/12/1999 18:40:13     16.116 N     83.385 W
10/12/1999 18:42:13     16.113 N     83.389 W
10/12/1999 18:44:12     16.109 N     83.392 W
10/12/1999 18:46:12     16.106 N     83.396 W
10/12/1999 18:48:13     16.103 N     83.400 W
10/12/1999 18:50:13     16.100 N     83.403 W
10/12/1999 18:52:12     16.096 N     83.407 W
10/12/1999 18:54:12     16.093 N     83.410 W
10/12/1999 18:56:13     16.090 N     83.414 W
10/12/1999 18:58:13     16.087 N     83.417 W
10/12/1999 19:00:12     16.084 N     83.421 W
10/12/1999 19:02:13     16.081 N     83.424 W
10/12/1999 19:04:13     16.078 N     83.427 W
10/12/1999 19:06:12     16.075 N     83.431 W
10/12/1999 19:08:12     16.072 N     83.434 W
10/12/1999 19:10:13     16.069 N     83.437 W
10/12/1999 19:12:13     16.067 N     83.440 W
10/12/1999 19:14:12     16.064 N     83.443 W
10/12/1999 19:16:12     16.062 N     83.446 W
10/12/1999 19:18:13     16.059 N     83.448 W
10/12/1999 19:20:13     16.057 N     83.451 W
10/12/1999 19:22:12     16.055 N     83.454 W
10/12/1999 19:24:12     16.052 N     83.456 W
10/12/1999 19:26:13     16.051 N     83.458 W
10/12/1999 19:28:13     16.049 N     83.460 W
10/12/1999 19:30:12     16.047 N     83.463 W
10/12/1999 19:32:13     16.045 N     83.464 W
10/12/1999 19:34:13     16.044 N     83.466 W
10/12/1999 19:36:12     16.042 N     83.468 W
10/12/1999 19:38:12     16.041 N     83.469 W
10/12/1999 19:40:13     16.040 N     83.471 W
10/12/1999 19:42:13     16.039 N     83.472 W
10/12/1999 19:44:12     16.038 N     83.473 W
10/12/1999 19:46:12     16.038 N     83.474 W
10/12/1999 19:48:13     16.037 N     83.474 W
10/12/1999 19:50:13     16.037 N     83.475 W
10/12/1999 19:52:12     16.037 N     83.475 W
10/12/1999 19:54:12     16.037 N     83.475 W
10/12/1999 19:56:13     16.038 N     83.475 W
10/12/1999 19:58:13     16.038 N     83.475 W
10/12/1999 20:00:12     16.039 N     83.475 W
10/12/1999 20:02:13     16.040 N     83.474 W
10/12/1999 20:04:13     16.041 N     83.473 W
10/12/1999 20:06:12     16.042 N     83.472 W
10/12/1999 20:08:12     16.044 N     83.470 W
10/12/1999 20:10:13     16.046 N     83.469 W
10/12/1999 20:12:13     16.048 N     83.467 W
10/12/1999 20:14:12     16.050 N     83.465 W
10/12/1999 20:16:12     16.052 N     83.463 W
10/12/1999 20:18:13     16.055 N     83.460 W
10/12/1999 20:20:13     16.058 N     83.457 W
10/12/1999 20:22:12     16.061 N     83.454 W
10/12/1999 20:24:12     16.065 N     83.451 W
10/12/1999 20:26:13     16.069 N     83.447 W
10/12/1999 20:28:13     16.073 N     83.443 W
10/12/1999 20:30:12     16.077 N     83.439 W
10/12/1999 20:32:13     16.082 N     83.434 W
10/12/1999 20:34:13     16.087 N     83.430 W
10/12/1999 20:36:12     16.092 N     83.424 W
10/12/1999 20:38:12     16.097 N     83.419 W
10/12/1999 20:40:13     16.103 N     83.413 W
10/12/1999 20:42:13     16.109 N     83.407 W
10/12/1999 20:44:12     16.116 N     83.401 W
10/12/1999 20:46:12     16.123 N     83.394 W
10/12/1999 20:48:13     16.130 N     83.387 W
10/12/1999 20:50:13     16.137 N     83.380 W
10/12/1999 20:49:54     16.136 N     83.381 W
10/12/1999 20:51:55     16.138 N     83.379 W
10/12/1999 20:53:54     16.140 N     83.377 W
10/12/1999 20:55:54     16.143 N     83.375 W
10/12/1999 20:57:55     16.145 N     83.373 W
10/12/1999 20:59:55     16.147 N     83.372 W
10/12/1999 21:01:54     16.149 N     83.370 W
10/12/1999 21:03:54     16.151 N     83.368 W
10/12/1999 21:05:55     16.154 N     83.366 W
10/12/1999 21:07:55     16.156 N     83.364 W
10/12/1999 21:09:54     16.158 N     83.362 W
10/12/1999 21:11:54     16.160 N     83.360 W
10/12/1999 21:13:55     16.162 N     83.359 W
10/12/1999 21:15:55     16.165 N     83.357 W
10/12/1999 21:17:54     16.167 N     83.355 W
10/12/1999 21:19:54     16.169 N     83.353 W
