Track for Iselle               2014
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/05/2014 17:53:59     16.195 N    139.881 W
08/05/2014 17:55:59     16.197 N    139.887 W
08/05/2014 17:58:00     16.198 N    139.894 W
08/05/2014 18:00:00     16.200 N    139.900 W
08/05/2014 18:01:59     16.202 N    139.906 W
08/05/2014 18:04:00     16.203 N    139.913 W
08/05/2014 18:06:00     16.205 N    139.919 W
08/05/2014 18:07:59     16.206 N    139.926 W
08/05/2014 18:09:59     16.208 N    139.932 W
08/05/2014 18:12:00     16.210 N    139.939 W
08/05/2014 18:14:00     16.211 N    139.945 W
08/05/2014 18:15:59     16.213 N    139.952 W
08/05/2014 18:17:59     16.214 N    139.958 W
08/05/2014 18:20:00     16.216 N    139.965 W
08/05/2014 18:22:00     16.218 N    139.971 W
08/05/2014 18:23:59     16.219 N    139.977 W
08/05/2014 18:25:59     16.221 N    139.984 W
08/05/2014 18:28:00     16.222 N    139.990 W
08/05/2014 18:30:00     16.224 N    139.997 W
08/05/2014 18:31:59     16.225 N    140.003 W
08/05/2014 18:34:00     16.227 N    140.010 W
08/05/2014 18:36:00     16.229 N    140.016 W
08/05/2014 18:37:59     16.230 N    140.023 W
08/05/2014 18:39:59     16.232 N    140.029 W
08/05/2014 18:42:00     16.233 N    140.036 W
08/05/2014 18:44:00     16.235 N    140.042 W
08/05/2014 18:45:59     16.237 N    140.049 W
08/05/2014 18:47:59     16.238 N    140.055 W
08/05/2014 18:50:00     16.240 N    140.061 W
08/05/2014 18:52:00     16.241 N    140.068 W
08/05/2014 18:53:59     16.243 N    140.074 W
08/05/2014 18:55:59     16.245 N    140.081 W
08/05/2014 18:58:00     16.246 N    140.087 W
08/05/2014 19:00:00     16.248 N    140.094 W
08/05/2014 19:01:59     16.249 N    140.100 W
08/05/2014 19:04:00     16.251 N    140.107 W
08/05/2014 19:06:00     16.253 N    140.113 W
08/05/2014 19:07:59     16.254 N    140.120 W
08/05/2014 19:09:59     16.256 N    140.126 W
08/05/2014 19:12:00     16.257 N    140.133 W
08/05/2014 19:14:00     16.259 N    140.139 W
08/05/2014 19:15:59     16.261 N    140.145 W
08/05/2014 19:17:59     16.262 N    140.152 W
08/05/2014 19:20:00     16.264 N    140.158 W
08/05/2014 19:22:00     16.265 N    140.165 W
08/05/2014 19:23:59     16.267 N    140.171 W
08/05/2014 19:25:59     16.269 N    140.178 W
08/05/2014 19:28:00     16.270 N    140.184 W
08/05/2014 19:30:00     16.272 N    140.191 W
08/05/2014 19:31:59     16.273 N    140.197 W
08/05/2014 19:34:00     16.275 N    140.204 W
08/05/2014 19:36:00     16.276 N    140.210 W
08/05/2014 19:37:59     16.278 N    140.217 W
08/05/2014 19:39:59     16.280 N    140.223 W
08/05/2014 19:42:00     16.281 N    140.230 W
08/05/2014 19:44:00     16.283 N    140.236 W
08/05/2014 19:45:59     16.284 N    140.243 W
08/05/2014 19:47:59     16.286 N    140.249 W
08/05/2014 19:50:00     16.288 N    140.256 W
08/05/2014 19:52:00     16.289 N    140.262 W
08/05/2014 19:53:59     16.291 N    140.269 W
08/05/2014 19:55:59     16.292 N    140.275 W
08/05/2014 19:58:00     16.294 N    140.281 W
08/05/2014 20:00:00     16.296 N    140.288 W
08/05/2014 20:01:59     16.297 N    140.294 W
08/05/2014 20:04:00     16.299 N    140.301 W
08/05/2014 20:06:00     16.300 N    140.307 W
08/05/2014 20:07:59     16.302 N    140.314 W
08/05/2014 20:09:59     16.304 N    140.320 W
08/05/2014 20:12:00     16.305 N    140.327 W
08/05/2014 20:14:00     16.307 N    140.333 W
08/05/2014 20:15:59     16.308 N    140.340 W
08/05/2014 20:17:59     16.310 N    140.346 W
08/05/2014 20:20:00     16.312 N    140.353 W
08/05/2014 20:22:00     16.313 N    140.359 W
08/05/2014 20:23:59     16.315 N    140.366 W
08/05/2014 20:25:59     16.316 N    140.372 W
08/05/2014 20:28:00     16.318 N    140.379 W
08/05/2014 20:30:00     16.319 N    140.385 W
08/05/2014 20:31:59     16.321 N    140.392 W
08/05/2014 20:34:00     16.323 N    140.398 W
08/05/2014 20:36:00     16.324 N    140.405 W
08/05/2014 20:37:59     16.326 N    140.411 W
08/05/2014 20:39:59     16.327 N    140.418 W
08/05/2014 20:42:00     16.329 N    140.424 W
08/05/2014 20:44:00     16.331 N    140.431 W
08/05/2014 20:45:59     16.332 N    140.437 W
08/05/2014 20:47:59     16.334 N    140.444 W
08/05/2014 20:50:00     16.335 N    140.451 W
08/05/2014 20:52:00     16.337 N    140.457 W
08/05/2014 20:53:59     16.339 N    140.464 W
08/05/2014 20:55:59     16.340 N    140.470 W
08/05/2014 20:58:00     16.342 N    140.477 W
08/05/2014 21:00:00     16.343 N    140.483 W
08/05/2014 21:01:59     16.345 N    140.490 W
08/05/2014 21:04:00     16.347 N    140.496 W
08/05/2014 21:06:00     16.348 N    140.503 W
08/05/2014 21:07:59     16.350 N    140.509 W
08/05/2014 21:09:59     16.351 N    140.516 W
08/05/2014 21:12:00     16.353 N    140.522 W
08/05/2014 21:14:00     16.354 N    140.529 W
08/05/2014 21:15:59     16.356 N    140.535 W
08/05/2014 21:17:59     16.358 N    140.542 W
08/05/2014 21:20:00     16.359 N    140.548 W
08/05/2014 21:22:00     16.361 N    140.555 W
08/05/2014 21:23:59     16.362 N    140.562 W
08/05/2014 21:25:59     16.364 N    140.568 W
08/05/2014 21:28:00     16.366 N    140.575 W
08/05/2014 21:30:00     16.367 N    140.581 W
08/05/2014 21:31:59     16.369 N    140.588 W
08/05/2014 21:34:00     16.370 N    140.594 W
08/05/2014 21:36:00     16.372 N    140.601 W
08/05/2014 21:37:59     16.374 N    140.607 W
08/05/2014 21:39:59     16.375 N    140.614 W
08/05/2014 21:42:00     16.377 N    140.620 W
08/05/2014 21:44:00     16.378 N    140.627 W
08/05/2014 21:45:59     16.380 N    140.634 W
08/05/2014 21:47:59     16.382 N    140.640 W
08/05/2014 21:50:00     16.383 N    140.647 W
08/05/2014 21:52:00     16.385 N    140.653 W
