Track for Lane                 2018
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/19/2018 23:53:59     13.599 N    145.277 W
08/19/2018 23:55:59     13.599 N    145.285 W
08/19/2018 23:58:00     13.600 N    145.292 W
08/20/2018 00:00:00     13.600 N    145.300 W
08/20/2018 00:02:00     13.600 N    145.308 W
08/20/2018 00:04:00     13.601 N    145.315 W
08/20/2018 00:06:00     13.601 N    145.323 W
08/20/2018 00:08:00     13.602 N    145.331 W
08/20/2018 00:10:00     13.602 N    145.338 W
08/20/2018 00:12:00     13.602 N    145.346 W
08/20/2018 00:14:00     13.603 N    145.354 W
08/20/2018 00:16:00     13.603 N    145.361 W
08/20/2018 00:18:00     13.604 N    145.369 W
08/20/2018 00:20:00     13.604 N    145.377 W
08/20/2018 00:22:00     13.604 N    145.384 W
08/20/2018 00:24:00     13.605 N    145.392 W
08/20/2018 00:26:00     13.605 N    145.400 W
08/20/2018 00:28:00     13.605 N    145.407 W
08/20/2018 00:30:00     13.606 N    145.415 W
08/20/2018 00:32:00     13.606 N    145.423 W
08/20/2018 00:34:00     13.607 N    145.430 W
08/20/2018 00:36:00     13.607 N    145.438 W
08/20/2018 00:38:00     13.607 N    145.445 W
08/20/2018 00:40:00     13.608 N    145.453 W
08/20/2018 00:42:00     13.608 N    145.461 W
08/20/2018 00:44:00     13.609 N    145.468 W
08/20/2018 00:46:00     13.609 N    145.476 W
08/20/2018 00:48:00     13.609 N    145.483 W
08/20/2018 00:50:00     13.610 N    145.491 W
08/20/2018 00:52:00     13.610 N    145.499 W
08/20/2018 00:54:00     13.610 N    145.506 W
08/20/2018 00:56:00     13.611 N    145.514 W
08/20/2018 00:58:00     13.611 N    145.521 W
08/20/2018 01:00:00     13.612 N    145.529 W
08/20/2018 01:01:59     13.612 N    145.536 W
08/20/2018 01:04:00     13.612 N    145.544 W
08/20/2018 01:06:00     13.613 N    145.552 W
08/20/2018 01:07:59     13.613 N    145.559 W
08/20/2018 01:09:59     13.614 N    145.567 W
08/20/2018 01:12:00     13.614 N    145.574 W
08/20/2018 01:14:00     13.614 N    145.582 W
08/20/2018 01:15:59     13.615 N    145.589 W
08/20/2018 01:17:59     13.615 N    145.597 W
08/20/2018 01:20:00     13.615 N    145.604 W
08/20/2018 01:22:00     13.616 N    145.612 W
08/20/2018 01:23:59     13.616 N    145.619 W
08/20/2018 01:25:59     13.617 N    145.626 W
08/20/2018 01:28:00     13.617 N    145.634 W
08/20/2018 01:30:00     13.617 N    145.641 W
08/20/2018 01:31:59     13.618 N    145.649 W
08/20/2018 01:34:00     13.618 N    145.656 W
08/20/2018 01:36:00     13.618 N    145.663 W
08/20/2018 01:38:00     13.619 N    145.671 W
08/20/2018 01:39:59     13.619 N    145.678 W
08/20/2018 01:42:00     13.619 N    145.686 W
08/20/2018 01:44:00     13.620 N    145.693 W
08/20/2018 01:46:00     13.620 N    145.700 W
08/20/2018 01:47:59     13.621 N    145.708 W
08/20/2018 01:50:00     13.621 N    145.715 W
08/20/2018 01:52:00     13.621 N    145.722 W
08/20/2018 01:54:00     13.622 N    145.729 W
08/20/2018 01:55:59     13.622 N    145.737 W
08/20/2018 01:58:00     13.622 N    145.744 W
08/20/2018 02:00:00     13.623 N    145.751 W
08/20/2018 02:01:59     13.623 N    145.758 W
08/20/2018 02:03:59     13.623 N    145.766 W
08/20/2018 02:05:59     13.624 N    145.773 W
08/20/2018 02:08:00     13.624 N    145.780 W
08/20/2018 02:10:00     13.624 N    145.787 W
08/20/2018 02:12:00     13.625 N    145.794 W
08/20/2018 02:14:00     13.625 N    145.801 W
08/20/2018 02:15:59     13.625 N    145.809 W
08/20/2018 02:17:59     13.626 N    145.816 W
08/20/2018 02:19:59     13.626 N    145.823 W
08/20/2018 02:21:59     13.626 N    145.830 W
08/20/2018 02:24:00     13.627 N    145.837 W
08/20/2018 02:26:00     13.627 N    145.844 W
08/20/2018 02:28:00     13.627 N    145.851 W
08/20/2018 02:30:00     13.628 N    145.858 W
08/20/2018 02:31:59     13.628 N    145.865 W
08/20/2018 02:33:59     13.628 N    145.872 W
08/20/2018 02:35:59     13.629 N    145.879 W
08/20/2018 02:38:00     13.629 N    145.885 W
08/20/2018 02:40:00     13.629 N    145.892 W
08/20/2018 02:42:00     13.630 N    145.899 W
08/20/2018 02:44:00     13.630 N    145.906 W
08/20/2018 02:46:00     13.630 N    145.913 W
08/20/2018 02:47:59     13.631 N    145.920 W
08/20/2018 02:49:59     13.631 N    145.927 W
08/20/2018 02:51:59     13.631 N    145.933 W
08/20/2018 02:54:00     13.632 N    145.940 W
08/20/2018 02:56:00     13.632 N    145.947 W
08/20/2018 02:58:00     13.632 N    145.953 W
08/20/2018 03:00:00     13.633 N    145.960 W
08/20/2018 03:01:59     13.633 N    145.967 W
08/20/2018 03:03:59     13.633 N    145.973 W
08/20/2018 03:05:59     13.634 N    145.980 W
08/20/2018 03:08:00     13.634 N    145.987 W
08/20/2018 03:10:00     13.634 N    145.993 W
08/20/2018 03:12:00     13.634 N    146.000 W
08/20/2018 03:14:00     13.635 N    146.006 W
08/20/2018 03:15:59     13.635 N    146.013 W
08/20/2018 03:17:59     13.635 N    146.019 W
08/20/2018 03:19:59     13.636 N    146.026 W
08/20/2018 03:21:59     13.636 N    146.032 W
08/20/2018 03:24:00     13.636 N    146.039 W
08/20/2018 03:26:00     13.636 N    146.045 W
08/20/2018 03:28:00     13.637 N    146.051 W
08/20/2018 03:30:00     13.637 N    146.058 W
08/20/2018 03:31:59     13.637 N    146.064 W
08/20/2018 03:33:59     13.638 N    146.070 W
08/20/2018 03:35:59     13.638 N    146.077 W
08/20/2018 03:38:00     13.638 N    146.083 W
08/20/2018 03:40:00     13.638 N    146.089 W
08/20/2018 03:42:00     13.639 N    146.095 W
08/20/2018 03:44:00     13.639 N    146.101 W
08/20/2018 03:46:00     13.639 N    146.108 W
08/20/2018 03:47:59     13.639 N    146.114 W
08/20/2018 03:49:59     13.640 N    146.120 W
08/20/2018 03:51:59     13.640 N    146.126 W
08/20/2018 03:54:00     13.640 N    146.132 W
08/20/2018 03:56:00     13.640 N    146.138 W
08/20/2018 03:58:00     13.641 N    146.144 W
08/20/2018 04:00:00     13.641 N    146.150 W
08/20/2018 04:01:59     13.641 N    146.156 W
08/20/2018 04:03:59     13.641 N    146.162 W
08/20/2018 04:05:59     13.642 N    146.168 W
08/20/2018 04:07:59     13.642 N    146.174 W
