Track for Lester               2016
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/01/2016 23:53:59     18.597 N    145.482 W
09/01/2016 23:55:59     18.598 N    145.488 W
09/01/2016 23:58:00     18.599 N    145.494 W
09/02/2016 00:00:00     18.600 N    145.500 W
09/02/2016 00:02:00     18.601 N    145.506 W
09/02/2016 00:04:00     18.602 N    145.512 W
09/02/2016 00:06:00     18.603 N    145.518 W
09/02/2016 00:08:00     18.604 N    145.524 W
09/02/2016 00:10:00     18.606 N    145.529 W
09/02/2016 00:12:00     18.607 N    145.535 W
09/02/2016 00:14:00     18.608 N    145.541 W
09/02/2016 00:16:00     18.609 N    145.547 W
09/02/2016 00:18:00     18.610 N    145.553 W
09/02/2016 00:20:00     18.611 N    145.559 W
09/02/2016 00:22:00     18.612 N    145.565 W
09/02/2016 00:24:00     18.613 N    145.571 W
09/02/2016 00:26:00     18.614 N    145.577 W
09/02/2016 00:28:00     18.615 N    145.583 W
09/02/2016 00:30:00     18.617 N    145.589 W
09/02/2016 00:32:00     18.618 N    145.594 W
09/02/2016 00:34:00     18.619 N    145.600 W
09/02/2016 00:36:00     18.620 N    145.606 W
09/02/2016 00:38:00     18.621 N    145.612 W
09/02/2016 00:40:00     18.622 N    145.618 W
09/02/2016 00:42:00     18.623 N    145.624 W
09/02/2016 00:44:00     18.624 N    145.630 W
09/02/2016 00:46:00     18.626 N    145.636 W
09/02/2016 00:48:00     18.627 N    145.642 W
09/02/2016 00:50:00     18.628 N    145.648 W
09/02/2016 00:52:00     18.629 N    145.654 W
09/02/2016 00:54:00     18.630 N    145.659 W
09/02/2016 00:56:00     18.631 N    145.665 W
09/02/2016 00:58:00     18.632 N    145.671 W
09/02/2016 01:00:00     18.633 N    145.677 W
09/02/2016 01:01:59     18.635 N    145.683 W
09/02/2016 01:04:00     18.636 N    145.689 W
09/02/2016 01:06:00     18.637 N    145.695 W
09/02/2016 01:07:59     18.638 N    145.701 W
09/02/2016 01:09:59     18.639 N    145.707 W
09/02/2016 01:12:00     18.640 N    145.713 W
09/02/2016 01:14:00     18.641 N    145.719 W
09/02/2016 01:15:59     18.642 N    145.725 W
09/02/2016 01:17:59     18.644 N    145.731 W
09/02/2016 01:20:00     18.645 N    145.737 W
09/02/2016 01:22:00     18.646 N    145.742 W
09/02/2016 01:23:59     18.647 N    145.748 W
09/02/2016 01:25:59     18.648 N    145.754 W
09/02/2016 01:28:00     18.649 N    145.760 W
09/02/2016 01:30:00     18.651 N    145.766 W
09/02/2016 01:31:59     18.652 N    145.772 W
09/02/2016 01:34:00     18.653 N    145.778 W
09/02/2016 01:36:00     18.654 N    145.784 W
09/02/2016 01:38:00     18.655 N    145.790 W
09/02/2016 01:39:59     18.656 N    145.796 W
09/02/2016 01:42:00     18.658 N    145.802 W
09/02/2016 01:44:00     18.659 N    145.808 W
09/02/2016 01:46:00     18.660 N    145.814 W
09/02/2016 01:47:59     18.661 N    145.820 W
