Track for Mitch                1998
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
10/21/1998 22:39:28     12.736 N     77.500 W
10/21/1998 22:41:27     12.735 N     77.502 W
10/21/1998 22:43:28     12.733 N     77.505 W
10/21/1998 22:45:28     12.731 N     77.507 W
10/21/1998 22:47:27     12.729 N     77.509 W
10/21/1998 22:49:27     12.727 N     77.512 W
10/21/1998 22:51:28     12.726 N     77.514 W
10/21/1998 22:53:28     12.724 N     77.516 W
10/21/1998 22:55:27     12.722 N     77.519 W
10/21/1998 22:57:27     12.720 N     77.521 W
10/21/1998 22:59:28     12.718 N     77.524 W
10/21/1998 23:01:28     12.716 N     77.526 W
10/21/1998 23:03:27     12.715 N     77.528 W
10/21/1998 23:05:27     12.713 N     77.531 W
10/21/1998 23:07:28     12.711 N     77.533 W
10/21/1998 23:09:28     12.709 N     77.535 W
10/21/1998 23:11:27     12.707 N     77.538 W
10/21/1998 23:13:28     12.706 N     77.540 W
10/21/1998 23:15:28     12.704 N     77.542 W
10/21/1998 23:17:27     12.702 N     77.545 W
10/21/1998 23:19:27     12.700 N     77.547 W
10/21/1998 23:21:28     12.698 N     77.550 W
10/21/1998 23:23:28     12.696 N     77.552 W
10/21/1998 23:25:27     12.695 N     77.554 W
10/21/1998 23:27:27     12.693 N     77.557 W
10/21/1998 23:29:28     12.691 N     77.559 W
10/21/1998 23:31:28     12.689 N     77.561 W
10/21/1998 23:33:27     12.687 N     77.564 W
10/21/1998 23:35:27     12.686 N     77.566 W
10/21/1998 23:37:28     12.684 N     77.568 W
10/21/1998 23:39:28     12.682 N     77.571 W
10/21/1998 23:41:27     12.680 N     77.573 W
10/21/1998 23:43:28     12.678 N     77.575 W
10/21/1998 23:45:28     12.676 N     77.578 W
10/21/1998 23:47:27     12.675 N     77.580 W
10/21/1998 23:49:27     12.673 N     77.583 W
10/21/1998 23:51:28     12.671 N     77.585 W
10/21/1998 23:53:28     12.669 N     77.587 W
10/21/1998 23:55:27     12.667 N     77.590 W
10/21/1998 23:57:27     12.666 N     77.592 W
10/21/1998 23:59:28     12.664 N     77.594 W
10/22/1998 00:01:28     12.662 N     77.597 W
10/22/1998 00:03:27     12.660 N     77.599 W
10/22/1998 00:05:27     12.658 N     77.601 W
10/22/1998 00:07:28     12.656 N     77.604 W
10/22/1998 00:09:28     12.655 N     77.606 W
10/22/1998 00:11:27     12.653 N     77.608 W
10/22/1998 00:13:28     12.651 N     77.611 W
10/22/1998 00:15:28     12.649 N     77.613 W
10/22/1998 00:17:27     12.647 N     77.615 W
10/22/1998 00:19:27     12.646 N     77.618 W
10/22/1998 00:21:28     12.644 N     77.620 W
10/22/1998 00:23:28     12.642 N     77.622 W
10/22/1998 00:25:27     12.640 N     77.625 W
10/22/1998 00:27:27     12.638 N     77.627 W
10/22/1998 00:29:28     12.636 N     77.629 W
10/22/1998 00:31:28     12.635 N     77.631 W
10/22/1998 00:33:27     12.633 N     77.634 W
10/22/1998 00:35:27     12.631 N     77.636 W
10/22/1998 00:37:28     12.629 N     77.638 W
10/22/1998 00:39:28     12.627 N     77.641 W
10/22/1998 00:41:27     12.625 N     77.643 W
10/22/1998 00:43:28     12.624 N     77.645 W
10/22/1998 00:45:28     12.622 N     77.648 W
10/22/1998 00:47:27     12.620 N     77.650 W
10/22/1998 00:49:27     12.618 N     77.652 W
10/22/1998 00:51:28     12.616 N     77.655 W
10/22/1998 00:53:28     12.615 N     77.657 W
10/22/1998 00:55:27     12.613 N     77.659 W
10/22/1998 00:57:27     12.611 N     77.661 W
10/22/1998 00:59:28     12.609 N     77.664 W
10/22/1998 01:01:28     12.607 N     77.666 W
10/22/1998 01:03:27     12.605 N     77.668 W
10/22/1998 01:05:27     12.604 N     77.671 W
10/22/1998 01:07:28     12.602 N     77.673 W
10/22/1998 01:09:28     12.600 N     77.675 W
10/22/1998 01:11:27     12.598 N     77.677 W
