Track for Noel                 2007
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
10/28/2007 23:53:59     16.700 N     71.792 W
10/28/2007 23:55:59     16.700 N     71.795 W
10/28/2007 23:58:00     16.700 N     71.797 W
10/29/2007 00:00:00     16.700 N     71.800 W
10/29/2007 00:02:00     16.700 N     71.803 W
10/29/2007 00:04:00     16.700 N     71.805 W
10/29/2007 00:06:00     16.700 N     71.808 W
10/29/2007 00:08:00     16.700 N     71.810 W
10/29/2007 00:10:00     16.699 N     71.813 W
10/29/2007 00:12:00     16.699 N     71.815 W
10/29/2007 00:14:00     16.699 N     71.818 W
10/29/2007 00:16:00     16.699 N     71.820 W
10/29/2007 00:18:00     16.699 N     71.823 W
10/29/2007 00:20:00     16.699 N     71.825 W
10/29/2007 00:22:00     16.699 N     71.828 W
10/29/2007 00:24:00     16.699 N     71.830 W
10/29/2007 00:26:00     16.699 N     71.833 W
10/29/2007 00:28:00     16.699 N     71.835 W
10/29/2007 00:30:00     16.698 N     71.838 W
10/29/2007 00:32:00     16.698 N     71.840 W
10/29/2007 00:34:00     16.698 N     71.843 W
10/29/2007 00:36:00     16.698 N     71.845 W
10/29/2007 00:38:00     16.698 N     71.848 W
10/29/2007 00:40:00     16.698 N     71.850 W
10/29/2007 00:42:00     16.698 N     71.853 W
10/29/2007 00:44:00     16.698 N     71.855 W
10/29/2007 00:46:00     16.698 N     71.858 W
10/29/2007 00:48:00     16.698 N     71.860 W
10/29/2007 00:50:00     16.698 N     71.863 W
10/29/2007 00:52:00     16.698 N     71.865 W
10/29/2007 00:54:00     16.698 N     71.868 W
10/29/2007 00:56:00     16.698 N     71.870 W
10/29/2007 00:58:00     16.699 N     71.873 W
10/29/2007 01:00:00     16.699 N     71.875 W
10/29/2007 01:01:59     16.699 N     71.877 W
10/29/2007 01:04:00     16.699 N     71.880 W
10/29/2007 01:06:00     16.699 N     71.882 W
10/29/2007 01:07:59     16.699 N     71.885 W
10/29/2007 01:09:59     16.699 N     71.887 W
10/29/2007 01:12:00     16.700 N     71.890 W
10/29/2007 01:14:00     16.700 N     71.892 W
10/29/2007 01:15:59     16.700 N     71.895 W
10/29/2007 01:17:59     16.700 N     71.897 W
10/29/2007 01:20:00     16.701 N     71.899 W
10/29/2007 01:22:00     16.701 N     71.902 W
10/29/2007 01:23:59     16.701 N     71.904 W
10/29/2007 01:25:59     16.702 N     71.906 W
10/29/2007 01:28:00     16.702 N     71.909 W
10/29/2007 01:30:00     16.702 N     71.911 W
10/29/2007 01:31:59     16.703 N     71.914 W
10/29/2007 01:34:00     16.703 N     71.916 W
10/29/2007 01:36:00     16.704 N     71.918 W
10/29/2007 01:38:00     16.704 N     71.921 W
10/29/2007 01:39:59     16.705 N     71.923 W
10/29/2007 01:42:00     16.705 N     71.925 W
10/29/2007 01:44:00     16.706 N     71.928 W
10/29/2007 01:46:00     16.706 N     71.930 W
10/29/2007 01:47:59     16.707 N     71.932 W
10/29/2007 01:50:00     16.708 N     71.935 W
10/29/2007 01:52:00     16.708 N     71.937 W
10/29/2007 01:54:00     16.709 N     71.939 W
10/29/2007 01:55:59     16.710 N     71.941 W
10/29/2007 01:58:00     16.710 N     71.944 W
10/29/2007 02:00:00     16.711 N     71.946 W
10/29/2007 02:01:59     16.712 N     71.948 W
10/29/2007 02:03:59     16.713 N     71.950 W
10/29/2007 02:05:59     16.714 N     71.953 W
10/29/2007 02:08:00     16.715 N     71.955 W
10/29/2007 02:10:00     16.716 N     71.957 W
10/29/2007 02:12:00     16.717 N     71.959 W
10/29/2007 02:14:00     16.718 N     71.962 W
10/29/2007 02:15:59     16.719 N     71.964 W
10/29/2007 02:17:59     16.720 N     71.966 W
10/29/2007 02:19:59     16.721 N     71.968 W
10/29/2007 02:21:59     16.722 N     71.970 W
10/29/2007 02:24:00     16.723 N     71.972 W
10/29/2007 02:26:00     16.725 N     71.974 W
10/29/2007 02:28:00     16.726 N     71.977 W
10/29/2007 02:30:00     16.727 N     71.979 W
10/29/2007 02:31:59     16.728 N     71.981 W
10/29/2007 02:33:59     16.730 N     71.983 W
10/29/2007 02:35:59     16.731 N     71.985 W
10/29/2007 02:38:00     16.733 N     71.987 W
10/29/2007 02:40:00     16.734 N     71.989 W
